mode	type	git_blob	size	path
100644	blob	caa03247527daa0333ecf02881caa254e7ba96cb	28721950	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed123_50epoch/best_model_checkpoint.pt
100644	blob	aa9370848cd41b7839c0061d9512f34bebc6baa9	28728030	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed123_50epoch/last_model_checkpoint.pt
100644	blob	09628dc90924585937c65d86f2bad34556c78de2	28726558	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed2026_50epoch/best_model_checkpoint.pt
100644	blob	2604c113adca1f5d17f2259bc66875e8414db38d	28728030	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed2026_50epoch/last_model_checkpoint.pt
100644	blob	90636e552288e49f97e93acda55ee57750840bf7	28708062	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed42_50epoch/best_model_checkpoint.pt
100644	blob	2d501b1738e3e32a59dc75800f5c95de48f5e966	28728030	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed42_50epoch/last_model_checkpoint.pt
100644	blob	a6225d1474f33bb5d11265148ede855b517ef24c	28694174	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed43_50epoch/best_model_checkpoint.pt
100644	blob	962b72d8e22d75da5bc654660d733d067b3a3ab3	28728030	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed43_50epoch/last_model_checkpoint.pt
100644	blob	4f38c49e927e7341a0c6d9e2b2ed2913673813a5	28689566	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed44_50epoch/best_model_checkpoint.pt
100644	blob	a54ac54eab930fbd9ecfea63a25578d3b9026f8d	28728030	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top1_trial49_seed44_50epoch/last_model_checkpoint.pt
100644	blob	96f07aa9b6ad9a472449c104332c19a471c7a7f9	6021406	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed123_50epoch/best_model_checkpoint.pt
100644	blob	102eb3d5be4c2e06510a16bbf2cc70d01a9ba98f	6067614	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed123_50epoch/last_model_checkpoint.pt
100644	blob	5f12a7db3c8487f319c1278f62d53b43166a5353	6032222	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed2026_50epoch/best_model_checkpoint.pt
100644	blob	17199adc050dfb4dabbb383f3565b70f68577491	6067614	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed2026_50epoch/last_model_checkpoint.pt
100644	blob	d87f7e2d87b6da77300bf48bb3185e6e1cfe392f	6024478	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed42_50epoch/best_model_checkpoint.pt
100644	blob	a72dedcbb1a1d00b0258b0569b1c154fe891fa85	6067614	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed42_50epoch/last_model_checkpoint.pt
100644	blob	73a2846beb7eff57d6a91b4a49ef0a6fe463f2fe	6012190	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed43_50epoch/best_model_checkpoint.pt
100644	blob	4ce498e14cb4897e18e281664fe2800c2c695104	6067614	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed43_50epoch/last_model_checkpoint.pt
100644	blob	e865cca8638066bf51b7226cafb4ca501ebd34a2	6035294	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed44_50epoch/best_model_checkpoint.pt
100644	blob	eebba52f435bb8a692cc226d243d224b8a5f3cde	6067614	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top2_trial32_seed44_50epoch/last_model_checkpoint.pt
100644	blob	1c705328596989fec2a11b15d49a222337ed0744	6047646	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top3_trial15_seed123_50epoch/best_model_checkpoint.pt
100644	blob	0ed76f5b291a21cb94d82a8f3b9544b1023a70db	6067614	docs/notebook_outputs/raw/GVP + late fusion/metal_late_fusion_optuna_top3_seedrepeat_50epoch_v1/top3_trial15_seed123_50epoch/last_model_checkpoint.pt
