family,lr,seed,epochs,run_dir
Only-GVP,3e-05,42,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_gvp_baseline_v1/standalone_ec1_care30_only_gvp_baseline_v1_ec_only_gvp_archonly_gvp_fusionnone_ringno_esmno_mwinverse_frequency_fullfeatures_ep30_l_dd407a78
Only-GVP,3e-05,43,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_gvp_baseline_v1/standalone_ec1_care30_only_gvp_baseline_v1_ec_only_gvp_archonly_gvp_fusionnone_ringno_esmno_mwinverse_frequency_fullfeatures_ep30_l_255b896f
Only-GVP,0.0001,42,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_gvp_baseline_v1/standalone_ec1_care30_only_gvp_baseline_v1_ec_only_gvp_archonly_gvp_fusionnone_ringno_esmno_mwinverse_frequency_fullfeatures_ep30_l_6d7d78ff
Only-GVP,0.0001,43,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_gvp_baseline_v1/standalone_ec1_care30_only_gvp_baseline_v1_ec_only_gvp_archonly_gvp_fusionnone_ringno_esmno_mwinverse_frequency_fullfeatures_ep30_l_a652eae6
Only-ESM,3e-05,42,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_esm_baseline_v1/standalone_ec1_care30_only_esm_baseline_v1_ec_only_esm_archonly_esm_fusionnone_ringno_esmyes_mwinverse_frequency_fullfeatures_ep30_b7318aca
Only-ESM,3e-05,43,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_esm_baseline_v1/standalone_ec1_care30_only_esm_baseline_v1_ec_only_esm_archonly_esm_fusionnone_ringno_esmyes_mwinverse_frequency_fullfeatures_ep30_3aad1d7b
Only-ESM,0.0001,42,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_esm_baseline_v1/standalone_ec1_care30_only_esm_baseline_v1_ec_only_esm_archonly_esm_fusionnone_ringno_esmyes_mwinverse_frequency_fullfeatures_ep30_a985d60e
Only-ESM,0.0001,43,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_only_esm_baseline_v1/standalone_ec1_care30_only_esm_baseline_v1_ec_only_esm_archonly_esm_fusionnone_ringno_esmyes_mwinverse_frequency_fullfeatures_ep30_ba9edf25
GVP + late fusion,3e-05,42,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_late_fusion_baseline_v1/standalone_ec1_care30_late_fusion_baseline_v1_ec_gvp_+_late_fusion_archgvp_fusionlate_fusion_ringno_esmyes_mwinverse_frequency_full_2f97f701
GVP + late fusion,3e-05,43,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_late_fusion_baseline_v1/standalone_ec1_care30_late_fusion_baseline_v1_ec_gvp_+_late_fusion_archgvp_fusionlate_fusion_ringno_esmyes_mwinverse_frequency_full_df54a5d7
GVP + late fusion,0.0001,42,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_late_fusion_baseline_v1/standalone_ec1_care30_late_fusion_baseline_v1_ec_gvp_+_late_fusion_archgvp_fusionlate_fusion_ringno_esmyes_mwinverse_frequency_full_b3899e21
GVP + late fusion,0.0001,43,30,/content/ec1_standalone_v12_20260914/runs/standalone_ec1_care30_late_fusion_baseline_v1/standalone_ec1_care30_late_fusion_baseline_v1_ec_gvp_+_late_fusion_archgvp_fusionlate_fusion_ringno_esmyes_mwinverse_frequency_full_876497e0
