epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,3e-05,0.4056918151886109,0.47850703803653066,1.0,fixed,1.0,0.5236656665802002,0.26054476277690564,0.5236656665802002,0.26054476277690564,0.2227240980274174,0.2227240980274174,"{'1': 0.4951923076923077, '2': 0.671875, '3': 0.6567460317460317, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.26054476277690564,0.2227240980274174,,0.4342857003211975,0.24884559884559884,0.4761904776096344,0.26904761904761904,"[[4, 0, 4, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [3, 6, 11, 0, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4761904776096344,0.26904761904761904,0.2232715936181918,0.2232715936181918,0.0,0,42,"{'1': 0.5, '2': 0.8333333333333334, '3': 0.55, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4342857003211975,0.24884559884559884,0.19992661871324202,0.19992661871324202,"{'1': 0.6944444444444444, '2': 0.6363636363636364, '3': 0.4111111111111111, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.24884559884559884,0.19992661871324202,
2,3e-05,0.3980473699758809,0.47805832004682586,1.0,fixed,1.0,0.5528700947761536,0.30459092715708463,0.5528700947761536,0.30459092715708463,0.26172800557683457,0.26172800557683457,"{'1': 0.13942307692307693, '2': 0.4921875, '3': 0.7896825396825397, '4': 0.7108433734939759, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.30459092715708463,0.26172800557683457,,0.4057142734527588,0.23564213564213565,0.4523809552192688,0.24761904761904763,"[[0, 0, 0, 8, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [0, 3, 13, 4, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4523809552192688,0.24761904761904763,0.20490196078431372,0.20490196078431372,0.0,0,42,"{'1': 0.0, '2': 0.8333333333333334, '3': 0.65, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4057142734527588,0.23564213564213565,0.19302814146847816,0.19302814146847816,"{'1': 0.05555555555555555, '2': 0.7272727272727273, '3': 0.5333333333333333, '4': 0.3333333333333333, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.23564213564213565,0.19302814146847816,
3,3e-05,0.3851973741019825,0.45520582067018206,1.0,fixed,1.0,0.6636455059051514,0.2999739341983318,0.6636455059051514,0.2999739341983318,0.2849866912487983,0.2849866912487983,"{'1': 0.7788461538461539, '2': 0.421875, '3': 0.875, '4': 0.024096385542168676, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2999739341983318,0.2849866912487983,,0.5942857265472412,0.3101010101010101,0.7142857313156128,0.38333333333333336,"[[8, 0, 0, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [3, 0, 17, 0, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.7142857313156128,0.38333333333333336,0.34372294372294376,0.34372294372294376,0.0,0,42,"{'1': 1.0, '2': 0.8333333333333334, '3': 0.85, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.5942857265472412,0.3101010101010101,0.26928653079432346,0.26928653079432346,"{'1': 0.8333333333333334, '2': 0.6818181818181818, '3': 0.6555555555555556, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3101010101010101,0.26928653079432346,
4,3e-05,0.3592156008723749,0.43657159906896675,1.0,fixed,1.0,0.7190332412719727,0.479932829827946,0.7190332412719727,0.479932829827946,0.4710066921610849,0.4710066921610849,"{'1': 0.8557692307692307, '2': 0.7265625, '3': 0.7738095238095238, '4': 0.40963855421686746, '5': 0.0, '6': 0.59375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.479932829827946,0.4710066921610849,,0.5942857265472412,0.4171717171717172,0.6190476417541504,0.43571428571428567,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [3, 6, 11, 0, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0]]",0.6190476417541504,0.43571428571428567,0.38970398970398973,0.38970398970398973,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.55, '4': 0.0, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.5942857265472412,0.4171717171717172,0.39284895916316337,0.39284895916316337,"{'1': 0.8888888888888888, '2': 0.9090909090909091, '3': 0.5222222222222223, '4': 0.2, '5': 0.0, '6': 0.4, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4171717171717172,0.39284895916316337,
5,3e-05,0.3213413411145469,0.4160712883723053,1.0,fixed,1.0,0.7804632186889648,0.5097769413604182,0.7804632186889648,0.5097769413604182,0.513129808933993,0.513129808933993,"{'1': 0.8509615384615384, '2': 0.6875, '3': 0.8869047619047619, '4': 0.5180722891566265, '5': 0.0, '6': 0.625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5097769413604182,0.513129808933993,,0.6571428775787354,0.4225829725829726,0.8333333134651184,0.5285714285714286,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0]]",0.8333333134651184,0.5285714285714286,0.5492063492063493,0.5492063492063493,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6571428775787354,0.4225829725829726,0.41668810646245896,0.41668810646245896,"{'1': 0.8055555555555556, '2': 0.8636363636363636, '3': 0.6888888888888889, '4': 0.2, '5': 0.0, '6': 0.4, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4225829725829726,0.41668810646245896,
6,3e-05,0.3006324460168919,0.4110143731602214,1.0,fixed,1.0,0.8006042242050171,0.5503381921196034,0.8006042242050171,0.5503381921196034,0.5439615783130821,0.5439615783130821,"{'1': 0.8846153846153846, '2': 0.78125, '3': 0.8849206349206349, '4': 0.4578313253012048, '5': 0.0, '6': 0.84375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5503381921196034,0.5439615783130821,,0.6800000071525574,0.44826839826839826,0.7857142686843872,0.5142857142857143,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 2, 17, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0]]",0.7857142686843872,0.5142857142857143,0.5211200759373517,0.5211200759373517,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.85, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6800000071525574,0.44826839826839826,0.43372947265030415,0.43372947265030415,"{'1': 0.9166666666666666, '2': 0.9545454545454546, '3': 0.6666666666666666, '4': 0.2, '5': 0.0, '6': 0.4, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.44826839826839826,0.43372947265030415,
7,3e-05,0.2662450175089051,0.3913533616895703,1.0,fixed,1.0,0.8288016319274902,0.5739748469282677,0.8288016319274902,0.5739748469282677,0.5653611099235863,0.5653611099235863,"{'1': 0.9134615384615384, '2': 0.7734375, '3': 0.9186507936507936, '4': 0.5060240963855421, '5': 0.0, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5739748469282677,0.5653611099235863,,0.7142857313156128,0.48477633477633475,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.5133742226765483,0.5133742226765483,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7142857313156128,0.48477633477633475,0.47310546596260883,0.47310546596260883,"{'1': 0.9166666666666666, '2': 0.9545454545454546, '3': 0.7222222222222222, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.48477633477633475,0.47310546596260883,
8,3e-05,0.25687831399371347,0.3961769677910276,1.0,fixed,1.0,0.8549848794937134,0.5830357011510195,0.8549848794937134,0.5830357011510195,0.5888362750934192,0.5888362750934192,"{'1': 0.8894230769230769, '2': 0.78125, '3': 0.9742063492063492, '4': 0.5301204819277109, '5': 0.0, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5830357011510195,0.5888362750934192,,0.7657142877578735,0.4867243867243867,0.8333333134651184,0.511904761904762,"[[8, 0, 0, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8333333134651184,0.511904761904762,0.5255223037831733,0.5255223037831733,0.0,0,42,"{'1': 1.0, '2': 0.8333333333333334, '3': 1.0, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7657142877578735,0.4867243867243867,0.485416507972899,0.485416507972899,"{'1': 0.9444444444444444, '2': 0.8181818181818182, '3': 0.8444444444444444, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4867243867243867,0.485416507972899,
9,3e-05,0.22422635589116607,0.36162574743767356,1.0,fixed,1.0,0.8710976839065552,0.6278680994015546,0.8710976839065552,0.6278680994015546,0.6351826100629914,0.6351826100629914,"{'1': 0.9423076923076923, '2': 0.8984375, '3': 0.9365079365079365, '4': 0.5903614457831325, '5': 0.12121212121212122, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6278680994015546,0.6351826100629914,,0.7200000286102295,0.5015873015873016,0.7857142686843872,0.5142857142857143,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 2, 17, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.7857142686843872,0.5142857142857143,0.49465737514518004,0.49465737514518004,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.85, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7200000286102295,0.5015873015873016,0.45700347439477873,0.45700347439477873,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.7, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5015873015873016,0.45700347439477873,
10,3e-05,0.19816087804226032,0.35401310574855993,1.0,fixed,1.0,0.9063444137573242,0.6808219868675979,0.9063444137573242,0.6808219868675979,0.7019956337087476,0.7019956337087476,"{'1': 0.9230769230769231, '2': 0.875, '3': 0.9801587301587301, '4': 0.7469879518072289, '5': 0.30303030303030304, '6': 0.9375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6808219868675979,0.7019956337087476,,0.7657142877578735,0.5173160173160173,0.8333333134651184,0.5285714285714286,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8333333134651184,0.5285714285714286,0.5200187409489735,0.5200187409489735,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7657142877578735,0.5173160173160173,0.5019101425881087,0.5019101425881087,"{'1': 0.9444444444444444, '2': 0.9545454545454546, '3': 0.7888888888888889, '4': 0.3333333333333333, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5173160173160173,0.5019101425881087,
