epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,3e-05,0.4056918151886109,1.0,fixed,1.0,0.5236656665802002,0.26054476277690564,0.5236656665802002,0.26054476277690564,0.2227240980274174,0.2227240980274174,"{'1': 0.4951923076923077, '2': 0.671875, '3': 0.6567460317460317, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.26054476277690564,0.2227240980274174,
2,3e-05,0.3980473699758809,1.0,fixed,1.0,0.5528700947761536,0.30459092715708463,0.5528700947761536,0.30459092715708463,0.26172800557683457,0.26172800557683457,"{'1': 0.13942307692307693, '2': 0.4921875, '3': 0.7896825396825397, '4': 0.7108433734939759, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.30459092715708463,0.26172800557683457,
3,3e-05,0.3851973741019825,1.0,fixed,1.0,0.6636455059051514,0.2999739341983318,0.6636455059051514,0.2999739341983318,0.2849866912487983,0.2849866912487983,"{'1': 0.7788461538461539, '2': 0.421875, '3': 0.875, '4': 0.024096385542168676, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2999739341983318,0.2849866912487983,
4,3e-05,0.3592156008723749,1.0,fixed,1.0,0.7190332412719727,0.479932829827946,0.7190332412719727,0.479932829827946,0.4710066921610849,0.4710066921610849,"{'1': 0.8557692307692307, '2': 0.7265625, '3': 0.7738095238095238, '4': 0.40963855421686746, '5': 0.0, '6': 0.59375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.479932829827946,0.4710066921610849,
5,3e-05,0.3213413411145469,1.0,fixed,1.0,0.7804632186889648,0.5097769413604182,0.7804632186889648,0.5097769413604182,0.513129808933993,0.513129808933993,"{'1': 0.8509615384615384, '2': 0.6875, '3': 0.8869047619047619, '4': 0.5180722891566265, '5': 0.0, '6': 0.625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5097769413604182,0.513129808933993,
6,3e-05,0.3006324460168919,1.0,fixed,1.0,0.8006042242050171,0.5503381921196034,0.8006042242050171,0.5503381921196034,0.5439615783130821,0.5439615783130821,"{'1': 0.8846153846153846, '2': 0.78125, '3': 0.8849206349206349, '4': 0.4578313253012048, '5': 0.0, '6': 0.84375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5503381921196034,0.5439615783130821,
7,3e-05,0.2662450175089051,1.0,fixed,1.0,0.8288016319274902,0.5739748469282677,0.8288016319274902,0.5739748469282677,0.5653611099235863,0.5653611099235863,"{'1': 0.9134615384615384, '2': 0.7734375, '3': 0.9186507936507936, '4': 0.5060240963855421, '5': 0.0, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5739748469282677,0.5653611099235863,
8,3e-05,0.25687831399371347,1.0,fixed,1.0,0.8549848794937134,0.5830357011510195,0.8549848794937134,0.5830357011510195,0.5888362750934192,0.5888362750934192,"{'1': 0.8894230769230769, '2': 0.78125, '3': 0.9742063492063492, '4': 0.5301204819277109, '5': 0.0, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5830357011510195,0.5888362750934192,
9,3e-05,0.22422635589116607,1.0,fixed,1.0,0.8710976839065552,0.6278680994015546,0.8710976839065552,0.6278680994015546,0.6351826100629914,0.6351826100629914,"{'1': 0.9423076923076923, '2': 0.8984375, '3': 0.9365079365079365, '4': 0.5903614457831325, '5': 0.12121212121212122, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6278680994015546,0.6351826100629914,
10,3e-05,0.19816087804226032,1.0,fixed,1.0,0.9063444137573242,0.6808219868675979,0.9063444137573242,0.6808219868675979,0.7019956337087476,0.7019956337087476,"{'1': 0.9230769230769231, '2': 0.875, '3': 0.9801587301587301, '4': 0.7469879518072289, '5': 0.30303030303030304, '6': 0.9375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6808219868675979,0.7019956337087476,
11,3e-05,0.1715594922925484,1.0,fixed,1.0,0.9113796353340149,0.6951385473868262,0.9113796353340149,0.6951385473868262,0.7097317976060513,0.7097317976060513,"{'1': 0.9375, '2': 0.90625, '3': 0.9682539682539683, '4': 0.7831325301204819, '5': 0.3333333333333333, '6': 0.9375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6951385473868262,0.7097317976060513,
12,3e-05,0.15480170427890771,1.0,fixed,1.0,0.9254783391952515,0.7845797352628248,0.9254783391952515,0.7845797352628248,0.8225636113229585,0.8225636113229585,"{'1': 0.9663461538461539, '2': 0.921875, '3': 0.9603174603174603, '4': 0.8192771084337349, '5': 0.42424242424242425, '6': 1.0, '7': 0.4}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7845797352628248,0.8225636113229585,
13,3e-05,0.12852358162668664,1.0,fixed,1.0,0.9446122646331787,0.850750567800912,0.9446122646331787,0.850750567800912,0.8849589018882672,0.8849589018882672,"{'1': 0.9567307692307693, '2': 0.90625, '3': 0.9841269841269841, '4': 0.8433734939759037, '5': 0.7272727272727273, '6': 0.9375, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.850750567800912,0.8849589018882672,
