epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,0.0001,0.4097933164502243,1.0,fixed,1.0,0.5347431898117065,0.32457818913014697,0.5347431898117065,0.32457818913014697,0.29212567783223914,0.29212567783223914,"{'1': 0.8894230769230769, '2': 0.4609375, '3': 0.5, '4': 0.42168674698795183, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.32457818913014697,0.29212567783223914,
2,0.0001,0.35912528762735996,1.0,fixed,1.0,0.7069486379623413,0.4612285484165863,0.7069486379623413,0.4612285484165863,0.4476150708730697,0.4476150708730697,"{'1': 0.7932692307692307, '2': 0.875, '3': 0.7738095238095238, '4': 0.1927710843373494, '5': 0.0, '6': 0.59375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4612285484165863,0.4476150708730697,
3,0.0001,0.26252481313310116,1.0,fixed,1.0,0.8459214568138123,0.5748454309125565,0.8459214568138123,0.5748454309125565,0.571918649246708,0.571918649246708,"{'1': 0.8557692307692307, '2': 0.875, '3': 0.9603174603174603, '4': 0.4578313253012048, '5': 0.0, '6': 0.875, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5748454309125565,0.571918649246708,
4,0.0001,0.20576959304010353,1.0,fixed,1.0,0.9103726148605347,0.7839922281294915,0.9103726148605347,0.7839922281294915,0.8251090837594237,0.8251090837594237,"{'1': 0.9230769230769231, '2': 0.90625, '3': 0.9623015873015873, '4': 0.7951807228915663, '5': 0.36363636363636365, '6': 0.9375, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7839922281294915,0.8251090837594237,
5,0.0001,0.13183514074839456,1.0,fixed,1.0,0.903323233127594,0.738549176129856,0.903323233127594,0.738549176129856,0.7031494856850592,0.7031494856850592,"{'1': 0.8846153846153846, '2': 0.921875, '3': 0.9325396825396826, '4': 0.9156626506024096, '5': 0.5151515151515151, '6': 1.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.738549176129856,0.7031494856850592,
6,0.0001,0.09011784879945174,1.0,fixed,1.0,0.9627391695976257,0.9338654180252718,0.9627391695976257,0.9338654180252718,0.9466498936043848,0.9466498936043848,"{'1': 0.9759615384615384, '2': 0.921875, '3': 0.9900793650793651, '4': 0.891566265060241, '5': 0.7575757575757576, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9338654180252718,0.9466498936043848,
7,0.0001,0.054288191428869946,1.0,fixed,1.0,0.9667673707008362,0.9490247602607758,0.9667673707008362,0.9490247602607758,0.9376632668293746,0.9376632668293746,"{'1': 0.9663461538461539, '2': 0.953125, '3': 0.9781746031746031, '4': 0.9879518072289156, '5': 0.7575757575757576, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9490247602607758,0.9376632668293746,
8,0.0001,0.040031378228326295,1.0,fixed,1.0,0.9869083762168884,0.9794361891097046,0.9869083762168884,0.9794361891097046,0.9719030098972823,0.9719030098972823,"{'1': 0.9903846153846154, '2': 0.9765625, '3': 0.9920634920634921, '4': 0.9879518072289156, '5': 0.9090909090909091, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9794361891097046,0.9719030098972823,
9,0.0001,0.02514793286066134,1.0,fixed,1.0,0.9919435977935791,0.9934193537625121,0.9919435977935791,0.9934193537625121,0.9765230828104812,0.9765230828104812,"{'1': 0.9855769230769231, '2': 0.984375, '3': 0.996031746031746, '4': 0.9879518072289156, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9934193537625121,0.9765230828104812,
10,0.0001,0.014531950004231154,1.0,fixed,1.0,0.9939576983451843,0.9952481301448598,0.9939576983451843,0.9952481301448598,0.9779230539494778,0.9779230539494778,"{'1': 0.9807692307692307, '2': 1.0, '3': 0.998015873015873, '4': 0.9879518072289156, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9952481301448598,0.9779230539494778,
