epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,0.0001,0.4071487947161418,0.4929697381501848,1.0,fixed,1.0,0.2789526581764221,0.25594693005407293,0.2789526581764221,0.25594693005407293,0.19230182572781712,0.19230182572781712,"{'1': 0.4855769230769231, '2': 0.96875, '3': 0.0873015873015873, '4': 0.0, '5': 0.0, '6': 0.25, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.25594693005407293,0.19230182572781712,,0.23999999463558197,0.21984126984126987,0.2380952388048172,0.21428571428571427,"[[4, 4, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 19, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",0.2380952388048172,0.21428571428571427,0.1277791975466394,0.1277791975466394,0.0,0,42,"{'1': 0.5, '2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.23999999463558197,0.21984126984126987,0.12785676940386184,0.12785676940386184,"{'1': 0.5277777777777778, '2': 1.0, '3': 0.011111111111111112, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.21984126984126987,0.12785676940386184,
2,0.0001,0.35195254655667096,0.4470726348121058,1.0,fixed,1.0,0.7985901236534119,0.49762129036817077,0.7985901236534119,0.49762129036817077,0.5208805976929026,0.5208805976929026,"{'1': 0.8653846153846154, '2': 0.5546875, '3': 0.9563492063492064, '4': 0.4819277108433735, '5': 0.0, '6': 0.625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.49762129036817077,0.5208805976929026,,0.6742857098579407,0.41753246753246753,0.8333333134651184,0.5285714285714286,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0]]",0.8333333134651184,0.5285714285714286,0.5492063492063493,0.5492063492063493,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6742857098579407,0.41753246753246753,0.42710178119407693,0.42710178119407693,"{'1': 0.8055555555555556, '2': 0.7727272727272727, '3': 0.7444444444444445, '4': 0.2, '5': 0.0, '6': 0.4, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.41753246753246753,0.42710178119407693,
3,0.0001,0.27842058453065566,0.3388168955306438,1.0,fixed,1.0,0.82578045129776,0.590025016996295,0.82578045129776,0.590025016996295,0.5697232674892898,0.5697232674892898,"{'1': 0.9759615384615384, '2': 0.8828125, '3': 0.8591269841269841, '4': 0.5060240963855421, '5': 0.0, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.590025016996295,0.5697232674892898,,0.6571428775787354,0.48095238095238096,0.6666666865348816,0.45,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 5, 13, 1, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0]]",0.6666666865348816,0.45,0.4089390142021721,0.4089390142021721,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.65, '4': 0.0, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6571428775787354,0.48095238095238096,0.4454993439093677,0.4454993439093677,"{'1': 1.0, '2': 1.0, '3': 0.5666666666666667, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.48095238095238096,0.4454993439093677,
4,0.0001,0.19171549360656803,0.31417634056627075,1.0,fixed,1.0,0.9123867154121399,0.7084312808414573,0.9123867154121399,0.7084312808414573,0.7188037537495318,0.7188037537495318,"{'1': 0.9519230769230769, '2': 0.9140625, '3': 0.9543650793650794, '4': 0.8072289156626506, '5': 0.3939393939393939, '6': 0.9375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7084312808414573,0.7188037537495318,,0.7542856931686401,0.5134920634920636,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.5068027210884354,0.5068027210884354,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7542856931686401,0.5134920634920636,0.4887753893360558,0.4887753893360558,"{'1': 0.9722222222222222, '2': 1.0, '3': 0.7555555555555555, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5134920634920636,0.4887753893360558,
5,0.0001,0.1383684110574342,0.412072794850577,1.0,fixed,1.0,0.9103726148605347,0.829809981028247,0.9103726148605347,0.829809981028247,0.8580344787227367,0.8580344787227367,"{'1': 0.8798076923076923, '2': 0.9140625, '3': 0.9841269841269841, '4': 0.6265060240963856, '5': 0.6666666666666666, '6': 0.9375, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.829809981028247,0.8580344787227367,,0.7485714554786682,0.5333333333333333,0.761904776096344,0.4642857142857143,"[[4, 1, 3, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0]]",0.761904776096344,0.4642857142857143,0.4891156462585034,0.4891156462585034,0.0,0,42,"{'1': 0.5, '2': 1.0, '3': 1.0, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7485714554786682,0.5333333333333333,0.5757095941825006,0.5757095941825006,"{'1': 0.5, '2': 1.0, '3': 0.9333333333333333, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5333333333333333,0.5757095941825006,
6,0.0001,0.0974856270734318,0.2844071334534833,1.0,fixed,1.0,0.965760350227356,0.9415530682742387,0.965760350227356,0.9415530682742387,0.9516434002586907,0.9516434002586907,"{'1': 0.9855769230769231, '2': 0.96875, '3': 0.9821428571428571, '4': 0.8674698795180723, '5': 0.8181818181818182, '6': 0.96875, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9415530682742387,0.9516434002586907,,0.7828571200370789,0.5865079365079364,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 2, 18, 0, 0, 0, 0], [0, 0, 2, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.5111498257839722,0.5111498257839722,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7828571200370789,0.5865079365079364,0.6091537570410809,0.6091537570410809,"{'1': 0.9166666666666666, '2': 1.0, '3': 0.8222222222222222, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5865079365079364,0.6091537570410809,
7,0.0001,0.06181234210270483,0.17738248072220647,1.0,fixed,1.0,0.9728096723556519,0.9536848574068885,0.9728096723556519,0.9536848574068885,0.9562822472540146,0.9562822472540146,"{'1': 0.9903846153846154, '2': 0.9375, '3': 0.9841269841269841, '4': 0.9759036144578314, '5': 0.7878787878787878, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9536848574068885,0.9562822472540146,,0.8742856979370117,0.7063492063492064,0.9523809552192688,0.85,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9523809552192688,0.85,0.8292034762622997,0.8292034762622997,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.95, '4': 1.0, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8742856979370117,0.7063492063492064,0.6947715613191383,0.6947715613191383,"{'1': 1.0, '2': 1.0, '3': 0.8444444444444444, '4': 1.0, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.7063492063492064,0.6947715613191383,
8,0.0001,0.04300375734902376,0.25288403092368256,1.0,fixed,1.0,0.982880175113678,0.9774038966030145,0.982880175113678,0.9774038966030145,0.9633646693664495,0.9633646693664495,"{'1': 0.9855769230769231, '2': 0.9609375, '3': 0.9920634920634921, '4': 0.963855421686747, '5': 0.9393939393939394, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9774038966030145,0.9633646693664495,,0.822857141494751,0.5872294372294372,0.8571428656578064,0.7023809523809524,"[[8, 0, 0, 0, 0, 0, 0], [0, 4, 2, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 2, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8571428656578064,0.7023809523809524,0.6984126984126985,0.6984126984126985,0.0,0,42,"{'1': 1.0, '2': 0.6666666666666666, '3': 1.0, '4': 0.25, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.822857141494751,0.5872294372294372,0.6024118738404453,0.6024118738404453,"{'1': 0.9166666666666666, '2': 0.7272727272727273, '3': 0.9666666666666667, '4': 0.2, '5': 0.0, '6': 0.8, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5872294372294372,0.6024118738404453,
9,0.0001,0.024423342431490084,0.18804591586244482,1.0,fixed,1.0,0.9899294972419739,0.9864007027706468,0.9899294972419739,0.9864007027706468,0.9752034674007166,0.9752034674007166,"{'1': 0.9951923076923077, '2': 0.9921875, '3': 0.9900793650793651, '4': 0.9879518072289156, '5': 0.9393939393939394, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9864007027706468,0.9752034674007166,,0.8285714387893677,0.6841269841269841,0.8809523582458496,0.7357142857142858,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 0, 3, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8809523582458496,0.7357142857142858,0.7374792022071988,0.7374792022071988,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.75, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8285714387893677,0.6841269841269841,0.7013748693950118,0.7013748693950118,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.8111111111111111, '4': 0.7333333333333333, '5': 0.2, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6841269841269841,0.7013748693950118,
10,0.0001,0.014325402939519621,0.2963043488884564,1.0,fixed,1.0,0.9939576983451843,0.9875603813856826,0.9939576983451843,0.9875603813856826,0.9771351618920303,0.9771351618920303,"{'1': 0.9855769230769231, '2': 1.0, '3': 1.0, '4': 0.9879518072289156, '5': 0.9393939393939394, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9875603813856826,0.9771351618920303,,0.8171428442001343,0.6101731601731603,0.8809523582458496,0.6964285714285714,"[[7, 1, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 1, 2, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8809523582458496,0.6964285714285714,0.7203252032520325,0.7203252032520325,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 1.0, '4': 0.5, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8171428442001343,0.6101731601731603,0.6399384334739482,0.6399384334739482,"{'1': 0.8611111111111112, '2': 0.9545454545454546, '3': 0.8888888888888888, '4': 0.4666666666666667, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6101731601731603,0.6399384334739482,
