epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,0.0001,0.4071487947161418,1.0,fixed,1.0,0.2789526581764221,0.25594693005407293,0.2789526581764221,0.25594693005407293,0.19230182572781712,0.19230182572781712,"{'1': 0.4855769230769231, '2': 0.96875, '3': 0.0873015873015873, '4': 0.0, '5': 0.0, '6': 0.25, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.25594693005407293,0.19230182572781712,
2,0.0001,0.35195254655667096,1.0,fixed,1.0,0.7985901236534119,0.49762129036817077,0.7985901236534119,0.49762129036817077,0.5208805976929026,0.5208805976929026,"{'1': 0.8653846153846154, '2': 0.5546875, '3': 0.9563492063492064, '4': 0.4819277108433735, '5': 0.0, '6': 0.625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.49762129036817077,0.5208805976929026,
3,0.0001,0.27842058453065566,1.0,fixed,1.0,0.82578045129776,0.590025016996295,0.82578045129776,0.590025016996295,0.5697232674892898,0.5697232674892898,"{'1': 0.9759615384615384, '2': 0.8828125, '3': 0.8591269841269841, '4': 0.5060240963855421, '5': 0.0, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.590025016996295,0.5697232674892898,
4,0.0001,0.19171549360656803,1.0,fixed,1.0,0.9123867154121399,0.7084312808414573,0.9123867154121399,0.7084312808414573,0.7188037537495318,0.7188037537495318,"{'1': 0.9519230769230769, '2': 0.9140625, '3': 0.9543650793650794, '4': 0.8072289156626506, '5': 0.3939393939393939, '6': 0.9375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7084312808414573,0.7188037537495318,
5,0.0001,0.1383684110574342,1.0,fixed,1.0,0.9103726148605347,0.829809981028247,0.9103726148605347,0.829809981028247,0.8580344787227367,0.8580344787227367,"{'1': 0.8798076923076923, '2': 0.9140625, '3': 0.9841269841269841, '4': 0.6265060240963856, '5': 0.6666666666666666, '6': 0.9375, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.829809981028247,0.8580344787227367,
6,0.0001,0.0974856270734318,1.0,fixed,1.0,0.965760350227356,0.9415530682742387,0.965760350227356,0.9415530682742387,0.9516434002586907,0.9516434002586907,"{'1': 0.9855769230769231, '2': 0.96875, '3': 0.9821428571428571, '4': 0.8674698795180723, '5': 0.8181818181818182, '6': 0.96875, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9415530682742387,0.9516434002586907,
7,0.0001,0.06181234210270483,1.0,fixed,1.0,0.9728096723556519,0.9536848574068885,0.9728096723556519,0.9536848574068885,0.9562822472540146,0.9562822472540146,"{'1': 0.9903846153846154, '2': 0.9375, '3': 0.9841269841269841, '4': 0.9759036144578314, '5': 0.7878787878787878, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9536848574068885,0.9562822472540146,
8,0.0001,0.04300375734902376,1.0,fixed,1.0,0.982880175113678,0.9774038966030145,0.982880175113678,0.9774038966030145,0.9633646693664495,0.9633646693664495,"{'1': 0.9855769230769231, '2': 0.9609375, '3': 0.9920634920634921, '4': 0.963855421686747, '5': 0.9393939393939394, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9774038966030145,0.9633646693664495,
9,0.0001,0.024423342431490084,1.0,fixed,1.0,0.9899294972419739,0.9864007027706468,0.9899294972419739,0.9864007027706468,0.9752034674007166,0.9752034674007166,"{'1': 0.9951923076923077, '2': 0.9921875, '3': 0.9900793650793651, '4': 0.9879518072289156, '5': 0.9393939393939394, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9864007027706468,0.9752034674007166,
10,0.0001,0.014325402939519621,1.0,fixed,1.0,0.9939576983451843,0.9875603813856826,0.9939576983451843,0.9875603813856826,0.9771351618920303,0.9771351618920303,"{'1': 0.9855769230769231, '2': 1.0, '3': 1.0, '4': 0.9879518072289156, '5': 0.9393939393939394, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9875603813856826,0.9771351618920303,
