epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,3e-05,0.4078652514631011,0.4849916630509225,1.0,fixed,1.0,0.2557905316352844,0.1898368263740467,0.2557905316352844,0.1898368263740467,0.10867244791144912,0.10867244791144912,"{'1': 0.04807692307692308, '2': 0.015625, '3': 0.3253968253968254, '4': 0.9397590361445783, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.1898368263740467,0.10867244791144912,,0.1542857140302658,0.1502886002886003,0.1428571492433548,0.1738095238095238,"[[0, 0, 0, 8, 0, 0, 0], [0, 1, 1, 4, 0, 0, 0], [0, 0, 1, 19, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",0.1428571492433548,0.1738095238095238,0.08038141260732622,0.08038141260732622,0.0,0,42,"{'1': 0.0, '2': 0.16666666666666666, '3': 0.05, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.1542857140302658,0.1502886002886003,0.08116548643748997,0.08116548643748997,"{'1': 0.027777777777777776, '2': 0.09090909090909091, '3': 0.13333333333333333, '4': 0.8, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.1502886002886003,0.08116548643748997,
2,3e-05,0.403978467376596,0.4762716811488975,1.0,fixed,1.0,0.43202418088912964,0.24515687685330542,0.43202418088912964,0.24515687685330542,0.19107199559434826,0.19107199559434826,"{'1': 0.34134615384615385, '2': 0.890625, '3': 0.48412698412698413, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.24515687685330542,0.19107199559434826,,0.36000001430511475,0.2555555555555556,0.3333333432674408,0.2642857142857143,"[[6, 2, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [4, 14, 2, 0, 0, 0, 0], [0, 3, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3333333432674408,0.2642857142857143,0.16946778711484592,0.16946778711484592,0.0,0,42,"{'1': 0.75, '2': 1.0, '3': 0.1, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.36000001430511475,0.2555555555555556,0.17955448011548988,0.17955448011548988,"{'1': 0.5555555555555556, '2': 1.0, '3': 0.23333333333333334, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2555555555555556,0.17955448011548988,
3,3e-05,0.374805263516654,0.4469121377915144,1.0,fixed,1.0,0.5901309251785278,0.3435257907611608,0.5901309251785278,0.3435257907611608,0.3123109413071631,0.3123109413071631,"{'1': 0.8894230769230769, '2': 0.75, '3': 0.5773809523809523, '4': 0.1566265060240964, '5': 0.0, '6': 0.03125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3435257907611608,0.3123109413071631,,0.4285714328289032,0.3182539682539683,0.4523809552192688,0.32142857142857145,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [12, 3, 5, 0, 0, 0, 0], [2, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4523809552192688,0.32142857142857145,0.23095238095238094,0.23095238095238094,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.25, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4285714328289032,0.3182539682539683,0.22295700684609068,0.22295700684609068,"{'1': 0.9722222222222222, '2': 1.0, '3': 0.18888888888888888, '4': 0.06666666666666667, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3182539682539683,0.22295700684609068,
4,3e-05,0.3623706020085687,0.4323466183109717,1.0,fixed,1.0,0.6485397815704346,0.4274319117127852,0.6485397815704346,0.4274319117127852,0.41772741276038305,0.41772741276038305,"{'1': 0.6826923076923077, '2': 0.8359375, '3': 0.7083333333333334, '4': 0.26506024096385544, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4274319117127852,0.41772741276038305,,0.48571428656578064,0.3261904761904762,0.523809552192688,0.3607142857142857,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [3, 8, 8, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.523809552192688,0.3607142857142857,0.3038791274085391,0.3038791274085391,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.4, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.48571428656578064,0.3261904761904762,0.27351237956324786,0.27351237956324786,"{'1': 0.6944444444444444, '2': 1.0, '3': 0.3888888888888889, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3261904761904762,0.27351237956324786,
5,3e-05,0.32310513074857644,0.423001546243375,1.0,fixed,1.0,0.730110764503479,0.4376015311901714,0.730110764503479,0.4376015311901714,0.44264451210874306,0.44264451210874306,"{'1': 0.6971153846153846, '2': 0.8125, '3': 0.8849206349206349, '4': 0.1686746987951807, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4376015311901714,0.44264451210874306,,0.6057142615318298,0.3396825396825397,0.6666666865348816,0.37142857142857144,"[[4, 0, 4, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 3, 17, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.6666666865348816,0.37142857142857144,0.36286727456940226,0.36286727456940226,0.0,0,42,"{'1': 0.5, '2': 1.0, '3': 0.85, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6057142615318298,0.3396825396825397,0.30574532279940464,0.30574532279940464,"{'1': 0.5555555555555556, '2': 1.0, '3': 0.6888888888888889, '4': 0.13333333333333333, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3396825396825397,0.30574532279940464,
6,3e-05,0.2995892783484784,0.3981562665324997,1.0,fixed,1.0,0.8026183247566223,0.5154721942453225,0.8026183247566223,0.5154721942453225,0.5324198193868347,0.5324198193868347,"{'1': 0.8413461538461539, '2': 0.7109375, '3': 0.9543650793650794, '4': 0.2891566265060241, '5': 0.0, '6': 0.8125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5154721942453225,0.5324198193868347,,0.6971428394317627,0.43874458874458877,0.8095238208770752,0.5107142857142858,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 0, 19, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0]]",0.8095238208770752,0.5107142857142858,0.5382505175983436,0.5382505175983436,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6971428394317627,0.43874458874458877,0.4372488542701309,0.4372488542701309,"{'1': 0.75, '2': 0.9545454545454546, '3': 0.7666666666666667, '4': 0.2, '5': 0.0, '6': 0.4, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.43874458874458877,0.4372488542701309,
7,3e-05,0.2733967383523064,0.37036977356977085,1.0,fixed,1.0,0.8237663507461548,0.5917406603723299,0.8237663507461548,0.5917406603723299,0.5685216273022368,0.5685216273022368,"{'1': 0.8846153846153846, '2': 0.84375, '3': 0.8869047619047619, '4': 0.5903614457831325, '5': 0.030303030303030304, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5917406603723299,0.5685216273022368,,0.6800000071525574,0.4880952380952381,0.738095223903656,0.5535714285714286,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [2, 3, 15, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1, 0]]",0.738095223903656,0.5535714285714286,0.5105042016806723,0.5105042016806723,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.75, '4': 0.25, '5': 0.0, '6': 1.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6800000071525574,0.4880952380952381,0.4379396202925615,0.4379396202925615,"{'1': 0.9166666666666666, '2': 1.0, '3': 0.6333333333333333, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4880952380952381,0.4379396202925615,
8,3e-05,0.2474632087578795,0.3724141223356128,1.0,fixed,1.0,0.8650553822517395,0.6082141676214395,0.8650553822517395,0.6082141676214395,0.6127196270844447,0.6127196270844447,"{'1': 0.9086538461538461, '2': 0.859375, '3': 0.9563492063492064, '4': 0.5662650602409639, '5': 0.06060606060606061, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6082141676214395,0.6127196270844447,,0.7200000286102295,0.4865079365079365,0.8095238208770752,0.5107142857142858,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 0, 19, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0]]",0.8095238208770752,0.5107142857142858,0.5335200746965453,0.5335200746965453,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7200000286102295,0.4865079365079365,0.4593535493293363,0.4593535493293363,"{'1': 0.8611111111111112, '2': 1.0, '3': 0.7444444444444445, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4865079365079365,0.4593535493293363,
9,3e-05,0.2199398571640313,0.364207272449593,1.0,fixed,1.0,0.8982880115509033,0.6578538581685097,0.8982880115509033,0.6578538581685097,0.6664990898323607,0.6664990898323607,"{'1': 0.9230769230769231, '2': 0.8828125, '3': 0.9702380952380952, '4': 0.7710843373493976, '5': 0.15151515151515152, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6578538581685097,0.6664990898323607,,0.7599999904632568,0.5,0.8095238208770752,0.5107142857142858,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 0, 19, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5107142857142858,0.5088161838161838,0.5088161838161838,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7599999904632568,0.5,0.4772089023590776,0.4772089023590776,"{'1': 0.8888888888888888, '2': 1.0, '3': 0.8111111111111111, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5,0.4772089023590776,
10,3e-05,0.18835062086002444,0.31879668157886376,1.0,fixed,1.0,0.8912386894226074,0.6858270488595359,0.8912386894226074,0.6858270488595359,0.6659694932658022,0.6659694932658022,"{'1': 0.9230769230769231, '2': 0.890625, '3': 0.9325396825396826, '4': 0.8433734939759037, '5': 0.24242424242424243, '6': 0.96875, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6858270488595359,0.6659694932658022,,0.7542856931686401,0.5428571428571428,0.7857142686843872,0.5321428571428571,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 1, 17, 0, 0, 1, 0], [0, 0, 1, 2, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.7857142686843872,0.5321428571428571,0.511734693877551,0.511734693877551,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.85, '4': 0.5, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7542856931686401,0.5428571428571428,0.4931204065510869,0.4931204065510869,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.7222222222222222, '4': 0.5333333333333333, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5428571428571428,0.4931204065510869,
