epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,3e-05,0.4078652514631011,1.0,fixed,1.0,0.2557905316352844,0.1898368263740467,0.2557905316352844,0.1898368263740467,0.10867244791144912,0.10867244791144912,"{'1': 0.04807692307692308, '2': 0.015625, '3': 0.3253968253968254, '4': 0.9397590361445783, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.1898368263740467,0.10867244791144912,
2,3e-05,0.403978467376596,1.0,fixed,1.0,0.43202418088912964,0.24515687685330542,0.43202418088912964,0.24515687685330542,0.19107199559434826,0.19107199559434826,"{'1': 0.34134615384615385, '2': 0.890625, '3': 0.48412698412698413, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.24515687685330542,0.19107199559434826,
3,3e-05,0.374805263516654,1.0,fixed,1.0,0.5901309251785278,0.3435257907611608,0.5901309251785278,0.3435257907611608,0.3123109413071631,0.3123109413071631,"{'1': 0.8894230769230769, '2': 0.75, '3': 0.5773809523809523, '4': 0.1566265060240964, '5': 0.0, '6': 0.03125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3435257907611608,0.3123109413071631,
4,3e-05,0.3623706020085687,1.0,fixed,1.0,0.6485397815704346,0.4274319117127852,0.6485397815704346,0.4274319117127852,0.41772741276038305,0.41772741276038305,"{'1': 0.6826923076923077, '2': 0.8359375, '3': 0.7083333333333334, '4': 0.26506024096385544, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4274319117127852,0.41772741276038305,
5,3e-05,0.32310513074857644,1.0,fixed,1.0,0.730110764503479,0.4376015311901714,0.730110764503479,0.4376015311901714,0.44264451210874306,0.44264451210874306,"{'1': 0.6971153846153846, '2': 0.8125, '3': 0.8849206349206349, '4': 0.1686746987951807, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4376015311901714,0.44264451210874306,
6,3e-05,0.2995892783484784,1.0,fixed,1.0,0.8026183247566223,0.5154721942453225,0.8026183247566223,0.5154721942453225,0.5324198193868347,0.5324198193868347,"{'1': 0.8413461538461539, '2': 0.7109375, '3': 0.9543650793650794, '4': 0.2891566265060241, '5': 0.0, '6': 0.8125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5154721942453225,0.5324198193868347,
7,3e-05,0.2733967383523064,1.0,fixed,1.0,0.8237663507461548,0.5917406603723299,0.8237663507461548,0.5917406603723299,0.5685216273022368,0.5685216273022368,"{'1': 0.8846153846153846, '2': 0.84375, '3': 0.8869047619047619, '4': 0.5903614457831325, '5': 0.030303030303030304, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5917406603723299,0.5685216273022368,
8,3e-05,0.2474632087578795,1.0,fixed,1.0,0.8650553822517395,0.6082141676214395,0.8650553822517395,0.6082141676214395,0.6127196270844447,0.6127196270844447,"{'1': 0.9086538461538461, '2': 0.859375, '3': 0.9563492063492064, '4': 0.5662650602409639, '5': 0.06060606060606061, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6082141676214395,0.6127196270844447,
9,3e-05,0.2199398571640313,1.0,fixed,1.0,0.8982880115509033,0.6578538581685097,0.8982880115509033,0.6578538581685097,0.6664990898323607,0.6664990898323607,"{'1': 0.9230769230769231, '2': 0.8828125, '3': 0.9702380952380952, '4': 0.7710843373493976, '5': 0.15151515151515152, '6': 0.90625, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6578538581685097,0.6664990898323607,
10,3e-05,0.18835062086002444,1.0,fixed,1.0,0.8912386894226074,0.6858270488595359,0.8912386894226074,0.6858270488595359,0.6659694932658022,0.6659694932658022,"{'1': 0.9230769230769231, '2': 0.890625, '3': 0.9325396825396826, '4': 0.8433734939759037, '5': 0.24242424242424243, '6': 0.96875, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6858270488595359,0.6659694932658022,
