epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,3e-05,0.40561054048528633,1.0,fixed,1.0,0.5538771152496338,0.2562954591784196,0.5538771152496338,0.2562954591784196,0.2519621712044618,0.2519621712044618,"{'1': 0.5192307692307693, '2': 0.25, '3': 0.7718253968253969, '4': 0.25301204819277107, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2562954591784196,0.2519621712044618,
2,3e-05,0.3887556808660308,1.0,fixed,1.0,0.5961732268333435,0.2956445582171701,0.5961732268333435,0.2956445582171701,0.26573090680189143,0.26573090680189143,"{'1': 0.7451923076923077, '2': 0.5859375, '3': 0.7142857142857143, '4': 0.024096385542168676, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2956445582171701,0.26573090680189143,
3,3e-05,0.3672540537025555,1.0,fixed,1.0,0.6656596064567566,0.366916044667228,0.6656596064567566,0.366916044667228,0.3632359822927472,0.3632359822927472,"{'1': 0.875, '2': 0.6171875, '3': 0.7718253968253969, '4': 0.024096385542168676, '5': 0.030303030303030304, '6': 0.25, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.366916044667228,0.3632359822927472,
4,3e-05,0.33500818815456335,1.0,fixed,1.0,0.7442094683647156,0.4502098813765122,0.7442094683647156,0.4502098813765122,0.4700950157724167,0.4700950157724167,"{'1': 0.8509615384615384, '2': 0.6328125, '3': 0.8928571428571429, '4': 0.12048192771084337, '5': 0.06060606060606061, '6': 0.59375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4502098813765122,0.4700950157724167,
5,3e-05,0.3023553456826861,1.0,fixed,1.0,0.7814702987670898,0.5494827282585458,0.7814702987670898,0.5494827282585458,0.5698293636879288,0.5698293636879288,"{'1': 0.8461538461538461, '2': 0.78125, '3': 0.8928571428571429, '4': 0.25301204819277107, '5': 0.06060606060606061, '6': 0.8125, '7': 0.2}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5494827282585458,0.5698293636879288,
6,3e-05,0.27288570876670887,1.0,fixed,1.0,0.8237663507461548,0.6222688151636087,0.8237663507461548,0.6222688151636087,0.6303347334602798,0.6303347334602798,"{'1': 0.9134615384615384, '2': 0.796875, '3': 0.8928571428571429, '4': 0.4939759036144578, '5': 0.12121212121212122, '6': 0.9375, '7': 0.2}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6222688151636087,0.6303347334602798,
7,3e-05,0.23681548367213293,1.0,fixed,1.0,0.8529707789421082,0.6916831056326538,0.8529707789421082,0.6916831056326538,0.7124725708307419,0.7124725708307419,"{'1': 0.8846153846153846, '2': 0.8359375, '3': 0.9444444444444444, '4': 0.5180722891566265, '5': 0.12121212121212122, '6': 0.9375, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6916831056326538,0.7124725708307419,
8,3e-05,0.21562155263954735,1.0,fixed,1.0,0.8630412817001343,0.6923795564017164,0.8630412817001343,0.6923795564017164,0.733618330451346,0.733618330451346,"{'1': 0.8846153846153846, '2': 0.828125, '3': 0.9642857142857143, '4': 0.5421686746987951, '5': 0.12121212121212122, '6': 0.90625, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6923795564017164,0.733618330451346,
9,3e-05,0.19937163093183413,1.0,fixed,1.0,0.8771399855613708,0.7101373681300531,0.8771399855613708,0.7101373681300531,0.7426541023796925,0.7426541023796925,"{'1': 0.9278846153846154, '2': 0.84375, '3': 0.9623015873015873, '4': 0.5783132530120482, '5': 0.12121212121212122, '6': 0.9375, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7101373681300531,0.7426541023796925,
10,3e-05,0.178112607729812,1.0,fixed,1.0,0.8962739109992981,0.7504350115365606,0.8962739109992981,0.7504350115365606,0.7726659437564418,0.7726659437564418,"{'1': 0.9375, '2': 0.84375, '3': 0.9563492063492064, '4': 0.7951807228915663, '5': 0.15151515151515152, '6': 0.96875, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7504350115365606,0.7726659437564418,
