epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,0.0001,0.39739422296663846,0.42770679853856564,1.0,fixed,1.0,0.5961732268333435,0.41874263800361045,0.5961732268333435,0.41874263800361045,0.3643155995371384,0.3643155995371384,"{'1': 0.8028846153846154, '2': 0.671875, '3': 0.6051587301587301, '4': 0.13253012048192772, '5': 0.0, '6': 0.71875, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.41874263800361045,0.3643155995371384,,0.4571428596973419,0.3759018759018759,0.4761904776096344,0.39285714285714285,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [2, 10, 5, 2, 0, 1, 0], [1, 0, 3, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4761904776096344,0.39285714285714285,0.31573435053910437,0.31573435053910437,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.25, '4': 0.0, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4571428596973419,0.3759018759018759,0.3041670128899105,0.3041670128899105,"{'1': 0.9444444444444444, '2': 0.9090909090909091, '3': 0.24444444444444444, '4': 0.13333333333333333, '5': 0.0, '6': 0.4, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3759018759018759,0.3041670128899105,
2,0.0001,0.32023289457083226,0.3908398864282803,1.0,fixed,1.0,0.7724068760871887,0.507484450551361,0.7724068760871887,0.507484450551361,0.5009502268498383,0.5009502268498383,"{'1': 0.7548076923076923, '2': 0.828125, '3': 0.9146825396825397, '4': 0.18072289156626506, '5': 0.030303030303030304, '6': 0.84375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.507484450551361,0.5009502268498383,,0.645714282989502,0.45396825396825397,0.738095223903656,0.48928571428571427,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 4, 16, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.738095223903656,0.48928571428571427,0.47789115646258506,0.47789115646258506,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.8, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.645714282989502,0.45396825396825397,0.4342940685045948,0.4342940685045948,"{'1': 0.7222222222222222, '2': 1.0, '3': 0.6555555555555556, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.45396825396825397,0.4342940685045948,
3,0.0001,0.24958818077472558,0.33336267952637916,1.0,fixed,1.0,0.8459214568138123,0.6696511985695505,0.8459214568138123,0.6696511985695505,0.7031124822421698,0.7031124822421698,"{'1': 0.9326923076923077, '2': 0.8515625, '3': 0.9384920634920635, '4': 0.3373493975903614, '5': 0.12121212121212122, '6': 0.90625, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6696511985695505,0.7031124822421698,,0.7542856931686401,0.5753968253968254,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 1, 18, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.51449467085582,0.51449467085582,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7542856931686401,0.5753968253968254,0.5919325199510957,0.5919325199510957,"{'1': 0.9722222222222222, '2': 1.0, '3': 0.7555555555555555, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5753968253968254,0.5919325199510957,
4,0.0001,0.18598769343622687,0.2962804865938696,1.0,fixed,1.0,0.8992950916290283,0.816422972108213,0.8992950916290283,0.816422972108213,0.8239899934517475,0.8239899934517475,"{'1': 0.9423076923076923, '2': 0.921875, '3': 0.9583333333333334, '4': 0.5903614457831325, '5': 0.3333333333333333, '6': 0.96875, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.816422972108213,0.8239899934517475,,0.7942857146263123,0.5888888888888888,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 1, 18, 0, 0, 0, 0], [0, 0, 2, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.49662401545984247,0.49662401545984247,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7942857146263123,0.5888888888888888,0.5774318914168538,0.5774318914168538,"{'1': 1.0, '2': 1.0, '3': 0.8222222222222222, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5888888888888888,0.5774318914168538,
5,0.0001,0.13499858102599444,0.3270853767277334,1.0,fixed,1.0,0.939577043056488,0.8673904773033431,0.939577043056488,0.8673904773033431,0.899047827576039,0.899047827576039,"{'1': 0.9663461538461539, '2': 0.921875, '3': 0.9900793650793651, '4': 0.7710843373493976, '5': 0.48484848484848486, '6': 0.9375, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.8673904773033431,0.899047827576039,,0.8342857360839844,0.5952380952380952,0.8571428656578064,0.5357142857142857,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0]]",0.8571428656578064,0.5357142857142857,0.5540903540903541,0.5540903540903541,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 1.0, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8342857360839844,0.5952380952380952,0.6274055836354439,0.6274055836354439,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.9222222222222223, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5952380952380952,0.6274055836354439,
6,0.0001,0.10083092979214389,0.239904735224131,1.0,fixed,1.0,0.9566968679428101,0.9219210371049872,0.9566968679428101,0.9219210371049872,0.9222235895121694,0.9222235895121694,"{'1': 0.9471153846153846, '2': 0.921875, '3': 0.9900793650793651, '4': 0.927710843373494, '5': 0.6666666666666666, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9219210371049872,0.9222235895121694,,0.8571428656578064,0.65,0.9047619104385376,0.75,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [1, 0, 2, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9047619104385376,0.75,0.7530584326753959,0.7530584326753959,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 1.0, '4': 0.25, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8571428656578064,0.65,0.6772643049602476,0.6772643049602476,"{'1': 0.9166666666666666, '2': 1.0, '3': 0.9333333333333333, '4': 0.4, '5': 0.0, '6': 0.8, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.65,0.6772643049602476,
7,0.0001,0.07269139124111396,0.3216353560856078,1.0,fixed,1.0,0.9627391695976257,0.9268344532571081,0.9627391695976257,0.9268344532571081,0.9343234210012988,0.9343234210012988,"{'1': 0.9759615384615384, '2': 0.9453125, '3': 0.9900793650793651, '4': 0.8795180722891566, '5': 0.696969696969697, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9268344532571081,0.9343234210012988,,0.8342857360839844,0.6007936507936508,0.8571428656578064,0.6607142857142857,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [1, 0, 2, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8571428656578064,0.6607142857142857,0.681976356976357,0.681976356976357,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 1.0, '4': 0.25, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8342857360839844,0.6007936507936508,0.6362693013713422,0.6362693013713422,"{'1': 0.9166666666666666, '2': 1.0, '3': 0.9222222222222223, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6007936507936508,0.6362693013713422,
8,0.0001,0.04079967751913427,0.18907000770294954,1.0,fixed,1.0,0.981873095035553,0.9640153007730461,0.981873095035553,0.9640153007730461,0.9613960332680574,0.9613960332680574,"{'1': 0.9951923076923077, '2': 0.96875, '3': 0.9900793650793651, '4': 0.9759036144578314, '5': 0.8181818181818182, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9640153007730461,0.9613960332680574,,0.8628571629524231,0.6971861471861472,0.9285714030265808,0.8142857142857143,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 0, 19, 0, 0, 0, 0], [1, 0, 0, 3, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9285714030265808,0.8142857142857143,0.8105152992371037,0.8105152992371037,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.95, '4': 0.75, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8628571629524231,0.6971861471861472,0.7179162417655235,0.7179162417655235,"{'1': 0.9722222222222222, '2': 0.8636363636363636, '3': 0.8777777777777778, '4': 0.8666666666666667, '5': 0.0, '6': 0.8, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6971861471861472,0.7179162417655235,
9,0.0001,0.03180885834170105,0.32792570736505283,1.0,fixed,1.0,0.9869083762168884,0.9796896066259233,0.9869083762168884,0.9796896066259233,0.9713659427121973,0.9713659427121973,"{'1': 0.9807692307692307, '2': 1.0, '3': 0.9920634920634921, '4': 0.9759036144578314, '5': 0.9090909090909091, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9796896066259233,0.9713659427121973,,0.8285714387893677,0.6587301587301587,0.9047619104385376,0.75,"[[6, 1, 0, 1, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9047619104385376,0.75,0.7401360544217688,0.7401360544217688,0.0,0,42,"{'1': 0.75, '2': 1.0, '3': 1.0, '4': 1.0, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8285714387893677,0.6587301587301587,0.660173986918173,0.660173986918173,"{'1': 0.7777777777777778, '2': 1.0, '3': 0.8666666666666667, '4': 0.8666666666666667, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6587301587301587,0.660173986918173,
10,0.0001,0.01764774473724035,0.26617126657550794,1.0,fixed,1.0,0.9939576983451843,0.995651496619655,0.9939576983451843,0.995651496619655,0.9797987427964548,0.9797987427964548,"{'1': 0.9855769230769231, '2': 1.0, '3': 0.996031746031746, '4': 0.9879518072289156, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.995651496619655,0.9797987427964548,,0.868571400642395,0.6801587301587302,0.976190447807312,0.9821428571428571,"[[7, 1, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.976190447807312,0.9821428571428571,0.9794871794871794,0.9794871794871794,0.875,0,42,"{'1': 0.875, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.868571400642395,0.6801587301587302,0.7154621235094965,0.7154621235094965,"{'1': 0.8611111111111112, '2': 1.0, '3': 0.9333333333333333, '4': 0.6666666666666666, '5': 0.2, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6801587301587302,0.7154621235094965,
