epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,3e-05,0.40161654284321163,0.4658463519405235,1.0,fixed,1.0,0.5085599422454834,0.22821341619749536,0.5085599422454834,0.22821341619749536,0.20185644576036282,0.20185644576036282,"{'1': 0.19230769230769232, '2': 0.09375, '3': 0.8174603174603174, '4': 0.4939759036144578, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.22821341619749536,0.20185644576036282,,0.34285715222358704,0.1660894660894661,0.380952388048172,0.20357142857142857,"[[1, 0, 2, 5, 0, 0, 0], [0, 3, 1, 2, 0, 0, 0], [0, 0, 11, 9, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.380952388048172,0.20357142857142857,0.21724462142580608,0.21724462142580608,0.0,0,42,"{'1': 0.125, '2': 0.5, '3': 0.55, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.34285715222358704,0.1660894660894661,0.1658703888059289,0.1658703888059289,"{'1': 0.05555555555555555, '2': 0.3181818181818182, '3': 0.5222222222222223, '4': 0.26666666666666666, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.1660894660894661,0.1658703888059289,
2,3e-05,0.38629281724313175,0.4540028903972019,1.0,fixed,1.0,0.616314172744751,0.3297904957086325,0.616314172744751,0.3297904957086325,0.3370676664614033,0.3370676664614033,"{'1': 0.4951923076923077, '2': 0.6171875, '3': 0.8234126984126984, '4': 0.060240963855421686, '5': 0.0, '6': 0.3125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3297904957086325,0.3370676664614033,,0.46857142448425293,0.3071428571428571,0.4761904776096344,0.325,"[[5, 2, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 10, 8, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4761904776096344,0.325,0.28458049886621317,0.28458049886621317,0.0,0,42,"{'1': 0.625, '2': 1.0, '3': 0.4, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.46857142448425293,0.3071428571428571,0.25915093151795304,0.25915093151795304,"{'1': 0.5277777777777778, '2': 1.0, '3': 0.4222222222222222, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3071428571428571,0.25915093151795304,
3,3e-05,0.36212237514405843,0.42927677472206677,1.0,fixed,1.0,0.7210473418235779,0.4286839108133213,0.7210473418235779,0.4286839108133213,0.44133023803749,0.44133023803749,"{'1': 0.8125, '2': 0.6484375, '3': 0.8591269841269841, '4': 0.18072289156626506, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4286839108133213,0.44133023803749,,0.5828571319580078,0.3919191919191919,0.6428571343421936,0.40714285714285714,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [2, 4, 12, 2, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.6428571343421936,0.40714285714285714,0.36285539856968424,0.36285539856968424,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.6, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.5828571319580078,0.3919191919191919,0.35156641501473296,0.35156641501473296,"{'1': 0.8888888888888888, '2': 0.9545454545454546, '3': 0.5, '4': 0.2, '5': 0.0, '6': 0.2, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3919191919191919,0.35156641501473296,
4,3e-05,0.3281358071419609,0.39001217924735765,1.0,fixed,1.0,0.765357494354248,0.4899277250288438,0.765357494354248,0.4899277250288438,0.4881643452857145,0.4881643452857145,"{'1': 0.8894230769230769, '2': 0.625, '3': 0.8928571428571429, '4': 0.24096385542168675, '5': 0.0, '6': 0.78125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4899277250288438,0.4881643452857145,,0.645714282989502,0.4436507936507937,0.738095223903656,0.5,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [2, 2, 15, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.738095223903656,0.5,0.47562358276643996,0.47562358276643996,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.75, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.645714282989502,0.4436507936507937,0.41077356765349754,0.41077356765349754,"{'1': 0.9166666666666666, '2': 1.0, '3': 0.5888888888888889, '4': 0.2, '5': 0.0, '6': 0.4, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4436507936507937,0.41077356765349754,
5,3e-05,0.2935700231272892,0.37083594695749605,1.0,fixed,1.0,0.7945619225502014,0.5294521617940292,0.7945619225502014,0.5294521617940292,0.5340941153045374,0.5340941153045374,"{'1': 0.8557692307692307, '2': 0.734375, '3': 0.9166666666666666, '4': 0.3253012048192771, '5': 0.030303030303030304, '6': 0.84375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5294521617940292,0.5340941153045374,,0.6800000071525574,0.4777777777777778,0.761904776096344,0.5071428571428571,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [2, 2, 16, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.761904776096344,0.5071428571428571,0.4895027929871136,0.4895027929871136,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.8, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6800000071525574,0.4777777777777778,0.44828727833252724,0.44828727833252724,"{'1': 0.8888888888888888, '2': 1.0, '3': 0.6555555555555556, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4777777777777778,0.44828727833252724,
6,3e-05,0.26732092684351777,0.33857314263216476,1.0,fixed,1.0,0.8197381496429443,0.630736984496666,0.8197381496429443,0.630736984496666,0.6280492930266609,0.6280492930266609,"{'1': 0.8798076923076923, '2': 0.828125, '3': 0.9007936507936508, '4': 0.46987951807228917, '5': 0.030303030303030304, '6': 0.90625, '7': 0.4}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.630736984496666,0.6280492930266609,,0.7085714340209961,0.5007936507936508,0.8095238208770752,0.5857142857142856,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 2, 17, 0, 0, 0, 0], [0, 0, 2, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5857142857142856,0.5307122849139656,0.5307122849139656,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.85, '4': 0.25, '5': 0.0, '6': 1.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7085714340209961,0.5007936507936508,0.45393945722893086,0.45393945722893086,"{'1': 0.9722222222222222, '2': 1.0, '3': 0.6666666666666666, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5007936507936508,0.45393945722893086,
7,3e-05,0.25097261755970346,0.3237262223423882,1.0,fixed,1.0,0.8459214568138123,0.6781238960886121,0.8459214568138123,0.6781238960886121,0.7005949734796452,0.7005949734796452,"{'1': 0.8798076923076923, '2': 0.84375, '3': 0.9325396825396826, '4': 0.5542168674698795, '5': 0.030303030303030304, '6': 0.90625, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6781238960886121,0.7005949734796452,,0.7428571581840515,0.5722222222222222,0.8333333134651184,0.6642857142857144,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 2, 18, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8333333134651184,0.6642857142857144,0.6748299319727892,0.6748299319727892,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7428571581840515,0.5722222222222222,0.5695665794922088,0.5695665794922088,"{'1': 0.9722222222222222, '2': 1.0, '3': 0.7333333333333333, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5722222222222222,0.5695665794922088,
8,3e-05,0.21148728691864324,0.3058211939748038,1.0,fixed,1.0,0.862034261226654,0.7077786396525639,0.862034261226654,0.7077786396525639,0.7348811228514315,0.7348811228514315,"{'1': 0.8990384615384616, '2': 0.84375, '3': 0.9384920634920635, '4': 0.6144578313253012, '5': 0.12121212121212122, '6': 0.9375, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7077786396525639,0.7348811228514315,,0.7714285850524902,0.588095238095238,0.8333333134651184,0.5928571428571429,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 1, 18, 0, 0, 0, 0], [0, 0, 2, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8333333134651184,0.5928571428571429,0.5441384058313756,0.5441384058313756,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 1.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7714285850524902,0.588095238095238,0.5780497918428953,0.5780497918428953,"{'1': 0.9722222222222222, '2': 1.0, '3': 0.7777777777777778, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.588095238095238,0.5780497918428953,
9,3e-05,0.19817088902684818,0.291790375020355,1.0,fixed,1.0,0.8721047043800354,0.7664750502772232,0.8721047043800354,0.7664750502772232,0.783420778643946,0.783420778643946,"{'1': 0.9134615384615384, '2': 0.8828125, '3': 0.9206349206349206, '4': 0.6987951807228916, '5': 0.21212121212121213, '6': 0.9375, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7664750502772232,0.783420778643946,,0.7542856931686401,0.5857142857142856,0.8095238208770752,0.6571428571428571,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 2, 17, 0, 0, 0, 0], [0, 0, 2, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8095238208770752,0.6571428571428571,0.6415966386554622,0.6415966386554622,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.85, '4': 0.25, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7542856931686401,0.5857142857142856,0.5743689581095596,0.5743689581095596,"{'1': 1.0, '2': 1.0, '3': 0.7333333333333333, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5857142857142856,0.5743689581095596,
10,3e-05,0.1801687176021407,0.30236164842393587,1.0,fixed,1.0,0.8932527899742126,0.8166696461527572,0.8932527899742126,0.8166696461527572,0.8316643659081641,0.8316643659081641,"{'1': 0.9086538461538461, '2': 0.8671875, '3': 0.9523809523809523, '4': 0.7469879518072289, '5': 0.2727272727272727, '6': 0.96875, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.8166696461527572,0.8316643659081641,,0.7714285850524902,0.5785714285714285,0.8333333134651184,0.6535714285714286,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 19, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8333333134651184,0.6535714285714286,0.6743970315398887,0.6743970315398887,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7714285850524902,0.5785714285714285,0.5901032908959885,0.5901032908959885,"{'1': 0.8611111111111112, '2': 1.0, '3': 0.8222222222222222, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5785714285714285,0.5901032908959885,
