epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,3e-05,0.40161654284321163,1.0,fixed,1.0,0.5085599422454834,0.22821341619749536,0.5085599422454834,0.22821341619749536,0.20185644576036282,0.20185644576036282,"{'1': 0.19230769230769232, '2': 0.09375, '3': 0.8174603174603174, '4': 0.4939759036144578, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.22821341619749536,0.20185644576036282,
2,3e-05,0.38629281724313175,1.0,fixed,1.0,0.616314172744751,0.3297904957086325,0.616314172744751,0.3297904957086325,0.3370676664614033,0.3370676664614033,"{'1': 0.4951923076923077, '2': 0.6171875, '3': 0.8234126984126984, '4': 0.060240963855421686, '5': 0.0, '6': 0.3125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3297904957086325,0.3370676664614033,
3,3e-05,0.36212237514405843,1.0,fixed,1.0,0.7210473418235779,0.4286839108133213,0.7210473418235779,0.4286839108133213,0.44133023803749,0.44133023803749,"{'1': 0.8125, '2': 0.6484375, '3': 0.8591269841269841, '4': 0.18072289156626506, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4286839108133213,0.44133023803749,
4,3e-05,0.3281358071419609,1.0,fixed,1.0,0.765357494354248,0.4899277250288438,0.765357494354248,0.4899277250288438,0.4881643452857145,0.4881643452857145,"{'1': 0.8894230769230769, '2': 0.625, '3': 0.8928571428571429, '4': 0.24096385542168675, '5': 0.0, '6': 0.78125, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4899277250288438,0.4881643452857145,
5,3e-05,0.2935700231272892,1.0,fixed,1.0,0.7945619225502014,0.5294521617940292,0.7945619225502014,0.5294521617940292,0.5340941153045374,0.5340941153045374,"{'1': 0.8557692307692307, '2': 0.734375, '3': 0.9166666666666666, '4': 0.3253012048192771, '5': 0.030303030303030304, '6': 0.84375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5294521617940292,0.5340941153045374,
6,3e-05,0.26732092684351777,1.0,fixed,1.0,0.8197381496429443,0.630736984496666,0.8197381496429443,0.630736984496666,0.6280492930266609,0.6280492930266609,"{'1': 0.8798076923076923, '2': 0.828125, '3': 0.9007936507936508, '4': 0.46987951807228917, '5': 0.030303030303030304, '6': 0.90625, '7': 0.4}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.630736984496666,0.6280492930266609,
7,3e-05,0.25097261755970346,1.0,fixed,1.0,0.8459214568138123,0.6781238960886121,0.8459214568138123,0.6781238960886121,0.7005949734796452,0.7005949734796452,"{'1': 0.8798076923076923, '2': 0.84375, '3': 0.9325396825396826, '4': 0.5542168674698795, '5': 0.030303030303030304, '6': 0.90625, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6781238960886121,0.7005949734796452,
8,3e-05,0.21148728691864324,1.0,fixed,1.0,0.862034261226654,0.7077786396525639,0.862034261226654,0.7077786396525639,0.7348811228514315,0.7348811228514315,"{'1': 0.8990384615384616, '2': 0.84375, '3': 0.9384920634920635, '4': 0.6144578313253012, '5': 0.12121212121212122, '6': 0.9375, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7077786396525639,0.7348811228514315,
9,3e-05,0.19817088902684818,1.0,fixed,1.0,0.8721047043800354,0.7664750502772232,0.8721047043800354,0.7664750502772232,0.783420778643946,0.783420778643946,"{'1': 0.9134615384615384, '2': 0.8828125, '3': 0.9206349206349206, '4': 0.6987951807228916, '5': 0.21212121212121213, '6': 0.9375, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7664750502772232,0.783420778643946,
10,3e-05,0.1801687176021407,1.0,fixed,1.0,0.8932527899742126,0.8166696461527572,0.8932527899742126,0.8166696461527572,0.8316643659081641,0.8316643659081641,"{'1': 0.9086538461538461, '2': 0.8671875, '3': 0.9523809523809523, '4': 0.7469879518072289, '5': 0.2727272727272727, '6': 0.96875, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.8166696461527572,0.8316643659081641,
