epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,0.0001,0.40074373904361305,1.0,fixed,1.0,0.6727089881896973,0.4109453772346415,0.6727089881896973,0.4109453772346415,0.42663645066014294,0.42663645066014294,"{'1': 0.6682692307692307, '2': 0.6953125, '3': 0.8214285714285714, '4': 0.07228915662650602, '5': 0.18181818181818182, '6': 0.4375, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4109453772346415,0.42663645066014294,
2,0.0001,0.3163265896340211,1.0,fixed,1.0,0.7542799711227417,0.5334307488863211,0.7542799711227417,0.5334307488863211,0.5176010303007352,0.5176010303007352,"{'1': 0.8798076923076923, '2': 0.8359375, '3': 0.8055555555555556, '4': 0.27710843373493976, '5': 0.06060606060606061, '6': 0.875, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5334307488863211,0.5176010303007352,
3,0.0001,0.2457813467478836,1.0,fixed,1.0,0.8680765628814697,0.7071431890924146,0.8680765628814697,0.7071431890924146,0.7401587960283036,0.7401587960283036,"{'1': 0.8798076923076923, '2': 0.8125, '3': 0.9662698412698413, '4': 0.6024096385542169, '5': 0.15151515151515152, '6': 0.9375, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7071431890924146,0.7401587960283036,
4,0.0001,0.18781538226316313,1.0,fixed,1.0,0.8942598104476929,0.8194954398966877,0.8942598104476929,0.8194954398966877,0.8388396378944593,0.8388396378944593,"{'1': 0.8461538461538461, '2': 0.796875, '3': 0.9841269841269841, '4': 0.8072289156626506, '5': 0.3333333333333333, '6': 0.96875, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.8194954398966877,0.8388396378944593,
5,0.0001,0.1343063967144416,1.0,fixed,1.0,0.9375629425048828,0.8618402953305061,0.9375629425048828,0.8618402953305061,0.8946592397818682,0.8946592397818682,"{'1': 0.9278846153846154, '2': 0.8828125, '3': 0.9861111111111112, '4': 0.891566265060241, '5': 0.5757575757575758, '6': 0.96875, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.8618402953305061,0.8946592397818682,
6,0.0001,0.09664171538853375,1.0,fixed,1.0,0.9566968679428101,0.9429556566497187,0.9566968679428101,0.9429556566497187,0.9306095099452263,0.9306095099452263,"{'1': 0.9423076923076923, '2': 0.90625, '3': 0.9821428571428571, '4': 0.9518072289156626, '5': 0.8181818181818182, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9429556566497187,0.9306095099452263,
7,0.0001,0.06496195183589075,1.0,fixed,1.0,0.9728096723556519,0.9607933004555208,0.9728096723556519,0.9607933004555208,0.9501657529644093,0.9501657529644093,"{'1': 0.9903846153846154, '2': 0.96875, '3': 0.9781746031746031, '4': 0.9397590361445783, '5': 0.8484848484848485, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9607933004555208,0.9501657529644093,
8,0.0001,0.03756584428193751,1.0,fixed,1.0,0.9788519740104675,0.9649001806784724,0.9788519740104675,0.9649001806784724,0.9571604838685585,0.9571604838685585,"{'1': 0.9807692307692307, '2': 0.9609375, '3': 0.9940476190476191, '4': 0.9397590361445783, '5': 0.8787878787878788, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9649001806784724,0.9571604838685585,
9,0.0001,0.025866368920500222,1.0,fixed,1.0,0.9889224767684937,0.9798013500412381,0.9889224767684937,0.9798013500412381,0.9837087363220156,0.9837087363220156,"{'1': 0.9951923076923077, '2': 0.984375, '3': 0.9940476190476191, '4': 0.9759036144578314, '5': 0.9090909090909091, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9798013500412381,0.9837087363220156,
10,0.0001,0.0181406582864345,1.0,fixed,1.0,0.9939576983451843,0.9924126719522589,0.9939576983451843,0.9924126719522589,0.9925901392533368,0.9925901392533368,"{'1': 0.9951923076923077, '2': 1.0, '3': 0.9940476190476191, '4': 0.9879518072289156, '5': 0.9696969696969697, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9924126719522589,0.9925901392533368,
