epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,3e-05,0.40624341413558246,1.0,fixed,1.0,0.23564954102039337,0.18134442532032893,0.23564954102039337,0.18134442532032893,0.08818748059254389,0.08818748059254389,"{'1': 0.0, '2': 0.0, '3': 0.3055555555555556, '4': 0.963855421686747, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.18134442532032893,0.08818748059254389,
2,3e-05,0.40665500461456766,1.0,fixed,1.0,0.35448136925697327,0.19203923556602126,0.35448136925697327,0.19203923556602126,0.13384877786701127,0.13384877786701127,"{'1': 0.057692307692307696, '2': 0.8203125, '3': 0.4662698412698413, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.19203923556602126,0.13384877786701127,
3,3e-05,0.40095300128661004,1.0,fixed,1.0,0.382678747177124,0.2433016833162057,0.382678747177124,0.2433016833162057,0.20617551035001264,0.20617551035001264,"{'1': 0.6201923076923077, '2': 0.5546875, '3': 0.32341269841269843, '4': 0.20481927710843373, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2433016833162057,0.20617551035001264,
4,3e-05,0.40593062769097976,1.0,fixed,1.0,0.3031218647956848,0.23468923115276388,0.3031218647956848,0.23468923115276388,0.14899501234169016,0.14899501234169016,"{'1': 0.02403846153846154, '2': 0.7890625, '3': 0.2996031746031746, '4': 0.5301204819277109, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.23468923115276388,0.14899501234169016,
5,3e-05,0.39773393910093957,1.0,fixed,1.0,0.4189325273036957,0.2287087912087912,0.4189325273036957,0.2287087912087912,0.179044480032765,0.179044480032765,"{'1': 0.28846153846153844, '2': 0.8125, '3': 0.5, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2287087912087912,0.179044480032765,
6,3e-05,0.4091816161531042,1.0,fixed,1.0,0.461228609085083,0.2550102621369833,0.461228609085083,0.2550102621369833,0.23594290836084203,0.23594290836084203,"{'1': 0.6875, '2': 0.390625, '3': 0.49007936507936506, '4': 0.21686746987951808, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2550102621369833,0.23594290836084203,
7,3e-05,0.39799435571374664,1.0,fixed,1.0,0.3796575963497162,0.2609760240596084,0.3796575963497162,0.2609760240596084,0.2014709653752116,0.2014709653752116,"{'1': 0.5721153846153846, '2': 0.8203125, '3': 0.2777777777777778, '4': 0.1566265060240964, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2609760240596084,0.2014709653752116,
8,3e-05,0.39545787212599715,1.0,fixed,1.0,0.5105740427970886,0.27912848410912094,0.5105740427970886,0.27912848410912094,0.24017327209030512,0.24017327209030512,"{'1': 0.6153846153846154, '2': 0.71875, '3': 0.5595238095238095, '4': 0.060240963855421686, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.27912848410912094,0.24017327209030512,
9,3e-05,0.3905094322939235,1.0,fixed,1.0,0.5417925715446472,0.3007977586694239,0.5417925715446472,0.3007977586694239,0.27484042830211797,0.27484042830211797,"{'1': 0.6923076923076923, '2': 0.6171875, '3': 0.5912698412698413, '4': 0.20481927710843373, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3007977586694239,0.27484042830211797,
10,3e-05,0.370067091980373,1.0,fixed,1.0,0.44108760356903076,0.30318351178129577,0.44108760356903076,0.30318351178129577,0.24859301899196748,0.24859301899196748,"{'1': 0.5769230769230769, '2': 0.7265625, '3': 0.373015873015873, '4': 0.4457831325301205, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.30318351178129577,0.24859301899196748,
