epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,0.0001,0.41215817776908836,1.0,fixed,1.0,0.3232628405094147,0.20723225187510902,0.3232628405094147,0.20723225187510902,0.1448592840364881,0.1448592840364881,"{'1': 0.27403846153846156, '2': 0.875, '3': 0.30158730158730157, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.20723225187510902,0.1448592840364881,
2,0.0001,0.412967195293032,1.0,fixed,1.0,0.3484390676021576,0.1947825314864902,0.3484390676021576,0.1947825314864902,0.14071938321290126,0.14071938321290126,"{'1': 0.0, '2': 0.125, '3': 0.5396825396825397, '4': 0.6987951807228916, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.1947825314864902,0.14071938321290126,
3,0.0001,0.4228268368356678,1.0,fixed,1.0,0.44008055329322815,0.23368818681318682,0.44008055329322815,0.23368818681318682,0.194935590113567,0.194935590113567,"{'1': 0.4951923076923077, '2': 0.640625, '3': 0.5, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.23368818681318682,0.194935590113567,
4,0.0001,0.413183518023376,1.0,fixed,1.0,0.31218528747558594,0.2553466416687157,0.31218528747558594,0.2553466416687157,0.16704742019972008,0.16704742019972008,"{'1': 0.0, '2': 0.640625, '3': 0.31547619047619047, '4': 0.8313253012048193, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2553466416687157,0.16704742019972008,
5,0.0001,0.4036788810268942,1.0,fixed,1.0,0.34441086649894714,0.2787417001864076,0.34441086649894714,0.2787417001864076,0.19930029241689784,0.19930029241689784,"{'1': 0.1201923076923077, '2': 0.734375, '3': 0.3134920634920635, '4': 0.7831325301204819, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2787417001864076,0.19930029241689784,
6,0.0001,0.39128652319731005,1.0,fixed,1.0,0.3867069482803345,0.26533996070624727,0.3867069482803345,0.26533996070624727,0.20978715024825917,0.20978715024825917,"{'1': 0.3894230769230769, '2': 0.8515625, '3': 0.3392857142857143, '4': 0.27710843373493976, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.26533996070624727,0.20978715024825917,
7,0.0001,0.3799313059353445,1.0,fixed,1.0,0.5065458416938782,0.26317360625127406,0.5065458416938782,0.26317360625127406,0.22924130823314012,0.22924130823314012,"{'1': 0.41346153846153844, '2': 0.765625, '3': 0.626984126984127, '4': 0.03614457831325301, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.26317360625127406,0.22924130823314012,
8,0.0001,0.3742957249822387,1.0,fixed,1.0,0.504531741142273,0.2693752672910375,0.504531741142273,0.2693752672910375,0.24363434251991883,0.24363434251991883,"{'1': 0.6971153846153846, '2': 0.6328125, '3': 0.5436507936507936, '4': 0.012048192771084338, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2693752672910375,0.24363434251991883,
9,0.0001,0.35024554448493994,1.0,fixed,1.0,0.574018120765686,0.29527478372411675,0.574018120765686,0.29527478372411675,0.28795857038392114,0.28795857038392114,"{'1': 0.44711538461538464, '2': 0.6328125, '3': 0.746031746031746, '4': 0.24096385542168675, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.29527478372411675,0.28795857038392114,
10,0.0001,0.3170611268605094,1.0,fixed,1.0,0.5105740427970886,0.35247303315827416,0.5105740427970886,0.35247303315827416,0.3397301139449261,0.3397301139449261,"{'1': 0.4182692307692308, '2': 0.703125, '3': 0.5555555555555556, '4': 0.5903614457831325, '5': 0.0, '6': 0.0, '7': 0.2}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.35247303315827416,0.3397301139449261,
11,0.0001,0.3039468519920745,1.0,fixed,1.0,0.5981873273849487,0.41234414371247424,0.5981873273849487,0.41234414371247424,0.4167069049716185,0.4167069049716185,"{'1': 0.5192307692307693, '2': 0.8125, '3': 0.6825396825396826, '4': 0.40963855421686746, '5': 0.0, '6': 0.0625, '7': 0.4}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.41234414371247424,0.4167069049716185,
12,0.0001,0.29215989021741484,1.0,fixed,1.0,0.5498489141464233,0.3735393267208026,0.5498489141464233,0.3735393267208026,0.3652547594852054,0.3652547594852054,"{'1': 0.7163461538461539, '2': 0.8359375, '3': 0.5277777777777778, '4': 0.24096385542168675, '5': 0.0, '6': 0.09375, '7': 0.2}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3735393267208026,0.3652547594852054,
13,0.0001,0.27281644853228426,1.0,fixed,1.0,0.6122860312461853,0.4706528494932109,0.6122860312461853,0.4706528494932109,0.4755355262685885,0.4755355262685885,"{'1': 0.625, '2': 0.84375, '3': 0.6527777777777778, '4': 0.3855421686746988, '5': 0.0, '6': 0.1875, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4706528494932109,0.4755355262685885,
14,0.0001,0.2592567302002366,1.0,fixed,1.0,0.6636455059051514,0.5787771358016626,0.6636455059051514,0.5787771358016626,0.5808258896948156,0.5808258896948156,"{'1': 0.6490384615384616, '2': 0.78125, '3': 0.7023809523809523, '4': 0.5903614457831325, '5': 0.09090909090909091, '6': 0.4375, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.5787771358016626,0.5808258896948156,
15,0.0001,0.22600337134741516,1.0,fixed,1.0,0.6767371892929077,0.581548574298144,0.6767371892929077,0.581548574298144,0.5938298300470334,0.5938298300470334,"{'1': 0.7692307692307693, '2': 0.84375, '3': 0.6865079365079365, '4': 0.4457831325301205, '5': 0.18181818181818182, '6': 0.34375, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.581548574298144,0.5938298300470334,
16,0.0001,0.21132747376015987,1.0,fixed,1.0,0.7270896434783936,0.6540674943482603,0.7270896434783936,0.6540674943482603,0.6110566237157468,0.6110566237157468,"{'1': 0.5961538461538461, '2': 0.828125, '3': 0.8174603174603174, '4': 0.6265060240963856, '5': 0.2727272727272727, '6': 0.4375, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6540674943482603,0.6110566237157468,
17,0.0001,0.20307590250284915,1.0,fixed,1.0,0.7291037440299988,0.6122521202501839,0.7291037440299988,0.6122521202501839,0.6223362307574067,0.6223362307574067,"{'1': 0.7596153846153846, '2': 0.890625, '3': 0.7698412698412699, '4': 0.5060240963855421, '5': 0.09090909090909091, '6': 0.46875, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6122521202501839,0.6223362307574067,
18,0.0001,0.1824123526710164,1.0,fixed,1.0,0.7744209170341492,0.6440851681546604,0.7744209170341492,0.6440851681546604,0.6909868293530386,0.6909868293530386,"{'1': 0.5432692307692307, '2': 0.859375, '3': 0.9484126984126984, '4': 0.5060240963855421, '5': 0.15151515151515152, '6': 0.5, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6440851681546604,0.6909868293530386,
19,0.0001,0.1644549954001863,1.0,fixed,1.0,0.7865055203437805,0.6458946992240883,0.7865055203437805,0.6458946992240883,0.6953567016619496,0.6953567016619496,"{'1': 0.8221153846153846, '2': 0.796875, '3': 0.9087301587301587, '4': 0.25301204819277107, '5': 0.30303030303030304, '6': 0.4375, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.6458946992240883,0.6953567016619496,
20,0.0001,0.14943936756666165,1.0,fixed,1.0,0.8147029280662537,0.7855677846130729,0.8147029280662537,0.7855677846130729,0.785530407008396,0.785530407008396,"{'1': 0.5432692307692307, '2': 0.9140625, '3': 0.9186507936507936, '4': 0.8313253012048193, '5': 0.6666666666666666, '6': 0.625, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.7855677846130729,0.785530407008396,
21,0.0001,0.13201623566048482,1.0,fixed,1.0,0.8368580341339111,0.8424424814404377,0.8368580341339111,0.8424424814404377,0.8129033805095001,0.8129033805095001,"{'1': 0.8028846153846154, '2': 0.9140625, '3': 0.8373015873015873, '4': 0.8674698795180723, '5': 0.7878787878787878, '6': 0.6875, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.8424424814404377,0.8129033805095001,
22,0.0001,0.11374745015653381,1.0,fixed,1.0,0.8660624623298645,0.82861080310252,0.8660624623298645,0.82861080310252,0.8336216014529894,0.8336216014529894,"{'1': 0.9038461538461539, '2': 0.8984375, '3': 0.875, '4': 0.8313253012048193, '5': 0.6666666666666666, '6': 0.625, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.82861080310252,0.8336216014529894,
