epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,0.0001,0.4124025971475375,0.4964279110797427,1.0,fixed,1.0,0.2467270940542221,0.1815868917848264,0.2467270940542221,0.1815868917848264,0.09106508158960376,0.09106508158960376,"{'1': 0.0, '2': 0.0, '3': 0.33134920634920634, '4': 0.9397590361445783, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.1815868917848264,0.09106508158960376,,0.1371428519487381,0.13333333333333333,0.095238097012043,0.14285714285714285,"[[0, 0, 0, 8, 0, 0, 0], [0, 0, 1, 5, 0, 0, 0], [0, 0, 0, 20, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",0.095238097012043,0.14285714285714285,0.025396825396825393,0.025396825396825393,0.0,0,42,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.1371428519487381,0.13333333333333333,0.04989864338063309,0.04989864338063309,"{'1': 0.0, '2': 0.0, '3': 0.13333333333333333, '4': 0.8, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.13333333333333333,0.04989864338063309,
2,0.0001,0.4122170882830658,0.5029572277245197,1.0,fixed,1.0,0.4441087543964386,0.20490608102215244,0.4441087543964386,0.20490608102215244,0.14408770535121965,0.14408770535121965,"{'1': 0.009615384615384616, '2': 0.7421875, '3': 0.6825396825396826, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.20490608102215244,0.14408770535121965,,0.4228571355342865,0.19595959595959597,0.4523809552192688,0.21904761904761902,"[[0, 1, 7, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [0, 6, 14, 0, 0, 0, 0], [0, 2, 2, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4523809552192688,0.21904761904761902,0.15189158667419536,0.15189158667419536,0.0,0,42,"{'1': 0.0, '2': 0.8333333333333334, '3': 0.7, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4228571355342865,0.19595959595959597,0.13505844966519126,0.13505844966519126,"{'1': 0.0, '2': 0.7272727272727273, '3': 0.6444444444444445, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.19595959595959597,0.13505844966519126,
3,0.0001,0.4006383620112775,0.5230736405673352,1.0,fixed,1.0,0.2537764310836792,0.20844514242212178,0.2537764310836792,0.20844514242212178,0.11879315979273354,0.11879315979273354,"{'1': 0.004807692307692308, '2': 0.890625, '3': 0.21428571428571427, '4': 0.3493975903614458, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.20844514242212178,0.11879315979273354,,0.20000000298023224,0.1873015873015873,0.3333333432674408,0.2642857142857143,"[[6, 2, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [3, 12, 2, 3, 0, 0, 0], [1, 3, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3333333432674408,0.2642857142857143,0.1736542443064182,0.1736542443064182,0.0,0,42,"{'1': 0.75, '2': 1.0, '3': 0.1, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.20000000298023224,0.1873015873015873,0.08974117217676936,0.08974117217676936,"{'1': 0.0, '2': 1.0, '3': 0.1111111111111111, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.1873015873015873,0.08974117217676936,
4,0.0001,0.401438660141694,0.531235705722462,1.0,fixed,1.0,0.31419938802719116,0.2379765989651962,0.31419938802719116,0.2379765989651962,0.17378929327213624,0.17378929327213624,"{'1': 0.24519230769230768, '2': 0.859375, '3': 0.24801587301587302, '4': 0.3132530120481928, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2379765989651962,0.17378929327213624,,0.21142856776714325,0.18463203463203465,0.2857142984867096,0.2285714285714286,"[[4, 2, 2, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [4, 9, 2, 5, 0, 0, 0], [0, 3, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.2857142984867096,0.2285714285714286,0.15381708238851097,0.15381708238851097,0.0,0,42,"{'1': 0.5, '2': 1.0, '3': 0.1, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.21142856776714325,0.18463203463203465,0.11623252772404022,0.11623252772404022,"{'1': 0.1388888888888889, '2': 0.9090909090909091, '3': 0.1111111111111111, '4': 0.13333333333333333, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.18463203463203465,0.11623252772404022,
5,0.0001,0.38741945771567793,0.5350650709799745,1.0,fixed,1.0,0.4290030300617218,0.25375440471987376,0.4290030300617218,0.25375440471987376,0.20012279058371765,0.20012279058371765,"{'1': 0.5288461538461539, '2': 0.8046875, '3': 0.41865079365079366, '4': 0.024096385542168676, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.25375440471987376,0.20012279058371765,,0.33142855763435364,0.23304473304473303,0.4047619104385376,0.25357142857142856,"[[3, 0, 5, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [6, 6, 8, 0, 0, 0, 0], [0, 2, 2, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4047619104385376,0.25357142857142856,0.1901183077653666,0.1901183077653666,0.0,0,42,"{'1': 0.375, '2': 1.0, '3': 0.4, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.33142855763435364,0.23304473304473303,0.15635250835113906,0.15635250835113906,"{'1': 0.5, '2': 0.9090909090909091, '3': 0.2222222222222222, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.23304473304473303,0.15635250835113906,
6,0.0001,0.38584073255938217,0.5025083637711677,1.0,fixed,1.0,0.4290030300617218,0.2685420843499587,0.4290030300617218,0.2685420843499587,0.23127317209303205,0.23127317209303205,"{'1': 0.21634615384615385, '2': 0.609375, '3': 0.5119047619047619, '4': 0.5421686746987951, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2685420843499587,0.23127317209303205,,0.22285714745521545,0.18297258297258298,0.3095238208770752,0.17023809523809524,"[[1, 0, 6, 1, 0, 0, 0], [0, 4, 1, 1, 0, 0, 0], [2, 1, 8, 9, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.3095238208770752,0.17023809523809524,0.17479674796747968,0.17479674796747968,0.0,0,42,"{'1': 0.125, '2': 0.6666666666666666, '3': 0.4, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.22285714745521545,0.18297258297258298,0.12894946779838865,0.12894946779838865,"{'1': 0.05555555555555555, '2': 0.6363636363636364, '3': 0.18888888888888888, '4': 0.4, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.18297258297258298,0.12894946779838865,
7,0.0001,0.36289736818537177,0.5196041007610884,1.0,fixed,1.0,0.48036253452301025,0.37091830495713884,0.48036253452301025,0.37091830495713884,0.3522135057846382,0.3522135057846382,"{'1': 0.1778846153846154, '2': 0.6953125, '3': 0.6051587301587301, '4': 0.5180722891566265, '5': 0.0, '6': 0.0, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.37091830495713884,0.3522135057846382,,0.2800000011920929,0.2546897546897547,0.3571428656578064,0.1845238095238095,"[[1, 0, 7, 0, 0, 0, 0], [0, 4, 1, 1, 0, 0, 0], [1, 1, 10, 8, 0, 0, 0], [0, 2, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.3571428656578064,0.1845238095238095,0.1756338899196042,0.1756338899196042,0.0,0,42,"{'1': 0.125, '2': 0.6666666666666666, '3': 0.5, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.2800000011920929,0.2546897546897547,0.2370564396969402,0.2370564396969402,"{'1': 0.05555555555555555, '2': 0.7272727272727273, '3': 0.3, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2546897546897547,0.2370564396969402,
8,0.0001,0.35346629690513554,0.5073600956662134,1.0,fixed,1.0,0.5377643704414368,0.3852529328459836,0.5377643704414368,0.3852529328459836,0.3702126682313947,0.3702126682313947,"{'1': 0.6538461538461539, '2': 0.7578125, '3': 0.5357142857142857, '4': 0.3493975903614458, '5': 0.0, '6': 0.0, '7': 0.4}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3852529328459836,0.3702126682313947,,0.3199999928474426,0.2904040404040404,0.4047619104385376,0.2738095238095238,"[[8, 0, 0, 0, 0, 0, 0], [1, 4, 1, 0, 0, 0, 0], [8, 1, 5, 6, 0, 0, 0], [2, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.4047619104385376,0.2738095238095238,0.21775023006550098,0.21775023006550098,0.0,0,42,"{'1': 1.0, '2': 0.6666666666666666, '3': 0.25, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.3199999928474426,0.2904040404040404,0.2626027906027906,0.2626027906027906,"{'1': 0.5277777777777778, '2': 0.7272727272727273, '3': 0.2111111111111111, '4': 0.06666666666666667, '5': 0.0, '6': 0.0, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2904040404040404,0.2626027906027906,
9,0.0001,0.33597627692074183,0.5251007115637715,1.0,fixed,1.0,0.5649546980857849,0.337868795659781,0.5649546980857849,0.337868795659781,0.32117244208705176,0.32117244208705176,"{'1': 0.7067307692307693, '2': 0.5703125, '3': 0.6170634920634921, '4': 0.2891566265060241, '5': 0.18181818181818182, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.337868795659781,0.32117244208705176,,0.38857144117355347,0.2292207792207792,0.380952388048172,0.25,"[[8, 0, 0, 0, 0, 0, 0], [1, 3, 2, 0, 0, 0, 0], [12, 0, 5, 3, 0, 0, 0], [1, 2, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.380952388048172,0.25,0.19211822660098524,0.19211822660098524,0.0,0,42,"{'1': 1.0, '2': 0.5, '3': 0.25, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.38857144117355347,0.2292207792207792,0.2008753348246831,0.2008753348246831,"{'1': 0.75, '2': 0.45454545454545453, '3': 0.3333333333333333, '4': 0.06666666666666667, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2292207792207792,0.2008753348246831,
10,0.0001,0.29584959248103293,0.5084558190269903,1.0,fixed,1.0,0.5015105605125427,0.4849013472184729,0.5015105605125427,0.4849013472184729,0.44032920726584746,0.44032920726584746,"{'1': 0.5432692307692307, '2': 0.84375, '3': 0.44642857142857145, '4': 0.4578313253012048, '5': 0.30303030303030304, '6': 0.0, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4849013472184729,0.44032920726584746,,0.2914285659790039,0.29783549783549784,0.3095238208770752,0.24047619047619048,"[[6, 1, 0, 1, 0, 0, 0], [0, 5, 0, 1, 0, 0, 0], [6, 6, 2, 6, 0, 0, 0], [1, 2, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.3095238208770752,0.24047619047619048,0.1643139469226426,0.1643139469226426,0.0,0,42,"{'1': 0.75, '2': 0.8333333333333334, '3': 0.1, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.2914285659790039,0.29783549783549784,0.26199206507021183,0.26199206507021183,"{'1': 0.5, '2': 0.8181818181818182, '3': 0.13333333333333333, '4': 0.13333333333333333, '5': 0.0, '6': 0.0, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.29783549783549784,0.26199206507021183,
