epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,0.0001,0.4124025971475375,1.0,fixed,1.0,0.2467270940542221,0.1815868917848264,0.2467270940542221,0.1815868917848264,0.09106508158960376,0.09106508158960376,"{'1': 0.0, '2': 0.0, '3': 0.33134920634920634, '4': 0.9397590361445783, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.1815868917848264,0.09106508158960376,
2,0.0001,0.4122170882830658,1.0,fixed,1.0,0.4441087543964386,0.20490608102215244,0.4441087543964386,0.20490608102215244,0.14408770535121965,0.14408770535121965,"{'1': 0.009615384615384616, '2': 0.7421875, '3': 0.6825396825396826, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.20490608102215244,0.14408770535121965,
3,0.0001,0.4006383620112775,1.0,fixed,1.0,0.2537764310836792,0.20844514242212178,0.2537764310836792,0.20844514242212178,0.11879315979273354,0.11879315979273354,"{'1': 0.004807692307692308, '2': 0.890625, '3': 0.21428571428571427, '4': 0.3493975903614458, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.20844514242212178,0.11879315979273354,
4,0.0001,0.401438660141694,1.0,fixed,1.0,0.31419938802719116,0.2379765989651962,0.31419938802719116,0.2379765989651962,0.17378929327213624,0.17378929327213624,"{'1': 0.24519230769230768, '2': 0.859375, '3': 0.24801587301587302, '4': 0.3132530120481928, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2379765989651962,0.17378929327213624,
5,0.0001,0.38741945771567793,1.0,fixed,1.0,0.4290030300617218,0.25375440471987376,0.4290030300617218,0.25375440471987376,0.20012279058371765,0.20012279058371765,"{'1': 0.5288461538461539, '2': 0.8046875, '3': 0.41865079365079366, '4': 0.024096385542168676, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.25375440471987376,0.20012279058371765,
6,0.0001,0.38584073255938217,1.0,fixed,1.0,0.4290030300617218,0.2685420843499587,0.4290030300617218,0.2685420843499587,0.23127317209303205,0.23127317209303205,"{'1': 0.21634615384615385, '2': 0.609375, '3': 0.5119047619047619, '4': 0.5421686746987951, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2685420843499587,0.23127317209303205,
7,0.0001,0.36289736818537177,1.0,fixed,1.0,0.48036253452301025,0.37091830495713884,0.48036253452301025,0.37091830495713884,0.3522135057846382,0.3522135057846382,"{'1': 0.1778846153846154, '2': 0.6953125, '3': 0.6051587301587301, '4': 0.5180722891566265, '5': 0.0, '6': 0.0, '7': 0.6}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.37091830495713884,0.3522135057846382,
8,0.0001,0.35346629690513554,1.0,fixed,1.0,0.5377643704414368,0.3852529328459836,0.5377643704414368,0.3852529328459836,0.3702126682313947,0.3702126682313947,"{'1': 0.6538461538461539, '2': 0.7578125, '3': 0.5357142857142857, '4': 0.3493975903614458, '5': 0.0, '6': 0.0, '7': 0.4}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.3852529328459836,0.3702126682313947,
9,0.0001,0.33597627692074183,1.0,fixed,1.0,0.5649546980857849,0.337868795659781,0.5649546980857849,0.337868795659781,0.32117244208705176,0.32117244208705176,"{'1': 0.7067307692307693, '2': 0.5703125, '3': 0.6170634920634921, '4': 0.2891566265060241, '5': 0.18181818181818182, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.337868795659781,0.32117244208705176,
10,0.0001,0.29584959248103293,1.0,fixed,1.0,0.5015105605125427,0.4849013472184729,0.5015105605125427,0.4849013472184729,0.44032920726584746,0.44032920726584746,"{'1': 0.5432692307692307, '2': 0.84375, '3': 0.44642857142857145, '4': 0.4578313253012048, '5': 0.30303030303030304, '6': 0.0, '7': 0.8}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.4849013472184729,0.44032920726584746,
