epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,3e-05,0.4055536584741619,0.47234154848212545,1.0,fixed,1.0,0.3484390676021576,0.19952059349380777,0.3484390676021576,0.19952059349380777,0.16562007899101192,0.16562007899101192,"{'1': 0.8221153846153846, '2': 0.3046875, '3': 0.2698412698412698, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.19952059349380777,0.16562007899101192,,0.2628571391105652,0.17878787878787877,0.2142857164144516,0.16666666666666669,"[[8, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0], [20, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.2142857164144516,0.16666666666666669,0.08333333333333334,0.08333333333333334,0.0,0,42,"{'1': 1.0, '2': 0.16666666666666666, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.2628571391105652,0.17878787878787877,0.12492396545993842,0.12492396545993842,"{'1': 0.8333333333333334, '2': 0.3181818181818182, '3': 0.1, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.17878787878787877,0.12492396545993842,
2,3e-05,0.40461571505629873,0.4784369585527615,1.0,fixed,1.0,0.3021148145198822,0.2300313072015955,0.3021148145198822,0.2300313072015955,0.15485834967737128,0.15485834967737128,"{'1': 0.0, '2': 0.4296875, '3': 0.3492063492063492, '4': 0.8313253012048193, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2300313072015955,0.15485834967737128,,0.21142856776714325,0.18903318903318903,0.3095238208770752,0.2619047619047619,"[[0, 0, 3, 5, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [0, 0, 5, 15, 0, 0, 0], [0, 0, 1, 3, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3095238208770752,0.2619047619047619,0.19430272108843538,0.19430272108843538,0.0,0,42,"{'1': 0.0, '2': 0.8333333333333334, '3': 0.25, '4': 0.75, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.21142856776714325,0.18903318903318903,0.11793764405675874,0.11793764405675874,"{'1': 0.0, '2': 0.5454545454545454, '3': 0.17777777777777778, '4': 0.6, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.18903318903318903,0.11793764405675874,
3,3e-05,0.41387897298996706,0.47563333572311833,1.0,fixed,1.0,0.48036253452301025,0.20927497601604744,0.48036253452301025,0.20927497601604744,0.1992671249224835,0.1992671249224835,"{'1': 0.47596153846153844, '2': 0.3203125, '3': 0.6686507936507936, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.20927497601604744,0.1992671249224835,,0.4171428680419922,0.18607503607503606,0.3571428656578064,0.16785714285714287,"[[1, 0, 7, 0, 0, 0, 0], [2, 3, 1, 0, 0, 0, 0], [9, 0, 11, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3571428656578064,0.16785714285714287,0.17244897959183672,0.17244897959183672,0.0,0,42,"{'1': 0.125, '2': 0.5, '3': 0.55, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4171428680419922,0.18607503607503606,0.17364828804449958,0.17364828804449958,"{'1': 0.3611111111111111, '2': 0.36363636363636365, '3': 0.5777777777777777, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.18607503607503606,0.17364828804449958,
4,3e-05,0.41311994299711474,0.4819989331405271,1.0,fixed,1.0,0.335347443819046,0.22471262601426112,0.335347443819046,0.22471262601426112,0.1541669392582128,0.1541669392582128,"{'1': 0.0, '2': 0.65625, '3': 0.4107142857142857, '4': 0.5060240963855421, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.22471262601426112,0.1541669392582128,,0.2914285659790039,0.20591630591630591,0.3095238208770752,0.22142857142857145,"[[0, 0, 2, 6, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 3, 6, 11, 0, 0, 0], [0, 3, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3095238208770752,0.22142857142857145,0.15724994645534376,0.15724994645534376,0.0,0,42,"{'1': 0.0, '2': 1.0, '3': 0.3, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.2914285659790039,0.20591630591630591,0.13490645850196412,0.13490645850196412,"{'1': 0.0, '2': 0.8636363636363636, '3': 0.3111111111111111, '4': 0.26666666666666666, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.20591630591630591,0.13490645850196412,
5,3e-05,0.400865034555575,0.48176763426851144,1.0,fixed,1.0,0.40785497426986694,0.23512909566050702,0.40785497426986694,0.23512909566050702,0.18219205683613696,0.18219205683613696,"{'1': 0.028846153846153848, '2': 0.59375, '3': 0.5654761904761905, '4': 0.4578313253012048, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.23512909566050702,0.18219205683613696,,0.34857141971588135,0.20404040404040405,0.3333333432674408,0.2571428571428572,"[[0, 0, 6, 2, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 3, 6, 11, 0, 0, 0], [0, 1, 1, 2, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3333333432674408,0.2571428571428572,0.17429287504475474,0.17429287504475474,0.0,0,42,"{'1': 0.0, '2': 1.0, '3': 0.3, '4': 0.5, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.34857141971588135,0.20404040404040405,0.1500140031623662,0.1500140031623662,"{'1': 0.0, '2': 0.7727272727272727, '3': 0.45555555555555555, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.20404040404040405,0.1500140031623662,
6,3e-05,0.40044364375043584,0.4835266232151877,1.0,fixed,1.0,0.3796575963497162,0.2278202947845805,0.3796575963497162,0.2278202947845805,0.179130594865634,0.179130594865634,"{'1': 0.6875, '2': 0.59375, '3': 0.3134920634920635, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2278202947845805,0.179130594865634,,0.3142857253551483,0.23275613275613274,0.380952388048172,0.3,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [16, 2, 2, 0, 0, 0, 0], [3, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.380952388048172,0.3,0.18859042388454153,0.18859042388454153,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.1, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.3142857253551483,0.23275613275613274,0.1508601215310737,0.1508601215310737,"{'1': 0.6666666666666666, '2': 0.8181818181818182, '3': 0.14444444444444443, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.23275613275613274,0.1508601215310737,
7,3e-05,0.3965706444648375,0.48804627833041275,1.0,fixed,1.0,0.5276938676834106,0.2654439053965732,0.5276938676834106,0.2654439053965732,0.23100496711537957,0.23100496711537957,"{'1': 0.3894230769230769, '2': 0.75, '3': 0.6825396825396826, '4': 0.03614457831325301, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2654439053965732,0.23100496711537957,,0.4399999976158142,0.244011544011544,0.4523809552192688,0.2571428571428572,"[[2, 0, 6, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 4, 11, 4, 0, 0, 0], [0, 2, 2, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.4523809552192688,0.2571428571428572,0.2119047619047619,0.2119047619047619,0.0,0,42,"{'1': 0.25, '2': 1.0, '3': 0.55, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4399999976158142,0.244011544011544,0.19200877809840203,0.19200877809840203,"{'1': 0.3333333333333333, '2': 0.8636363636363636, '3': 0.5111111111111111, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.244011544011544,0.19200877809840203,
8,3e-05,0.39771647140922317,0.4940076536414298,1.0,fixed,1.0,0.5871097445487976,0.25925163566353326,0.5871097445487976,0.25925163566353326,0.24732268251271114,0.24732268251271114,"{'1': 0.4807692307692308, '2': 0.4765625, '3': 0.8333333333333334, '4': 0.024096385542168676, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.25925163566353326,0.24732268251271114,,0.4342857003211975,0.2183982683982684,0.523809552192688,0.2285714285714286,"[[2, 0, 6, 0, 0, 0, 0], [1, 3, 2, 0, 0, 0, 0], [3, 0, 17, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.523809552192688,0.2285714285714286,0.21904761904761902,0.21904761904761902,0.0,0,42,"{'1': 0.25, '2': 0.5, '3': 0.85, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4342857003211975,0.2183982683982684,0.20217830612567453,0.20217830612567453,"{'1': 0.3611111111111111, '2': 0.5454545454545454, '3': 0.5555555555555556, '4': 0.06666666666666667, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2183982683982684,0.20217830612567453,
9,3e-05,0.388448703989207,0.49013197828422894,1.0,fixed,1.0,0.5448136925697327,0.2965646928372832,0.5448136925697327,0.2965646928372832,0.2592876675406256,0.2592876675406256,"{'1': 0.5576923076923077, '2': 0.796875, '3': 0.625, '4': 0.0963855421686747, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2965646928372832,0.2592876675406256,,0.38857144117355347,0.244011544011544,0.4761904776096344,0.3178571428571429,"[[7, 0, 0, 1, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [4, 6, 7, 3, 0, 0, 0], [0, 3, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.4761904776096344,0.3178571428571429,0.24349967873206252,0.24349967873206252,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.35, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.38857144117355347,0.244011544011544,0.18249237024212459,0.18249237024212459,"{'1': 0.5, '2': 0.8636363636363636, '3': 0.34444444444444444, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.244011544011544,0.18249237024212459,
10,3e-05,0.38395094741360253,0.49718870544298127,1.0,fixed,1.0,0.5820745229721069,0.2700760525093572,0.5820745229721069,0.2700760525093572,0.2594268031459606,0.2594268031459606,"{'1': 0.375, '2': 0.59375, '3': 0.8253968253968254, '4': 0.0963855421686747, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2700760525093572,0.2594268031459606,,0.4285714328289032,0.22438672438672438,0.523809552192688,0.29047619047619044,"[[2, 0, 6, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [1, 1, 14, 4, 0, 0, 0], [0, 1, 2, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.523809552192688,0.29047619047619044,0.2702947845804989,0.2702947845804989,0.0,0,42,"{'1': 0.25, '2': 0.8333333333333334, '3': 0.7, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4285714328289032,0.22438672438672438,0.198067080781642,0.198067080781642,"{'1': 0.2777777777777778, '2': 0.6818181818181818, '3': 0.5444444444444444, '4': 0.06666666666666667, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.22438672438672438,0.198067080781642,
