epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
1,3e-05,0.4055536584741619,1.0,fixed,1.0,0.3484390676021576,0.19952059349380777,0.3484390676021576,0.19952059349380777,0.16562007899101192,0.16562007899101192,"{'1': 0.8221153846153846, '2': 0.3046875, '3': 0.2698412698412698, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.19952059349380777,0.16562007899101192,
2,3e-05,0.40461571505629873,1.0,fixed,1.0,0.3021148145198822,0.2300313072015955,0.3021148145198822,0.2300313072015955,0.15485834967737128,0.15485834967737128,"{'1': 0.0, '2': 0.4296875, '3': 0.3492063492063492, '4': 0.8313253012048193, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2300313072015955,0.15485834967737128,
3,3e-05,0.41387897298996706,1.0,fixed,1.0,0.48036253452301025,0.20927497601604744,0.48036253452301025,0.20927497601604744,0.1992671249224835,0.1992671249224835,"{'1': 0.47596153846153844, '2': 0.3203125, '3': 0.6686507936507936, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.20927497601604744,0.1992671249224835,
4,3e-05,0.41311994299711474,1.0,fixed,1.0,0.335347443819046,0.22471262601426112,0.335347443819046,0.22471262601426112,0.1541669392582128,0.1541669392582128,"{'1': 0.0, '2': 0.65625, '3': 0.4107142857142857, '4': 0.5060240963855421, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.22471262601426112,0.1541669392582128,
5,3e-05,0.400865034555575,1.0,fixed,1.0,0.40785497426986694,0.23512909566050702,0.40785497426986694,0.23512909566050702,0.18219205683613696,0.18219205683613696,"{'1': 0.028846153846153848, '2': 0.59375, '3': 0.5654761904761905, '4': 0.4578313253012048, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.23512909566050702,0.18219205683613696,
6,3e-05,0.40044364375043584,1.0,fixed,1.0,0.3796575963497162,0.2278202947845805,0.3796575963497162,0.2278202947845805,0.179130594865634,0.179130594865634,"{'1': 0.6875, '2': 0.59375, '3': 0.3134920634920635, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2278202947845805,0.179130594865634,
7,3e-05,0.3965706444648375,1.0,fixed,1.0,0.5276938676834106,0.2654439053965732,0.5276938676834106,0.2654439053965732,0.23100496711537957,0.23100496711537957,"{'1': 0.3894230769230769, '2': 0.75, '3': 0.6825396825396826, '4': 0.03614457831325301, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2654439053965732,0.23100496711537957,
8,3e-05,0.39771647140922317,1.0,fixed,1.0,0.5871097445487976,0.25925163566353326,0.5871097445487976,0.25925163566353326,0.24732268251271114,0.24732268251271114,"{'1': 0.4807692307692308, '2': 0.4765625, '3': 0.8333333333333334, '4': 0.024096385542168676, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.25925163566353326,0.24732268251271114,
9,3e-05,0.388448703989207,1.0,fixed,1.0,0.5448136925697327,0.2965646928372832,0.5448136925697327,0.2965646928372832,0.2592876675406256,0.2592876675406256,"{'1': 0.5576923076923077, '2': 0.796875, '3': 0.625, '4': 0.0963855421686747, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2965646928372832,0.2592876675406256,
10,3e-05,0.38395094741360253,1.0,fixed,1.0,0.5820745229721069,0.2700760525093572,0.5820745229721069,0.2700760525093572,0.2594268031459606,0.2594268031459606,"{'1': 0.375, '2': 0.59375, '3': 0.8253968253968254, '4': 0.0963855421686747, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.2700760525093572,0.2594268031459606,
