family,scheme,native_selected_lr,native_BA_mean_pct,native_BA_sample_sd_pp,common4_BA_mean_pct,common4_BA_sample_sd_pp,common4_minimum_of_mean_class_recalls_pct,common4_worst_observed_class_recall_pct,common4_mean_recall_Mn_pct,common4_min_seed_recall_Mn_pct,common4_mean_recall_Cu_pct,common4_min_seed_recall_Cu_pct,common4_mean_recall_Zn_pct,common4_min_seed_recall_Zn_pct,common4_mean_recall_Class VIII_pct,common4_min_seed_recall_Class VIII_pct,native_mean_recall_Fe_pct,native_min_seed_recall_Fe_pct,native_mean_recall_Co_pct,native_min_seed_recall_Co_pct,native_mean_recall_Ni_pct,native_min_seed_recall_Ni_pct,native_mean_recall_CoNi_pct,native_min_seed_recall_CoNi_pct
Only-GVP,four_class,0.0001,72.07286297250859,1.6629766438987692,72.07286297250859,1.6629766438987692,40.625,34.375,84.02061855670102,82.4742268041237,93.33333333333333,93.33333333333333,40.625,34.375,70.3125,70.3125,,,,,,,,
Only-GVP,five_class,0.0001,61.83058028741019,1.9006117953706347,65.61224763745705,5.639882775523822,23.4375,18.75,79.89690721649484,76.28865979381443,83.33333333333333,73.33333333333333,23.4375,18.75,75.78125,73.4375,88.63636363636363,86.36363636363636,,,,,30.0,20.0
Only-GVP,six_class,3e-05,57.86133826082279,0.2754369783792476,66.83164196735396,0.623616241462041,25.0,21.875,71.64948453608247,65.97938144329896,93.33333333333333,93.33333333333333,25.0,21.875,77.34375,76.5625,89.77272727272728,88.63636363636364,7.6923076923076925,7.6923076923076925,57.14285714285714,57.14285714285714,,
Only-ESM,four_class,3e-05,74.34170962199312,3.1380141465350193,74.34170962199312,3.1380141465350193,59.375,57.8125,92.78350515463917,90.72164948453609,73.33333333333333,73.33333333333333,71.875,59.375,59.375,57.8125,,,,,,,,
Only-ESM,five_class,3e-05,66.52919009684473,3.520871546482168,72.87787263745705,6.489595499050181,63.28125,62.5,79.89690721649484,67.0103092783505,73.33333333333333,73.33333333333333,75.0,68.75,63.28125,62.5,68.18181818181819,63.63636363636363,,,,,30.0,25.0
Only-ESM,six_class,3e-05,62.41700971565662,2.2071332731529503,72.65034364261169,4.601661398185643,62.5,50.0,92.26804123711341,91.75257731958763,73.33333333333333,73.33333333333333,62.5,50.0,62.5,62.5,70.45454545454545,68.18181818181817,11.538461538461538,7.6923076923076925,57.14285714285714,57.14285714285714,,
GVP + late fusion,four_class,0.0001,72.43690936426117,0.17654889027692214,72.43690936426117,0.17654889027692214,60.9375,56.25,74.22680412371133,72.16494845360825,73.33333333333333,73.33333333333333,81.25,75.0,60.9375,56.25,,,,,,,,
GVP + late fusion,five_class,3e-05,69.49902374258045,2.1213203435596424,74.71823990549828,2.4859222776089562,72.65625,70.3125,73.19587628865979,73.19587628865979,73.33333333333333,73.33333333333333,79.6875,75.0,72.65625,70.3125,84.0909090909091,84.0909090909091,,,,,32.5,25.0
GVP + late fusion,six_class,3e-05,63.97906449936089,0.6826526747048881,72.29998926116838,1.099159220111172,64.0625,59.375,76.80412371134021,75.25773195876289,73.33333333333333,73.33333333333333,64.0625,59.375,75.0,71.875,86.36363636363637,84.0909090909091,15.384615384615385,7.6923076923076925,64.28571428571428,57.14285714285714,,
GVP + early fusion,four_class,3e-05,65.92608999140893,4.86572538353533,65.92608999140893,4.86572538353533,32.8125,18.75,79.38144329896906,73.19587628865979,86.66666666666666,80.0,32.8125,18.75,64.84375,64.0625,,,,,,,,
