id,family,scheme,lr,seed,native_selected_epoch,native_balanced_accuracy_pct,common4_balanced_accuracy_pct,native_minimum_recall_pct,common4_minimum_recall_pct,common4_recall_Mn_pct,common4_recall_Cu_pct,common4_recall_Zn_pct,common4_recall_Class VIII_pct,native_recall_Fe_pct,native_recall_Co_pct,native_recall_Ni_pct,native_recall_CoNi_pct
A1_0_four_class_lr3e-05_s42,Only-GVP,four_class,3e-05,42,44,64.71139390034364,64.71139390034364,40.625,40.625,60.824742268041234,93.33333333333333,40.625,64.0625,,,,
T1_0_five_class_lr3e-05_s42,Only-GVP,five_class,3e-05,42,33,60.94712589815683,65.06174828178695,18.75,18.75,76.28865979381443,93.33333333333333,18.75,71.875,86.36363636363636,,,30.0
T1_0_six_class_lr3e-05_s42,Only-GVP,six_class,3e-05,42,42,58.05610161602429,66.39067869415808,7.6923076923076925,28.125,65.97938144329896,93.33333333333333,28.125,78.125,90.9090909090909,7.6923076923076925,57.14285714285714,
A1_1_four_class_lr3e-05_s42,Only-ESM,four_class,3e-05,42,22,72.1227985395189,72.1227985395189,59.375,59.375,94.84536082474226,73.33333333333333,59.375,60.9375,,,,
T1_1_five_class_lr3e-05_s42,Only-ESM,five_class,3e-05,42,20,64.03955795064043,68.28903565292096,35.0,64.0625,67.0103092783505,73.33333333333333,68.75,64.0625,63.63636363636363,,,35.0
T1_1_six_class_lr3e-05_s42,Only-ESM,six_class,3e-05,42,36,60.85633081122771,69.39647766323024,15.384615384615385,50.0,91.75257731958763,73.33333333333333,50.0,62.5,68.18181818181817,15.384615384615385,57.14285714285714,
A1_2_four_class_lr3e-05_s42,GVP + late fusion,four_class,3e-05,42,17,71.78855240549828,71.78855240549828,56.25,56.25,73.19587628865979,73.33333333333333,84.375,56.25,,,,
T1_2_five_class_lr3e-05_s42,GVP + late fusion,five_class,3e-05,42,19,67.99902374258045,72.96042740549828,25.0,70.3125,73.19587628865979,73.33333333333333,75.0,70.3125,84.0909090909091,,,25.0
T1_2_six_class_lr3e-05_s42,GVP + late fusion,six_class,3e-05,42,48,64.46177283483985,73.07721219931271,7.6923076923076925,68.75,78.35051546391753,73.33333333333333,68.75,71.875,84.0909090909091,7.6923076923076925,71.42857142857143,
A2_0_four_class_lr0.0001_s42,Only-GVP,four_class,0.0001,42,35,70.89696091065292,70.89696091065292,34.375,34.375,85.56701030927834,93.33333333333333,34.375,70.3125,,,,
T2_0_five_class_lr0.0001_s42,Only-GVP,five_class,0.0001,42,26,63.17451577631991,69.60024699312714,20.0,28.125,83.50515463917526,93.33333333333333,28.125,73.4375,90.9090909090909,,,20.0
T2_0_six_class_lr0.0001_s42,Only-GVP,six_class,0.0001,42,32,57.64753788593995,67.03098152920963,7.6923076923076925,31.25,70.10309278350515,93.33333333333333,31.25,73.4375,86.36363636363636,7.6923076923076925,57.14285714285714,
A2_1_four_class_lr0.0001_s42,Only-ESM,four_class,0.0001,42,18,71.74828178694158,71.74828178694158,56.25,56.25,88.65979381443299,73.33333333333333,68.75,56.25,,,,
T2_1_five_class_lr0.0001_s42,Only-ESM,five_class,0.0001,42,14,63.468330209309585,70.07705111683849,30.0,60.9375,80.41237113402062,73.33333333333333,65.625,60.9375,65.9090909090909,,,30.0
T2_1_six_class_lr0.0001_s42,Only-ESM,six_class,0.0001,42,10,60.32355709868597,68.53065936426117,7.6923076923076925,62.5,74.22680412371135,73.33333333333333,62.5,64.0625,70.45454545454545,7.6923076923076925,57.14285714285714,
A2_2_four_class_lr0.0001_s42,GVP + late fusion,four_class,0.0001,42,7,72.3120704467354,72.3120704467354,56.25,56.25,72.16494845360825,73.33333333333333,87.5,56.25,,,,
T2_2_five_class_lr0.0001_s42,GVP + late fusion,five_class,0.0001,42,14,65.24761793189629,70.45156786941581,45.0,53.125,86.5979381443299,73.33333333333333,53.125,68.75,68.18181818181817,,,45.0
T2_2_six_class_lr0.0001_s42,GVP + late fusion,six_class,0.0001,42,18,59.748541478567255,71.38987328178695,7.6923076923076925,57.8125,76.28865979381443,73.33333333333333,78.125,57.8125,65.9090909090909,7.6923076923076925,57.14285714285714,
