id,block,family,scheme,lr,seed,selected_epoch,balanced_accuracy,collapsed4_balanced_accuracy,minimum_recall,collapsed4_minimum_recall,per_class_recall,collapsed4_per_class_recall,elapsed_seconds,run_dir,block_complete
A1_0_four_class_lr3e-05_s42,A1,Only-GVP,four_class,3e-05,42,44,0.6471139390034364,0.6471139390034364,0.40625,0.40625,"{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.6082474226804123, ""Zn"": 0.40625}","{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.6082474226804123, ""Zn"": 0.40625}",270.3429877758026,/content/metal_architecture_pilot_10h_v1/runs/A1_0_four_class_lr3e-05_s42,True
A1_1_four_class_lr3e-05_s42,A1,Only-ESM,four_class,3e-05,42,22,0.721227985395189,0.721227985395189,0.59375,0.59375,"{""Class VIII"": 0.609375, ""Cu"": 0.7333333333333333, ""Mn"": 0.9484536082474226, ""Zn"": 0.59375}","{""Class VIII"": 0.609375, ""Cu"": 0.7333333333333333, ""Mn"": 0.9484536082474226, ""Zn"": 0.59375}",206.2681336402893,/content/metal_architecture_pilot_10h_v1/runs/A1_1_four_class_lr3e-05_s42,True
A1_3_four_class_lr3e-05_s42,A1,GVP + early fusion,four_class,3e-05,42,40,0.6936667740549828,0.6936667740549828,0.46875,0.46875,"{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.46875}","{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.46875}",290.364253282547,/content/metal_architecture_pilot_10h_v1/runs/A1_3_four_class_lr3e-05_s42,True
A1_2_four_class_lr3e-05_s42,A1,GVP + late fusion,four_class,3e-05,42,17,0.7178855240549828,0.7178855240549828,0.5625,0.5625,"{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.84375}","{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.84375}",308.3893711566925,/content/metal_architecture_pilot_10h_v1/runs/A1_2_four_class_lr3e-05_s42_retry1,True
A2_0_four_class_lr0.0001_s42,A2,Only-GVP,four_class,0.0001,42,35,0.7089696091065292,0.7089696091065292,0.34375,0.34375,"{""Class VIII"": 0.703125, ""Cu"": 0.9333333333333333, ""Mn"": 0.8556701030927835, ""Zn"": 0.34375}","{""Class VIII"": 0.703125, ""Cu"": 0.9333333333333333, ""Mn"": 0.8556701030927835, ""Zn"": 0.34375}",272.351998090744,/content/metal_architecture_pilot_10h_v1/runs/A2_0_four_class_lr0.0001_s42,True
A2_1_four_class_lr0.0001_s42,A2,Only-ESM,four_class,0.0001,42,18,0.7174828178694158,0.7174828178694158,0.5625,0.5625,"{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.8865979381443299, ""Zn"": 0.6875}","{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.8865979381443299, ""Zn"": 0.6875}",204.26730608940125,/content/metal_architecture_pilot_10h_v1/runs/A2_1_four_class_lr0.0001_s42,True
A2_3_four_class_lr0.0001_s42,A2,GVP + early fusion,four_class,0.0001,42,16,0.682385631443299,0.682385631443299,0.4639175257731959,0.4639175257731959,"{""Class VIII"": 0.609375, ""Cu"": 1.0, ""Mn"": 0.4639175257731959, ""Zn"": 0.65625}","{""Class VIII"": 0.609375, ""Cu"": 1.0, ""Mn"": 0.4639175257731959, ""Zn"": 0.65625}",290.3654592037201,/content/metal_architecture_pilot_10h_v1/runs/A2_3_four_class_lr0.0001_s42,True
A2_2_four_class_lr0.0001_s42,A2,GVP + late fusion,four_class,0.0001,42,7,0.723120704467354,0.723120704467354,0.5625,0.5625,"{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7216494845360825, ""Zn"": 0.875}","{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7216494845360825, ""Zn"": 0.875}",306.3874514102936,/content/metal_architecture_pilot_10h_v1/runs/A2_2_four_class_lr0.0001_s42,True
R_0_four_class_lr0.0001_s43,R,Only-GVP,four_class,0.0001,43,23,0.7324876503436426,0.7324876503436426,0.46875,0.46875,"{""Class VIII"": 0.703125, ""Cu"": 0.9333333333333333, ""Mn"": 0.8247422680412371, ""Zn"": 0.46875}","{""Class VIII"": 0.703125, ""Cu"": 0.9333333333333333, ""Mn"": 0.8247422680412371, ""Zn"": 0.46875}",270.34053349494934,/content/metal_architecture_pilot_10h_v1/runs/R_0_four_class_lr0.0001_s43,True
R_1_four_class_lr3e-05_s43,R,Only-ESM,four_class,3e-05,43,27,0.7656062070446735,0.7656062070446735,0.578125,0.578125,"{""Class VIII"": 0.578125, ""Cu"": 0.7333333333333333, ""Mn"": 0.9072164948453608, ""Zn"": 0.84375}","{""Class VIII"": 0.578125, ""Cu"": 0.7333333333333333, ""Mn"": 0.9072164948453608, ""Zn"": 0.84375}",206.2689597606659,/content/metal_architecture_pilot_10h_v1/runs/R_1_four_class_lr3e-05_s43,True
