epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.363862675589484,1.3299037630741413,1.0,fixed,1.0,,0.329465906144672,0.2927929327450858,0.5546147227287292,0.329465906144672,0.42857142857142855,0.5546147227287292,0.329465906144672,0.42857142857142855,"[[490, 0, 0, 61], [50, 0, 0, 20], [141, 0, 0, 34], [220, 0, 0, 165]]",0.0,0.2927929327450858,0.0,0.8892921960072595,"{'Mn': 0.8892921960072595, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.42857142857142855}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[490, 0, 0, 61], [50, 0, 0, 20], [141, 0, 0, 34], [220, 0, 0, 165]]",,0.2927929327450858,0.0,0.8892921960072595,"{'Mn': 0.8892921960072595, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.42857142857142855}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3451594716494846,0.3071708290232008,0.5769230723381042,0.3451594716494846,0.421875,0.5769230723381042,0.3451594716494846,0.421875,"[[93, 0, 0, 4], [12, 0, 0, 3], [29, 0, 0, 3], [37, 0, 0, 27]]",0.0,0.3071708290232008,0.0,0.9587628865979382,"{'Mn': 0.9587628865979382, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[93, 0, 0, 4], [12, 0, 0, 3], [29, 0, 0, 3], [37, 0, 0, 27]]",,0.3071708290232008,0.0,0.9587628865979382,"{'Mn': 0.9587628865979382, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.2682040615661725,1.2508055567741394,1.0,fixed,1.0,,0.5419532373252881,0.5881061103002222,0.6502963304519653,0.5419532373252881,0.5792207792207792,0.6502963304519653,0.5419532373252881,0.5792207792207792,"[[466, 0, 9, 76], [8, 34, 10, 18], [99, 0, 45, 31], [150, 0, 12, 223]]",0.4857142857142857,0.5881061103002222,0.2571428571428571,0.8457350272232305,"{'Mn': 0.8457350272232305, 'Cu': 0.4857142857142857, 'Zn': 0.2571428571428571, 'Class VIII': 0.5792207792207792}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2571428571428571,"[[466, 0, 9, 76], [8, 34, 10, 18], [99, 0, 45, 31], [150, 0, 12, 223]]",,0.5881061103002222,0.2571428571428571,0.8457350272232305,"{'Mn': 0.8457350272232305, 'Cu': 0.4857142857142857, 'Zn': 0.2571428571428571, 'Class VIII': 0.5792207792207792}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.46705594931271477,0.48808550449806704,0.4326923191547394,0.46705594931271477,0.515625,0.4326923191547394,0.46705594931271477,0.515625,"[[34, 0, 54, 9], [0, 8, 4, 3], [13, 0, 15, 4], [24, 0, 7, 33]]",0.5333333333333333,0.48808550449806704,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.5333333333333333, 'Zn': 0.46875, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[34, 0, 54, 9], [0, 8, 4, 3], [13, 0, 15, 4], [24, 0, 7, 33]]",,0.48808550449806704,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.5333333333333333, 'Zn': 0.46875, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.1403368699389536,1.1762465697068434,1.0,fixed,1.0,,0.6463005868904236,0.64270832955631,0.6875529289245605,0.6463005868904236,0.5922077922077922,0.6875529289245605,0.6463005868904236,0.5922077922077922,"[[470, 7, 17, 57], [4, 57, 3, 6], [86, 10, 57, 22], [122, 9, 26, 228]]",0.8142857142857143,0.64270832955631,0.32571428571428573,0.852994555353902,"{'Mn': 0.852994555353902, 'Cu': 0.8142857142857143, 'Zn': 0.32571428571428573, 'Class VIII': 0.5922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.32571428571428573,"[[470, 7, 17, 57], [4, 57, 3, 6], [86, 10, 57, 22], [122, 9, 26, 228]]",,0.64270832955631,0.32571428571428573,0.852994555353902,"{'Mn': 0.852994555353902, 'Cu': 0.8142857142857143, 'Zn': 0.32571428571428573, 'Class VIII': 0.5922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5471837414089347,0.5248850595090356,0.48076921701431274,0.5471837414089347,0.515625,0.48076921701431274,0.5471837414089347,0.515625,"[[37, 0, 57, 3], [0, 10, 4, 1], [8, 3, 20, 1], [16, 2, 13, 33]]",0.6666666666666666,0.5248850595090356,0.38144329896907214,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.6666666666666666, 'Zn': 0.625, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[37, 0, 57, 3], [0, 10, 4, 1], [8, 3, 20, 1], [16, 2, 13, 33]]",,0.5248850595090356,0.38144329896907214,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.6666666666666666, 'Zn': 0.625, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,0.9979480887587006,1.1014578067339384,1.0,fixed,1.0,,0.7101286916350438,0.7090867881449616,0.721422553062439,0.7101286916350438,0.8207792207792208,0.721422553062439,0.7101286916350438,0.8207792207792208,"[[395, 6, 26, 124], [1, 58, 5, 6], [45, 4, 83, 43], [33, 2, 34, 316]]",0.8285714285714286,0.7090867881449616,0.4742857142857143,0.7168784029038112,"{'Mn': 0.7168784029038112, 'Cu': 0.8285714285714286, 'Zn': 0.4742857142857143, 'Class VIII': 0.8207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4742857142857143,"[[395, 6, 26, 124], [1, 58, 5, 6], [45, 4, 83, 43], [33, 2, 34, 316]]",,0.7090867881449616,0.4742857142857143,0.7168784029038112,"{'Mn': 0.7168784029038112, 'Cu': 0.8285714285714286, 'Zn': 0.4742857142857143, 'Class VIII': 0.8207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5128436426116838,0.49577592761557177,0.45673078298568726,0.5128436426116838,0.65625,0.45673078298568726,0.5128436426116838,0.65625,"[[26, 0, 61, 10], [0, 8, 4, 3], [4, 2, 19, 7], [10, 0, 12, 42]]",0.5333333333333333,0.49577592761557177,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.5333333333333333, 'Zn': 0.59375, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.59375,"[[26, 0, 61, 10], [0, 8, 4, 3], [4, 2, 19, 7], [10, 0, 12, 42]]",,0.49577592761557177,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.5333333333333333, 'Zn': 0.59375, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,0.8927836957815531,1.0611519045554674,1.0,fixed,1.0,,0.7840658071511066,0.7636479710131526,0.7662997245788574,0.7840658071511066,0.7610389610389611,0.7662997245788574,0.7840658071511066,0.7610389610389611,"[[424, 6, 49, 72], [0, 62, 7, 1], [22, 3, 126, 24], [32, 2, 58, 293]]",0.8857142857142857,0.7636479710131526,0.72,0.7695099818511797,"{'Mn': 0.7695099818511797, 'Cu': 0.8857142857142857, 'Zn': 0.72, 'Class VIII': 0.7610389610389611}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.72,"[[424, 6, 49, 72], [0, 62, 7, 1], [22, 3, 126, 24], [32, 2, 58, 293]]",,0.7636479710131526,0.72,0.7695099818511797,"{'Mn': 0.7695099818511797, 'Cu': 0.8857142857142857, 'Zn': 0.72, 'Class VIII': 0.7610389610389611}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5618825171821306,0.5148808541730502,0.45192307233810425,0.5618825171821306,0.5625,0.45192307233810425,0.5618825171821306,0.5625,"[[23, 0, 68, 6], [0, 10, 4, 1], [2, 2, 25, 3], [11, 1, 16, 36]]",0.6666666666666666,0.5148808541730502,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[23, 0, 68, 6], [0, 10, 4, 1], [2, 2, 25, 3], [11, 1, 16, 36]]",,0.5148808541730502,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,0.7738909739497546,1.0303643678243344,1.0,fixed,1.0,,0.8096469229500083,0.7873240588945387,0.7874682545661926,0.8096469229500083,0.7818181818181819,0.7874682545661926,0.8096469229500083,0.7818181818181819,"[[428, 4, 54, 65], [0, 62, 7, 1], [22, 1, 139, 13], [21, 3, 60, 301]]",0.8857142857142857,0.7873240588945387,0.7767695099818511,0.7767695099818511,"{'Mn': 0.7767695099818511, 'Cu': 0.8857142857142857, 'Zn': 0.7942857142857143, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7942857142857143,"[[428, 4, 54, 65], [0, 62, 7, 1], [22, 1, 139, 13], [21, 3, 60, 301]]",,0.7873240588945387,0.7767695099818511,0.7767695099818511,"{'Mn': 0.7767695099818511, 'Cu': 0.8857142857142857, 'Zn': 0.7942857142857143, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5966709621993127,0.5466718466718467,0.48557692766189575,0.5966709621993127,0.59375,0.48557692766189575,0.5966709621993127,0.59375,"[[27, 0, 67, 3], [0, 11, 4, 0], [2, 2, 25, 3], [9, 2, 15, 38]]",0.7333333333333333,0.5466718466718467,0.27835051546391754,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.7333333333333333, 'Zn': 0.78125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[27, 0, 67, 3], [0, 11, 4, 0], [2, 2, 25, 3], [9, 2, 15, 38]]",,0.5466718466718467,0.27835051546391754,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.7333333333333333, 'Zn': 0.78125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,0.6915063416031567,1.0637025328782888,1.0,fixed,1.0,,0.8187609305395149,0.78751252104642,0.7790008187294006,0.8187609305395149,0.7948051948051948,0.7790008187294006,0.8187609305395149,0.7948051948051948,"[[400, 3, 68, 80], [0, 62, 7, 1], [9, 1, 152, 13], [8, 2, 69, 306]]",0.8857142857142857,0.78751252104642,0.7259528130671506,0.7259528130671506,"{'Mn': 0.7259528130671506, 'Cu': 0.8857142857142857, 'Zn': 0.8685714285714285, 'Class VIII': 0.7948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8685714285714285,"[[400, 3, 68, 80], [0, 62, 7, 1], [9, 1, 152, 13], [8, 2, 69, 306]]",,0.78751252104642,0.7259528130671506,0.7259528130671506,"{'Mn': 0.7259528130671506, 'Cu': 0.8857142857142857, 'Zn': 0.8685714285714285, 'Class VIII': 0.7948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6007382946735396,0.531012958107241,0.4663461446762085,0.6007382946735396,0.578125,0.4663461446762085,0.6007382946735396,0.578125,"[[21, 0, 71, 5], [0, 11, 4, 0], [1, 2, 28, 1], [8, 2, 17, 37]]",0.7333333333333333,0.531012958107241,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.875,"[[21, 0, 71, 5], [0, 11, 4, 0], [1, 2, 28, 1], [8, 2, 17, 37]]",,0.531012958107241,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,0.61837781834844,0.9639847863178986,1.0,fixed,1.0,,0.8204145944799303,0.8136083554682856,0.8060965538024902,0.8204145944799303,0.8051948051948052,0.8060965538024902,0.8204145944799303,0.8051948051948052,"[[442, 0, 42, 67], [1, 62, 6, 1], [17, 0, 138, 20], [23, 0, 52, 310]]",0.8857142857142857,0.8136083554682856,0.7885714285714286,0.8021778584392014,"{'Mn': 0.8021778584392014, 'Cu': 0.8857142857142857, 'Zn': 0.7885714285714286, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7885714285714286,"[[442, 0, 42, 67], [1, 62, 6, 1], [17, 0, 138, 20], [23, 0, 52, 310]]",,0.8136083554682856,0.7885714285714286,0.8021778584392014,"{'Mn': 0.8021778584392014, 'Cu': 0.8857142857142857, 'Zn': 0.7885714285714286, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5890651847079038,0.5668109759979627,0.4951923191547394,0.5890651847079038,0.609375,0.4951923191547394,0.5890651847079038,0.609375,"[[29, 0, 64, 4], [0, 10, 4, 1], [2, 0, 25, 5], [11, 0, 14, 39]]",0.6666666666666666,0.5668109759979627,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[29, 0, 64, 4], [0, 10, 4, 1], [2, 0, 25, 5], [11, 0, 14, 39]]",,0.5668109759979627,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,0.5757632424702516,0.9237363762580432,1.0,fixed,1.0,,0.8287097838640488,0.8205875206704082,0.8179509043693542,0.8287097838640488,0.7792207792207793,0.8179509043693542,0.8287097838640488,0.7792207792207793,"[[462, 0, 35, 54], [1, 62, 6, 1], [22, 1, 142, 10], [31, 1, 53, 300]]",0.8857142857142857,0.8205875206704082,0.7792207792207793,0.838475499092559,"{'Mn': 0.838475499092559, 'Cu': 0.8857142857142857, 'Zn': 0.8114285714285714, 'Class VIII': 0.7792207792207793}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8114285714285714,"[[462, 0, 35, 54], [1, 62, 6, 1], [22, 1, 142, 10], [31, 1, 53, 300]]",,0.8205875206704082,0.7792207792207793,0.838475499092559,"{'Mn': 0.838475499092559, 'Cu': 0.8857142857142857, 'Zn': 0.8114285714285714, 'Class VIII': 0.7792207792207793}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5874489905498281,0.5525231088825291,0.48557692766189575,0.5874489905498281,0.546875,0.48557692766189575,0.5874489905498281,0.546875,"[[31, 0, 63, 3], [0, 11, 4, 0], [6, 1, 24, 1], [14, 2, 13, 35]]",0.7333333333333333,0.5525231088825291,0.31958762886597936,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.7333333333333333, 'Zn': 0.75, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.75,"[[31, 0, 63, 3], [0, 11, 4, 0], [6, 1, 24, 1], [14, 2, 13, 35]]",,0.5525231088825291,0.31958762886597936,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.7333333333333333, 'Zn': 0.75, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,0.538643605201631,0.8693295270204544,1.0,fixed,1.0,,0.8385906380370991,0.8249775986360873,0.8196443915367126,0.8385906380370991,0.8051948051948052,0.8196443915367126,0.8385906380370991,0.8051948051948052,"[[449, 0, 36, 66], [1, 63, 5, 1], [17, 1, 146, 11], [23, 2, 50, 310]]",0.9,0.8249775986360873,0.8051948051948052,0.8148820326678766,"{'Mn': 0.8148820326678766, 'Cu': 0.9, 'Zn': 0.8342857142857143, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8342857142857143,"[[449, 0, 36, 66], [1, 63, 5, 1], [17, 1, 146, 11], [23, 2, 50, 310]]",,0.8249775986360873,0.8051948051948052,0.8148820326678766,"{'Mn': 0.8148820326678766, 'Cu': 0.9, 'Zn': 0.8342857142857143, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6222025343642612,0.5955196869722033,0.5625,0.6222025343642612,0.59375,0.5625,0.6222025343642612,0.59375,"[[46, 0, 47, 4], [0, 11, 4, 0], [5, 2, 22, 3], [11, 2, 13, 38]]",0.7333333333333333,0.5955196869722033,0.4742268041237113,0.4742268041237113,"{'Mn': 0.4742268041237113, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[46, 0, 47, 4], [0, 11, 4, 0], [5, 2, 22, 3], [11, 2, 13, 38]]",,0.5955196869722033,0.4742268041237113,0.4742268041237113,"{'Mn': 0.4742268041237113, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
