epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.375398519876841,1.3382770785918603,1.0,fixed,1.0,,0.25,0.15906466512702078,0.46655377745628357,0.25,0.0,0.46655377745628357,0.25,0.0,"[[551, 0, 0, 0], [70, 0, 0, 0], [175, 0, 0, 0], [385, 0, 0, 0]]",0.0,0.15906466512702078,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[551, 0, 0, 0], [70, 0, 0, 0], [175, 0, 0, 0], [385, 0, 0, 0]]",,0.15906466512702078,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.25,0.15901639344262297,0.4663461446762085,0.25,0.0,0.4663461446762085,0.25,0.0,"[[97, 0, 0, 0], [15, 0, 0, 0], [32, 0, 0, 0], [64, 0, 0, 0]]",0.0,0.15901639344262297,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[97, 0, 0, 0], [15, 0, 0, 0], [32, 0, 0, 0], [64, 0, 0, 0]]",,0.15901639344262297,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3151875041626595,1.2203532755374908,1.0,fixed,1.0,,0.4428017536003017,0.39151047518473897,0.4944961965084076,0.4428017536003017,0.13506493506493505,0.4944961965084076,0.4428017536003017,0.13506493506493505,"[[382, 0, 158, 11], [1, 10, 59, 0], [32, 0, 140, 3], [87, 0, 246, 52]]",0.14285714285714285,0.39151047518473897,0.13506493506493505,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.14285714285714285, 'Zn': 0.8, 'Class VIII': 0.13506493506493505}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8,"[[382, 0, 158, 11], [1, 10, 59, 0], [32, 0, 140, 3], [87, 0, 246, 52]]",,0.39151047518473897,0.13506493506493505,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.14285714285714285, 'Zn': 0.8, 'Class VIII': 0.13506493506493505}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.42990764604810994,0.38281997607655505,0.41826921701431274,0.42990764604810994,0.09375,0.41826921701431274,0.42990764604810994,0.09375,"[[50, 0, 47, 0], [0, 4, 11, 0], [3, 0, 27, 2], [15, 0, 43, 6]]",0.26666666666666666,0.38281997607655505,0.09375,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.26666666666666666, 'Zn': 0.84375, 'Class VIII': 0.09375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.84375,"[[50, 0, 47, 0], [0, 4, 11, 0], [3, 0, 27, 2], [15, 0, 43, 6]]",,0.38281997607655505,0.09375,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.26666666666666666, 'Zn': 0.84375, 'Class VIII': 0.09375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.12224744542225,1.1304246324759264,1.0,fixed,1.0,,0.5667655030994414,0.5737711306148007,0.6240473985671997,0.5667655030994414,0.9168831168831169,0.6240473985671997,0.5667655030994414,0.9168831168831169,"[[300, 0, 18, 233], [1, 38, 10, 21], [17, 12, 46, 100], [12, 2, 18, 353]]",0.5428571428571428,0.5737711306148007,0.26285714285714284,0.5444646098003629,"{'Mn': 0.5444646098003629, 'Cu': 0.5428571428571428, 'Zn': 0.26285714285714284, 'Class VIII': 0.9168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.26285714285714284,"[[300, 0, 18, 233], [1, 38, 10, 21], [17, 12, 46, 100], [12, 2, 18, 353]]",,0.5737711306148007,0.26285714285714284,0.5444646098003629,"{'Mn': 0.5444646098003629, 'Cu': 0.5428571428571428, 'Zn': 0.26285714285714284, 'Class VIII': 0.9168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4774806701030928,0.44118240516545604,0.4615384638309479,0.4774806701030928,0.90625,0.4615384638309479,0.4774806701030928,0.90625,"[[24, 0, 18, 55], [0, 9, 3, 3], [1, 3, 5, 23], [4, 1, 1, 58]]",0.6,0.44118240516545604,0.15625,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6, 'Zn': 0.15625, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[24, 0, 18, 55], [0, 9, 3, 3], [1, 3, 5, 23], [4, 1, 1, 58]]",,0.44118240516545604,0.15625,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6, 'Zn': 0.15625, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,0.9499443064670305,1.0214527123249495,1.0,fixed,1.0,,0.739279586112617,0.6932592345174278,0.733276903629303,0.739279586112617,0.7636363636363637,0.733276903629303,0.739279586112617,0.7636363636363637,"[[401, 0, 89, 61], [0, 57, 7, 6], [19, 29, 114, 13], [27, 14, 50, 294]]",0.8142857142857143,0.6932592345174278,0.6514285714285715,0.7277676950998185,"{'Mn': 0.7277676950998185, 'Cu': 0.8142857142857143, 'Zn': 0.6514285714285715, 'Class VIII': 0.7636363636363637}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6514285714285715,"[[401, 0, 89, 61], [0, 57, 7, 6], [19, 29, 114, 13], [27, 14, 50, 294]]",,0.6932592345174278,0.6514285714285715,0.7277676950998185,"{'Mn': 0.7277676950998185, 'Cu': 0.8142857142857143, 'Zn': 0.6514285714285715, 'Class VIII': 0.7636363636363637}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5786941580756013,0.5010935649233521,0.49038460850715637,0.5786941580756013,0.59375,0.49038460850715637,0.5786941580756013,0.59375,"[[37, 0, 52, 8], [0, 14, 1, 0], [1, 11, 13, 7], [6, 7, 13, 38]]",0.9333333333333333,0.5010935649233521,0.38144329896907214,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.9333333333333333, 'Zn': 0.40625, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[37, 0, 52, 8], [0, 14, 1, 0], [1, 11, 13, 7], [6, 7, 13, 38]]",,0.5010935649233521,0.38144329896907214,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.9333333333333333, 'Zn': 0.40625, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,0.8264327392586179,1.1065366629224558,1.0,fixed,1.0,,0.6892360996535225,0.690084068031177,0.7154953479766846,0.6892360996535225,0.8935064935064935,0.7154953479766846,0.6892360996535225,0.8935064935064935,"[[375, 0, 20, 156], [1, 54, 4, 11], [22, 11, 72, 70], [21, 5, 15, 344]]",0.7714285714285715,0.690084068031177,0.4114285714285714,0.6805807622504537,"{'Mn': 0.6805807622504537, 'Cu': 0.7714285714285715, 'Zn': 0.4114285714285714, 'Class VIII': 0.8935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4114285714285714,"[[375, 0, 20, 156], [1, 54, 4, 11], [22, 11, 72, 70], [21, 5, 15, 344]]",,0.690084068031177,0.4114285714285714,0.6805807622504537,"{'Mn': 0.6805807622504537, 'Cu': 0.7714285714285715, 'Zn': 0.4114285714285714, 'Class VIII': 0.8935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5670559493127147,0.4916004038874164,0.504807710647583,0.5670559493127147,0.796875,0.504807710647583,0.5670559493127147,0.796875,"[[34, 0, 16, 47], [0, 14, 0, 1], [2, 7, 6, 17], [6, 4, 3, 51]]",0.9333333333333333,0.4916004038874164,0.1875,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Class VIII': 0.796875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.1875,"[[34, 0, 16, 47], [0, 14, 0, 1], [2, 7, 6, 17], [6, 4, 3, 51]]",,0.4916004038874164,0.1875,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Class VIII': 0.796875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,0.7072459007235797,1.0923817965846796,1.0,fixed,1.0,,0.8034296556438117,0.7581325172419753,0.7696866989135742,0.8034296556438117,0.7818181818181819,0.7696866989135742,0.8034296556438117,0.7818181818181819,"[[408, 1, 91, 51], [0, 64, 6, 0], [17, 13, 136, 9], [19, 8, 57, 301]]",0.9142857142857143,0.7581325172419753,0.7404718693284936,0.7404718693284936,"{'Mn': 0.7404718693284936, 'Cu': 0.9142857142857143, 'Zn': 0.7771428571428571, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7771428571428571,"[[408, 1, 91, 51], [0, 64, 6, 0], [17, 13, 136, 9], [19, 8, 57, 301]]",,0.7581325172419753,0.7404718693284936,0.7404718693284936,"{'Mn': 0.7404718693284936, 'Cu': 0.9142857142857143, 'Zn': 0.7771428571428571, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.589245060137457,0.49929311262947096,0.48557692766189575,0.589245060137457,0.625,0.48557692766189575,0.589245060137457,0.625,"[[32, 0, 52, 13], [0, 14, 1, 0], [0, 10, 15, 7], [7, 7, 10, 40]]",0.9333333333333333,0.49929311262947096,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[32, 0, 52, 13], [0, 14, 1, 0], [0, 10, 15, 7], [7, 7, 10, 40]]",,0.49929311262947096,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,0.6428733002897855,0.8884778062884624,1.0,fixed,1.0,,0.8186159756758669,0.8267907280159229,0.8391193747520447,0.8186159756758669,0.7896103896103897,0.8391193747520447,0.8186159756758669,0.7896103896103897,"[[497, 0, 35, 19], [0, 58, 11, 1], [37, 1, 132, 5], [43, 0, 38, 304]]",0.8285714285714286,0.8267907280159229,0.7542857142857143,0.9019963702359347,"{'Mn': 0.9019963702359347, 'Cu': 0.8285714285714286, 'Zn': 0.7542857142857143, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7542857142857143,"[[497, 0, 35, 19], [0, 58, 11, 1], [37, 1, 132, 5], [43, 0, 38, 304]]",,0.8267907280159229,0.7542857142857143,0.9019963702359347,"{'Mn': 0.9019963702359347, 'Cu': 0.8285714285714286, 'Zn': 0.7542857142857143, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6639067869415808,0.6284722222222222,0.6394230723381042,0.6639067869415808,0.65625,0.6394230723381042,0.6639067869415808,0.65625,"[[64, 0, 28, 5], [0, 14, 1, 0], [6, 4, 13, 9], [13, 3, 6, 42]]",0.9333333333333333,0.6284722222222222,0.40625,0.6597938144329897,"{'Mn': 0.6597938144329897, 'Cu': 0.9333333333333333, 'Zn': 0.40625, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[64, 0, 28, 5], [0, 14, 1, 0], [6, 4, 13, 9], [13, 3, 6, 42]]",,0.6284722222222222,0.40625,0.6597938144329897,"{'Mn': 0.6597938144329897, 'Cu': 0.9333333333333333, 'Zn': 0.40625, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.5915600141208317,0.9975665767605488,1.0,fixed,1.0,,0.8043286114973955,0.8233426879624626,0.8408128619194031,0.8043286114973955,0.825974025974026,0.8408128619194031,0.8043286114973955,0.825974025974026,"[[499, 0, 22, 30], [1, 56, 8, 5], [35, 0, 120, 20], [42, 1, 24, 318]]",0.8,0.8233426879624626,0.6857142857142857,0.9056261343012704,"{'Mn': 0.9056261343012704, 'Cu': 0.8, 'Zn': 0.6857142857142857, 'Class VIII': 0.825974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6857142857142857,"[[499, 0, 22, 30], [1, 56, 8, 5], [35, 0, 120, 20], [42, 1, 24, 318]]",,0.8233426879624626,0.6857142857142857,0.9056261343012704,"{'Mn': 0.9056261343012704, 'Cu': 0.8, 'Zn': 0.6857142857142857, 'Class VIII': 0.825974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6393819802405498,0.6070445605456719,0.6105769276618958,0.6393819802405498,0.734375,0.6105769276618958,0.6393819802405498,0.734375,"[[56, 0, 23, 18], [0, 14, 0, 1], [3, 4, 10, 15], [11, 1, 5, 47]]",0.9333333333333333,0.6070445605456719,0.3125,0.5773195876288659,"{'Mn': 0.5773195876288659, 'Cu': 0.9333333333333333, 'Zn': 0.3125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[56, 0, 23, 18], [0, 14, 0, 1], [3, 4, 10, 15], [11, 1, 5, 47]]",,0.6070445605456719,0.3125,0.5773195876288659,"{'Mn': 0.5773195876288659, 'Cu': 0.9333333333333333, 'Zn': 0.3125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.5436297929468187,1.0799022689461708,1.0,fixed,1.0,,0.852595988403611,0.844095031928718,0.8501269817352295,0.852595988403611,0.8415584415584415,0.8501269817352295,0.852595988403611,0.8415584415584415,"[[474, 0, 44, 33], [0, 62, 7, 1], [18, 1, 144, 12], [24, 2, 35, 324]]",0.8857142857142857,0.844095031928718,0.8228571428571428,0.8602540834845736,"{'Mn': 0.8602540834845736, 'Cu': 0.8857142857142857, 'Zn': 0.8228571428571428, 'Class VIII': 0.8415584415584415}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8228571428571428,"[[474, 0, 44, 33], [0, 62, 7, 1], [18, 1, 144, 12], [24, 2, 35, 324]]",,0.844095031928718,0.8228571428571428,0.8602540834845736,"{'Mn': 0.8602540834845736, 'Cu': 0.8857142857142857, 'Zn': 0.8228571428571428, 'Class VIII': 0.8415584415584415}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.645019866838488,0.5907764887976609,0.5625,0.645019866838488,0.734375,0.5625,0.645019866838488,0.734375,"[[40, 0, 42, 15], [0, 14, 0, 1], [4, 4, 16, 8], [8, 2, 7, 47]]",0.9333333333333333,0.5907764887976609,0.41237113402061853,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.9333333333333333, 'Zn': 0.5, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[40, 0, 42, 15], [0, 14, 0, 1], [4, 4, 16, 8], [8, 2, 7, 47]]",,0.5907764887976609,0.41237113402061853,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.9333333333333333, 'Zn': 0.5, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.5502853157955248,1.0567177589266346,1.0,fixed,1.0,,0.8472556390977444,0.8545837918983594,0.8645215630531311,0.8472556390977444,0.8571428571428571,0.8645215630531311,0.8472556390977444,0.8571428571428571,"[[493, 0, 24, 34], [1, 59, 9, 1], [20, 0, 139, 16], [25, 0, 30, 330]]",0.8428571428571429,0.8545837918983594,0.7942857142857143,0.8947368421052632,"{'Mn': 0.8947368421052632, 'Cu': 0.8428571428571429, 'Zn': 0.7942857142857143, 'Class VIII': 0.8571428571428571}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7942857142857143,"[[493, 0, 24, 34], [1, 59, 9, 1], [20, 0, 139, 16], [25, 0, 30, 330]]",,0.8545837918983594,0.7942857142857143,0.8947368421052632,"{'Mn': 0.8947368421052632, 'Cu': 0.8428571428571429, 'Zn': 0.7942857142857143, 'Class VIII': 0.8571428571428571}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6219609106529209,0.5990076069322542,0.6105769276618958,0.6219609106529209,0.71875,0.6105769276618958,0.6219609106529209,0.71875,"[[55, 0, 19, 23], [1, 11, 2, 1], [3, 4, 15, 10], [11, 2, 5, 46]]",0.7333333333333333,0.5990076069322542,0.46875,0.5670103092783505,"{'Mn': 0.5670103092783505, 'Cu': 0.7333333333333333, 'Zn': 0.46875, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[55, 0, 19, 23], [1, 11, 2, 1], [3, 4, 15, 10], [11, 2, 5, 46]]",,0.5990076069322542,0.46875,0.5670103092783505,"{'Mn': 0.5670103092783505, 'Cu': 0.7333333333333333, 'Zn': 0.46875, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
