epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.378869895999496,1.3561377983826857,1.0,fixed,1.0,,0.3169432201192637,0.2645622002846446,0.4750211536884308,0.3169432201192637,0.8285714285714286,0.4750211536884308,0.3169432201192637,0.8285714285714286,"[[242, 0, 0, 309], [31, 0, 0, 39], [37, 0, 0, 138], [66, 0, 0, 319]]",0.0,0.2645622002846446,0.0,0.43920145190562615,"{'Mn': 0.43920145190562615, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.8285714285714286}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[242, 0, 0, 309], [31, 0, 0, 39], [37, 0, 0, 138], [66, 0, 0, 319]]",,0.2645622002846446,0.0,0.43920145190562615,"{'Mn': 0.43920145190562615, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.8285714285714286}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3127818943298969,0.25058491811146444,0.44711539149284363,0.3127818943298969,0.859375,0.44711539149284363,0.3127818943298969,0.859375,"[[38, 0, 0, 59], [9, 0, 0, 6], [5, 0, 0, 27], [9, 0, 0, 55]]",0.0,0.25058491811146444,0.0,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[38, 0, 0, 59], [9, 0, 0, 6], [5, 0, 0, 27], [9, 0, 0, 55]]",,0.25058491811146444,0.0,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.3561281779327907,1.3350639939308167,1.0,fixed,1.0,,0.3272833337261649,0.28129113200639355,0.5038103461265564,0.3272833337261649,0.7610389610389611,0.5038103461265564,0.3272833337261649,0.7610389610389611,"[[302, 0, 0, 249], [36, 0, 0, 34], [54, 0, 0, 121], [92, 0, 0, 293]]",0.0,0.28129113200639355,0.0,0.5480943738656987,"{'Mn': 0.5480943738656987, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.7610389610389611}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[302, 0, 0, 249], [36, 0, 0, 34], [54, 0, 0, 121], [92, 0, 0, 293]]",,0.28129113200639355,0.0,0.5480943738656987,"{'Mn': 0.5480943738656987, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.7610389610389611}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.30613724226804123,0.2519936204146731,0.44711539149284363,0.30613724226804123,0.78125,0.44711539149284363,0.30613724226804123,0.78125,"[[43, 0, 0, 54], [10, 0, 0, 5], [7, 0, 0, 25], [14, 0, 0, 50]]",0.0,0.2519936204146731,0.0,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[43, 0, 0, 54], [10, 0, 0, 5], [7, 0, 0, 25], [14, 0, 0, 50]]",,0.2519936204146731,0.0,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.3338153466985032,1.3062532819234407,1.0,fixed,1.0,,0.295933014354067,0.25694045552425127,0.4885690212249756,0.295933014354067,0.12207792207792208,0.4885690212249756,0.295933014354067,0.12207792207792208,"[[522, 1, 0, 28], [58, 8, 0, 4], [159, 3, 0, 13], [335, 3, 0, 47]]",0.11428571428571428,0.25694045552425127,0.0,0.9473684210526315,"{'Mn': 0.9473684210526315, 'Cu': 0.11428571428571428, 'Zn': 0.0, 'Class VIII': 0.12207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[522, 1, 0, 28], [58, 8, 0, 4], [159, 3, 0, 13], [335, 3, 0, 47]]",,0.25694045552425127,0.0,0.9473684210526315,"{'Mn': 0.9473684210526315, 'Cu': 0.11428571428571428, 'Zn': 0.0, 'Class VIII': 0.12207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3118798324742268,0.2823464912280702,0.48557692766189575,0.3118798324742268,0.109375,0.48557692766189575,0.3118798324742268,0.109375,"[[91, 1, 0, 5], [12, 3, 0, 0], [28, 0, 0, 4], [57, 0, 0, 7]]",0.2,0.2823464912280702,0.0,0.9381443298969072,"{'Mn': 0.9381443298969072, 'Cu': 0.2, 'Zn': 0.0, 'Class VIII': 0.109375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[91, 1, 0, 5], [12, 3, 0, 0], [28, 0, 0, 4], [57, 0, 0, 7]]",,0.2823464912280702,0.0,0.9381443298969072,"{'Mn': 0.9381443298969072, 'Cu': 0.2, 'Zn': 0.0, 'Class VIII': 0.109375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,1.303349494128614,1.268368083697099,1.0,fixed,1.0,,0.3777841940273882,0.37245072052663497,0.5469940900802612,0.3777841940273882,0.37922077922077924,0.5469940900802612,0.3777841940273882,0.37922077922077924,"[[482, 3, 1, 65], [39, 18, 0, 13], [140, 4, 0, 31], [235, 3, 1, 146]]",0.2571428571428571,0.37245072052663497,0.0,0.8747731397459165,"{'Mn': 0.8747731397459165, 'Cu': 0.2571428571428571, 'Zn': 0.0, 'Class VIII': 0.37922077922077924}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[482, 3, 1, 65], [39, 18, 0, 13], [140, 4, 0, 31], [235, 3, 1, 146]]",,0.37245072052663497,0.0,0.8747731397459165,"{'Mn': 0.8747731397459165, 'Cu': 0.2571428571428571, 'Zn': 0.0, 'Class VIII': 0.37922077922077924}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.32229381443298966,0.3392498618155807,0.3990384638309479,0.32229381443298966,0.21875,0.3990384638309479,0.32229381443298966,0.21875,"[[62, 1, 0, 34], [5, 6, 0, 4], [19, 0, 1, 12], [50, 0, 0, 14]]",0.4,0.3392498618155807,0.03125,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.21875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[62, 1, 0, 34], [5, 6, 0, 4], [19, 0, 1, 12], [50, 0, 0, 14]]",,0.3392498618155807,0.03125,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.21875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,1.2590318016103796,1.20987780048297,1.0,fixed,1.0,,0.5016405826478422,0.5040106940525448,0.5901778340339661,0.5016405826478422,0.8701298701298701,0.5901778340339661,0.5016405826478422,0.8701298701298701,"[[294, 9, 29, 219], [2, 25, 21, 22], [23, 9, 43, 100], [33, 4, 13, 335]]",0.35714285714285715,0.5040106940525448,0.24571428571428572,0.5335753176043557,"{'Mn': 0.5335753176043557, 'Cu': 0.35714285714285715, 'Zn': 0.24571428571428572, 'Class VIII': 0.8701298701298701}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.24571428571428572,"[[294, 9, 29, 219], [2, 25, 21, 22], [23, 9, 43, 100], [33, 4, 13, 335]]",,0.5040106940525448,0.24571428571428572,0.5335753176043557,"{'Mn': 0.5335753176043557, 'Cu': 0.35714285714285715, 'Zn': 0.24571428571428572, 'Class VIII': 0.8701298701298701}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5045478951890034,0.5128571428571429,0.5432692170143127,0.5045478951890034,0.875,0.5432692170143127,0.5045478951890034,0.875,"[[44, 1, 1, 51], [1, 8, 1, 5], [3, 0, 5, 24], [5, 0, 3, 56]]",0.5333333333333333,0.5128571428571429,0.15625,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.5333333333333333, 'Zn': 0.15625, 'Class VIII': 0.875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[44, 1, 1, 51], [1, 8, 1, 5], [3, 0, 5, 24], [5, 0, 3, 56]]",,0.5128571428571429,0.15625,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.5333333333333333, 'Zn': 0.15625, 'Class VIII': 0.875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,1.17537004399944,1.1363191948487208,1.0,fixed,1.0,,0.5583968934876375,0.5334863594453211,0.6452159285545349,0.5583968934876375,0.8753246753246753,0.6452159285545349,0.5583968934876375,0.8753246753246753,"[[369, 8, 4, 170], [3, 43, 3, 21], [42, 16, 13, 104], [41, 5, 2, 337]]",0.6142857142857143,0.5334863594453211,0.07428571428571429,0.6696914700544465,"{'Mn': 0.6696914700544465, 'Cu': 0.6142857142857143, 'Zn': 0.07428571428571429, 'Class VIII': 0.8753246753246753}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.07428571428571429,"[[369, 8, 4, 170], [3, 43, 3, 21], [42, 16, 13, 104], [41, 5, 2, 337]]",,0.5334863594453211,0.07428571428571429,0.6696914700544465,"{'Mn': 0.6696914700544465, 'Cu': 0.6142857142857143, 'Zn': 0.07428571428571429, 'Class VIII': 0.8753246753246753}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.50168331185567,0.5002075702075702,0.5336538553237915,0.50168331185567,0.859375,0.5336538553237915,0.50168331185567,0.859375,"[[44, 1, 0, 52], [0, 9, 2, 4], [6, 0, 3, 23], [7, 0, 2, 55]]",0.6,0.5002075702075702,0.09375,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.6, 'Zn': 0.09375, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[44, 1, 0, 52], [0, 9, 2, 4], [6, 0, 3, 23], [7, 0, 2, 55]]",,0.5002075702075702,0.09375,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.6, 'Zn': 0.09375, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,1.1105733465504002,1.1307413715582628,1.0,fixed,1.0,,0.553209748509204,0.5354366244191158,0.6020321846008301,0.553209748509204,0.9428571428571428,0.6020321846008301,0.553209748509204,0.9428571428571428,"[[281, 6, 5, 259], [2, 44, 2, 22], [17, 12, 23, 123], [8, 5, 9, 363]]",0.6285714285714286,0.5354366244191158,0.13142857142857142,0.5099818511796733,"{'Mn': 0.5099818511796733, 'Cu': 0.6285714285714286, 'Zn': 0.13142857142857142, 'Class VIII': 0.9428571428571428}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.13142857142857142,"[[281, 6, 5, 259], [2, 44, 2, 22], [17, 12, 23, 123], [8, 5, 9, 363]]",,0.5354366244191158,0.13142857142857142,0.5099818511796733,"{'Mn': 0.5099818511796733, 'Cu': 0.6285714285714286, 'Zn': 0.13142857142857142, 'Class VIII': 0.9428571428571428}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5070795747422681,0.5045622884134383,0.5192307829856873,0.5070795747422681,0.890625,0.5192307829856873,0.5070795747422681,0.890625,"[[37, 1, 6, 53], [0, 9, 2, 4], [3, 0, 5, 24], [5, 0, 2, 57]]",0.6,0.5045622884134383,0.15625,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.6, 'Zn': 0.15625, 'Class VIII': 0.890625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[37, 1, 6, 53], [0, 9, 2, 4], [3, 0, 5, 24], [5, 0, 2, 57]]",,0.5045622884134383,0.15625,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.6, 'Zn': 0.15625, 'Class VIII': 0.890625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,1.033236880157445,1.0775900391431956,1.0,fixed,1.0,,0.6336431989063568,0.6622842264406338,0.7231159806251526,0.6336431989063568,0.7324675324675325,0.7231159806251526,0.6336431989063568,0.7324675324675325,"[[464, 0, 40, 47], [3, 40, 8, 19], [65, 2, 68, 40], [70, 4, 29, 282]]",0.5714285714285714,0.6622842264406338,0.38857142857142857,0.8421052631578947,"{'Mn': 0.8421052631578947, 'Cu': 0.5714285714285714, 'Zn': 0.38857142857142857, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38857142857142857,"[[464, 0, 40, 47], [3, 40, 8, 19], [65, 2, 68, 40], [70, 4, 29, 282]]",,0.6622842264406338,0.38857142857142857,0.8421052631578947,"{'Mn': 0.8421052631578947, 'Cu': 0.5714285714285714, 'Zn': 0.38857142857142857, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5441339132302405,0.5765102786870497,0.629807710647583,0.5441339132302405,0.671875,0.629807710647583,0.5441339132302405,0.671875,"[[73, 0, 17, 7], [1, 8, 3, 3], [8, 0, 7, 17], [14, 0, 7, 43]]",0.5333333333333333,0.5765102786870497,0.21875,0.7525773195876289,"{'Mn': 0.7525773195876289, 'Cu': 0.5333333333333333, 'Zn': 0.21875, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[73, 0, 17, 7], [1, 8, 3, 3], [8, 0, 7, 17], [14, 0, 7, 43]]",,0.5765102786870497,0.21875,0.7525773195876289,"{'Mn': 0.7525773195876289, 'Cu': 0.5333333333333333, 'Zn': 0.21875, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,0.9784907473100198,1.0003642508616815,1.0,fixed,1.0,,0.6123723100855587,0.6040536269201099,0.6900931596755981,0.6123723100855587,0.5714285714285714,0.6900931596755981,0.6123723100855587,0.5714285714285714,"[[509, 9, 7, 26], [4, 54, 3, 9], [113, 15, 32, 15], [144, 7, 14, 220]]",0.7714285714285715,0.6040536269201099,0.18285714285714286,0.9237749546279492,"{'Mn': 0.9237749546279492, 'Cu': 0.7714285714285715, 'Zn': 0.18285714285714286, 'Class VIII': 0.5714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.18285714285714286,"[[509, 9, 7, 26], [4, 54, 3, 9], [113, 15, 32, 15], [144, 7, 14, 220]]",,0.6040536269201099,0.18285714285714286,0.9237749546279492,"{'Mn': 0.9237749546279492, 'Cu': 0.7714285714285715, 'Zn': 0.18285714285714286, 'Class VIII': 0.5714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5881282216494845,0.546541686073591,0.6778846383094788,0.5881282216494845,0.53125,0.6778846383094788,0.5881282216494845,0.53125,"[[93, 0, 0, 4], [0, 12, 3, 0], [13, 5, 2, 12], [23, 4, 3, 34]]",0.8,0.546541686073591,0.0625,0.9587628865979382,"{'Mn': 0.9587628865979382, 'Cu': 0.8, 'Zn': 0.0625, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0625,"[[93, 0, 0, 4], [0, 12, 3, 0], [13, 5, 2, 12], [23, 4, 3, 34]]",,0.546541686073591,0.0625,0.9587628865979382,"{'Mn': 0.9587628865979382, 'Cu': 0.8, 'Zn': 0.0625, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,0.9303142259249816,0.9758075567392203,1.0,fixed,1.0,,0.7083077992787612,0.7037769992123617,0.764606237411499,0.7083077992787612,0.7818181818181819,0.764606237411499,0.7083077992787612,0.7818181818181819,"[[477, 5, 27, 42], [2, 55, 4, 9], [55, 14, 70, 36], [60, 8, 16, 301]]",0.7857142857142857,0.7037769992123617,0.4,0.8656987295825771,"{'Mn': 0.8656987295825771, 'Cu': 0.7857142857142857, 'Zn': 0.4, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4,"[[477, 5, 27, 42], [2, 55, 4, 9], [55, 14, 70, 36], [60, 8, 16, 301]]",,0.7037769992123617,0.4,0.8656987295825771,"{'Mn': 0.8656987295825771, 'Cu': 0.7857142857142857, 'Zn': 0.4, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6157135953608248,0.5921850127210591,0.682692289352417,0.6157135953608248,0.640625,0.682692289352417,0.6157135953608248,0.640625,"[[84, 0, 6, 7], [0, 12, 0, 3], [7, 4, 5, 16], [17, 3, 3, 41]]",0.8,0.5921850127210591,0.15625,0.865979381443299,"{'Mn': 0.865979381443299, 'Cu': 0.8, 'Zn': 0.15625, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[84, 0, 6, 7], [0, 12, 0, 3], [7, 4, 5, 16], [17, 3, 3, 41]]",,0.5921850127210591,0.15625,0.865979381443299,"{'Mn': 0.865979381443299, 'Cu': 0.8, 'Zn': 0.15625, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
