epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.6072684510334119,1.5815979334024282,1.0,fixed,1.0,,0.1996370235934664,0.12716763005780346,0.46570703387260437,0.1996370235934664,0.0,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[550, 1, 0, 0, 0], [70, 0, 0, 0, 0], [175, 0, 0, 0, 0], [247, 1, 0, 0, 0], [137, 0, 0, 0, 0]]",0.0,0.12716763005780346,0.0,0.9981851179673321,"{'Mn': 0.9981851179673321, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.0, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.19793814432989693,0.12631578947368421,0.4615384638309479,0.19793814432989693,0.0,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[96, 1, 0, 0, 0], [15, 0, 0, 0, 0], [32, 0, 0, 0, 0], [44, 0, 0, 0, 0], [20, 0, 0, 0, 0]]",0.0,0.12631578947368421,0.0,0.9896907216494846,"{'Mn': 0.9896907216494846, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.0, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
2,0.0001,1.5770502372367963,1.517451836512639,1.0,fixed,1.0,,0.3732735788302793,0.3215646307263128,0.4081287086009979,0.3732735788302793,0.0,0.43607112765312195,0.37328175454309753,0.9844155844155844,"[[115, 19, 0, 417], [0, 21, 0, 49], [9, 4, 0, 162], [4, 2, 0, 379]]",0.3,0.3113356567298089,0.0,0.20871143375680581,"{'Mn': 0.20871143375680581, 'Cu': 0.3, 'Zn': 0.0, 'Class VIII': 0.9844155844155844}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[212, 35, 143, 161, 0], [0, 27, 25, 18, 0], [26, 15, 69, 65, 0], [11, 4, 59, 174, 0], [16, 5, 61, 55, 0]]",0.7016129032258065,0.3215646307263128,0.0,0.38475499092558985,"{'Mn': 0.38475499092558985, 'Cu': 0.38571428571428573, 'Zn': 0.3942857142857143, 'Fe': 0.7016129032258065, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.38206654170571697,0.3320773237556178,0.375,0.38206654170571697,0.0,0.39423078298568726,0.42186694587628865,0.984375,"[[10, 2, 0, 85], [0, 9, 0, 6], [2, 0, 0, 30], [1, 0, 0, 63]]",0.6,0.3455475975637266,0.0,0.10309278350515463,"{'Mn': 0.10309278350515463, 'Cu': 0.6, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[29, 6, 51, 11, 0], [0, 9, 1, 5, 0], [5, 2, 12, 13, 0], [5, 0, 11, 28, 0], [6, 3, 5, 6, 0]]",0.6363636363636364,0.3320773237556178,0.0,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6, 'Zn': 0.375, 'Fe': 0.6363636363636364, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
3,0.0001,1.4971885318691667,1.4540607699981103,1.0,fixed,1.0,,0.385439527079433,0.31187403114476375,0.43945807218551636,0.385439527079433,0.1386861313868613,0.5207451581954956,0.48462594574209816,0.7012987012987013,"[[296, 141, 0, 114], [4, 49, 0, 17], [55, 67, 0, 53], [61, 54, 0, 270]]",0.7,0.37826097441031825,0.0,0.5372050816696915,"{'Mn': 0.5372050816696915, 'Cu': 0.7, 'Zn': 0.0, 'Class VIII': 0.7012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[340, 150, 8, 27, 26], [7, 51, 4, 7, 1], [75, 71, 2, 15, 12], [61, 42, 6, 107, 32], [59, 41, 2, 16, 19]]",0.4314516129032258,0.31187403114476375,0.011428571428571429,0.617059891107078,"{'Mn': 0.617059891107078, 'Cu': 0.7285714285714285, 'Zn': 0.011428571428571429, 'Fe': 0.4314516129032258, 'Class VIII': 0.1386861313868613}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.36924281474539206,0.30203231351111315,0.45673078298568726,0.36924281474539206,0.05,0.45673078298568726,0.4516564647766323,0.609375,"[[45, 27, 0, 25], [1, 11, 0, 3], [10, 12, 0, 10], [16, 9, 0, 39]]",0.7333333333333333,0.345758291339306,0.0,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.7333333333333333, 'Zn': 0.0, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[67, 29, 1, 0, 0], [1, 11, 3, 0, 0], [12, 12, 1, 6, 1], [11, 7, 1, 15, 10], [9, 6, 1, 3, 1]]",0.3409090909090909,0.30203231351111315,0.03125,0.6907216494845361,"{'Mn': 0.6907216494845361, 'Cu': 0.7333333333333333, 'Zn': 0.03125, 'Fe': 0.3409090909090909, 'Class VIII': 0.05}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
4,0.0001,1.36234052761181,1.2888181805610657,1.0,fixed,1.0,,0.5205867880690416,0.5048852838840949,0.6460626721382141,0.5205867880690416,0.1897810218978102,0.6435224413871765,0.5381847644188842,0.8363636363636363,"[[390, 6, 4, 151], [8, 39, 0, 23], [72, 23, 9, 71], [57, 6, 0, 322]]",0.5571428571428572,0.5093610219716513,0.05142857142857143,0.7078039927404719,"{'Mn': 0.7078039927404719, 'Cu': 0.5571428571428572, 'Zn': 0.05142857142857143, 'Class VIII': 0.8363636363636363}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.05142857142857143,"[[462, 7, 8, 48, 26], [11, 41, 0, 12, 6], [84, 23, 27, 29, 12], [23, 2, 2, 207, 14], [65, 5, 3, 38, 26]]",0.8346774193548387,0.5048852838840949,0.15428571428571428,0.838475499092559,"{'Mn': 0.838475499092559, 'Cu': 0.5857142857142857, 'Zn': 0.15428571428571428, 'Fe': 0.8346774193548387, 'Class VIII': 0.1897810218978102}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5021266791627617,0.4986304937843694,0.5865384340286255,0.5021266791627617,0.1,0.5721153616905212,0.5349817439862543,0.78125,"[[55, 2, 0, 40], [1, 10, 0, 4], [10, 0, 4, 18], [11, 1, 2, 50]]",0.6666666666666666,0.5312944390757458,0.125,0.5670103092783505,"{'Mn': 0.5670103092783505, 'Cu': 0.6666666666666666, 'Zn': 0.125, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.125,"[[65, 2, 1, 7, 22], [1, 10, 0, 2, 2], [15, 0, 6, 9, 2], [5, 0, 0, 39, 0], [8, 1, 2, 7, 2]]",0.8863636363636364,0.4986304937843694,0.1,0.6701030927835051,"{'Mn': 0.6701030927835051, 'Cu': 0.6666666666666666, 'Zn': 0.1875, 'Fe': 0.8863636363636364, 'Class VIII': 0.1}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
5,0.0001,1.1935457309355606,1.2098543689801142,1.0,fixed,1.0,,0.6169445774500557,0.6174189963957645,0.6756985783576965,0.6169445774500557,0.6058394160583942,0.6714648604393005,0.5717003323355411,0.9246753246753247,"[[379, 2, 4, 166], [4, 40, 1, 25], [43, 9, 18, 105], [25, 3, 1, 356]]",0.5714285714285714,0.5672871971847754,0.10285714285714286,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.5714285714285714, 'Zn': 0.10285714285714286, 'Class VIII': 0.9246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.10285714285714286,"[[412, 2, 27, 5, 105], [6, 40, 4, 10, 10], [53, 9, 59, 8, 46], [7, 1, 6, 204, 30], [32, 2, 11, 9, 83]]",0.8225806451612904,0.6174189963957645,0.33714285714285713,0.7477313974591652,"{'Mn': 0.7477313974591652, 'Cu': 0.5714285714285714, 'Zn': 0.33714285714285713, 'Fe': 0.8225806451612904, 'Class VIII': 0.6058394160583942}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.521828725398313,0.5263750954927426,0.5865384340286255,0.521828725398313,0.3,0.557692289352417,0.5001127577319587,0.8125,"[[54, 1, 1, 41], [0, 9, 1, 5], [4, 0, 1, 27], [10, 0, 2, 52]]",0.6,0.4947160147160147,0.03125,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.6, 'Zn': 0.03125, 'Class VIII': 0.8125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[63, 1, 7, 3, 23], [0, 9, 1, 2, 3], [6, 0, 7, 12, 7], [3, 0, 0, 37, 4], [7, 0, 3, 4, 6]]",0.8409090909090909,0.5263750954927426,0.21875,0.6494845360824743,"{'Mn': 0.6494845360824743, 'Cu': 0.6, 'Zn': 0.21875, 'Fe': 0.8409090909090909, 'Class VIII': 0.3}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
6,0.0001,1.0802875968652803,1.1830587891431956,1.0,fixed,1.0,,0.5992490496883554,0.5813546750240761,0.6164267659187317,0.5992490496883554,0.18248175182481752,0.6748518347740173,0.6892715723477975,0.7402597402597403,"[[332, 2, 176, 41], [1, 45, 9, 15], [18, 8, 135, 14], [18, 6, 76, 285]]",0.6428571428571429,0.6629717356122868,0.6025408348457351,0.6025408348457351,"{'Mn': 0.6025408348457351, 'Cu': 0.6428571428571429, 'Zn': 0.7714285714285715, 'Class VIII': 0.7402597402597403}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7714285714285715,"[[336, 2, 193, 0, 20], [1, 47, 12, 9, 1], [18, 8, 144, 1, 4], [8, 3, 32, 176, 29], [12, 4, 92, 4, 25]]",0.7096774193548387,0.5813546750240761,0.18248175182481752,0.6098003629764065,"{'Mn': 0.6098003629764065, 'Cu': 0.6714285714285714, 'Zn': 0.8228571428571428, 'Fe': 0.7096774193548387, 'Class VIII': 0.18248175182481752}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5092166510465479,0.518358799699197,0.4951923191547394,0.5092166510465479,0.2,0.504807710647583,0.5367133805841924,0.671875,"[[39, 1, 56, 1], [0, 10, 3, 2], [4, 0, 13, 15], [9, 0, 12, 43]]",0.6666666666666666,0.5512146582877895,0.4020618556701031,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.6666666666666666, 'Zn': 0.40625, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[40, 1, 56, 0, 0], [0, 10, 5, 0, 0], [5, 0, 18, 8, 1], [4, 0, 4, 31, 5], [5, 0, 10, 1, 4]]",0.7045454545454546,0.518358799699197,0.2,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.6666666666666666, 'Zn': 0.5625, 'Fe': 0.7045454545454546, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
7,0.0001,1.0015922259237315,1.1580716715409205,1.0,fixed,1.0,,0.6146645070085313,0.5799036105493325,0.6596105098724365,0.6146645070085313,0.10218978102189781,0.6858594417572021,0.7003950314658118,0.6363636363636364,"[[387, 8, 142, 14], [2, 52, 5, 11], [28, 15, 126, 6], [23, 10, 107, 245]]",0.7428571428571429,0.661838029590346,0.6363636363636364,0.7023593466424682,"{'Mn': 0.7023593466424682, 'Cu': 0.7428571428571429, 'Zn': 0.72, 'Class VIII': 0.6363636363636364}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.72,"[[388, 8, 147, 3, 5], [2, 52, 6, 9, 1], [28, 15, 127, 4, 1], [8, 9, 27, 198, 6], [17, 4, 100, 2, 14]]",0.7983870967741935,0.5799036105493325,0.10218978102189781,0.7041742286751361,"{'Mn': 0.7041742286751361, 'Cu': 0.7428571428571429, 'Zn': 0.7257142857142858, 'Fe': 0.7983870967741935, 'Class VIII': 0.10218978102189781}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5223617619493909,0.5017429355196916,0.5240384340286255,0.5223617619493909,0.1,0.5480769276618958,0.5818111039518901,0.640625,"[[47, 2, 48, 0], [0, 11, 2, 2], [6, 1, 15, 10], [9, 3, 11, 41]]",0.7333333333333333,0.5643318617964844,0.46875,0.4845360824742268,"{'Mn': 0.4845360824742268, 'Cu': 0.7333333333333333, 'Zn': 0.46875, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[47, 2, 48, 0, 0], [0, 12, 2, 1, 0], [6, 1, 16, 8, 1], [2, 2, 8, 32, 0], [7, 1, 8, 2, 2]]",0.7272727272727273,0.5017429355196916,0.1,0.4845360824742268,"{'Mn': 0.4845360824742268, 'Cu': 0.8, 'Zn': 0.5, 'Fe': 0.7272727272727273, 'Class VIII': 0.1}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
8,0.0001,0.9440348508792955,1.1831514651958759,1.0,fixed,1.0,,0.6788508839590838,0.6881674249888807,0.733276903629303,0.6788508839590838,0.5328467153284672,0.7434377670288086,0.6810155089919155,0.8467532467532467,"[[422, 0, 46, 83], [4, 43, 3, 20], [46, 2, 87, 40], [26, 2, 31, 326]]",0.6142857142857143,0.7029641233712903,0.49714285714285716,0.7658802177858439,"{'Mn': 0.7658802177858439, 'Cu': 0.6142857142857143, 'Zn': 0.49714285714285716, 'Class VIII': 0.8467532467532467}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.49714285714285716,"[[431, 0, 51, 6, 63], [4, 45, 4, 9, 8], [50, 2, 94, 6, 23], [4, 2, 9, 223, 10], [27, 0, 30, 7, 73]]",0.8991935483870968,0.6881674249888807,0.5328467153284672,0.7822141560798548,"{'Mn': 0.7822141560798548, 'Cu': 0.6428571428571429, 'Zn': 0.5371428571428571, 'Fe': 0.8991935483870968, 'Class VIII': 0.5328467153284672}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5193502030615432,0.5303664249015011,0.5817307829856873,0.5193502030615432,0.2,0.5961538553237915,0.567480133161512,0.765625,"[[57, 0, 32, 8], [1, 10, 1, 3], [9, 0, 8, 15], [12, 0, 3, 49]]",0.6666666666666666,0.5908223899349421,0.25,0.5876288659793815,"{'Mn': 0.5876288659793815, 'Cu': 0.6666666666666666, 'Zn': 0.25, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[62, 0, 34, 0, 1], [1, 10, 1, 2, 1], [10, 0, 8, 12, 2], [3, 2, 1, 37, 1], [10, 0, 3, 3, 4]]",0.8409090909090909,0.5303664249015011,0.2,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.6666666666666666, 'Zn': 0.25, 'Fe': 0.8409090909090909, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
9,0.0001,0.8633742906354569,1.1262290282891347,1.0,fixed,1.0,,0.6920280238078043,0.6651595318764462,0.712955117225647,0.6920280238078043,0.4744525547445255,0.7459779977798462,0.7400497324816744,0.7896103896103897,"[[412, 8, 86, 45], [3, 56, 4, 7], [30, 18, 109, 18], [22, 11, 48, 304]]",0.8,0.7035471289975924,0.6228571428571429,0.7477313974591652,"{'Mn': 0.7477313974591652, 'Cu': 0.8, 'Zn': 0.6228571428571429, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6228571428571429,"[[415, 8, 91, 0, 37], [3, 57, 5, 4, 1], [31, 18, 112, 1, 13], [9, 11, 8, 193, 27], [18, 3, 49, 2, 65]]",0.7782258064516129,0.6651595318764462,0.4744525547445255,0.7531760435571688,"{'Mn': 0.7531760435571688, 'Cu': 0.8142857142857143, 'Zn': 0.64, 'Fe': 0.7782258064516129, 'Class VIII': 0.4744525547445255}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5590092939706341,0.5229803259071552,0.5961538553237915,0.5590092939706341,0.15,0.629807710647583,0.6381792310996564,0.703125,"[[62, 2, 30, 3], [0, 13, 1, 1], [6, 4, 11, 11], [11, 3, 5, 45]]",0.8666666666666667,0.6028839053798221,0.34375,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Class VIII': 0.703125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[62, 2, 31, 0, 2], [0, 13, 1, 0, 1], [6, 5, 11, 8, 2], [4, 3, 2, 35, 0], [7, 2, 5, 3, 3]]",0.7954545454545454,0.5229803259071552,0.15,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Fe': 0.7954545454545454, 'Class VIII': 0.15}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
10,0.0001,0.8022416924201959,1.1539693102240562,1.0,fixed,1.0,,0.7586951545781466,0.7628017804413251,0.8001693487167358,0.7586951545781466,0.5109489051094891,0.8103302121162415,0.7891602045867019,0.8233766233766234,"[[467, 1, 48, 35], [3, 58, 4, 5], [37, 1, 115, 22], [28, 4, 36, 317]]",0.8285714285714286,0.7910042536515872,0.6571428571428571,0.8475499092558983,"{'Mn': 0.8475499092558983, 'Cu': 0.8285714285714286, 'Zn': 0.6571428571428571, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6571428571428571,"[[467, 1, 55, 2, 26], [3, 58, 5, 4, 0], [38, 1, 116, 4, 16], [3, 3, 4, 234, 4], [26, 1, 35, 5, 70]]",0.9435483870967742,0.7628017804413251,0.5109489051094891,0.8475499092558983,"{'Mn': 0.8475499092558983, 'Cu': 0.8285714285714286, 'Zn': 0.6628571428571428, 'Fe': 0.9435483870967742, 'Class VIII': 0.5109489051094891}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5621532333645736,0.550914482882047,0.6105769276618958,0.5621532333645736,0.15,0.6153846383094788,0.593127147766323,0.71875,"[[62, 0, 32, 3], [0, 11, 2, 2], [8, 3, 9, 12], [10, 1, 7, 46]]",0.7333333333333333,0.5944549872563987,0.28125,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.7333333333333333, 'Zn': 0.28125, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[62, 0, 32, 1, 2], [0, 12, 2, 1, 0], [8, 3, 10, 10, 1], [2, 0, 2, 40, 0], [8, 1, 5, 3, 3]]",0.9090909090909091,0.550914482882047,0.15,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.8, 'Zn': 0.3125, 'Fe': 0.9090909090909091, 'Class VIII': 0.15}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
