epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.7925270691111281,1.7683373597952037,1.0,fixed,1.0,,0.20687093846964463,0.15249990052025358,0.3835732340812683,0.20687093846964463,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[264, 0, 0, 287, 0, 0], [36, 0, 0, 34, 0, 0], [51, 0, 0, 124, 0, 0], [59, 0, 0, 189, 0, 0], [14, 0, 0, 59, 0, 0], [16, 0, 0, 48, 0, 0]]",0.7620967741935484,0.15249990052025358,0.0,0.4791288566243194,"{'Mn': 0.4791288566243194, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.7620967741935484, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.20509215870040612,0.14566342190651582,0.36538460850715637,0.20509215870040612,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[40, 0, 0, 57, 0, 0], [9, 0, 0, 6, 0, 0], [4, 0, 0, 28, 0, 0], [8, 0, 0, 36, 0, 0], [7, 0, 0, 6, 0, 0], [3, 0, 0, 4, 0, 0]]",0.8181818181818182,0.14566342190651582,0.0,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.8181818181818182, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
2,3e-05,1.778859999534246,1.7439086483075068,1.0,fixed,1.0,,0.22035448744218722,0.17542505956248644,0.469940721988678,0.22035448744218722,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[413, 0, 0, 138, 0, 0], [46, 0, 0, 24, 0, 0], [97, 0, 0, 78, 0, 0], [106, 0, 0, 142, 0, 0], [41, 0, 0, 32, 0, 0], [42, 0, 0, 22, 0, 0]]",0.5725806451612904,0.17542505956248644,0.0,0.7495462794918331,"{'Mn': 0.7495462794918331, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.5725806451612904, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.2005623242736645,0.15425113939965424,0.3990384638309479,0.2005623242736645,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[55, 0, 0, 42, 0, 0], [9, 0, 0, 6, 0, 0], [13, 0, 0, 19, 0, 0], [16, 0, 0, 28, 0, 0], [9, 0, 0, 4, 0, 0], [3, 0, 0, 4, 0, 0]]",0.6363636363636364,0.15425113939965424,0.0,0.5670103092783505,"{'Mn': 0.5670103092783505, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.6363636363636364, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
3,3e-05,1.7619424623412054,1.7153932543901296,1.0,fixed,1.0,,0.3076058611489792,0.2742738329490014,0.5105842351913452,0.3076058611489792,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[382, 14, 2, 153, 0, 0], [15, 24, 1, 30, 0, 0], [83, 9, 9, 74, 0, 0], [58, 2, 0, 188, 0, 0], [35, 2, 1, 35, 0, 0], [34, 1, 0, 29, 0, 0]]",0.7580645161290323,0.2742738329490014,0.0,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.34285714285714286, 'Zn': 0.05142857142857143, 'Fe': 0.7580645161290323, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.32814647766323024,0.3044018091877681,0.48076921701431274,0.32814647766323024,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[57, 1, 0, 39, 0, 0], [0, 9, 0, 6, 0, 0], [15, 0, 1, 16, 0, 0], [11, 0, 0, 33, 0, 0], [10, 0, 0, 3, 0, 0], [2, 0, 0, 5, 0, 0]]",0.75,0.3044018091877681,0.0,0.5876288659793815,"{'Mn': 0.5876288659793815, 'Cu': 0.6, 'Zn': 0.03125, 'Fe': 0.75, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
4,3e-05,1.711187336895917,1.6423266254938567,1.0,fixed,1.0,,0.39063320843822574,0.3456621207279722,0.5325995087623596,0.39063320843822574,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[355, 23, 11, 156, 0, 6], [5, 46, 2, 15, 0, 2], [67, 29, 18, 59, 0, 2], [16, 6, 21, 202, 0, 3], [24, 4, 4, 39, 0, 2], [20, 1, 7, 28, 0, 8]]",0.8145161290322581,0.3456621207279722,0.0,0.6442831215970962,"{'Mn': 0.6442831215970962, 'Cu': 0.6571428571428571, 'Zn': 0.10285714285714286, 'Fe': 0.8145161290322581, 'Co': 0.0, 'Ni': 0.125}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.3573037071748412,0.3190979342295132,0.4951923191547394,0.3573037071748412,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[54, 2, 1, 40, 0, 0], [1, 10, 0, 4, 0, 0], [10, 3, 4, 15, 0, 0], [4, 0, 3, 35, 0, 2], [4, 2, 3, 4, 0, 0], [1, 0, 1, 5, 0, 0]]",0.7954545454545454,0.3190979342295132,0.0,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.6666666666666666, 'Zn': 0.125, 'Fe': 0.7954545454545454, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
5,3e-05,1.6258733965255119,1.5876037019949694,1.0,fixed,1.0,,0.3639139074047744,0.34929161418905147,0.574089765548706,0.3639139074047744,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[405, 1, 33, 112, 0, 0], [15, 28, 13, 14, 0, 0], [96, 6, 36, 37, 0, 0], [26, 1, 12, 209, 0, 0], [41, 0, 4, 28, 0, 0], [26, 1, 18, 19, 0, 0]]",0.842741935483871,0.34929161418905147,0.0,0.73502722323049,"{'Mn': 0.73502722323049, 'Cu': 0.4, 'Zn': 0.2057142857142857, 'Fe': 0.842741935483871, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.3751884176819744,0.37398689825874293,0.6442307829856873,0.3751884176819744,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[90, 0, 2, 5, 0, 0], [5, 6, 0, 4, 0, 0], [11, 1, 7, 13, 0, 0], [9, 0, 4, 31, 0, 0], [9, 0, 2, 2, 0, 0], [1, 0, 2, 4, 0, 0]]",0.7045454545454546,0.37398689825874293,0.0,0.9278350515463918,"{'Mn': 0.9278350515463918, 'Cu': 0.4, 'Zn': 0.21875, 'Fe': 0.7045454545454546, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
6,3e-05,1.5778306738750354,1.5247104580585773,1.0,fixed,1.0,,0.439389140564395,0.36137914395046516,0.5512277483940125,0.439389140564395,,0.3920406401157379,0.3847655973790275,0.9948051948051948,"[[48, 6, 0, 497], [0, 32, 0, 38], [0, 14, 0, 161], [0, 2, 0, 383]]",0.45714285714285713,0.29990504695674997,0.0,0.08711433756805807,"{'Mn': 0.08711433756805807, 'Cu': 0.45714285714285713, 'Zn': 0.0, 'Class VIII': 0.9948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[308, 60, 99, 83, 0, 1], [5, 55, 1, 9, 0, 0], [44, 44, 66, 20, 0, 1], [4, 10, 14, 220, 0, 0], [27, 6, 9, 27, 2, 2], [10, 22, 17, 15, 0, 0]]",0.8870967741935484,0.36137914395046516,0.0,0.558983666061706,"{'Mn': 0.558983666061706, 'Cu': 0.7857142857142857, 'Zn': 0.37714285714285717, 'Fe': 0.8870967741935484, 'Co': 0.0273972602739726, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.3990292747058211,0.34003241939100737,0.5144230723381042,0.3990292747058211,,0.3461538553237915,0.3679150558419244,0.984375,"[[2, 0, 0, 95], [0, 7, 0, 8], [0, 3, 0, 29], [0, 1, 0, 63]]",0.4666666666666667,0.2663380163380164,0.0,0.020618556701030927,"{'Mn': 0.020618556701030927, 'Cu': 0.4666666666666667, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[56, 3, 33, 5, 0, 0], [0, 14, 1, 0, 0, 0], [5, 8, 5, 14, 0, 0], [3, 2, 7, 32, 0, 0], [4, 2, 3, 4, 0, 0], [0, 2, 3, 2, 0, 0]]",0.7272727272727273,0.34003241939100737,0.0,0.5773195876288659,"{'Mn': 0.5773195876288659, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Fe': 0.7272727272727273, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
7,3e-05,1.5195822892962276,1.4787051540154676,1.0,fixed,1.0,,0.4736142491425395,0.461126498658429,0.6121930480003357,0.4736142491425395,,0.4106689393520355,0.3762368303203149,0.9974025974025974,"[[75, 0, 0, 476], [0, 26, 0, 44], [0, 4, 0, 171], [1, 0, 0, 384]]",0.37142857142857144,0.3213154617552599,0.0,0.13611615245009073,"{'Mn': 0.13611615245009073, 'Cu': 0.37142857142857144, 'Zn': 0.0, 'Class VIII': 0.9974025974025974}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[390, 7, 24, 106, 15, 9], [5, 46, 3, 13, 1, 2], [81, 17, 36, 33, 6, 2], [8, 5, 2, 228, 4, 1], [28, 2, 6, 33, 4, 0], [14, 1, 7, 22, 1, 19]]",0.9193548387096774,0.461126498658429,0.0547945205479452,0.7078039927404719,"{'Mn': 0.7078039927404719, 'Cu': 0.6571428571428571, 'Zn': 0.2057142857142857, 'Fe': 0.9193548387096774, 'Co': 0.0547945205479452, 'Ni': 0.296875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.48074778529031104,0.4563069721606307,0.6875,0.48074778529031104,,0.36538460850715637,0.36546391752577323,1.0,"[[6, 0, 0, 91], [0, 6, 0, 9], [0, 2, 0, 30], [0, 0, 0, 64]]",0.4,0.28359200395286666,0.0,0.061855670103092786,"{'Mn': 0.061855670103092786, 'Cu': 0.4, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[85, 1, 2, 9, 0, 0], [1, 12, 0, 2, 0, 0], [8, 4, 5, 15, 0, 0], [3, 0, 0, 40, 1, 0], [5, 1, 1, 6, 0, 0], [1, 0, 1, 4, 0, 1]]",0.9090909090909091,0.4563069721606307,0.0,0.8762886597938144,"{'Mn': 0.8762886597938144, 'Cu': 0.8, 'Zn': 0.15625, 'Fe': 0.9090909090909091, 'Co': 0.0, 'Ni': 0.14285714285714285}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
8,3e-05,1.4683090730293378,1.4870213957933278,1.0,fixed,1.0,,0.5051407822114637,0.4964417526576883,0.6003386974334717,0.5051407822114637,,0.40389499068260193,0.36656728026963964,1.0,"[[68, 0, 0, 483], [0, 24, 0, 46], [0, 2, 0, 173], [0, 0, 0, 385]]",0.34285714285714286,0.31070175862190075,0.0,0.12341197822141561,"{'Mn': 0.12341197822141561, 'Cu': 0.34285714285714286, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[333, 2, 35, 116, 47, 18], [1, 45, 4, 13, 4, 3], [45, 10, 67, 33, 16, 4], [3, 3, 1, 233, 5, 3], [16, 1, 8, 35, 12, 1], [6, 1, 9, 23, 6, 19]]",0.9395161290322581,0.4964417526576883,0.1643835616438356,0.604355716878403,"{'Mn': 0.604355716878403, 'Cu': 0.6428571428571429, 'Zn': 0.38285714285714284, 'Fe': 0.9395161290322581, 'Co': 0.1643835616438356, 'Ni': 0.296875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.42096178091667785,0.40118641439205954,0.5144230723381042,0.42096178091667785,,0.3509615361690521,0.329553264604811,1.0,"[[5, 0, 0, 92], [0, 4, 0, 11], [0, 0, 0, 32], [0, 0, 0, 64]]",0.26666666666666666,0.25144596561858684,0.0,0.05154639175257732,"{'Mn': 0.05154639175257732, 'Cu': 0.26666666666666666, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[48, 0, 24, 11, 14, 0], [0, 12, 0, 2, 1, 0], [5, 3, 5, 17, 0, 2], [1, 0, 0, 41, 2, 0], [5, 1, 2, 5, 0, 0], [0, 0, 1, 4, 1, 1]]",0.9318181818181818,0.40118641439205954,0.0,0.4948453608247423,"{'Mn': 0.4948453608247423, 'Cu': 0.8, 'Zn': 0.15625, 'Fe': 0.9318181818181818, 'Co': 0.0, 'Ni': 0.14285714285714285}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
9,3e-05,1.4325535893440247,1.4410220613846412,1.0,fixed,1.0,,0.4843796737446608,0.42537578469941834,0.5961049795150757,0.4843796737446608,,0.4623200595378876,0.4824309991279138,0.9636363636363636,"[[123, 14, 0, 414], [0, 52, 0, 18], [7, 29, 0, 139], [3, 11, 0, 371]]",0.7428571428571429,0.3774285511682886,0.0,0.22323049001814882,"{'Mn': 0.22323049001814882, 'Cu': 0.7428571428571429, 'Zn': 0.0, 'Class VIII': 0.9636363636363636}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[364, 63, 83, 15, 1, 25], [2, 60, 3, 5, 0, 0], [38, 53, 75, 4, 1, 4], [9, 26, 10, 193, 0, 10], [28, 9, 21, 3, 3, 9], [7, 28, 15, 4, 1, 9]]",0.7782258064516129,0.42537578469941834,0.0410958904109589,0.6606170598911071,"{'Mn': 0.6606170598911071, 'Cu': 0.8571428571428571, 'Zn': 0.42857142857142855, 'Fe': 0.7782258064516129, 'Co': 0.0410958904109589, 'Ni': 0.140625}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.40458906071019474,0.3451531065988897,0.5144230723381042,0.40458906071019474,,0.41826921701431274,0.505200279209622,0.984375,"[[10, 0, 0, 87], [0, 14, 0, 1], [2, 4, 0, 26], [0, 1, 0, 63]]",0.9333333333333333,0.38245930676507534,0.0,0.10309278350515463,"{'Mn': 0.10309278350515463, 'Cu': 0.9333333333333333, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[54, 3, 36, 2, 1, 1], [0, 14, 1, 0, 0, 0], [5, 12, 6, 9, 0, 0], [2, 3, 2, 33, 0, 4], [6, 3, 3, 1, 0, 0], [1, 2, 3, 1, 0, 0]]",0.75,0.3451531065988897,0.0,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Fe': 0.75, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
10,3e-05,1.3753457826537054,1.385259972168849,1.0,fixed,1.0,,0.5614856918861105,0.5425934286600523,0.6816257238388062,0.5614856918861105,,0.5046570897102356,0.5041471232941287,0.9688311688311688,"[[168, 6, 5, 372], [0, 50, 0, 20], [14, 18, 5, 138], [3, 8, 1, 373]]",0.7142857142857143,0.4368431158541515,0.02857142857142857,0.30490018148820325,"{'Mn': 0.30490018148820325, 'Cu': 0.7142857142857143, 'Zn': 0.02857142857142857, 'Class VIII': 0.9688311688311688}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.02857142857142857,"[[458, 19, 56, 1, 1, 16], [5, 58, 2, 5, 0, 0], [62, 31, 74, 2, 1, 5], [29, 13, 9, 177, 4, 16], [38, 5, 15, 0, 11, 4], [14, 9, 12, 1, 1, 27]]",0.7137096774193549,0.5425934286600523,0.1506849315068493,0.8312159709618875,"{'Mn': 0.8312159709618875, 'Cu': 0.8285714285714286, 'Zn': 0.4228571428571429, 'Fe': 0.7137096774193549, 'Co': 0.1506849315068493, 'Ni': 0.421875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.4500324489370881,0.41195198353706347,0.5913461446762085,0.4500324489370881,,0.4423076808452606,0.5154290163230241,0.953125,"[[17, 0, 0, 80], [0, 14, 0, 1], [2, 4, 0, 26], [2, 1, 0, 61]]",0.9333333333333333,0.40938176848764046,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.9333333333333333, 'Zn': 0.0, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[71, 1, 24, 1, 0, 0], [0, 14, 1, 0, 0, 0], [6, 12, 6, 8, 0, 0], [4, 3, 3, 31, 3, 0], [8, 1, 3, 0, 0, 1], [2, 1, 2, 1, 0, 1]]",0.7045454545454546,0.41195198353706347,0.0,0.7319587628865979,"{'Mn': 0.7319587628865979, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Fe': 0.7045454545454546, 'Co': 0.0, 'Ni': 0.14285714285714285}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
