epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.3289270997047424,1.3138357125795805,1.0,fixed,1.0,,0.3801006434581752,0.379896219525896,0.5639289021492004,0.3801006434581752,0.5246753246753246,0.5639289021492004,0.3801006434581752,0.5246753246753246,"[[429, 0, 27, 95], [46, 2, 7, 15], [103, 0, 33, 39], [161, 0, 22, 202]]",0.02857142857142857,0.379896219525896,0.02857142857142857,0.778584392014519,"{'Mn': 0.778584392014519, 'Cu': 0.02857142857142857, 'Zn': 0.18857142857142858, 'Class VIII': 0.5246753246753246}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.18857142857142858,"[[429, 0, 27, 95], [46, 2, 7, 15], [103, 0, 33, 39], [161, 0, 22, 202]]",,0.379896219525896,0.02857142857142857,0.778584392014519,"{'Mn': 0.778584392014519, 'Cu': 0.02857142857142857, 'Zn': 0.18857142857142858, 'Class VIII': 0.5246753246753246}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.303479381443299,0.293273631840796,0.4086538553237915,0.303479381443299,0.5,0.4086538553237915,0.303479381443299,0.5,"[[45, 0, 30, 22], [10, 0, 2, 3], [20, 0, 8, 4], [29, 0, 3, 32]]",0.0,0.293273631840796,0.0,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.0, 'Zn': 0.25, 'Class VIII': 0.5}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[45, 0, 30, 22], [10, 0, 2, 3], [20, 0, 8, 4], [29, 0, 3, 32]]",,0.293273631840796,0.0,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.0, 'Zn': 0.25, 'Class VIII': 0.5}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.1928398584997333,1.2296140377338116,1.0,fixed,1.0,,0.6334560539279233,0.6562938573991052,0.6562235355377197,0.6334560539279233,0.6857142857142857,0.6562235355377197,0.6334560539279233,0.6857142857142857,"[[376, 0, 55, 120], [3, 46, 9, 12], [44, 0, 89, 42], [71, 0, 50, 264]]",0.6571428571428571,0.6562938573991052,0.5085714285714286,0.6823956442831216,"{'Mn': 0.6823956442831216, 'Cu': 0.6571428571428571, 'Zn': 0.5085714285714286, 'Class VIII': 0.6857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5085714285714286,"[[376, 0, 55, 120], [3, 46, 9, 12], [44, 0, 89, 42], [71, 0, 50, 264]]",,0.6562938573991052,0.5085714285714286,0.6823956442831216,"{'Mn': 0.6823956442831216, 'Cu': 0.6571428571428571, 'Zn': 0.5085714285714286, 'Class VIII': 0.6857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4479274054982818,0.44992827962638743,0.38461539149284363,0.4479274054982818,0.59375,0.38461539149284363,0.4479274054982818,0.59375,"[[19, 0, 62, 16], [1, 8, 3, 3], [9, 0, 15, 8], [21, 0, 5, 38]]",0.5333333333333333,0.44992827962638743,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.5333333333333333, 'Zn': 0.46875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[19, 0, 62, 16], [1, 8, 3, 3], [9, 0, 15, 8], [21, 0, 5, 38]]",,0.44992827962638743,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.5333333333333333, 'Zn': 0.46875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.051467832681295,1.177818477153778,1.0,fixed,1.0,,0.6885300634030217,0.6917217589767074,0.6782388091087341,0.6885300634030217,0.7116883116883117,0.6782388091087341,0.6885300634030217,0.7116883116883117,"[[365, 0, 70, 116], [1, 53, 9, 7], [32, 0, 109, 34], [50, 2, 59, 274]]",0.7571428571428571,0.6917217589767074,0.6228571428571429,0.662431941923775,"{'Mn': 0.662431941923775, 'Cu': 0.7571428571428571, 'Zn': 0.6228571428571429, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6228571428571429,"[[365, 0, 70, 116], [1, 53, 9, 7], [32, 0, 109, 34], [50, 2, 59, 274]]",,0.6917217589767074,0.6228571428571429,0.662431941923775,"{'Mn': 0.662431941923775, 'Cu': 0.7571428571428571, 'Zn': 0.6228571428571429, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4753516967353952,0.4558271552781157,0.38942307233810425,0.4753516967353952,0.578125,0.38942307233810425,0.4753516967353952,0.578125,"[[16, 0, 67, 14], [0, 8, 4, 3], [5, 0, 20, 7], [9, 0, 18, 37]]",0.5333333333333333,0.4558271552781157,0.16494845360824742,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[16, 0, 67, 14], [0, 8, 4, 3], [5, 0, 20, 7], [9, 0, 18, 37]]",,0.4558271552781157,0.16494845360824742,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,0.9472690023280479,1.1347910784758055,1.0,fixed,1.0,,0.7416230230749288,0.7375818407885335,0.7256562113761902,0.7416230230749288,0.7428571428571429,0.7256562113761902,0.7416230230749288,0.7428571428571429,"[[394, 1, 68, 88], [1, 58, 7, 4], [22, 0, 119, 34], [31, 0, 68, 286]]",0.8285714285714286,0.7375818407885335,0.68,0.7150635208711433,"{'Mn': 0.7150635208711433, 'Cu': 0.8285714285714286, 'Zn': 0.68, 'Class VIII': 0.7428571428571429}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.68,"[[394, 1, 68, 88], [1, 58, 7, 4], [22, 0, 119, 34], [31, 0, 68, 286]]",,0.7375818407885335,0.68,0.7150635208711433,"{'Mn': 0.7150635208711433, 'Cu': 0.8285714285714286, 'Zn': 0.68, 'Class VIII': 0.7428571428571429}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.48050633591065295,0.45431942171303874,0.3990384638309479,0.48050633591065295,0.578125,0.3990384638309479,0.48050633591065295,0.578125,"[[18, 0, 68, 11], [0, 8, 4, 3], [5, 2, 20, 5], [10, 0, 17, 37]]",0.5333333333333333,0.45431942171303874,0.18556701030927836,0.18556701030927836,"{'Mn': 0.18556701030927836, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[18, 0, 68, 11], [0, 8, 4, 3], [5, 2, 20, 5], [10, 0, 17, 37]]",,0.45431942171303874,0.18556701030927836,0.18556701030927836,"{'Mn': 0.18556701030927836, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,0.8545562651109051,1.085759313060687,1.0,fixed,1.0,,0.7495869375633442,0.7456585476879852,0.7535986304283142,0.7495869375633442,0.7896103896103897,0.7535986304283142,0.7495869375633442,0.7896103896103897,"[[422, 5, 38, 86], [1, 59, 6, 4], [31, 4, 105, 35], [37, 0, 44, 304]]",0.8428571428571429,0.7456585476879852,0.6,0.7658802177858439,"{'Mn': 0.7658802177858439, 'Cu': 0.8428571428571429, 'Zn': 0.6, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6,"[[422, 5, 38, 86], [1, 59, 6, 4], [31, 4, 105, 35], [37, 0, 44, 304]]",,0.7456585476879852,0.6,0.7658802177858439,"{'Mn': 0.7658802177858439, 'Cu': 0.8428571428571429, 'Zn': 0.6, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5165431701030928,0.4933557286402283,0.4375,0.5165431701030928,0.59375,0.4375,0.5165431701030928,0.59375,"[[24, 0, 61, 12], [0, 9, 4, 2], [5, 2, 20, 5], [13, 0, 13, 38]]",0.6,0.4933557286402283,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6, 'Zn': 0.625, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[24, 0, 61, 12], [0, 9, 4, 2], [5, 2, 20, 5], [13, 0, 13, 38]]",,0.4933557286402283,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6, 'Zn': 0.625, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,0.768326848342612,1.0619843143683214,1.0,fixed,1.0,,0.7853686331817004,0.7694478726999505,0.773073673248291,0.7853686331817004,0.7896103896103897,0.773073673248291,0.7853686331817004,0.7896103896103897,"[[419, 4, 49, 79], [0, 59, 7, 4], [19, 3, 131, 22], [19, 1, 61, 304]]",0.8428571428571429,0.7694478726999505,0.7485714285714286,0.7604355716878403,"{'Mn': 0.7604355716878403, 'Cu': 0.8428571428571429, 'Zn': 0.7485714285714286, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7485714285714286,"[[419, 4, 49, 79], [0, 59, 7, 4], [19, 3, 131, 22], [19, 1, 61, 304]]",,0.7694478726999505,0.7485714285714286,0.7604355716878403,"{'Mn': 0.7604355716878403, 'Cu': 0.8428571428571429, 'Zn': 0.7485714285714286, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5360744201030928,0.49232778847933,0.44711539149284363,0.5360744201030928,0.578125,0.44711539149284363,0.5360744201030928,0.578125,"[[24, 0, 64, 9], [0, 9, 4, 2], [2, 2, 23, 5], [11, 2, 14, 37]]",0.6,0.49232778847933,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6, 'Zn': 0.71875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.71875,"[[24, 0, 64, 9], [0, 9, 4, 2], [2, 2, 23, 5], [11, 2, 14, 37]]",,0.49232778847933,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6, 'Zn': 0.71875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,0.7033190727233887,1.0261481278217757,1.0,fixed,1.0,,0.7927431824074292,0.784440132330634,0.7883149981498718,0.7927431824074292,0.7402597402597403,0.7883149981498718,0.7927431824074292,0.7402597402597403,"[[453, 2, 41, 55], [1, 59, 6, 4], [27, 2, 134, 12], [36, 1, 63, 285]]",0.8428571428571429,0.784440132330634,0.7402597402597403,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8428571428571429, 'Zn': 0.7657142857142857, 'Class VIII': 0.7402597402597403}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7657142857142857,"[[453, 2, 41, 55], [1, 59, 6, 4], [27, 2, 134, 12], [36, 1, 63, 285]]",,0.784440132330634,0.7402597402597403,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8428571428571429, 'Zn': 0.7657142857142857, 'Class VIII': 0.7402597402597403}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5566929768041237,0.5238939371368985,0.4759615361690521,0.5566929768041237,0.515625,0.4759615361690521,0.5566929768041237,0.515625,"[[32, 0, 61, 4], [0, 9, 4, 2], [4, 1, 25, 2], [14, 2, 15, 33]]",0.6,0.5238939371368985,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.6, 'Zn': 0.78125, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[32, 0, 61, 4], [0, 9, 4, 2], [4, 1, 25, 2], [14, 2, 15, 33]]",,0.5238939371368985,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.6, 'Zn': 0.78125, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,0.6349728471926741,1.0487571851565287,1.0,fixed,1.0,,0.8233506964904425,0.8030778366029739,0.801016092300415,0.8233506964904425,0.8077922077922078,0.801016092300415,0.8233506964904425,0.8077922077922078,"[[425, 2, 50, 74], [0, 60, 7, 3], [8, 2, 150, 15], [17, 1, 56, 311]]",0.8571428571428571,0.8030778366029739,0.7713248638838476,0.7713248638838476,"{'Mn': 0.7713248638838476, 'Cu': 0.8571428571428571, 'Zn': 0.8571428571428571, 'Class VIII': 0.8077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8571428571428571,"[[425, 2, 50, 74], [0, 60, 7, 3], [8, 2, 150, 15], [17, 1, 56, 311]]",,0.8030778366029739,0.7713248638838476,0.7713248638838476,"{'Mn': 0.7713248638838476, 'Cu': 0.8571428571428571, 'Zn': 0.8571428571428571, 'Class VIII': 0.8077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5490415592783505,0.5101634634321528,0.4615384638309479,0.5490415592783505,0.578125,0.4615384638309479,0.5490415592783505,0.578125,"[[26, 0, 64, 7], [0, 9, 4, 2], [2, 1, 24, 5], [10, 2, 15, 37]]",0.6,0.5101634634321528,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6, 'Zn': 0.75, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.75,"[[26, 0, 64, 7], [0, 9, 4, 2], [2, 1, 24, 5], [10, 2, 15, 37]]",,0.5101634634321528,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6, 'Zn': 0.75, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,0.5839152661328381,1.0665400698781013,1.0,fixed,1.0,,0.837444080420487,0.8090530420616409,0.8018628358840942,0.837444080420487,0.7896103896103897,0.8018628358840942,0.837444080420487,0.7896103896103897,"[[422, 2, 61, 66], [0, 62, 7, 1], [4, 1, 159, 11], [15, 1, 65, 304]]",0.8857142857142857,0.8090530420616409,0.7658802177858439,0.7658802177858439,"{'Mn': 0.7658802177858439, 'Cu': 0.8857142857142857, 'Zn': 0.9085714285714286, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.9085714285714286,"[[422, 2, 61, 66], [0, 62, 7, 1], [4, 1, 159, 11], [15, 1, 65, 304]]",,0.8090530420616409,0.7658802177858439,0.7658802177858439,"{'Mn': 0.7658802177858439, 'Cu': 0.8857142857142857, 'Zn': 0.9085714285714286, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5957098367697594,0.535809382929213,0.4711538553237915,0.5957098367697594,0.53125,0.4711538553237915,0.5957098367697594,0.53125,"[[24, 0, 67, 6], [0, 10, 4, 1], [1, 0, 30, 1], [10, 2, 18, 34]]",0.6666666666666666,0.535809382929213,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6666666666666666, 'Zn': 0.9375, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.9375,"[[24, 0, 67, 6], [0, 10, 4, 1], [1, 0, 30, 1], [10, 2, 18, 34]]",,0.535809382929213,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6666666666666666, 'Zn': 0.9375, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,0.53565049835959,0.9788499990334878,1.0,fixed,1.0,,0.8380620831074552,0.8196592380855132,0.8204911351203918,0.8380620831074552,0.7688311688311689,0.8204911351203918,0.8380620831074552,0.7688311688311689,"[[460, 2, 42, 47], [0, 62, 7, 1], [13, 1, 151, 10], [24, 1, 64, 296]]",0.8857142857142857,0.8196592380855132,0.7688311688311689,0.8348457350272233,"{'Mn': 0.8348457350272233, 'Cu': 0.8857142857142857, 'Zn': 0.8628571428571429, 'Class VIII': 0.7688311688311689}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8628571428571429,"[[460, 2, 42, 47], [0, 62, 7, 1], [13, 1, 151, 10], [24, 1, 64, 296]]",,0.8196592380855132,0.7688311688311689,0.8348457350272233,"{'Mn': 0.8348457350272233, 'Cu': 0.8857142857142857, 'Zn': 0.8628571428571429, 'Class VIII': 0.7688311688311689}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.613463810137457,0.5688081170754438,0.5,0.613463810137457,0.515625,0.5,0.613463810137457,0.515625,"[[32, 0, 62, 3], [0, 11, 4, 0], [3, 0, 28, 1], [12, 2, 17, 33]]",0.7333333333333333,0.5688081170754438,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.875,"[[32, 0, 62, 3], [0, 11, 4, 0], [3, 0, 28, 1], [12, 2, 17, 33]]",,0.5688081170754438,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
