epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.5899182187544334,1.547730422936953,1.0,fixed,1.0,,0.2726172355248522,0.22657170013948721,0.5190516710281372,0.2726172355248522,0.0,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[500, 0, 0, 51, 0], [58, 0, 0, 12, 0], [149, 0, 0, 26, 0], [135, 0, 0, 113, 0], [98, 0, 0, 39, 0]]",0.45564516129032256,0.22657170013948721,0.0,0.9074410163339383,"{'Mn': 0.9074410163339383, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.45564516129032256, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.27769447047797563,0.23252909452171444,0.5432692170143127,0.27769447047797563,0.0,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[95, 0, 0, 2, 0], [12, 0, 0, 3, 0], [29, 0, 0, 3, 0], [26, 0, 0, 18, 0], [12, 0, 0, 8, 0]]",0.4090909090909091,0.23252909452171444,0.0,0.979381443298969,"{'Mn': 0.979381443298969, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.4090909090909091, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
2,3e-05,1.4989592964584764,1.4632004407735972,1.0,fixed,1.0,,0.5257442765956161,0.521042672869042,0.6206604838371277,0.5257442765956161,0.058394160583941604,0.3911938965320587,0.35352605652061186,1.0,"[[55, 0, 0, 496], [0, 22, 0, 48], [1, 0, 0, 174], [0, 0, 0, 385]]",0.3142857142857143,0.294238274555925,0.0,0.0998185117967332,"{'Mn': 0.0998185117967332, 'Cu': 0.3142857142857143, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[422, 2, 40, 87, 0], [4, 46, 5, 15, 0], [72, 4, 66, 33, 0], [36, 1, 20, 191, 0], [59, 2, 13, 55, 8]]",0.7701612903225806,0.521042672869042,0.058394160583941604,0.7658802177858439,"{'Mn': 0.7658802177858439, 'Cu': 0.6571428571428571, 'Zn': 0.37714285714285717, 'Fe': 0.7701612903225806, 'Class VIII': 0.058394160583941604}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.3940260855982506,0.37715121753031683,0.4038461446762085,0.3940260855982506,0.0,0.375,0.39879725085910656,1.0,"[[6, 0, 0, 91], [0, 8, 0, 7], [0, 0, 0, 32], [0, 0, 0, 64]]",0.5333333333333333,0.3270702648224319,0.0,0.061855670103092786,"{'Mn': 0.061855670103092786, 'Cu': 0.5333333333333333, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[33, 0, 56, 8, 0], [0, 8, 4, 3, 0], [9, 2, 14, 7, 0], [7, 0, 8, 29, 0], [6, 0, 4, 10, 0]]",0.6590909090909091,0.37715121753031683,0.0,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.5333333333333333, 'Zn': 0.4375, 'Fe': 0.6590909090909091, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
3,3e-05,1.3659151268971932,1.3561541873675127,1.0,fixed,1.0,,0.5602045475648476,0.5602362366744424,0.6401354670524597,0.5602045475648476,0.26277372262773724,0.6020321846008301,0.5350821410894007,0.961038961038961,"[[294, 0, 0, 257], [2, 44, 0, 24], [33, 2, 3, 137], [14, 1, 0, 370]]",0.6285714285714286,0.5186059445447154,0.017142857142857144,0.5335753176043557,"{'Mn': 0.5335753176043557, 'Cu': 0.6285714285714286, 'Zn': 0.017142857142857144, 'Class VIII': 0.961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.017142857142857144,"[[457, 6, 5, 40, 43], [8, 57, 0, 5, 0], [107, 7, 38, 9, 14], [39, 4, 14, 168, 23], [66, 3, 2, 30, 36]]",0.6774193548387096,0.5602362366744424,0.21714285714285714,0.8294010889292196,"{'Mn': 0.8294010889292196, 'Cu': 0.8142857142857143, 'Zn': 0.21714285714285714, 'Fe': 0.6774193548387096, 'Class VIII': 0.26277372262773724}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5049687597625743,0.5081169499753767,0.5913461446762085,0.5049687597625743,0.15,0.42788460850715637,0.4323024054982818,0.9375,"[[19, 0, 0, 78], [0, 8, 0, 7], [1, 0, 2, 29], [4, 0, 0, 60]]",0.5333333333333333,0.40788762504642534,0.0625,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.5333333333333333, 'Zn': 0.0625, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0625,"[[72, 0, 20, 0, 5], [0, 10, 4, 0, 1], [12, 3, 12, 5, 0], [11, 2, 4, 26, 1], [10, 1, 2, 4, 3]]",0.5909090909090909,0.5081169499753767,0.15,0.7422680412371134,"{'Mn': 0.7422680412371134, 'Cu': 0.6666666666666666, 'Zn': 0.375, 'Fe': 0.5909090909090909, 'Class VIII': 0.15}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
4,3e-05,1.2299755412984539,1.2532984820696025,1.0,fixed,1.0,,0.5792982271369825,0.5835376948816751,0.6613039970397949,0.5792982271369825,0.18248175182481752,0.6418289542198181,0.5811505644990218,0.9272727272727272,"[[337, 0, 1, 213], [3, 49, 0, 18], [60, 2, 15, 98], [26, 0, 2, 357]]",0.7,0.5804728440393485,0.08571428571428572,0.6116152450090744,"{'Mn': 0.6116152450090744, 'Cu': 0.7, 'Zn': 0.08571428571428572, 'Class VIII': 0.9272727272727272}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.08571428571428572,"[[457, 1, 13, 51, 29], [5, 59, 1, 5, 0], [104, 5, 44, 10, 12], [28, 0, 12, 196, 12], [63, 1, 5, 43, 25]]",0.7903225806451613,0.5835376948816751,0.18248175182481752,0.8294010889292196,"{'Mn': 0.8294010889292196, 'Cu': 0.8428571428571429, 'Zn': 0.25142857142857145, 'Fe': 0.7903225806451613, 'Class VIII': 0.18248175182481752}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.49636285535770075,0.5102923220570279,0.5528846383094788,0.49636285535770075,0.1,0.4375,0.44651793384879723,0.859375,"[[23, 0, 16, 58], [0, 8, 1, 6], [7, 0, 5, 20], [8, 0, 1, 55]]",0.5333333333333333,0.44002075441355804,0.15625,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.5333333333333333, 'Zn': 0.15625, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[60, 0, 33, 1, 3], [0, 10, 4, 0, 1], [11, 1, 14, 6, 0], [11, 0, 4, 29, 0], [10, 0, 3, 5, 2]]",0.6590909090909091,0.5102923220570279,0.1,0.6185567010309279,"{'Mn': 0.6185567010309279, 'Cu': 0.6666666666666666, 'Zn': 0.4375, 'Fe': 0.6590909090909091, 'Class VIII': 0.1}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
5,3e-05,1.1177482947304442,1.1986686220535865,1.0,fixed,1.0,,0.6903583259888066,0.6852682594745495,0.7197290658950806,0.6903583259888066,0.29927007299270075,0.7138018608093262,0.7152274495014967,0.9012987012987013,"[[354, 1, 31, 165], [0, 59, 5, 6], [29, 1, 83, 62], [17, 0, 21, 347]]",0.8428571428571429,0.7228494913717125,0.4742857142857143,0.6424682395644283,"{'Mn': 0.6424682395644283, 'Cu': 0.8428571428571429, 'Zn': 0.4742857142857143, 'Class VIII': 0.9012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4742857142857143,"[[421, 1, 52, 49, 28], [0, 61, 7, 2, 0], [38, 2, 118, 11, 6], [11, 0, 19, 209, 9], [33, 0, 28, 35, 41]]",0.842741935483871,0.6852682594745495,0.29927007299270075,0.764065335753176,"{'Mn': 0.764065335753176, 'Cu': 0.8714285714285714, 'Zn': 0.6742857142857143, 'Fe': 0.842741935483871, 'Class VIII': 0.29927007299270075}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.509702827241487,0.5084054064544153,0.48076921701431274,0.509702827241487,0.2,0.4711538553237915,0.5175042955326461,0.78125,"[[27, 0, 53, 17], [0, 10, 4, 1], [5, 0, 11, 16], [8, 0, 6, 50]]",0.6666666666666666,0.5193458573571506,0.27835051546391754,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.6666666666666666, 'Zn': 0.34375, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[35, 0, 59, 0, 3], [0, 10, 4, 0, 1], [5, 1, 19, 7, 0], [5, 1, 6, 32, 0], [7, 0, 6, 3, 4]]",0.7272727272727273,0.5084054064544153,0.2,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.6666666666666666, 'Zn': 0.59375, 'Fe': 0.7272727272727273, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
6,3e-05,1.0065320230819084,1.2152529519337874,1.0,fixed,1.0,,0.7296141721597744,0.694676684166003,0.708721399307251,0.7296141721597744,0.4744525547445255,0.7392040491104126,0.7908151648714262,0.8337662337662337,"[[350, 2, 85, 114], [0, 63, 6, 1], [9, 7, 139, 20], [5, 3, 56, 321]]",0.9,0.7501016620562606,0.6352087114337568,0.6352087114337568,"{'Mn': 0.6352087114337568, 'Cu': 0.9, 'Zn': 0.7942857142857143, 'Class VIII': 0.8337662337662337}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7942857142857143,"[[380, 4, 114, 15, 38], [0, 63, 6, 0, 1], [9, 7, 153, 0, 6], [3, 4, 36, 176, 29], [9, 1, 57, 5, 65]]",0.7096774193548387,0.694676684166003,0.4744525547445255,0.6896551724137931,"{'Mn': 0.6896551724137931, 'Cu': 0.9, 'Zn': 0.8742857142857143, 'Fe': 0.7096774193548387, 'Class VIII': 0.4744525547445255}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5379693845673227,0.5115315315315316,0.45192307233810425,0.5379693845673227,0.3,0.4663461446762085,0.5606341280068728,0.703125,"[[21, 0, 69, 7], [0, 10, 4, 1], [0, 1, 21, 10], [6, 2, 11, 45]]",0.6666666666666666,0.5170565380233992,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.65625, 'Class VIII': 0.703125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.65625,"[[24, 0, 71, 0, 2], [0, 11, 4, 0, 0], [0, 2, 24, 6, 0], [3, 2, 8, 29, 2], [4, 0, 9, 1, 6]]",0.6590909090909091,0.5115315315315316,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.7333333333333333, 'Zn': 0.75, 'Fe': 0.6590909090909091, 'Class VIII': 0.3}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
7,3e-05,0.9096241381925505,1.1285244811039705,1.0,fixed,1.0,,0.764812737982351,0.7580891001035825,0.7764606475830078,0.764812737982351,0.5328467153284672,0.7908552289009094,0.8038784264737078,0.8623376623376623,"[[415, 0, 53, 83], [0, 62, 6, 2], [28, 2, 125, 20], [16, 1, 36, 332]]",0.8857142857142857,0.7952494943048156,0.7142857142857143,0.7531760435571688,"{'Mn': 0.7531760435571688, 'Cu': 0.8857142857142857, 'Zn': 0.7142857142857143, 'Class VIII': 0.8623376623376623}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7142857142857143,"[[445, 0, 56, 10, 40], [0, 63, 6, 0, 1], [31, 2, 136, 0, 6], [12, 1, 10, 200, 25], [23, 1, 36, 4, 73]]",0.8064516129032258,0.7580891001035825,0.5328467153284672,0.8076225045372051,"{'Mn': 0.8076225045372051, 'Cu': 0.9, 'Zn': 0.7771428571428571, 'Fe': 0.8064516129032258, 'Class VIII': 0.5328467153284672}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5455841924398626,0.5369830954151368,0.48557692766189575,0.5455841924398626,0.3,0.48557692766189575,0.5460964347079038,0.71875,"[[29, 0, 61, 7], [0, 10, 4, 1], [3, 1, 16, 12], [8, 2, 8, 46]]",0.6666666666666666,0.5274496240322385,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[31, 0, 64, 0, 2], [0, 11, 4, 0, 0], [3, 1, 20, 8, 0], [4, 2, 4, 33, 1], [6, 0, 7, 1, 6]]",0.75,0.5369830954151368,0.3,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.7333333333333333, 'Zn': 0.625, 'Fe': 0.75, 'Class VIII': 0.3}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
8,3e-05,0.816556420882006,1.1107073300159895,1.0,fixed,1.0,,0.8005938482769853,0.7952385477655974,0.8120236992835999,0.8005938482769853,0.6131386861313869,0.7900084853172302,0.7958281283145167,0.8909090909090909,"[[413, 0, 47, 91], [0, 62, 7, 1], [28, 1, 115, 31], [12, 0, 30, 343]]",0.8857142857142857,0.7940309276826849,0.6571428571428571,0.7495462794918331,"{'Mn': 0.7495462794918331, 'Cu': 0.8857142857142857, 'Zn': 0.6571428571428571, 'Class VIII': 0.8909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6571428571428571,"[[450, 0, 48, 11, 42], [0, 62, 7, 0, 1], [29, 1, 133, 2, 10], [3, 0, 6, 230, 9], [18, 0, 29, 6, 84]]",0.9274193548387096,0.7952385477655974,0.6131386861313869,0.8166969147005445,"{'Mn': 0.8166969147005445, 'Cu': 0.8857142857142857, 'Zn': 0.76, 'Fe': 0.9274193548387096, 'Class VIII': 0.6131386861313869}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5529162761636989,0.5461179493130062,0.5,0.5529162761636989,0.3,0.4951923191547394,0.551331615120275,0.78125,"[[28, 0, 59, 10], [0, 10, 4, 1], [2, 0, 15, 15], [6, 0, 8, 50]]",0.6666666666666666,0.5473939085000638,0.28865979381443296,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.6666666666666666, 'Zn': 0.46875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[30, 0, 64, 1, 2], [0, 10, 4, 0, 1], [3, 0, 20, 9, 0], [3, 1, 1, 38, 1], [6, 0, 7, 1, 6]]",0.8636363636363636,0.5461179493130062,0.3,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.6666666666666666, 'Zn': 0.625, 'Fe': 0.8636363636363636, 'Class VIII': 0.3}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
9,3e-05,0.7423133487636978,1.1071408952657993,1.0,fixed,1.0,,0.8004187391743651,0.7916398118845576,0.8120236992835999,0.8004187391743651,0.6277372262773723,0.8281117677688599,0.8318340914983383,0.8623376623376623,"[[453, 0, 44, 54], [0, 63, 6, 1], [27, 2, 130, 16], [16, 3, 34, 332]]",0.9,0.8223482619471043,0.7428571428571429,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.9, 'Zn': 0.7428571428571429, 'Class VIII': 0.8623376623376623}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7428571428571429,"[[461, 0, 44, 2, 44], [0, 63, 6, 0, 1], [28, 2, 137, 0, 8], [4, 2, 6, 212, 24], [19, 1, 31, 0, 86]]",0.8548387096774194,0.7916398118845576,0.6277372262773723,0.8366606170598911,"{'Mn': 0.8366606170598911, 'Cu': 0.9, 'Zn': 0.7828571428571428, 'Fe': 0.8548387096774194, 'Class VIII': 0.6277372262773723}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5612824117463292,0.5509151249710807,0.504807710647583,0.5612824117463292,0.3,0.5096153616905212,0.578307560137457,0.71875,"[[32, 0, 61, 4], [0, 11, 4, 0], [3, 0, 17, 12], [8, 2, 8, 46]]",0.7333333333333333,0.5629260994015093,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.7333333333333333, 'Zn': 0.53125, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[32, 0, 63, 0, 2], [0, 11, 4, 0, 0], [3, 0, 20, 9, 0], [3, 2, 1, 36, 2], [6, 0, 7, 1, 6]]",0.8181818181818182,0.5509151249710807,0.3,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.7333333333333333, 'Zn': 0.625, 'Fe': 0.8181818181818182, 'Class VIII': 0.3}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
10,3e-05,0.6878199280315155,1.1624551724929075,1.0,fixed,1.0,,0.8120123188422165,0.7940925545932647,0.8086367249488831,0.8120123188422165,0.5985401459854015,0.8103302121162415,0.8324556296697857,0.9064935064935065,"[[408, 0, 55, 88], [0, 63, 6, 1], [13, 1, 137, 24], [6, 1, 29, 349]]",0.9,0.8183415518145938,0.7404718693284936,0.7404718693284936,"{'Mn': 0.7404718693284936, 'Cu': 0.9, 'Zn': 0.7828571428571428, 'Class VIII': 0.9064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7828571428571428,"[[427, 0, 59, 21, 44], [0, 63, 6, 0, 1], [15, 1, 144, 5, 10], [0, 0, 4, 239, 5], [12, 1, 31, 11, 82]]",0.9637096774193549,0.7940925545932647,0.5985401459854015,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.9, 'Zn': 0.8228571428571428, 'Fe': 0.9637096774193549, 'Class VIII': 0.5985401459854015}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5432622617931896,0.5246130165798994,0.49038460850715637,0.5432622617931896,0.2,0.48557692766189575,0.5461769759450171,0.78125,"[[26, 0, 60, 11], [0, 10, 4, 1], [1, 0, 15, 16], [6, 0, 8, 50]]",0.6666666666666666,0.5390815481122027,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6666666666666666, 'Zn': 0.46875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[28, 0, 61, 6, 2], [0, 11, 4, 0, 0], [1, 0, 18, 13, 0], [2, 0, 1, 41, 0], [4, 0, 7, 5, 4]]",0.9318181818181818,0.5246130165798994,0.2,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.7333333333333333, 'Zn': 0.5625, 'Fe': 0.9318181818181818, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
