epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.5976405280667383,1.5740583447309642,1.0,fixed,1.0,,0.3199649523685801,0.30515312293597485,0.5275190472602844,0.3199649523685801,0.029197080291970802,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[456, 0, 47, 47, 1], [36, 0, 23, 11, 0], [112, 0, 51, 11, 1], [125, 0, 11, 112, 0], [85, 0, 16, 32, 4]]",0.45161290322580644,0.30515312293597485,0.0,0.8275862068965517,"{'Mn': 0.8275862068965517, 'Cu': 0.0, 'Zn': 0.2914285714285714, 'Fe': 0.45161290322580644, 'Class VIII': 0.029197080291970802}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.241776007497657,0.22654064954322237,0.3365384638309479,0.241776007497657,0.0,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[39, 0, 56, 2, 0], [8, 0, 6, 1, 0], [19, 0, 12, 1, 0], [24, 0, 1, 19, 0], [10, 0, 4, 6, 0]]",0.4318181818181818,0.22654064954322237,0.0,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.0, 'Zn': 0.375, 'Fe': 0.4318181818181818, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
2,3e-05,1.5256930782988265,1.491855149085705,1.0,fixed,1.0,,0.4334697131297182,0.43866704774237536,0.5901778340339661,0.4334697131297182,0.043795620437956206,0.3666384518146515,0.2717785843920145,1.0,"[[48, 0, 0, 503], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.16687837216617069,0.0,0.08711433756805807,"{'Mn': 0.08711433756805807, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[469, 0, 2, 78, 2], [12, 34, 2, 19, 3], [128, 0, 17, 29, 1], [75, 0, 2, 171, 0], [80, 0, 1, 50, 6]]",0.6895161290322581,0.43866704774237536,0.043795620437956206,0.8511796733212341,"{'Mn': 0.8511796733212341, 'Cu': 0.4857142857142857, 'Zn': 0.09714285714285714, 'Fe': 0.6895161290322581, 'Class VIII': 0.043795620437956206}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.3445649796938457,0.3682015619370141,0.42307692766189575,0.3445649796938457,0.0,0.3173076808452606,0.2551546391752577,1.0,"[[2, 0, 0, 95], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.12861952861952863,0.0,0.020618556701030927,"{'Mn': 0.020618556701030927, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[52, 0, 41, 3, 1], [1, 8, 3, 2, 1], [25, 0, 2, 5, 0], [18, 0, 0, 26, 0], [11, 0, 0, 9, 0]]",0.5909090909090909,0.3682015619370141,0.0,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.5333333333333333, 'Zn': 0.0625, 'Fe': 0.5909090909090909, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
3,3e-05,1.4002536599700515,1.4041544657487135,1.0,fixed,1.0,,0.49958161013960406,0.5123243605601726,0.6299746036529541,0.49958161013960406,0.08759124087591241,0.5918713212013245,0.46065418247813894,0.9532467532467532,"[[309, 0, 0, 242], [0, 23, 0, 47], [33, 0, 0, 142], [18, 0, 0, 367]]",0.32857142857142857,0.44836388353996415,0.0,0.5607985480943739,"{'Mn': 0.5607985480943739, 'Cu': 0.32857142857142857, 'Zn': 0.0, 'Class VIII': 0.9532467532467532}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[488, 5, 7, 36, 15], [8, 47, 6, 6, 3], [116, 3, 35, 8, 13], [72, 2, 7, 162, 5], [85, 0, 3, 37, 12]]",0.6532258064516129,0.5123243605601726,0.08759124087591241,0.8856624319419237,"{'Mn': 0.8856624319419237, 'Cu': 0.6714285714285714, 'Zn': 0.2, 'Fe': 0.6532258064516129, 'Class VIII': 0.08759124087591241}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.39817244611059044,0.42988124362593166,0.4134615361690521,0.39817244611059044,0.15,0.41826921701431274,0.41534847508591066,0.921875,"[[20, 0, 0, 77], [0, 8, 0, 7], [3, 0, 0, 29], [5, 0, 0, 59]]",0.5333333333333333,0.3789130434782609,0.0,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.5333333333333333, 'Zn': 0.0, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[41, 0, 54, 2, 0], [0, 9, 4, 0, 2], [20, 2, 8, 2, 0], [13, 0, 3, 25, 3], [10, 0, 1, 6, 3]]",0.5681818181818182,0.42988124362593166,0.15,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.6, 'Zn': 0.25, 'Fe': 0.5681818181818182, 'Class VIII': 0.15}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
4,3e-05,1.2729114290024783,1.366389389221485,1.0,fixed,1.0,,0.63922712904636,0.609688849176077,0.6519898176193237,0.63922712904636,0.26277372262773724,0.534292995929718,0.5233530534800952,0.9844155844155844,"[[186, 1, 5, 359], [0, 46, 2, 22], [5, 2, 20, 148], [1, 1, 4, 379]]",0.6571428571428571,0.5119369842025523,0.11428571428571428,0.33756805807622503,"{'Mn': 0.33756805807622503, 'Cu': 0.6571428571428571, 'Zn': 0.11428571428571428, 'Class VIII': 0.9844155844155844}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.11428571428571428,"[[372, 8, 67, 63, 41], [1, 60, 5, 4, 0], [25, 8, 109, 11, 22], [16, 5, 29, 193, 5], [23, 1, 32, 45, 36]]",0.7782258064516129,0.609688849176077,0.26277372262773724,0.6751361161524501,"{'Mn': 0.6751361161524501, 'Cu': 0.8571428571428571, 'Zn': 0.6228571428571429, 'Fe': 0.7782258064516129, 'Class VIII': 0.26277372262773724}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.4364858637925648,0.38795434450472605,0.375,0.4364858637925648,0.05,0.3990384638309479,0.428637779209622,0.953125,"[[10, 0, 38, 49], [0, 8, 2, 5], [0, 0, 4, 28], [1, 0, 2, 61]]",0.5333333333333333,0.3931933605846649,0.10309278350515463,0.10309278350515463,"{'Mn': 0.10309278350515463, 'Cu': 0.5333333333333333, 'Zn': 0.125, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.125,"[[19, 0, 68, 3, 7], [0, 10, 4, 0, 1], [2, 3, 21, 5, 1], [5, 2, 10, 27, 0], [5, 1, 7, 6, 1]]",0.6136363636363636,0.38795434450472605,0.05,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.6666666666666666, 'Zn': 0.65625, 'Fe': 0.6136363636363636, 'Class VIII': 0.05}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
5,3e-05,1.153209718900758,1.2942076554665198,1.0,fixed,1.0,,0.6708084760711079,0.6521908347960981,0.7095681428909302,0.6708084760711079,0.32116788321167883,0.6765453219413757,0.6662286987060126,0.948051948051948,"[[321, 4, 18, 208], [0, 57, 3, 10], [22, 9, 56, 88], [8, 1, 11, 365]]",0.8142857142857143,0.6593514233412278,0.32,0.5825771324863884,"{'Mn': 0.5825771324863884, 'Cu': 0.8142857142857143, 'Zn': 0.32, 'Class VIII': 0.948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.32,"[[441, 7, 32, 48, 23], [1, 63, 5, 1, 0], [38, 12, 97, 7, 21], [19, 5, 20, 193, 11], [35, 1, 25, 32, 44]]",0.7782258064516129,0.6521908347960981,0.32116788321167883,0.8003629764065335,"{'Mn': 0.8003629764065335, 'Cu': 0.9, 'Zn': 0.5542857142857143, 'Fe': 0.7782258064516129, 'Class VIII': 0.32116788321167883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.48624960949703216,0.46075348099995983,0.4375,0.48624960949703216,0.15,0.4423076808452606,0.49193782216494847,0.828125,"[[19, 0, 58, 20], [0, 9, 4, 2], [1, 2, 11, 18], [6, 0, 5, 53]]",0.6,0.46910250435184414,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.6, 'Zn': 0.34375, 'Class VIII': 0.828125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[30, 0, 64, 1, 2], [0, 11, 4, 0, 0], [4, 3, 20, 5, 0], [5, 2, 9, 27, 1], [6, 1, 6, 4, 3]]",0.6136363636363636,0.46075348099995983,0.15,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.7333333333333333, 'Zn': 0.625, 'Fe': 0.6136363636363636, 'Class VIII': 0.15}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
6,3e-05,1.0460054600560986,1.2749971151351929,1.0,fixed,1.0,,0.7256223640057899,0.6885703744469117,0.740897536277771,0.7256223640057899,0.583941605839416,0.7324301600456238,0.7238431894783982,0.9246753246753247,"[[379, 8, 23, 141], [0, 63, 3, 4], [17, 18, 67, 73], [8, 4, 17, 356]]",0.9,0.6948347231907105,0.38285714285714284,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.9, 'Zn': 0.38285714285714284, 'Class VIII': 0.9246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38285714285714284,"[[440, 16, 30, 36, 29], [0, 63, 5, 1, 1], [21, 18, 100, 1, 35], [7, 6, 22, 192, 21], [21, 2, 22, 12, 80]]",0.7741935483870968,0.6885703744469117,0.5714285714285714,0.7985480943738656,"{'Mn': 0.7985480943738656, 'Cu': 0.9, 'Zn': 0.5714285714285714, 'Fe': 0.7741935483870968, 'Class VIII': 0.583941605839416}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5149832083723835,0.4892360656929002,0.45192307233810425,0.5149832083723835,0.25,0.4375,0.5163364475945017,0.671875,"[[22, 0, 61, 14], [0, 10, 4, 1], [1, 3, 16, 12], [8, 3, 10, 43]]",0.6666666666666666,0.4727162341811791,0.2268041237113402,0.2268041237113402,"{'Mn': 0.2268041237113402, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[29, 0, 63, 0, 5], [0, 11, 4, 0, 0], [3, 3, 21, 3, 2], [4, 2, 9, 28, 1], [6, 1, 6, 2, 5]]",0.6363636363636364,0.4892360656929002,0.25,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.7333333333333333, 'Zn': 0.65625, 'Fe': 0.6363636363636364, 'Class VIII': 0.25}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
7,3e-05,0.9430387519501351,1.174948745048963,1.0,fixed,1.0,,0.7441265429229155,0.7412397274334641,0.7739204168319702,0.7441265429229155,0.46715328467153283,0.7781541347503662,0.7670519951917412,0.8883116883116883,"[[425, 3, 25, 98], [1, 63, 3, 3], [26, 2, 89, 58], [18, 2, 23, 342]]",0.9,0.767401383620876,0.5085714285714286,0.7713248638838476,"{'Mn': 0.7713248638838476, 'Cu': 0.9, 'Zn': 0.5085714285714286, 'Class VIII': 0.8883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5085714285714286,"[[457, 4, 31, 41, 18], [1, 63, 5, 1, 0], [37, 3, 115, 7, 13], [10, 2, 16, 215, 5], [34, 1, 21, 17, 64]]",0.8669354838709677,0.7412397274334641,0.46715328467153283,0.8294010889292196,"{'Mn': 0.8294010889292196, 'Cu': 0.9, 'Zn': 0.6571428571428571, 'Fe': 0.8669354838709677, 'Class VIII': 0.46715328467153283}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5031978288034988,0.5029048200476771,0.45192307233810425,0.5031978288034988,0.25,0.4615384638309479,0.5266457259450171,0.703125,"[[26, 0, 61, 10], [0, 10, 4, 1], [7, 1, 15, 9], [9, 0, 10, 45]]",0.6666666666666666,0.5217268866510357,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6666666666666666, 'Zn': 0.46875, 'Class VIII': 0.703125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[31, 0, 63, 0, 3], [0, 11, 4, 0, 0], [8, 2, 17, 5, 0], [5, 2, 7, 30, 0], [6, 0, 7, 2, 5]]",0.6818181818181818,0.5029048200476771,0.25,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.7333333333333333, 'Zn': 0.53125, 'Fe': 0.6818181818181818, 'Class VIII': 0.25}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
8,3e-05,0.8498407555995761,1.2039298082773502,1.0,fixed,1.0,,0.769568583451272,0.7492512655711063,0.7679932117462158,0.769568583451272,0.49635036496350365,0.7696866989135742,0.7878609140405873,0.8883116883116883,"[[389, 0, 42, 120], [0, 63, 5, 2], [12, 3, 115, 45], [8, 3, 32, 342]]",0.9,0.7763245977534554,0.6571428571428571,0.705989110707804,"{'Mn': 0.705989110707804, 'Cu': 0.9, 'Zn': 0.6571428571428571, 'Class VIII': 0.8883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6571428571428571,"[[411, 1, 50, 70, 19], [0, 63, 5, 1, 1], [12, 3, 139, 8, 13], [1, 2, 14, 226, 5], [13, 1, 32, 23, 68]]",0.9112903225806451,0.7492512655711063,0.49635036496350365,0.7459165154264973,"{'Mn': 0.7459165154264973, 'Cu': 0.9, 'Zn': 0.7942857142857143, 'Fe': 0.9112903225806451, 'Class VIII': 0.49635036496350365}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5228557482036863,0.496613764425088,0.44711539149284363,0.5228557482036863,0.25,0.45192307233810425,0.5473797250859106,0.71875,"[[20, 0, 65, 12], [0, 11, 4, 0], [1, 1, 17, 13], [5, 2, 11, 46]]",0.7333333333333333,0.5072178286605106,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.7333333333333333, 'Zn': 0.53125, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[24, 0, 67, 0, 6], [0, 11, 4, 0, 0], [3, 2, 21, 6, 0], [3, 2, 7, 32, 0], [6, 0, 7, 2, 5]]",0.7272727272727273,0.496613764425088,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.7333333333333333, 'Zn': 0.65625, 'Fe': 0.7272727272727273, 'Class VIII': 0.25}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
9,3e-05,0.7838377067567529,1.2628834706086378,1.0,fixed,1.0,,0.7858728693725089,0.7623105103849687,0.7705334424972534,0.7858728693725089,0.5474452554744526,0.7790008187294006,0.817809178117708,0.8857142857142857,"[[373, 0, 58, 120], [0, 62, 7, 1], [6, 1, 144, 24], [2, 2, 40, 341]]",0.8857142857142857,0.7953002557065306,0.676950998185118,0.676950998185118,"{'Mn': 0.676950998185118, 'Cu': 0.8857142857142857, 'Zn': 0.8228571428571428, 'Class VIII': 0.8857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8228571428571428,"[[396, 0, 65, 65, 25], [0, 62, 7, 1, 0], [7, 1, 153, 6, 8], [1, 2, 16, 224, 5], [2, 0, 39, 21, 75]]",0.9032258064516129,0.7623105103849687,0.5474452554744526,0.7186932849364791,"{'Mn': 0.7186932849364791, 'Cu': 0.8857142857142857, 'Zn': 0.8742857142857143, 'Fe': 0.9032258064516129, 'Class VIII': 0.5474452554744526}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5417346141830678,0.4954602794791526,0.4423076808452606,0.5417346141830678,0.25,0.4423076808452606,0.5709783075601375,0.6875,"[[14, 0, 68, 15], [0, 11, 4, 0], [0, 1, 23, 8], [4, 2, 14, 44]]",0.7333333333333333,0.5000239526168375,0.14432989690721648,0.14432989690721648,"{'Mn': 0.14432989690721648, 'Cu': 0.7333333333333333, 'Zn': 0.71875, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.71875,"[[18, 0, 70, 0, 9], [0, 11, 4, 0, 0], [1, 1, 26, 4, 0], [1, 2, 9, 32, 0], [5, 0, 8, 2, 5]]",0.7272727272727273,0.4954602794791526,0.18556701030927836,0.18556701030927836,"{'Mn': 0.18556701030927836, 'Cu': 0.7333333333333333, 'Zn': 0.8125, 'Fe': 0.7272727272727273, 'Class VIII': 0.25}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
10,3e-05,0.7212081754932532,1.186472539145213,1.0,fixed,1.0,,0.8162828602526183,0.7948105328888029,0.8094834685325623,0.8162828602526183,0.635036496350365,0.8111769556999207,0.8344702665755297,0.9038961038961039,"[[406, 0, 52, 93], [0, 62, 6, 2], [8, 1, 142, 24], [3, 1, 33, 348]]",0.8857142857142857,0.8192989873395558,0.7368421052631579,0.7368421052631579,"{'Mn': 0.7368421052631579, 'Cu': 0.8857142857142857, 'Zn': 0.8114285714285714, 'Class VIII': 0.9038961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8114285714285714,"[[428, 0, 54, 26, 43], [0, 62, 7, 1, 0], [8, 1, 152, 2, 12], [1, 2, 12, 227, 6], [6, 0, 35, 9, 87]]",0.9153225806451613,0.7948105328888029,0.635036496350365,0.7767695099818511,"{'Mn': 0.7767695099818511, 'Cu': 0.8857142857142857, 'Zn': 0.8685714285714285, 'Fe': 0.9153225806451613, 'Class VIII': 0.635036496350365}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.545858325523274,0.5045620617184357,0.45192307233810425,0.545858325523274,0.25,0.4663461446762085,0.5708172250859106,0.71875,"[[20, 0, 65, 12], [0, 11, 4, 0], [1, 0, 20, 11], [6, 1, 11, 46]]",0.7333333333333333,0.5330387715786697,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.7333333333333333, 'Zn': 0.625, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[20, 0, 70, 0, 7], [0, 11, 4, 0, 0], [1, 1, 26, 4, 0], [2, 2, 8, 32, 0], [6, 0, 7, 2, 5]]",0.7272727272727273,0.5045620617184357,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.7333333333333333, 'Zn': 0.8125, 'Fe': 0.7272727272727273, 'Class VIII': 0.25}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
