epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.78287058988133,1.7281178190157964,1.0,fixed,1.0,,0.22734623683792352,0.21144755569916085,0.5190516710281372,0.22734623683792352,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[517, 0, 17, 17, 0, 0], [57, 0, 9, 4, 0, 0], [152, 0, 23, 0, 0, 0], [173, 0, 2, 73, 0, 0], [63, 0, 5, 5, 0, 0], [55, 0, 0, 9, 0, 0]]",0.29435483870967744,0.21144755569916085,0.0,0.9382940108892922,"{'Mn': 0.9382940108892922, 'Cu': 0.0, 'Zn': 0.13142857142857142, 'Fe': 0.29435483870967744, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.2159090909090909,0.18488801662433618,0.5288461446762085,0.2159090909090909,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[97, 0, 0, 0, 0, 0], [13, 0, 2, 0, 0, 0], [31, 0, 0, 1, 0, 0], [30, 0, 1, 13, 0, 0], [12, 0, 1, 0, 0, 0], [4, 0, 0, 3, 0, 0]]",0.29545454545454547,0.18488801662433618,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Fe': 0.29545454545454547, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
2,3e-05,1.7240571935434599,1.6904388666152954,1.0,fixed,1.0,,0.39893868430810064,0.38499128050322406,0.5554614663124084,0.39893868430810064,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[339, 0, 78, 134, 0, 0], [3, 35, 10, 22, 0, 0], [43, 0, 84, 48, 0, 0], [23, 1, 26, 198, 0, 0], [21, 0, 15, 37, 0, 0], [19, 0, 9, 36, 0, 0]]",0.7983870967741935,0.38499128050322406,0.0,0.6152450090744102,"{'Mn': 0.6152450090744102, 'Cu': 0.5, 'Zn': 0.48, 'Fe': 0.7983870967741935, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.3230637561178798,0.2967182250288789,0.35576921701431274,0.3230637561178798,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[20, 0, 63, 14, 0, 0], [0, 8, 4, 3, 0, 0], [4, 0, 18, 10, 0, 0], [6, 0, 10, 28, 0, 0], [4, 0, 3, 6, 0, 0], [0, 0, 1, 6, 0, 0]]",0.6363636363636364,0.2967182250288789,0.0,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.5333333333333333, 'Zn': 0.5625, 'Fe': 0.6363636363636364, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
3,3e-05,1.621535184415611,1.6305398344993591,1.0,fixed,1.0,,0.48287659063537597,0.4664750579586692,0.6121930480003357,0.48287659063537597,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[374, 6, 73, 87, 0, 11], [1, 49, 9, 8, 0, 3], [45, 5, 94, 26, 0, 5], [21, 4, 27, 193, 0, 3], [18, 1, 21, 33, 0, 0], [13, 0, 11, 27, 0, 13]]",0.7782258064516129,0.4664750579586692,0.0,0.6787658802177858,"{'Mn': 0.6787658802177858, 'Cu': 0.7, 'Zn': 0.5371428571428571, 'Fe': 0.7782258064516129, 'Co': 0.0, 'Ni': 0.203125}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.3241864521503697,0.291092062059804,0.3509615361690521,0.3241864521503697,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[19, 0, 68, 7, 0, 3], [0, 8, 4, 2, 0, 1], [4, 3, 20, 5, 0, 0], [5, 0, 13, 26, 0, 0], [5, 0, 5, 3, 0, 0], [0, 0, 1, 6, 0, 0]]",0.5909090909090909,0.291092062059804,0.0,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Fe': 0.5909090909090909, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
4,3e-05,1.5090502452205967,1.5605712899794946,1.0,fixed,1.0,,0.48995579884081725,0.45054071316153776,0.5596951842308044,0.48995579884081725,,0.4005080461502075,0.39904718693284935,1.0,"[[53, 0, 0, 498], [0, 35, 0, 35], [0, 0, 0, 175], [0, 0, 0, 385]]",0.5,0.3407844112472257,0.0,0.09618874773139746,"{'Mn': 0.09618874773139746, 'Cu': 0.5, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[267, 5, 185, 91, 0, 3], [0, 52, 10, 5, 0, 3], [10, 2, 143, 20, 0, 0], [5, 4, 48, 191, 0, 0], [6, 0, 38, 29, 0, 0], [3, 0, 23, 30, 0, 8]]",0.7701612903225806,0.45054071316153776,0.0,0.484573502722323,"{'Mn': 0.484573502722323, 'Cu': 0.7428571428571429, 'Zn': 0.8171428571428572, 'Fe': 0.7701612903225806, 'Co': 0.0, 'Ni': 0.125}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.36493673851921277,0.3051820827661031,0.36057692766189575,0.36493673851921277,,0.36538460850715637,0.3936426116838488,1.0,"[[4, 0, 0, 93], [0, 8, 0, 7], [0, 0, 0, 32], [0, 0, 0, 64]]",0.5333333333333333,0.31679194675320377,0.0,0.041237113402061855,"{'Mn': 0.041237113402061855, 'Cu': 0.5333333333333333, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[12, 0, 76, 8, 0, 1], [0, 9, 4, 1, 0, 1], [0, 2, 28, 2, 0, 0], [2, 0, 16, 26, 0, 0], [3, 0, 8, 2, 0, 0], [0, 0, 2, 5, 0, 0]]",0.5909090909090909,0.3051820827661031,0.0,0.12371134020618557,"{'Mn': 0.12371134020618557, 'Cu': 0.6, 'Zn': 0.875, 'Fe': 0.5909090909090909, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
5,3e-05,1.4038904297190744,1.4700084626674652,1.0,fixed,1.0,,0.5305196946760672,0.5053757647590059,0.680778980255127,0.5305196946760672,,0.5038103461265564,0.47310733730878923,1.0,"[[169, 0, 0, 382], [0, 41, 0, 29], [4, 1, 0, 170], [0, 0, 0, 385]]",0.5857142857142857,0.4422354681001591,0.0,0.30671506352087113,"{'Mn': 0.30671506352087113, 'Cu': 0.5857142857142857, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[430, 8, 44, 68, 0, 1], [1, 60, 5, 1, 0, 3], [41, 5, 111, 16, 0, 2], [23, 5, 25, 195, 0, 0], [18, 0, 27, 28, 0, 0], [15, 1, 10, 30, 0, 8]]",0.7862903225806451,0.5053757647590059,0.0,0.7803992740471869,"{'Mn': 0.7803992740471869, 'Cu': 0.8571428571428571, 'Zn': 0.6342857142857142, 'Fe': 0.7862903225806451, 'Co': 0.0, 'Ni': 0.125}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.36850984067478915,0.32423039923039926,0.4038461446762085,0.36850984067478915,,0.3798076808452606,0.40004564003436427,0.984375,"[[8, 0, 0, 89], [0, 8, 0, 7], [0, 0, 0, 32], [1, 0, 0, 63]]",0.5333333333333333,0.3351783042995706,0.0,0.08247422680412371,"{'Mn': 0.08247422680412371, 'Cu': 0.5333333333333333, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[24, 0, 67, 6, 0, 0], [0, 9, 4, 1, 0, 1], [3, 2, 24, 3, 0, 0], [5, 2, 10, 27, 0, 0], [6, 0, 5, 2, 0, 0], [0, 0, 2, 5, 0, 0]]",0.6136363636363636,0.32423039923039926,0.0,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6, 'Zn': 0.75, 'Fe': 0.6136363636363636, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
6,3e-05,1.3062670271138888,1.4451879950670095,1.0,fixed,1.0,,0.5832193579907797,0.5670520595156704,0.6985605359077454,0.5832193579907797,,0.541913628578186,0.5513992269073938,0.9896103896103896,"[[193, 0, 3, 355], [0, 57, 1, 12], [3, 1, 9, 162], [0, 1, 3, 381]]",0.8142857142857143,0.5207780893542081,0.05142857142857143,0.3502722323049002,"{'Mn': 0.3502722323049002, 'Cu': 0.8142857142857143, 'Zn': 0.05142857142857143, 'Class VIII': 0.9896103896103896}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.05142857142857143,"[[410, 7, 61, 65, 2, 6], [0, 61, 6, 1, 0, 2], [22, 4, 130, 9, 6, 4], [10, 4, 24, 202, 5, 3], [9, 0, 25, 29, 9, 1], [8, 1, 12, 29, 1, 13]]",0.8145161290322581,0.5670520595156704,0.1232876712328767,0.7441016333938294,"{'Mn': 0.7441016333938294, 'Cu': 0.8714285714285714, 'Zn': 0.7428571428571429, 'Fe': 0.8145161290322581, 'Co': 0.1232876712328767, 'Ni': 0.203125}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.3857442707636007,0.35284547425900414,0.39423078298568726,0.3857442707636007,,0.38942307233810425,0.4336662371134021,0.96875,"[[7, 0, 19, 71], [0, 9, 2, 4], [0, 0, 3, 29], [1, 0, 1, 62]]",0.6,0.3819317315026697,0.07216494845360824,0.07216494845360824,"{'Mn': 0.07216494845360824, 'Cu': 0.6, 'Zn': 0.09375, 'Class VIII': 0.96875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[21, 0, 69, 6, 1, 0], [0, 9, 4, 0, 0, 2], [3, 2, 23, 4, 0, 0], [4, 2, 10, 28, 0, 0], [6, 0, 5, 2, 0, 0], [0, 0, 2, 4, 0, 1]]",0.6363636363636364,0.35284547425900414,0.0,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6, 'Zn': 0.71875, 'Fe': 0.6363636363636364, 'Co': 0.0, 'Ni': 0.14285714285714285}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
7,3e-05,1.1967958852246001,1.3973858986909573,1.0,fixed,1.0,,0.6080784175074956,0.5936582899610092,0.7205758094787598,0.6080784175074956,,0.6723116040229797,0.6559681334998939,0.9766233766233766,"[[322, 3, 5, 221], [0, 60, 2, 8], [11, 7, 36, 121], [2, 2, 5, 376]]",0.8571428571428571,0.6429175917359772,0.2057142857142857,0.5843920145190563,"{'Mn': 0.5843920145190563, 'Cu': 0.8571428571428571, 'Zn': 0.2057142857142857, 'Class VIII': 0.9766233766233766}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2057142857142857,"[[438, 7, 37, 55, 0, 14], [1, 63, 5, 1, 0, 0], [34, 11, 111, 11, 0, 8], [11, 3, 22, 207, 1, 4], [13, 0, 20, 31, 8, 1], [10, 1, 8, 21, 0, 24]]",0.8346774193548387,0.5936582899610092,0.1095890410958904,0.79491833030853,"{'Mn': 0.79491833030853, 'Cu': 0.9, 'Zn': 0.6342857142857142, 'Fe': 0.8346774193548387, 'Co': 0.1095890410958904, 'Ni': 0.375}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.41741884976421056,0.3896999188969992,0.41826921701431274,0.41741884976421056,,0.42788460850715637,0.466003543814433,0.921875,"[[15, 0, 44, 38], [0, 9, 4, 2], [1, 2, 6, 23], [3, 1, 1, 59]]",0.6,0.42440674823878377,0.15463917525773196,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.6, 'Zn': 0.1875, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.1875,"[[26, 0, 65, 4, 0, 2], [0, 10, 4, 0, 0, 1], [4, 3, 20, 5, 0, 0], [4, 2, 9, 29, 0, 0], [6, 0, 5, 2, 0, 0], [0, 0, 2, 3, 0, 2]]",0.6590909090909091,0.3896999188969992,0.0,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6666666666666666, 'Zn': 0.625, 'Fe': 0.6590909090909091, 'Co': 0.0, 'Ni': 0.2857142857142857}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
8,3e-05,1.100396906604638,1.4178350487580667,1.0,fixed,1.0,,0.7088411587566177,0.6811550266843982,0.7535986304283142,0.7088411587566177,,0.7146486043930054,0.708092016876046,0.9662337662337662,"[[345, 2, 14, 190], [0, 60, 3, 7], [9, 7, 67, 92], [1, 3, 9, 372]]",0.8571428571428571,0.7044852243136048,0.38285714285714284,0.6261343012704175,"{'Mn': 0.6261343012704175, 'Cu': 0.8571428571428571, 'Zn': 0.38285714285714284, 'Class VIII': 0.9662337662337662}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38285714285714284,"[[430, 10, 48, 40, 2, 21], [0, 63, 6, 1, 0, 0], [16, 10, 132, 6, 2, 9], [6, 5, 25, 196, 3, 13], [7, 0, 23, 12, 26, 5], [5, 1, 12, 3, 0, 43]]",0.7903225806451613,0.6811550266843982,0.3561643835616438,0.7803992740471869,"{'Mn': 0.7803992740471869, 'Cu': 0.9, 'Zn': 0.7542857142857143, 'Fe': 0.7903225806451613, 'Co': 0.3561643835616438, 'Ni': 0.671875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.49644051895984886,0.4287893377386733,0.4326923191547394,0.49644051895984886,,0.3990384638309479,0.4660840850515464,0.796875,"[[12, 0, 57, 28], [0, 9, 4, 2], [0, 2, 11, 19], [5, 2, 6, 51]]",0.6,0.4188336695397029,0.12371134020618557,0.12371134020618557,"{'Mn': 0.12371134020618557, 'Cu': 0.6, 'Zn': 0.34375, 'Class VIII': 0.796875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[21, 0, 68, 3, 1, 4], [0, 11, 4, 0, 0, 0], [1, 3, 27, 1, 0, 0], [4, 3, 9, 27, 0, 1], [6, 0, 5, 2, 0, 0], [0, 0, 2, 1, 0, 4]]",0.6136363636363636,0.4287893377386733,0.0,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.7333333333333333, 'Zn': 0.84375, 'Fe': 0.6136363636363636, 'Co': 0.0, 'Ni': 0.5714285714285714}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
9,3e-05,1.0223107927957096,1.3761197340029936,1.0,fixed,1.0,,0.7192286648846086,0.7100337672670424,0.7679932117462158,0.7192286648846086,,0.7739204168319702,0.7749371862257525,0.9272727272727272,"[[391, 0, 35, 125], [0, 60, 4, 6], [9, 1, 106, 59], [2, 1, 25, 357]]",0.8571428571428571,0.7775611787510894,0.6057142857142858,0.7096188747731398,"{'Mn': 0.7096188747731398, 'Cu': 0.8571428571428571, 'Zn': 0.6057142857142858, 'Class VIII': 0.9272727272727272}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6057142857142858,"[[428, 0, 62, 43, 1, 17], [0, 62, 7, 1, 0, 0], [13, 1, 149, 5, 0, 7], [5, 2, 27, 202, 2, 10], [6, 0, 30, 11, 23, 3], [4, 0, 14, 3, 0, 43]]",0.8145161290322581,0.7100337672670424,0.3150684931506849,0.7767695099818511,"{'Mn': 0.7767695099818511, 'Cu': 0.8857142857142857, 'Zn': 0.8514285714285714, 'Fe': 0.8145161290322581, 'Co': 0.3150684931506849, 'Ni': 0.671875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.5029703794201217,0.46342502813091047,0.45192307233810425,0.5029703794201217,,0.44711539149284363,0.5376449742268041,0.78125,"[[14, 0, 64, 19], [0, 9, 4, 2], [1, 1, 20, 10], [5, 0, 9, 50]]",0.6,0.48976223277746933,0.14432989690721648,0.14432989690721648,"{'Mn': 0.14432989690721648, 'Cu': 0.6, 'Zn': 0.625, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[23, 0, 70, 2, 1, 1], [0, 10, 4, 0, 0, 1], [1, 1, 29, 1, 0, 0], [3, 2, 11, 28, 0, 0], [6, 0, 5, 2, 0, 0], [0, 0, 2, 1, 0, 4]]",0.6363636363636364,0.46342502813091047,0.0,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.90625, 'Fe': 0.6363636363636364, 'Co': 0.0, 'Ni': 0.5714285714285714}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
10,3e-05,0.9454165044668559,1.3154215285411248,1.0,fixed,1.0,,0.7172798778028887,0.717078156384375,0.7798475623130798,0.7172798778028887,,0.8077899813652039,0.8102272138025314,0.8779220779220779,"[[433, 0, 35, 83], [0, 62, 4, 4], [17, 1, 121, 36], [13, 2, 32, 338]]",0.8857142857142857,0.807754207376259,0.6914285714285714,0.7858439201451906,"{'Mn': 0.7858439201451906, 'Cu': 0.8857142857142857, 'Zn': 0.6914285714285714, 'Class VIII': 0.8779220779220779}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6914285714285714,"[[446, 1, 47, 41, 2, 14], [0, 62, 7, 1, 0, 0], [19, 1, 146, 5, 0, 4], [9, 2, 24, 203, 2, 8], [11, 0, 26, 11, 23, 2], [6, 0, 14, 3, 0, 41]]",0.8185483870967742,0.717078156384375,0.3150684931506849,0.809437386569873,"{'Mn': 0.809437386569873, 'Cu': 0.8857142857142857, 'Zn': 0.8342857142857143, 'Fe': 0.8185483870967742, 'Co': 0.3150684931506849, 'Ni': 0.640625}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.5008790035851891,0.48459603832803305,0.48557692766189575,0.5008790035851891,,0.44711539149284363,0.5475864475945017,0.609375,"[[22, 0, 60, 15], [0, 10, 4, 1], [2, 1, 22, 7], [10, 2, 13, 39]]",0.6666666666666666,0.5012722646310432,0.2268041237113402,0.2268041237113402,"{'Mn': 0.2268041237113402, 'Cu': 0.6666666666666666, 'Zn': 0.6875, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[30, 0, 65, 2, 0, 0], [0, 11, 4, 0, 0, 0], [2, 1, 28, 1, 0, 0], [4, 2, 9, 29, 0, 0], [6, 0, 5, 2, 0, 0], [1, 0, 2, 1, 0, 3]]",0.6590909090909091,0.48459603832803305,0.0,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Fe': 0.6590909090909091, 'Co': 0.0, 'Ni': 0.42857142857142855}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
