epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.6086931631371781,1.594788753069364,1.0,fixed,1.0,,0.2576390391997792,0.1803506847614071,0.31837424635887146,0.2576390391997792,0.0,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[121, 0, 80, 350, 0], [1, 0, 30, 39, 0], [11, 0, 24, 140, 0], [4, 0, 13, 231, 0], [6, 0, 25, 106, 0]]",0.9314516129032258,0.1803506847614071,0.0,0.21960072595281308,"{'Mn': 0.21960072595281308, 'Cu': 0.0, 'Zn': 0.13714285714285715, 'Fe': 0.9314516129032258, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.2285731021555764,0.1323136054587021,0.26442307233810425,0.2285731021555764,0.0,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[10, 0, 21, 66, 0], [1, 0, 8, 6, 0], [0, 0, 2, 30, 0], [0, 0, 1, 43, 0], [1, 0, 2, 17, 0]]",0.9772727272727273,0.1323136054587021,0.0,0.10309278350515463,"{'Mn': 0.10309278350515463, 'Cu': 0.0, 'Zn': 0.0625, 'Fe': 0.9772727272727273, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
2,0.0001,1.5808255688564197,1.5614577073317308,1.0,fixed,1.0,,0.29707816788302854,0.2376852850311168,0.3971210718154907,0.29707816788302854,0.145985401459854,0.33361557126045227,0.2540834845735027,1.0,"[[9, 0, 0, 542], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.13167091017524543,0.0,0.016333938294010888,"{'Mn': 0.016333938294010888, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[217, 0, 6, 286, 42], [28, 0, 0, 36, 6], [37, 0, 6, 121, 11], [13, 0, 0, 226, 9], [24, 0, 1, 92, 20]]",0.9112903225806451,0.2376852850311168,0.0,0.3938294010889292,"{'Mn': 0.3938294010889292, 'Cu': 0.0, 'Zn': 0.03428571428571429, 'Fe': 0.9112903225806451, 'Class VIII': 0.145985401459854}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.26107661668228677,0.1831094944272004,0.35576921701431274,0.26107661668228677,0.0,0.3125,0.25257731958762886,1.0,"[[1, 0, 0, 96], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.12318322162813465,0.0,0.010309278350515464,"{'Mn': 0.010309278350515464, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[31, 0, 5, 56, 5], [9, 0, 0, 6, 0], [5, 0, 1, 26, 0], [1, 0, 0, 42, 1], [6, 0, 0, 14, 0]]",0.9545454545454546,0.1831094944272004,0.0,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.0, 'Zn': 0.03125, 'Fe': 0.9545454545454546, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
3,0.0001,1.515863691632812,1.431576939729544,1.0,fixed,1.0,,0.34144885727874896,0.30885478230440444,0.5249788165092468,0.34144885727874896,0.35036496350364965,0.5359864234924316,0.3590013434841021,0.9532467532467532,"[[266, 0, 0, 285], [12, 0, 0, 58], [29, 0, 0, 146], [18, 0, 0, 367]]",0.0,0.2996911093204405,0.0,0.4827586206896552,"{'Mn': 0.4827586206896552, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9532467532467532}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[429, 0, 3, 41, 78], [50, 0, 0, 10, 10], [106, 0, 1, 20, 48], [35, 0, 3, 142, 68], [75, 0, 0, 14, 48]]",0.5725806451612904,0.30885478230440444,0.0,0.778584392014519,"{'Mn': 0.778584392014519, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Fe': 0.5725806451612904, 'Class VIII': 0.35036496350364965}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.34934864104967195,0.3352328735268844,0.5625,0.34934864104967195,0.2,0.38461539149284363,0.2806056701030928,0.875,"[[24, 0, 0, 73], [5, 0, 0, 10], [4, 0, 0, 28], [8, 0, 0, 56]]",0.0,0.20816864295125165,0.0,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[85, 0, 0, 4, 8], [10, 0, 0, 3, 2], [14, 0, 4, 8, 6], [5, 0, 1, 24, 14], [11, 0, 1, 4, 4]]",0.5454545454545454,0.3352328735268844,0.0,0.8762886597938144,"{'Mn': 0.8762886597938144, 'Cu': 0.0, 'Zn': 0.125, 'Fe': 0.5454545454545454, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
4,0.0001,1.365479747185836,1.3996220368605394,1.0,fixed,1.0,,0.5493777848280892,0.5015258007636103,0.5613886713981628,0.5493777848280892,0.291970802919708,0.5038103461265564,0.4639366441181323,0.9506493506493506,"[[187, 14, 3, 347], [0, 38, 0, 32], [11, 12, 4, 148], [8, 6, 5, 366]]",0.5428571428571428,0.41311583168458355,0.022857142857142857,0.3393829401088929,"{'Mn': 0.3393829401088929, 'Cu': 0.5428571428571428, 'Zn': 0.022857142857142857, 'Class VIII': 0.9506493506493506}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.022857142857142857,"[[280, 23, 102, 54, 92], [2, 43, 5, 17, 3], [30, 26, 73, 32, 14], [2, 3, 13, 227, 3], [21, 9, 28, 39, 40]]",0.9153225806451613,0.5015258007636103,0.291970802919708,0.5081669691470054,"{'Mn': 0.5081669691470054, 'Cu': 0.6142857142857143, 'Zn': 0.41714285714285715, 'Fe': 0.9153225806451613, 'Class VIII': 0.291970802919708}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.4124453295845048,0.3276854219948849,0.4086538553237915,0.4124453295845048,0.0,0.4134615361690521,0.442566043814433,0.921875,"[[15, 2, 0, 80], [0, 9, 0, 6], [2, 1, 3, 26], [4, 1, 0, 59]]",0.6,0.3926626654989439,0.09375,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.6, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[29, 16, 24, 16, 12], [0, 10, 1, 4, 0], [3, 4, 6, 17, 2], [3, 0, 1, 40, 0], [6, 3, 4, 7, 0]]",0.9090909090909091,0.3276854219948849,0.0,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6666666666666666, 'Zn': 0.1875, 'Fe': 0.9090909090909091, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
5,0.0001,1.207911342785165,1.4011393854251275,1.0,fixed,1.0,,0.5247638551491058,0.4746380444119736,0.6037256717681885,0.5247638551491058,0.2773722627737226,0.5918713212013245,0.5117013929808848,0.9298701298701298,"[[299, 5, 4, 243], [2, 39, 0, 29], [20, 18, 3, 134], [19, 7, 1, 358]]",0.5571428571428572,0.4720611336453106,0.017142857142857144,0.542649727767695,"{'Mn': 0.542649727767695, 'Cu': 0.5571428571428572, 'Zn': 0.017142857142857144, 'Class VIII': 0.9298701298701298}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.017142857142857144,"[[381, 12, 12, 80, 66], [2, 43, 2, 22, 1], [31, 33, 17, 57, 37], [1, 3, 1, 234, 9], [35, 7, 7, 50, 38]]",0.9435483870967742,0.4746380444119736,0.09714285714285714,0.691470054446461,"{'Mn': 0.691470054446461, 'Cu': 0.6142857142857143, 'Zn': 0.09714285714285714, 'Fe': 0.9435483870967742, 'Class VIII': 0.2773722627737226}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.39975203061543263,0.3293196075756829,0.42788460850715637,0.39975203061543263,0.0,0.44711539149284363,0.46032001718213056,0.9375,"[[23, 0, 0, 74], [0, 10, 0, 5], [3, 4, 0, 25], [4, 0, 0, 60]]",0.6666666666666666,0.3945439215742315,0.0,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.0, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[38, 6, 0, 26, 27], [0, 10, 0, 4, 1], [4, 6, 1, 20, 1], [3, 0, 0, 40, 1], [6, 1, 1, 12, 0]]",0.9090909090909091,0.3293196075756829,0.0,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.6666666666666666, 'Zn': 0.03125, 'Fe': 0.9090909090909091, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
6,0.0001,1.1257771313995928,1.2152152199011583,1.0,fixed,1.0,,0.5852244468620623,0.6004338402609749,0.7027942538261414,0.5852244468620623,0.40875912408759124,0.7027942538261414,0.5728747024300563,0.8415584415584415,"[[451, 0, 4, 96], [2, 37, 7, 24], [63, 3, 18, 91], [54, 0, 7, 324]]",0.5285714285714286,0.5880824819977386,0.10285714285714286,0.8185117967332124,"{'Mn': 0.8185117967332124, 'Cu': 0.5285714285714286, 'Zn': 0.10285714285714286, 'Class VIII': 0.8415584415584415}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.10285714285714286,"[[476, 0, 17, 13, 45], [3, 38, 8, 17, 4], [76, 3, 37, 22, 37], [10, 1, 5, 223, 9], [57, 0, 7, 17, 56]]",0.8991935483870968,0.6004338402609749,0.21142857142857144,0.8638838475499092,"{'Mn': 0.8638838475499092, 'Cu': 0.5428571428571428, 'Zn': 0.21142857142857144, 'Fe': 0.8991935483870968, 'Class VIII': 0.40875912408759124}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.4516885348328647,0.4344929778314996,0.567307710647583,0.4516885348328647,0.1,0.5192307829856873,0.4538928264604811,0.78125,"[[49, 0, 0, 48], [1, 7, 1, 6], [5, 2, 2, 23], [10, 1, 3, 50]]",0.4666666666666667,0.44844040973093974,0.0625,0.5051546391752577,"{'Mn': 0.5051546391752577, 'Cu': 0.4666666666666667, 'Zn': 0.0625, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0625,"[[66, 0, 15, 9, 7], [1, 7, 2, 4, 1], [6, 3, 4, 16, 3], [3, 0, 1, 39, 1], [8, 2, 3, 5, 2]]",0.8863636363636364,0.4344929778314996,0.1,0.6804123711340206,"{'Mn': 0.6804123711340206, 'Cu': 0.4666666666666667, 'Zn': 0.125, 'Fe': 0.8863636363636364, 'Class VIII': 0.1}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
7,0.0001,1.0392210876216759,1.2161935476156382,1.0,fixed,1.0,,0.6273943892679907,0.6139815031847431,0.6604572534561157,0.6273943892679907,0.6788321167883211,0.6621507406234741,0.5786024229853631,0.9168831168831169,"[[356, 2, 17, 176], [1, 39, 2, 28], [31, 5, 34, 105], [14, 1, 17, 353]]",0.5571428571428572,0.5914099020245928,0.19428571428571428,0.6460980036297641,"{'Mn': 0.6460980036297641, 'Cu': 0.5571428571428572, 'Zn': 0.19428571428571428, 'Class VIII': 0.9168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.19428571428571428,"[[379, 2, 29, 9, 132], [2, 43, 3, 17, 5], [33, 7, 52, 18, 65], [3, 1, 7, 213, 24], [16, 0, 15, 13, 93]]",0.8588709677419355,0.6139815031847431,0.29714285714285715,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.6142857142857143, 'Zn': 0.29714285714285715, 'Fe': 0.8588709677419355, 'Class VIII': 0.6788321167883211}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.4756103561387066,0.46375668572822343,0.5432692170143127,0.4756103561387066,0.2,0.5144230723381042,0.48472938144329897,0.78125,"[[45, 0, 1, 51], [0, 9, 1, 5], [3, 2, 3, 24], [9, 0, 5, 50]]",0.6,0.48376108427654824,0.09375,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.6, 'Zn': 0.09375, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[58, 0, 2, 2, 35], [0, 9, 1, 4, 1], [3, 3, 3, 17, 6], [3, 0, 1, 39, 1], [7, 0, 4, 5, 4]]",0.8863636363636364,0.46375668572822343,0.09375,0.5979381443298969,"{'Mn': 0.5979381443298969, 'Cu': 0.6, 'Zn': 0.09375, 'Fe': 0.8863636363636364, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
8,0.0001,0.9550131142542169,1.4102160506523573,1.0,fixed,1.0,,0.6651735781526517,0.5854877617984642,0.6350550651550293,0.6651735781526517,0.20437956204379562,0.6553767919540405,0.7291064652226177,0.7220779220779221,"[[296, 12, 161, 82], [0, 60, 4, 6], [6, 18, 140, 11], [8, 27, 72, 278]]",0.8571428571428571,0.6415472473551629,0.5372050816696915,0.5372050816696915,"{'Mn': 0.5372050816696915, 'Cu': 0.8571428571428571, 'Zn': 0.8, 'Class VIII': 0.7220779220779221}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8,"[[305, 18, 170, 9, 49], [0, 63, 4, 3, 0], [7, 19, 143, 4, 2], [0, 25, 10, 211, 2], [10, 12, 76, 11, 28]]",0.8508064516129032,0.5854877617984642,0.20437956204379562,0.5535390199637024,"{'Mn': 0.5535390199637024, 'Cu': 0.9, 'Zn': 0.8171428571428572, 'Fe': 0.8508064516129032, 'Class VIII': 0.20437956204379562}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.447303967510153,0.3537320909794823,0.39423078298568726,0.447303967510153,0.0,0.4134615361690521,0.5113616838487972,0.65625,"[[23, 5, 53, 16], [0, 14, 1, 0], [1, 8, 7, 16], [6, 5, 11, 42]]",0.9333333333333333,0.4253151105124526,0.21875,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[25, 6, 55, 6, 5], [0, 14, 1, 0, 0], [1, 8, 8, 13, 2], [2, 6, 1, 35, 0], [4, 3, 10, 3, 0]]",0.7954545454545454,0.3537320909794823,0.0,0.25773195876288657,"{'Mn': 0.25773195876288657, 'Cu': 0.9333333333333333, 'Zn': 0.25, 'Fe': 0.7954545454545454, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
9,0.0001,0.9265193514324523,1.2678709500111067,1.0,fixed,1.0,,0.6803340485458509,0.6614619297705076,0.7349703907966614,0.6803340485458509,0.5036496350364964,0.7298899292945862,0.6661561034247059,0.8909090909090909,"[[409, 3, 35, 104], [1, 47, 0, 22], [26, 16, 63, 70], [20, 5, 17, 343]]",0.6714285714285714,0.663971867771991,0.36,0.7422867513611615,"{'Mn': 0.7422867513611615, 'Cu': 0.6714285714285714, 'Zn': 0.36, 'Class VIII': 0.8909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.36,"[[431, 4, 40, 37, 39], [1, 49, 1, 17, 2], [27, 19, 77, 29, 23], [0, 2, 0, 242, 4], [23, 4, 19, 22, 69]]",0.9758064516129032,0.6614619297705076,0.44,0.7822141560798548,"{'Mn': 0.7822141560798548, 'Cu': 0.7, 'Zn': 0.44, 'Fe': 0.9758064516129032, 'Class VIII': 0.5036496350364964}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.5394185410809123,0.47513783207706684,0.5432692170143127,0.5394185410809123,0.2,0.5528846383094788,0.5683499785223368,0.859375,"[[44, 0, 9, 44], [0, 13, 0, 2], [2, 5, 3, 22], [5, 1, 3, 55]]",0.8666666666666667,0.518798836383317,0.09375,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.8666666666666667, 'Zn': 0.09375, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[50, 0, 15, 18, 14], [0, 14, 0, 1, 0], [2, 5, 3, 18, 4], [2, 0, 0, 42, 0], [4, 2, 4, 6, 4]]",0.9545454545454546,0.47513783207706684,0.09375,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.9333333333333333, 'Zn': 0.09375, 'Fe': 0.9545454545454546, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
10,0.0001,0.8248389975444691,1.3071436022336667,1.0,fixed,1.0,,0.7246131772681706,0.6999725953897731,0.6977137923240662,0.7246131772681706,0.7153284671532847,0.7188823223114014,0.7244047422631814,0.8909090909090909,"[[328, 0, 73, 150], [0, 46, 12, 12], [10, 0, 132, 33], [4, 1, 37, 343]]",0.6571428571428571,0.7198851169246892,0.5952813067150635,0.5952813067150635,"{'Mn': 0.5952813067150635, 'Cu': 0.6571428571428571, 'Zn': 0.7542857142857143, 'Class VIII': 0.8909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7542857142857143,"[[334, 0, 76, 2, 139], [0, 48, 13, 6, 3], [10, 0, 136, 2, 27], [0, 1, 12, 208, 27], [5, 1, 31, 2, 98]]",0.8387096774193549,0.6999725953897731,0.6061705989110708,0.6061705989110708,"{'Mn': 0.6061705989110708, 'Cu': 0.6857142857142857, 'Zn': 0.7771428571428571, 'Fe': 0.8387096774193549, 'Class VIII': 0.7153284671532847}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Class VIII': 137}",,0.4488355201499531,0.436229983836638,0.41826921701431274,0.4488355201499531,0.2,0.4423076808452606,0.4787290592783505,0.734375,"[[26, 0, 31, 40], [0, 9, 6, 0], [1, 0, 10, 21], [7, 1, 9, 47]]",0.6,0.47268273001630007,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6, 'Zn': 0.3125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[26, 0, 33, 4, 34], [0, 9, 6, 0, 0], [1, 0, 10, 16, 5], [2, 1, 2, 38, 1], [5, 0, 7, 4, 4]]",0.8636363636363636,0.436229983836638,0.2,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6, 'Zn': 0.3125, 'Fe': 0.8636363636363636, 'Class VIII': 0.2}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Class VIII': 20}"
