epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.736944994410953,1.6324323140657866,1.0,fixed,1.0,,0.41556970847586155,0.401266567203014,0.5884843468666077,0.41556970847586155,,0.32599490880966187,0.25,1.0,"[[0, 0, 0, 551], [0, 0, 0, 70], [0, 0, 0, 175], [0, 0, 0, 385]]",0.0,0.12292464878671776,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[400, 3, 16, 132, 0, 0], [5, 48, 5, 12, 0, 0], [76, 2, 51, 46, 0, 0], [38, 3, 11, 196, 0, 0], [28, 0, 7, 38, 0, 0], [18, 0, 3, 43, 0, 0]]",0.7903225806451613,0.401266567203014,0.0,0.7259528130671506,"{'Mn': 0.7259528130671506, 'Cu': 0.6857142857142857, 'Zn': 0.2914285714285714, 'Fe': 0.7903225806451613, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.3180994871394356,0.29370240278916077,0.36538460850715637,0.3180994871394356,,0.3076923191547394,0.25,1.0,"[[0, 0, 0, 97], [0, 0, 0, 15], [0, 0, 0, 32], [0, 0, 0, 64]]",0.0,0.11764705882352941,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 1.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[24, 0, 58, 15, 0, 0], [0, 8, 4, 3, 0, 0], [7, 2, 15, 8, 0, 0], [10, 0, 5, 29, 0, 0], [7, 0, 3, 3, 0, 0], [1, 0, 0, 6, 0, 0]]",0.6590909090909091,0.29370240278916077,0.0,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.5333333333333333, 'Zn': 0.46875, 'Fe': 0.6590909090909091, 'Co': 0.0, 'Ni': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
2,0.0001,1.4628539689489313,1.4610380369883318,1.0,fixed,1.0,,0.5972660241852327,0.5752391531268244,0.7002540230751038,0.5972660241852327,,0.5546147227287292,0.5837393640841917,0.9844155844155844,"[[190, 2, 4, 355], [0, 60, 2, 8], [3, 5, 26, 141], [0, 2, 4, 379]]",0.8571428571428571,0.554574834106904,0.14857142857142858,0.3448275862068966,"{'Mn': 0.3448275862068966, 'Cu': 0.8571428571428571, 'Zn': 0.14857142857142858, 'Class VIII': 0.9844155844155844}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.14857142857142858,"[[414, 10, 70, 47, 0, 10], [0, 60, 6, 1, 0, 3], [20, 7, 135, 7, 0, 6], [17, 5, 34, 189, 0, 3], [12, 0, 31, 22, 6, 2], [7, 1, 14, 19, 0, 23]]",0.7620967741935484,0.5752391531268244,0.0821917808219178,0.7513611615245009,"{'Mn': 0.7513611615245009, 'Cu': 0.8571428571428571, 'Zn': 0.7714285714285715, 'Fe': 0.7620967741935484, 'Co': 0.0821917808219178, 'Ni': 0.359375}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.40930973021823536,0.3596662140888776,0.38461539149284363,0.40930973021823536,,0.38942307233810425,0.4375724871134021,0.953125,"[[7, 0, 39, 51], [0, 9, 4, 2], [0, 2, 4, 26], [0, 2, 1, 61]]",0.6,0.3688779357897005,0.07216494845360824,0.07216494845360824,"{'Mn': 0.07216494845360824, 'Cu': 0.6, 'Zn': 0.125, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.125,"[[17, 0, 73, 4, 0, 3], [0, 9, 4, 0, 0, 2], [1, 3, 25, 3, 0, 0], [5, 2, 10, 27, 0, 0], [4, 0, 7, 2, 0, 0], [0, 0, 2, 3, 0, 2]]",0.6136363636363636,0.3596662140888776,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.6, 'Zn': 0.78125, 'Fe': 0.6136363636363636, 'Co': 0.0, 'Ni': 0.2857142857142857}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
3,0.0001,1.170127851133411,1.3938614622904704,1.0,fixed,1.0,,0.6851055885113877,0.6591128485515505,0.752751886844635,0.6851055885113877,,0.7324301600456238,0.7209260612345911,0.9324675324675324,"[[373, 0, 15, 163], [0, 60, 5, 5], [20, 5, 73, 77], [3, 3, 20, 359]]",0.8571428571428571,0.722561574524391,0.41714285714285715,0.676950998185118,"{'Mn': 0.676950998185118, 'Cu': 0.8571428571428571, 'Zn': 0.41714285714285715, 'Class VIII': 0.9324675324675324}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.41714285714285715,"[[446, 5, 36, 39, 1, 24], [1, 63, 5, 1, 0, 0], [28, 5, 126, 4, 2, 10], [11, 2, 22, 195, 2, 16], [11, 0, 26, 12, 14, 10], [6, 1, 9, 3, 0, 45]]",0.7862903225806451,0.6591128485515505,0.1917808219178082,0.809437386569873,"{'Mn': 0.809437386569873, 'Cu': 0.9, 'Zn': 0.72, 'Fe': 0.7862903225806451, 'Co': 0.1917808219178082, 'Ni': 0.703125}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.4526052591452076,0.40382396182313945,0.4086538553237915,0.4526052591452076,,0.3990384638309479,0.48029961340206184,0.65625,"[[16, 0, 60, 21], [0, 9, 4, 2], [2, 3, 16, 11], [10, 2, 10, 42]]",0.6,0.43474618428490674,0.16494845360824742,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.6, 'Zn': 0.5, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[24, 0, 65, 3, 0, 5], [0, 10, 4, 0, 0, 1], [6, 3, 19, 4, 0, 0], [5, 2, 8, 28, 0, 1], [7, 0, 4, 2, 0, 0], [0, 0, 2, 1, 0, 4]]",0.6363636363636364,0.40382396182313945,0.0,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.6666666666666666, 'Zn': 0.59375, 'Fe': 0.6363636363636364, 'Co': 0.0, 'Ni': 0.5714285714285714}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
4,0.0001,0.9559969584885482,1.3887502424992049,1.0,fixed,1.0,,0.7374227468823674,0.7276669060620763,0.7798475623130798,0.7374227468823674,,0.7976291179656982,0.8160903434133924,0.8831168831168831,"[[410, 0, 37, 104], [0, 63, 5, 2], [13, 1, 129, 32], [2, 3, 40, 340]]",0.9,0.8040536902676152,0.7371428571428571,0.7441016333938294,"{'Mn': 0.7441016333938294, 'Cu': 0.9, 'Zn': 0.7371428571428571, 'Class VIII': 0.8831168831168831}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7371428571428571,"[[430, 0, 52, 50, 5, 14], [0, 63, 6, 1, 0, 0], [15, 1, 147, 5, 2, 5], [3, 2, 25, 210, 1, 7], [3, 0, 26, 13, 27, 4], [5, 1, 8, 5, 1, 44]]",0.8467741935483871,0.7276669060620763,0.3698630136986301,0.7803992740471869,"{'Mn': 0.7803992740471869, 'Cu': 0.9, 'Zn': 0.84, 'Fe': 0.8467741935483871, 'Co': 0.3698630136986301, 'Ni': 0.6875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.523321767007334,0.48344895969980484,0.48076921701431274,0.523321767007334,,0.4326923191547394,0.5526149054982817,0.59375,"[[19, 0, 63, 15], [0, 11, 4, 0], [2, 1, 22, 7], [9, 2, 15, 38]]",0.7333333333333333,0.4985664814128817,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[27, 0, 65, 3, 0, 2], [0, 11, 4, 0, 0, 0], [2, 1, 28, 1, 0, 0], [4, 2, 8, 30, 0, 0], [6, 0, 5, 2, 0, 0], [0, 0, 2, 1, 0, 4]]",0.6818181818181818,0.48344895969980484,0.0,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Fe': 0.6818181818181818, 'Co': 0.0, 'Ni': 0.5714285714285714}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
5,0.0001,0.8049924612246655,1.219635696365283,1.0,fixed,1.0,,0.7868352217159306,0.7604033677254655,0.8035563230514526,0.7868352217159306,,0.8264182806015015,0.8280177717019822,0.9168831168831169,"[[435, 0, 24, 92], [0, 62, 4, 4], [10, 1, 126, 38], [6, 1, 25, 353]]",0.8857142857142857,0.8287835104212118,0.72,0.7894736842105263,"{'Mn': 0.7894736842105263, 'Cu': 0.8857142857142857, 'Zn': 0.72, 'Class VIII': 0.9168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.72,"[[448, 0, 35, 35, 22, 11], [0, 62, 4, 1, 3, 0], [10, 1, 140, 2, 17, 5], [7, 2, 23, 203, 6, 7], [3, 0, 13, 5, 50, 2], [1, 0, 7, 3, 7, 46]]",0.8185483870967742,0.7604033677254655,0.684931506849315,0.8130671506352087,"{'Mn': 0.8130671506352087, 'Cu': 0.8857142857142857, 'Zn': 0.8, 'Fe': 0.8185483870967742, 'Co': 0.684931506849315, 'Ni': 0.71875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.5263589467519879,0.5403213192686876,0.5240384340286255,0.5263589467519879,,0.504807710647583,0.5926036297250858,0.609375,"[[33, 0, 50, 14], [0, 11, 4, 0], [2, 0, 22, 8], [9, 2, 14, 39]]",0.7333333333333333,0.5596137824505456,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[39, 0, 56, 1, 1, 0], [0, 11, 4, 0, 0, 0], [2, 0, 25, 1, 4, 0], [4, 2, 9, 29, 0, 0], [5, 0, 5, 1, 2, 0], [1, 0, 2, 1, 0, 3]]",0.6590909090909091,0.5403213192686876,0.15384615384615385,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.7333333333333333, 'Zn': 0.78125, 'Fe': 0.6590909090909091, 'Co': 0.15384615384615385, 'Ni': 0.42857142857142855}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
6,0.0001,0.719157761365578,1.106050124535194,1.0,fixed,1.0,,0.795729091325843,0.7720318702045077,0.8154106736183167,0.795729091325843,,0.8340389728546143,0.8091035189855517,0.9584415584415584,"[[457, 0, 7, 87], [0, 63, 3, 4], [25, 1, 96, 53], [6, 1, 9, 369]]",0.9,0.8242301477559374,0.5485714285714286,0.8294010889292196,"{'Mn': 0.8294010889292196, 'Cu': 0.9, 'Zn': 0.5485714285714286, 'Class VIII': 0.9584415584415584}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5485714285714286,"[[480, 0, 8, 32, 23, 8], [1, 63, 3, 1, 2, 0], [32, 1, 103, 0, 32, 7], [14, 1, 8, 209, 9, 7], [4, 0, 3, 4, 60, 2], [5, 0, 4, 3, 4, 48]]",0.842741935483871,0.7720318702045077,0.5885714285714285,0.8711433756805808,"{'Mn': 0.8711433756805808, 'Cu': 0.9, 'Zn': 0.5885714285714285, 'Fe': 0.842741935483871, 'Co': 0.821917808219178, 'Ni': 0.75}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.5370550805151321,0.5609536712781743,0.6346153616905212,0.5370550805151321,,0.6490384340286255,0.6228871348797251,0.671875,"[[69, 0, 16, 12], [0, 11, 4, 0], [5, 0, 12, 15], [13, 2, 6, 43]]",0.7333333333333333,0.630090618336887,0.375,0.711340206185567,"{'Mn': 0.711340206185567, 'Cu': 0.7333333333333333, 'Zn': 0.375, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[73, 0, 21, 1, 1, 1], [0, 11, 4, 0, 0, 0], [9, 0, 13, 4, 6, 0], [6, 2, 5, 30, 1, 0], [8, 0, 3, 1, 1, 0], [1, 0, 1, 1, 0, 4]]",0.6818181818181818,0.5609536712781743,0.07692307692307693,0.7525773195876289,"{'Mn': 0.7525773195876289, 'Cu': 0.7333333333333333, 'Zn': 0.40625, 'Fe': 0.6818181818181818, 'Co': 0.07692307692307693, 'Ni': 0.5714285714285714}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
7,0.0001,0.6057513417122332,1.1250987666157575,1.0,fixed,1.0,,0.8275739835311571,0.8307265486826152,0.8636748790740967,0.8275739835311571,,0.8823031187057495,0.8641987413675254,0.9168831168831169,"[[499, 0, 3, 49], [0, 64, 3, 3], [27, 2, 126, 20], [18, 2, 12, 353]]",0.9142857142857143,0.875131336826859,0.72,0.9056261343012704,"{'Mn': 0.9056261343012704, 'Cu': 0.9142857142857143, 'Zn': 0.72, 'Class VIII': 0.9168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.72,"[[507, 0, 5, 30, 1, 8], [0, 64, 3, 1, 2, 0], [29, 2, 129, 5, 5, 5], [12, 1, 8, 216, 4, 7], [7, 0, 7, 4, 53, 2], [7, 1, 1, 3, 1, 51]]",0.8709677419354839,0.8307265486826152,0.726027397260274,0.9201451905626135,"{'Mn': 0.9201451905626135, 'Cu': 0.9142857142857143, 'Zn': 0.7371428571428571, 'Fe': 0.8709677419354839, 'Co': 0.726027397260274, 'Ni': 0.796875}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.5394238994110129,0.5674810352117293,0.6875,0.5394238994110129,,0.6682692170143127,0.6213165807560137,0.59375,"[[79, 0, 9, 9], [0, 11, 4, 0], [13, 0, 11, 8], [18, 2, 6, 38]]",0.7333333333333333,0.635623370432792,0.34375,0.8144329896907216,"{'Mn': 0.8144329896907216, 'Cu': 0.7333333333333333, 'Zn': 0.34375, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[83, 0, 10, 3, 0, 1], [0, 11, 4, 0, 0, 0], [13, 0, 14, 5, 0, 0], [8, 2, 2, 31, 1, 0], [8, 0, 3, 1, 1, 0], [2, 0, 1, 1, 0, 3]]",0.7045454545454546,0.5674810352117293,0.07692307692307693,0.8556701030927835,"{'Mn': 0.8556701030927835, 'Cu': 0.7333333333333333, 'Zn': 0.4375, 'Fe': 0.7045454545454546, 'Co': 0.07692307692307693, 'Ni': 0.42857142857142855}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
8,0.0001,0.5257379871516211,1.1562853570167835,1.0,fixed,1.0,,0.8517325039011582,0.8286241576754619,0.8645215630531311,0.8517325039011582,,0.8814563751220703,0.8750552714073585,0.9246753246753247,"[[484, 0, 11, 56], [0, 64, 3, 3], [8, 1, 137, 29], [15, 2, 12, 356]]",0.9142857142857143,0.8796893495213967,0.7828571428571428,0.8784029038112523,"{'Mn': 0.8784029038112523, 'Cu': 0.9142857142857143, 'Zn': 0.7828571428571428, 'Class VIII': 0.9246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7828571428571428,"[[493, 0, 16, 18, 21, 3], [0, 64, 3, 1, 2, 0], [9, 1, 138, 1, 22, 4], [11, 1, 11, 212, 9, 4], [3, 0, 4, 1, 64, 1], [5, 1, 1, 2, 5, 50]]",0.8548387096774194,0.8286241576754619,0.78125,0.8947368421052632,"{'Mn': 0.8947368421052632, 'Cu': 0.9142857142857143, 'Zn': 0.7885714285714286, 'Fe': 0.8548387096774194, 'Co': 0.8767123287671232, 'Ni': 0.78125}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.5353321470911677,0.5521052092919853,0.6442307829856873,0.5353321470911677,,0.682692289352417,0.6789035652920962,0.6875,"[[68, 0, 20, 9], [0, 11, 4, 0], [2, 0, 19, 11], [10, 2, 8, 44]]",0.7333333333333333,0.6748517982340986,0.59375,0.7010309278350515,"{'Mn': 0.7010309278350515, 'Cu': 0.7333333333333333, 'Zn': 0.59375, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.59375,"[[68, 0, 22, 1, 5, 1], [0, 11, 4, 0, 0, 0], [2, 0, 21, 1, 8, 0], [7, 2, 3, 30, 2, 0], [5, 0, 5, 1, 2, 0], [2, 0, 1, 1, 1, 2]]",0.6818181818181818,0.5521052092919853,0.15384615384615385,0.7010309278350515,"{'Mn': 0.7010309278350515, 'Cu': 0.7333333333333333, 'Zn': 0.65625, 'Fe': 0.6818181818181818, 'Co': 0.15384615384615385, 'Ni': 0.2857142857142857}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
9,0.0001,0.506027675510661,1.100314544370541,1.0,fixed,1.0,,0.8750732379398448,0.8515619127492902,0.8831498622894287,0.8750732379398448,,0.8975444436073303,0.9008369670257148,0.9246753246753247,"[[481, 0, 24, 46], [0, 62, 4, 4], [5, 0, 161, 9], [9, 0, 20, 356]]",0.8857142857142857,0.8969074196795874,0.8729582577132486,0.8729582577132486,"{'Mn': 0.8729582577132486, 'Cu': 0.8857142857142857, 'Zn': 0.92, 'Class VIII': 0.9246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.92,"[[491, 0, 25, 9, 18, 8], [0, 62, 5, 1, 2, 0], [5, 0, 162, 1, 4, 3], [7, 0, 14, 212, 9, 6], [3, 0, 7, 0, 62, 1], [1, 0, 6, 0, 3, 54]]",0.8548387096774194,0.8515619127492902,0.84375,0.8911070780399274,"{'Mn': 0.8911070780399274, 'Cu': 0.8857142857142857, 'Zn': 0.9257142857142857, 'Fe': 0.8548387096774194, 'Co': 0.8493150684931506, 'Ni': 0.84375}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.583059977679823,0.6074387078642397,0.682692289352417,0.583059977679823,,0.7115384340286255,0.719214454467354,0.671875,"[[70, 0, 21, 6], [0, 11, 4, 0], [4, 0, 24, 4], [12, 0, 9, 43]]",0.7333333333333333,0.7198893092335715,0.671875,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.7333333333333333, 'Zn': 0.75, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.75,"[[72, 0, 24, 0, 1, 0], [0, 11, 4, 0, 0, 0], [4, 0, 25, 1, 2, 0], [7, 0, 3, 29, 4, 1], [6, 0, 5, 0, 2, 0], [2, 0, 1, 1, 0, 3]]",0.6590909090909091,0.6074387078642397,0.15384615384615385,0.7422680412371134,"{'Mn': 0.7422680412371134, 'Cu': 0.7333333333333333, 'Zn': 0.78125, 'Fe': 0.6590909090909091, 'Co': 0.15384615384615385, 'Ni': 0.42857142857142855}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
10,0.0001,0.3979913970279331,1.222072990467915,1.0,fixed,1.0,,0.8865982897912303,0.8857369775856778,0.9136325120925903,0.8865982897912303,,0.9229466319084167,0.917562165602093,0.9298701298701298,"[[515, 0, 5, 31], [0, 66, 2, 2], [13, 0, 151, 11], [15, 2, 10, 358]]",0.9428571428571428,0.9220678217979188,0.8628571428571429,0.9346642468239564,"{'Mn': 0.9346642468239564, 'Cu': 0.9428571428571428, 'Zn': 0.8628571428571429, 'Class VIII': 0.9298701298701298}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8628571428571429,"[[517, 0, 5, 17, 3, 9], [0, 66, 2, 2, 0, 0], [13, 0, 152, 2, 3, 5], [7, 0, 3, 233, 1, 4], [6, 1, 6, 5, 54, 1], [3, 1, 1, 1, 1, 57]]",0.9395161290322581,0.8857369775856778,0.7397260273972602,0.9382940108892922,"{'Mn': 0.9382940108892922, 'Cu': 0.9428571428571428, 'Zn': 0.8685714285714285, 'Fe': 0.9395161290322581, 'Co': 0.7397260273972602, 'Ni': 0.890625}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Fe': 248, 'Co': 73, 'Ni': 64}",,0.561043119967089,0.5992752196105998,0.7403846383094788,0.561043119967089,,0.745192289352417,0.6717756658075601,0.640625,"[[91, 0, 4, 2], [0, 11, 4, 0], [12, 0, 12, 8], [18, 0, 5, 41]]",0.7333333333333333,0.703778085328691,0.375,0.9381443298969072,"{'Mn': 0.9381443298969072, 'Cu': 0.7333333333333333, 'Zn': 0.375, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[92, 0, 4, 1, 0, 0], [0, 11, 4, 0, 0, 0], [12, 0, 13, 7, 0, 0], [8, 0, 1, 34, 0, 1], [8, 0, 3, 1, 1, 0], [2, 0, 1, 1, 0, 3]]",0.7727272727272727,0.5992752196105998,0.07692307692307693,0.9484536082474226,"{'Mn': 0.9484536082474226, 'Cu': 0.7333333333333333, 'Zn': 0.40625, 'Fe': 0.7727272727272727, 'Co': 0.07692307692307693, 'Ni': 0.42857142857142855}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Fe': 44, 'Co': 13, 'Ni': 7}"
