id,block,family,scheme,lr,seed,selected_epoch,balanced_accuracy,collapsed4_balanced_accuracy,minimum_recall,collapsed4_minimum_recall,per_class_recall,collapsed4_per_class_recall,elapsed_seconds,run_dir,block_complete
A1_0_four_class_lr3e-05_s42,A1,Only-GVP,four_class,3e-05,42,44,0.6471139390034364,0.6471139390034364,0.40625,0.40625,"{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.6082474226804123, ""Zn"": 0.40625}","{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.6082474226804123, ""Zn"": 0.40625}",270.3429877758026,/content/metal_architecture_pilot_10h_v1/runs/A1_0_four_class_lr3e-05_s42,True
A1_1_four_class_lr3e-05_s42,A1,Only-ESM,four_class,3e-05,42,22,0.721227985395189,0.721227985395189,0.59375,0.59375,"{""Class VIII"": 0.609375, ""Cu"": 0.7333333333333333, ""Mn"": 0.9484536082474226, ""Zn"": 0.59375}","{""Class VIII"": 0.609375, ""Cu"": 0.7333333333333333, ""Mn"": 0.9484536082474226, ""Zn"": 0.59375}",206.2681336402893,/content/metal_architecture_pilot_10h_v1/runs/A1_1_four_class_lr3e-05_s42,True
A1_2_four_class_lr3e-05_s42,A1,GVP + late fusion,four_class,3e-05,42,17,0.7178855240549828,0.7178855240549828,0.5625,0.5625,"{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.84375}","{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.84375}",308.3893711566925,/content/metal_architecture_pilot_10h_v1/runs/A1_2_four_class_lr3e-05_s42_retry1,True
A2_0_four_class_lr0.0001_s42,A2,Only-GVP,four_class,0.0001,42,35,0.7089696091065292,0.7089696091065292,0.34375,0.34375,"{""Class VIII"": 0.703125, ""Cu"": 0.9333333333333333, ""Mn"": 0.8556701030927835, ""Zn"": 0.34375}","{""Class VIII"": 0.703125, ""Cu"": 0.9333333333333333, ""Mn"": 0.8556701030927835, ""Zn"": 0.34375}",272.351998090744,/content/metal_architecture_pilot_10h_v1/runs/A2_0_four_class_lr0.0001_s42,True
A2_1_four_class_lr0.0001_s42,A2,Only-ESM,four_class,0.0001,42,18,0.7174828178694158,0.7174828178694158,0.5625,0.5625,"{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.8865979381443299, ""Zn"": 0.6875}","{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.8865979381443299, ""Zn"": 0.6875}",204.26730608940125,/content/metal_architecture_pilot_10h_v1/runs/A2_1_four_class_lr0.0001_s42,True
A2_2_four_class_lr0.0001_s42,A2,GVP + late fusion,four_class,0.0001,42,7,0.723120704467354,0.723120704467354,0.5625,0.5625,"{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7216494845360825, ""Zn"": 0.875}","{""Class VIII"": 0.5625, ""Cu"": 0.7333333333333333, ""Mn"": 0.7216494845360825, ""Zn"": 0.875}",306.3874514102936,/content/metal_architecture_pilot_10h_v1/runs/A2_2_four_class_lr0.0001_s42,True
T1_0_five_class_lr3e-05_s42,T1,Only-GVP,five_class,3e-05,42,33,0.6094712589815683,0.6506174828178695,0.1875,0.1875,"{""Class VIII"": 0.3, ""Cu"": 0.9333333333333333, ""Fe"": 0.8636363636363636, ""Mn"": 0.7628865979381443, ""Zn"": 0.1875}","{""Class VIII"": 0.71875, ""Cu"": 0.9333333333333333, ""Mn"": 0.7628865979381443, ""Zn"": 0.1875}",270.3396921157837,/content/metal_architecture_pilot_10h_v1/runs/T1_0_five_class_lr3e-05_s42,True
T1_1_five_class_lr3e-05_s42,T1,Only-ESM,five_class,3e-05,42,20,0.6403955795064042,0.6828903565292096,0.35,0.640625,"{""Class VIII"": 0.35, ""Cu"": 0.7333333333333333, ""Fe"": 0.6363636363636364, ""Mn"": 0.7010309278350515, ""Zn"": 0.78125}","{""Class VIII"": 0.640625, ""Cu"": 0.7333333333333333, ""Mn"": 0.6701030927835051, ""Zn"": 0.6875}",204.26696872711182,/content/metal_architecture_pilot_10h_v1/runs/T1_1_five_class_lr3e-05_s42,True
T1_2_five_class_lr3e-05_s42,T1,GVP + late fusion,five_class,3e-05,42,19,0.6799902374258044,0.7296042740549828,0.25,0.703125,"{""Class VIII"": 0.25, ""Cu"": 0.7333333333333333, ""Fe"": 0.8409090909090909, ""Mn"": 0.7319587628865979, ""Zn"": 0.84375}","{""Class VIII"": 0.703125, ""Cu"": 0.7333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.75}",306.39005160331726,/content/metal_architecture_pilot_10h_v1/runs/T1_2_five_class_lr3e-05_s42,True
T1_0_six_class_lr3e-05_s42,T1,Only-GVP,six_class,3e-05,42,42,0.5805610161602429,0.6639067869415808,0.07692307692307693,0.28125,"{""Co"": 0.07692307692307693, ""Cu"": 0.9333333333333333, ""Fe"": 0.9090909090909091, ""Mn"": 0.711340206185567, ""Ni"": 0.5714285714285714, ""Zn"": 0.28125}","{""Class VIII"": 0.78125, ""Cu"": 0.9333333333333333, ""Mn"": 0.6597938144329897, ""Zn"": 0.28125}",268.3421666622162,/content/metal_architecture_pilot_10h_v1/runs/T1_0_six_class_lr3e-05_s42,True
