epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.3466066597281277,1.319538808785952,1.0,fixed,1.0,,0.35139769486411954,0.3109748200773344,0.5681625604629517,0.35139769486411954,0.6233766233766234,0.5681625604629517,0.35139769486411954,0.6233766233766234,"[[431, 0, 0, 120], [19, 0, 0, 51], [111, 0, 0, 64], [145, 0, 0, 240]]",0.0,0.3109748200773344,0.0,0.7822141560798548,"{'Mn': 0.7822141560798548, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.6233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[431, 0, 0, 120], [19, 0, 0, 51], [111, 0, 0, 64], [145, 0, 0, 240]]",,0.3109748200773344,0.0,0.7822141560798548,"{'Mn': 0.7822141560798548, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.6233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.28370650773195877,0.24451219512195121,0.4375,0.28370650773195877,0.578125,0.4375,0.28370650773195877,0.578125,"[[54, 0, 0, 43], [4, 0, 0, 11], [23, 0, 0, 9], [27, 0, 0, 37]]",0.0,0.24451219512195121,0.0,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[54, 0, 0, 43], [4, 0, 0, 11], [23, 0, 0, 9], [27, 0, 0, 37]]",,0.24451219512195121,0.0,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.2161045142927684,1.2506676499660199,1.0,fixed,1.0,,0.5772599995286021,0.6162495949126277,0.6350550651550293,0.5772599995286021,0.6181818181818182,0.6350550651550293,0.5772599995286021,0.6181818181818182,"[[409, 0, 36, 106], [5, 42, 5, 18], [65, 0, 61, 49], [126, 0, 21, 238]]",0.6,0.6162495949126277,0.3485714285714286,0.7422867513611615,"{'Mn': 0.7422867513611615, 'Cu': 0.6, 'Zn': 0.3485714285714286, 'Class VIII': 0.6181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.3485714285714286,"[[409, 0, 36, 106], [5, 42, 5, 18], [65, 0, 61, 49], [126, 0, 21, 238]]",,0.6162495949126277,0.3485714285714286,0.7422867513611615,"{'Mn': 0.7422867513611615, 'Cu': 0.6, 'Zn': 0.3485714285714286, 'Class VIII': 0.6181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.43870543384879723,0.44873305566981986,0.38461539149284363,0.43870543384879723,0.546875,0.38461539149284363,0.43870543384879723,0.546875,"[[23, 0, 60, 14], [1, 8, 3, 3], [7, 0, 14, 11], [20, 0, 9, 35]]",0.5333333333333333,0.44873305566981986,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.5333333333333333, 'Zn': 0.4375, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.4375,"[[23, 0, 60, 14], [1, 8, 3, 3], [7, 0, 14, 11], [20, 0, 9, 35]]",,0.44873305566981986,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.5333333333333333, 'Zn': 0.4375, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.0844467785712835,1.2032115367742686,1.0,fixed,1.0,,0.6796733212341197,0.6947454601524587,0.6977137923240662,0.6796733212341197,0.7142857142857143,0.6977137923240662,0.6796733212341197,0.7142857142857143,"[[396, 0, 60, 95], [1, 48, 9, 12], [35, 0, 105, 35], [49, 0, 61, 275]]",0.6857142857142857,0.6947454601524587,0.6,0.7186932849364791,"{'Mn': 0.7186932849364791, 'Cu': 0.6857142857142857, 'Zn': 0.6, 'Class VIII': 0.7142857142857143}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6,"[[396, 0, 60, 95], [1, 48, 9, 12], [35, 0, 105, 35], [49, 0, 61, 275]]",,0.6947454601524587,0.6,0.7186932849364791,"{'Mn': 0.7186932849364791, 'Cu': 0.6857142857142857, 'Zn': 0.6, 'Class VIII': 0.7142857142857143}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.47019705756013747,0.4478091008259311,0.3798076808452606,0.47019705756013747,0.578125,0.3798076808452606,0.47019705756013747,0.578125,"[[14, 0, 71, 12], [1, 8, 3, 3], [3, 0, 20, 9], [9, 0, 18, 37]]",0.5333333333333333,0.4478091008259311,0.14432989690721648,0.14432989690721648,"{'Mn': 0.14432989690721648, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[14, 0, 71, 12], [1, 8, 3, 3], [3, 0, 20, 9], [9, 0, 18, 37]]",,0.4478091008259311,0.14432989690721648,0.14432989690721648,"{'Mn': 0.14432989690721648, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,0.9612279453793088,1.1628900537124047,1.0,fixed,1.0,,0.7337485563438377,0.7329179099910601,0.724809467792511,0.7337485563438377,0.6961038961038961,0.724809467792511,0.7337485563438377,0.6961038961038961,"[[415, 1, 58, 77], [1, 58, 6, 5], [32, 1, 115, 27], [47, 0, 70, 268]]",0.8285714285714286,0.7329179099910601,0.6571428571428571,0.7531760435571688,"{'Mn': 0.7531760435571688, 'Cu': 0.8285714285714286, 'Zn': 0.6571428571428571, 'Class VIII': 0.6961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6571428571428571,"[[415, 1, 58, 77], [1, 58, 6, 5], [32, 1, 115, 27], [47, 0, 70, 268]]",,0.7329179099910601,0.6571428571428571,0.7531760435571688,"{'Mn': 0.7531760435571688, 'Cu': 0.8285714285714286, 'Zn': 0.6571428571428571, 'Class VIII': 0.6961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5153753221649484,0.4885314405934788,0.41826921701431274,0.5153753221649484,0.578125,0.41826921701431274,0.5153753221649484,0.578125,"[[19, 0, 72, 6], [0, 9, 4, 2], [2, 1, 22, 7], [10, 0, 17, 37]]",0.6,0.4885314405934788,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.6, 'Zn': 0.6875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[19, 0, 72, 6], [0, 9, 4, 2], [2, 1, 22, 7], [10, 0, 17, 37]]",,0.4885314405934788,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.6, 'Zn': 0.6875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,0.8653333603933051,1.1326863593780077,1.0,fixed,1.0,,0.7640633323119712,0.754495754143297,0.7544453740119934,0.7640633323119712,0.7298701298701299,0.7544453740119934,0.7640633323119712,0.7298701298701299,"[[427, 5, 47, 72], [1, 59, 6, 4], [26, 1, 124, 24], [35, 0, 69, 281]]",0.8428571428571429,0.754495754143297,0.7085714285714285,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.8428571428571429, 'Zn': 0.7085714285714285, 'Class VIII': 0.7298701298701299}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7085714285714285,"[[427, 5, 47, 72], [1, 59, 6, 4], [26, 1, 124, 24], [35, 0, 69, 281]]",,0.754495754143297,0.7085714285714285,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.8428571428571429, 'Zn': 0.7085714285714285, 'Class VIII': 0.7298701298701299}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5101401417525773,0.478935006824498,0.4134615361690521,0.5101401417525773,0.546875,0.4134615361690521,0.5101401417525773,0.546875,"[[20, 0, 71, 6], [0, 9, 4, 2], [2, 1, 22, 7], [10, 1, 18, 35]]",0.6,0.478935006824498,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.6, 'Zn': 0.6875, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[20, 0, 71, 6], [0, 9, 4, 2], [2, 1, 22, 7], [10, 1, 18, 35]]",,0.478935006824498,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.6, 'Zn': 0.6875, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,0.7738975477782456,1.0673638043495326,1.0,fixed,1.0,,0.7684574681217149,0.7671892468810331,0.768839955329895,0.7684574681217149,0.7116883116883117,0.768839955329895,0.7684574681217149,0.7116883116883117,"[[453, 5, 34, 59], [1, 59, 6, 4], [42, 0, 122, 11], [52, 0, 59, 274]]",0.8428571428571429,0.7671892468810331,0.6971428571428572,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8428571428571429, 'Zn': 0.6971428571428572, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6971428571428572,"[[453, 5, 34, 59], [1, 59, 6, 4], [42, 0, 122, 11], [52, 0, 59, 274]]",,0.7671892468810331,0.6971428571428572,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8428571428571429, 'Zn': 0.6971428571428572, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5177110180412371,0.5063916883769826,0.44711539149284363,0.5177110180412371,0.546875,0.44711539149284363,0.5177110180412371,0.546875,"[[29, 0, 65, 3], [0, 9, 4, 2], [5, 1, 20, 6], [13, 1, 15, 35]]",0.6,0.5063916883769826,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6, 'Zn': 0.625, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[29, 0, 65, 3], [0, 9, 4, 2], [5, 1, 20, 6], [13, 1, 15, 35]]",,0.5063916883769826,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6, 'Zn': 0.625, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,0.7069725825174434,1.0545419053389475,1.0,fixed,1.0,,0.78053374030688,0.7797016668651762,0.7790008187294006,0.78053374030688,0.7220779220779221,0.7790008187294006,0.78053374030688,0.7220779220779221,"[[455, 0, 40, 56], [1, 59, 6, 4], [34, 1, 128, 12], [44, 1, 62, 278]]",0.8428571428571429,0.7797016668651762,0.7220779220779221,0.8257713248638838,"{'Mn': 0.8257713248638838, 'Cu': 0.8428571428571429, 'Zn': 0.7314285714285714, 'Class VIII': 0.7220779220779221}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7314285714285714,"[[455, 0, 40, 56], [1, 59, 6, 4], [34, 1, 128, 12], [44, 1, 62, 278]]",,0.7797016668651762,0.7220779220779221,0.8257713248638838,"{'Mn': 0.8257713248638838, 'Cu': 0.8428571428571429, 'Zn': 0.7314285714285714, 'Class VIII': 0.7220779220779221}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5138047680412371,0.49702127154748865,0.4423076808452606,0.5138047680412371,0.53125,0.4423076808452606,0.5138047680412371,0.53125,"[[29, 0, 65, 3], [0, 9, 4, 2], [5, 1, 20, 6], [12, 2, 16, 34]]",0.6,0.49702127154748865,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6, 'Zn': 0.625, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[29, 0, 65, 3], [0, 9, 4, 2], [5, 1, 20, 6], [12, 2, 16, 34]]",,0.49702127154748865,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6, 'Zn': 0.625, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,0.6499349920934921,0.9808792953307812,1.0,fixed,1.0,,0.7847338958681971,0.7977541081394683,0.801016092300415,0.7847338958681971,0.7506493506493507,0.801016092300415,0.7847338958681971,0.7506493506493507,"[[480, 0, 20, 51], [1, 59, 6, 4], [44, 1, 118, 12], [54, 0, 42, 289]]",0.8428571428571429,0.7977541081394683,0.6742857142857143,0.8711433756805808,"{'Mn': 0.8711433756805808, 'Cu': 0.8428571428571429, 'Zn': 0.6742857142857143, 'Class VIII': 0.7506493506493507}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6742857142857143,"[[480, 0, 20, 51], [1, 59, 6, 4], [44, 1, 118, 12], [54, 0, 42, 289]]",,0.7977541081394683,0.6742857142857143,0.8711433756805808,"{'Mn': 0.8711433756805808, 'Cu': 0.8428571428571429, 'Zn': 0.6742857142857143, 'Class VIII': 0.7506493506493507}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5084085051546392,0.5137113620164058,0.4615384638309479,0.5084085051546392,0.53125,0.4615384638309479,0.5084085051546392,0.53125,"[[36, 0, 60, 1], [1, 9, 3, 2], [8, 1, 17, 6], [17, 1, 12, 34]]",0.6,0.5137113620164058,0.3711340206185567,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.6, 'Zn': 0.53125, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[36, 0, 60, 1], [1, 9, 3, 2], [8, 1, 17, 6], [17, 1, 12, 34]]",,0.5137113620164058,0.3711340206185567,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.6, 'Zn': 0.53125, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,0.6098226054093322,1.0336494205089717,1.0,fixed,1.0,,0.8142375138473142,0.8065809538327982,0.8069432973861694,0.8142375138473142,0.7766233766233767,0.8069432973861694,0.8142375138473142,0.7766233766233767,"[[452, 0, 41, 58], [1, 59, 6, 4], [17, 1, 143, 14], [27, 1, 58, 299]]",0.8428571428571429,0.8065809538327982,0.7766233766233767,0.8203266787658802,"{'Mn': 0.8203266787658802, 'Cu': 0.8428571428571429, 'Zn': 0.8171428571428572, 'Class VIII': 0.7766233766233767}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8171428571428572,"[[452, 0, 41, 58], [1, 59, 6, 4], [17, 1, 143, 14], [27, 1, 58, 299]]",,0.8065809538327982,0.7766233766233767,0.8203266787658802,"{'Mn': 0.8203266787658802, 'Cu': 0.8428571428571429, 'Zn': 0.8171428571428572, 'Class VIII': 0.7766233766233767}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5333360180412371,0.5086455510915943,0.45673078298568726,0.5333360180412371,0.546875,0.45673078298568726,0.5333360180412371,0.546875,"[[29, 0, 65, 3], [0, 9, 4, 2], [3, 1, 22, 6], [10, 2, 17, 35]]",0.6,0.5086455510915943,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6, 'Zn': 0.6875, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[29, 0, 65, 3], [0, 9, 4, 2], [3, 1, 22, 6], [10, 2, 17, 35]]",,0.5086455510915943,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6, 'Zn': 0.6875, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,0.5601796016499803,0.9485299753455015,1.0,fixed,1.0,,0.8205805265514885,0.8220965798881472,0.821337878704071,0.8205805265514885,0.7766233766233767,0.821337878704071,0.8205805265514885,0.7766233766233767,"[[477, 0, 20, 54], [1, 62, 6, 1], [27, 1, 132, 15], [41, 1, 44, 299]]",0.8857142857142857,0.8220965798881472,0.7542857142857143,0.8656987295825771,"{'Mn': 0.8656987295825771, 'Cu': 0.8857142857142857, 'Zn': 0.7542857142857143, 'Class VIII': 0.7766233766233767}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7542857142857143,"[[477, 0, 20, 54], [1, 62, 6, 1], [27, 1, 132, 15], [41, 1, 44, 299]]",,0.8220965798881472,0.7542857142857143,0.8656987295825771,"{'Mn': 0.8656987295825771, 'Cu': 0.8857142857142857, 'Zn': 0.7542857142857143, 'Class VIII': 0.7766233766233767}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5508027276632302,0.5423834488786259,0.48557692766189575,0.5508027276632302,0.546875,0.48557692766189575,0.5508027276632302,0.546875,"[[38, 0, 57, 2], [0, 11, 4, 0], [7, 1, 17, 7], [15, 2, 12, 35]]",0.7333333333333333,0.5423834488786259,0.3917525773195876,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.7333333333333333, 'Zn': 0.53125, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[38, 0, 57, 2], [0, 11, 4, 0], [7, 1, 17, 7], [15, 2, 12, 35]]",,0.5423834488786259,0.3917525773195876,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.7333333333333333, 'Zn': 0.53125, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
