epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support
1,3e-05,1.374693574132146,1.0,fixed,1.0,,0.25,0.15915655690352395,0.46655377745628357,0.25,0.0,0.46655377745628357,0.25,0.0,"[[551, 0, 0, 0], [70, 0, 0, 0], [174, 0, 0, 1], [385, 0, 0, 0]]",0.0,0.15915655690352395,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[551, 0, 0, 0], [70, 0, 0, 0], [174, 0, 0, 1], [385, 0, 0, 0]]",,0.15915655690352395,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
2,3e-05,1.3554267013395154,1.0,fixed,1.0,,0.35716666273835057,0.25911822589538935,0.3852667212486267,0.35716666273835057,0.046753246753246755,0.3852667212486267,0.35716666273835057,0.046753246753246755,"[[286, 0, 257, 8], [1, 0, 69, 0], [22, 0, 151, 2], [27, 0, 340, 18]]",0.0,0.25911822589538935,0.0,0.5190562613430127,"{'Mn': 0.5190562613430127, 'Cu': 0.0, 'Zn': 0.8628571428571429, 'Class VIII': 0.046753246753246755}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8628571428571429,"[[286, 0, 257, 8], [1, 0, 69, 0], [22, 0, 151, 2], [27, 0, 340, 18]]",,0.25911822589538935,0.0,0.5190562613430127,"{'Mn': 0.5190562613430127, 'Cu': 0.0, 'Zn': 0.8628571428571429, 'Class VIII': 0.046753246753246755}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
3,3e-05,1.2997443619612101,1.0,fixed,1.0,,0.4767993259009593,0.48597450705217043,0.5707027912139893,0.4767993259009593,0.9428571428571428,0.5707027912139893,0.4767993259009593,0.9428571428571428,"[[259, 0, 8, 284], [0, 23, 15, 32], [19, 3, 29, 124], [14, 2, 6, 363]]",0.32857142857142857,0.48597450705217043,0.1657142857142857,0.47005444646098005,"{'Mn': 0.47005444646098005, 'Cu': 0.32857142857142857, 'Zn': 0.1657142857142857, 'Class VIII': 0.9428571428571428}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.1657142857142857,"[[259, 0, 8, 284], [0, 23, 15, 32], [19, 3, 29, 124], [14, 2, 6, 363]]",,0.48597450705217043,0.1657142857142857,0.47005444646098005,"{'Mn': 0.47005444646098005, 'Cu': 0.32857142857142857, 'Zn': 0.1657142857142857, 'Class VIII': 0.9428571428571428}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
4,3e-05,1.1819226057142824,1.0,fixed,1.0,,0.6558102151931553,0.6288758989855686,0.6604572534561157,0.6558102151931553,0.7142857142857143,0.6604572534561157,0.6558102151931553,0.7142857142857143,"[[356, 2, 106, 87], [0, 48, 11, 11], [25, 19, 101, 30], [31, 11, 68, 275]]",0.6857142857142857,0.6288758989855686,0.5771428571428572,0.6460980036297641,"{'Mn': 0.6460980036297641, 'Cu': 0.6857142857142857, 'Zn': 0.5771428571428572, 'Class VIII': 0.7142857142857143}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5771428571428572,"[[356, 2, 106, 87], [0, 48, 11, 11], [25, 19, 101, 30], [31, 11, 68, 275]]",,0.6288758989855686,0.5771428571428572,0.6460980036297641,"{'Mn': 0.6460980036297641, 'Cu': 0.6857142857142857, 'Zn': 0.5771428571428572, 'Class VIII': 0.7142857142857143}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
5,3e-05,1.103557106610891,1.0,fixed,1.0,,0.6042388101916233,0.565983085973342,0.6223539113998413,0.6042388101916233,0.8909090909090909,0.6223539113998413,0.6042388101916233,0.8909090909090909,"[[293, 6, 40, 212], [0, 50, 2, 18], [21, 32, 49, 73], [15, 14, 13, 343]]",0.7142857142857143,0.565983085973342,0.28,0.5317604355716878,"{'Mn': 0.5317604355716878, 'Cu': 0.7142857142857143, 'Zn': 0.28, 'Class VIII': 0.8909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.28,"[[293, 6, 40, 212], [0, 50, 2, 18], [21, 32, 49, 73], [15, 14, 13, 343]]",,0.565983085973342,0.28,0.5317604355716878,"{'Mn': 0.5317604355716878, 'Cu': 0.7142857142857143, 'Zn': 0.28, 'Class VIII': 0.8909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
6,3e-05,1.0297101675658613,1.0,fixed,1.0,,0.7100159096801565,0.6618728813946114,0.733276903629303,0.7100159096801565,0.7064935064935065,0.733276903629303,0.7100159096801565,0.7064935064935065,"[[453, 15, 52, 31], [0, 59, 6, 5], [41, 37, 82, 15], [56, 18, 39, 272]]",0.8428571428571429,0.6618728813946114,0.4685714285714286,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8428571428571429, 'Zn': 0.4685714285714286, 'Class VIII': 0.7064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4685714285714286,"[[453, 15, 52, 31], [0, 59, 6, 5], [41, 37, 82, 15], [56, 18, 39, 272]]",,0.6618728813946114,0.4685714285714286,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8428571428571429, 'Zn': 0.4685714285714286, 'Class VIII': 0.7064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
7,3e-05,0.9535259431278383,1.0,fixed,1.0,,0.6814755933721451,0.7004038800736012,0.7552921175956726,0.6814755933721451,0.7350649350649351,0.7552921175956726,0.6814755933721451,0.7350649350649351,"[[494, 0, 19, 38], [5, 51, 3, 11], [75, 9, 64, 27], [81, 4, 17, 283]]",0.7285714285714285,0.7004038800736012,0.3657142857142857,0.896551724137931,"{'Mn': 0.896551724137931, 'Cu': 0.7285714285714285, 'Zn': 0.3657142857142857, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.3657142857142857,"[[494, 0, 19, 38], [5, 51, 3, 11], [75, 9, 64, 27], [81, 4, 17, 283]]",,0.7004038800736012,0.3657142857142857,0.896551724137931,"{'Mn': 0.896551724137931, 'Cu': 0.7285714285714285, 'Zn': 0.3657142857142857, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
8,3e-05,0.8922641504857991,1.0,fixed,1.0,,0.7193894218304382,0.7425432688866005,0.7722269296646118,0.7193894218304382,0.6857142857142857,0.7722269296646118,0.7193894218304382,0.6857142857142857,"[[504, 0, 26, 21], [6, 53, 4, 7], [72, 2, 91, 10], [87, 5, 29, 264]]",0.7571428571428571,0.7425432688866005,0.52,0.9147005444646098,"{'Mn': 0.9147005444646098, 'Cu': 0.7571428571428571, 'Zn': 0.52, 'Class VIII': 0.6857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.52,"[[504, 0, 26, 21], [6, 53, 4, 7], [72, 2, 91, 10], [87, 5, 29, 264]]",,0.7425432688866005,0.52,0.9147005444646098,"{'Mn': 0.9147005444646098, 'Cu': 0.7571428571428571, 'Zn': 0.52, 'Class VIII': 0.6857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
9,3e-05,0.8314389417300353,1.0,fixed,1.0,,0.7709808612440191,0.7683071074302776,0.7815410494804382,0.7709808612440191,0.7246753246753247,0.7815410494804382,0.7709808612440191,0.7246753246753247,"[[464, 0, 60, 27], [0, 57, 8, 5], [40, 3, 123, 9], [54, 4, 48, 279]]",0.8142857142857143,0.7683071074302776,0.7028571428571428,0.8421052631578947,"{'Mn': 0.8421052631578947, 'Cu': 0.8142857142857143, 'Zn': 0.7028571428571428, 'Class VIII': 0.7246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7028571428571428,"[[464, 0, 60, 27], [0, 57, 8, 5], [40, 3, 123, 9], [54, 4, 48, 279]]",,0.7683071074302776,0.7028571428571428,0.8421052631578947,"{'Mn': 0.8421052631578947, 'Cu': 0.8142857142857143, 'Zn': 0.7028571428571428, 'Class VIII': 0.7246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
10,3e-05,0.788811547933398,1.0,fixed,1.0,,0.7600258090366984,0.7540157670558633,0.7756139039993286,0.7600258090366984,0.8025974025974026,0.7756139039993286,0.7600258090366984,0.8025974025974026,"[[441, 0, 57, 53], [0, 57, 7, 6], [36, 9, 109, 21], [45, 4, 27, 309]]",0.8142857142857143,0.7540157670558633,0.6228571428571429,0.8003629764065335,"{'Mn': 0.8003629764065335, 'Cu': 0.8142857142857143, 'Zn': 0.6228571428571429, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6228571428571429,"[[441, 0, 57, 53], [0, 57, 7, 6], [36, 9, 109, 21], [45, 4, 27, 309]]",,0.7540157670558633,0.6228571428571429,0.8003629764065335,"{'Mn': 0.8003629764065335, 'Cu': 0.8142857142857143, 'Zn': 0.6228571428571429, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
