id,arm,geometry,metal_node_mode,block,lr,seed,selected_epoch,balanced_accuracy,collapsed4_balanced_accuracy,minimum_recall,per_class_recall,elapsed_seconds,normalization_stats_sha256,block_complete,run_dir
G1_A_none_none_lr3e-05_s42,A,none,none,G1,3e-05,42,19,0.6084541451890034,0.6084541451890034,0.25,"{""Class VIII"": 0.796875, ""Cu"": 0.9333333333333333, ""Mn"": 0.4536082474226804, ""Zn"": 0.25}",274.35203218460083,e541b2eea3b00528684e80457706d292da00c17fbe5953d6b1a5f37dbeb6f2be,True,/content/metal_coordination_geometry_pilot_v1/runs/G1_A_none_none_lr3e-05_s42
G1_B_counts_none_lr3e-05_s42,B,counts,none,G1,3e-05,42,44,0.6089373926116839,0.6089373926116839,0.26804123711340205,"{""Class VIII"": 0.734375, ""Cu"": 0.9333333333333333, ""Mn"": 0.26804123711340205, ""Zn"": 0.5}",274.3531289100647,e541b2eea3b00528684e80457706d292da00c17fbe5953d6b1a5f37dbeb6f2be,True,/content/metal_coordination_geometry_pilot_v1/runs/G1_B_counts_none_lr3e-05_s42
G1_C_counts_angles_none_lr3e-05_s42,C,counts_angles,none,G1,3e-05,42,45,0.6101052405498282,0.6101052405498282,0.31958762886597936,"{""Class VIII"": 0.78125, ""Cu"": 0.9333333333333333, ""Mn"": 0.31958762886597936, ""Zn"": 0.40625}",274.350679397583,e541b2eea3b00528684e80457706d292da00c17fbe5953d6b1a5f37dbeb6f2be,True,/content/metal_coordination_geometry_pilot_v1/runs/G1_C_counts_angles_none_lr3e-05_s42
G1_D_counts_per_metal_lr3e-05_s42,D,counts,per_metal,G1,3e-05,42,44,0.610266323024055,0.610266323024055,0.25773195876288657,"{""Class VIII"": 0.71875, ""Cu"": 0.9333333333333333, ""Mn"": 0.25773195876288657, ""Zn"": 0.53125}",288.3639907836914,bc36872496dc65803a34191fe8be3a88d7a08dbad320ca2fa5deeb55c2d7aef5,True,/content/metal_coordination_geometry_pilot_v1/runs/G1_D_counts_per_metal_lr3e-05_s42
G1_E_counts_angles_per_metal_lr3e-05_s42,E,counts_angles,per_metal,G1,3e-05,42,25,0.610950923539519,0.610950923539519,0.4948453608247423,"{""Class VIII"": 0.515625, ""Cu"": 0.9333333333333333, ""Mn"": 0.4948453608247423, ""Zn"": 0.5}",286.3680257797241,bc36872496dc65803a34191fe8be3a88d7a08dbad320ca2fa5deeb55c2d7aef5,True,/content/metal_coordination_geometry_pilot_v1/runs/G1_E_counts_angles_per_metal_lr3e-05_s42
G2_A_none_none_lr0.0001_s42,A,none,none,G2,0.0001,42,35,0.6847320661512027,0.6847320661512027,0.40625,"{""Class VIII"": 0.703125, ""Cu"": 0.8666666666666667, ""Mn"": 0.7628865979381443, ""Zn"": 0.40625}",270.34220266342163,e541b2eea3b00528684e80457706d292da00c17fbe5953d6b1a5f37dbeb6f2be,True,/content/metal_coordination_geometry_pilot_v1/runs/G2_A_none_none_lr0.0001_s42
G2_B_counts_none_lr0.0001_s42,B,counts,none,G2,0.0001,42,48,0.7053049828178695,0.7053049828178695,0.4375,"{""Class VIII"": 0.6875, ""Cu"": 0.9333333333333333, ""Mn"": 0.7628865979381443, ""Zn"": 0.4375}",276.35000824928284,e541b2eea3b00528684e80457706d292da00c17fbe5953d6b1a5f37dbeb6f2be,True,/content/metal_coordination_geometry_pilot_v1/runs/G2_B_counts_none_lr0.0001_s42
G2_C_counts_angles_none_lr0.0001_s42,C,counts_angles,none,G2,0.0001,42,34,0.7143658719931272,0.7143658719931272,0.4375,"{""Class VIII"": 0.703125, ""Cu"": 0.9333333333333333, ""Mn"": 0.7835051546391752, ""Zn"": 0.4375}",274.352098941803,e541b2eea3b00528684e80457706d292da00c17fbe5953d6b1a5f37dbeb6f2be,True,/content/metal_coordination_geometry_pilot_v1/runs/G2_C_counts_angles_none_lr0.0001_s42
G2_D_counts_per_metal_lr0.0001_s42,D,counts,per_metal,G2,0.0001,42,27,0.6996670962199313,0.6996670962199313,0.3125,"{""Class VIII"": 0.625, ""Cu"": 0.9333333333333333, ""Mn"": 0.9278350515463918, ""Zn"": 0.3125}",288.3657991886139,bc36872496dc65803a34191fe8be3a88d7a08dbad320ca2fa5deeb55c2d7aef5,True,/content/metal_coordination_geometry_pilot_v1/runs/G2_D_counts_per_metal_lr0.0001_s42
G2_E_counts_angles_per_metal_lr0.0001_s42,E,counts_angles,per_metal,G2,0.0001,42,48,0.694799720790378,0.694799720790378,0.375,"{""Class VIII"": 0.640625, ""Cu"": 0.8666666666666667, ""Mn"": 0.8969072164948454, ""Zn"": 0.375}",284.3605144023895,bc36872496dc65803a34191fe8be3a88d7a08dbad320ca2fa5deeb55c2d7aef5,True,/content/metal_coordination_geometry_pilot_v1/runs/G2_E_counts_angles_per_metal_lr0.0001_s42
