id,block,arm,geometry,metal_node_mode,lr,seed,epochs,run_dir
S_A_none_none_lr3e-05_s42,S,A,none,none,3e-05,42,1,/content/metal_coordination_geometry_pilot_v1/runs/S_A_none_none_lr3e-05_s42
S_B_counts_none_lr3e-05_s42,S,B,counts,none,3e-05,42,1,/content/metal_coordination_geometry_pilot_v1/runs/S_B_counts_none_lr3e-05_s42
S_C_counts_angles_none_lr3e-05_s42,S,C,counts_angles,none,3e-05,42,1,/content/metal_coordination_geometry_pilot_v1/runs/S_C_counts_angles_none_lr3e-05_s42
S_D_counts_per_metal_lr3e-05_s42,S,D,counts,per_metal,3e-05,42,1,/content/metal_coordination_geometry_pilot_v1/runs/S_D_counts_per_metal_lr3e-05_s42
S_E_counts_angles_per_metal_lr3e-05_s42,S,E,counts_angles,per_metal,3e-05,42,1,/content/metal_coordination_geometry_pilot_v1/runs/S_E_counts_angles_per_metal_lr3e-05_s42
G1_A_none_none_lr3e-05_s42,G1,A,none,none,3e-05,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G1_A_none_none_lr3e-05_s42
G1_B_counts_none_lr3e-05_s42,G1,B,counts,none,3e-05,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G1_B_counts_none_lr3e-05_s42
G1_C_counts_angles_none_lr3e-05_s42,G1,C,counts_angles,none,3e-05,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G1_C_counts_angles_none_lr3e-05_s42
G1_D_counts_per_metal_lr3e-05_s42,G1,D,counts,per_metal,3e-05,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G1_D_counts_per_metal_lr3e-05_s42
G1_E_counts_angles_per_metal_lr3e-05_s42,G1,E,counts_angles,per_metal,3e-05,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G1_E_counts_angles_per_metal_lr3e-05_s42
G2_A_none_none_lr0.0001_s42,G2,A,none,none,0.0001,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G2_A_none_none_lr0.0001_s42
G2_B_counts_none_lr0.0001_s42,G2,B,counts,none,0.0001,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G2_B_counts_none_lr0.0001_s42
G2_C_counts_angles_none_lr0.0001_s42,G2,C,counts_angles,none,0.0001,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G2_C_counts_angles_none_lr0.0001_s42
G2_D_counts_per_metal_lr0.0001_s42,G2,D,counts,per_metal,0.0001,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G2_D_counts_per_metal_lr0.0001_s42
G2_E_counts_angles_per_metal_lr0.0001_s42,G2,E,counts_angles,per_metal,0.0001,42,50,/content/metal_coordination_geometry_pilot_v1/runs/G2_E_counts_angles_per_metal_lr0.0001_s42
GR_A_none_none_lr3e-05_s43,GR,A,none,none,3e-05,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_A_none_none_lr3e-05_s43
GR_A_none_none_lr0.0001_s43,GR,A,none,none,0.0001,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_A_none_none_lr0.0001_s43
GR_B_counts_none_lr3e-05_s43,GR,B,counts,none,3e-05,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_B_counts_none_lr3e-05_s43
GR_B_counts_none_lr0.0001_s43,GR,B,counts,none,0.0001,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_B_counts_none_lr0.0001_s43
GR_C_counts_angles_none_lr3e-05_s43,GR,C,counts_angles,none,3e-05,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_C_counts_angles_none_lr3e-05_s43
GR_C_counts_angles_none_lr0.0001_s43,GR,C,counts_angles,none,0.0001,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_C_counts_angles_none_lr0.0001_s43
GR_D_counts_per_metal_lr3e-05_s43,GR,D,counts,per_metal,3e-05,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_D_counts_per_metal_lr3e-05_s43
GR_D_counts_per_metal_lr0.0001_s43,GR,D,counts,per_metal,0.0001,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_D_counts_per_metal_lr0.0001_s43
GR_E_counts_angles_per_metal_lr3e-05_s43,GR,E,counts_angles,per_metal,3e-05,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_E_counts_angles_per_metal_lr3e-05_s43
GR_E_counts_angles_per_metal_lr0.0001_s43,GR,E,counts_angles,per_metal,0.0001,43,50,/content/metal_coordination_geometry_pilot_v1/runs/GR_E_counts_angles_per_metal_lr0.0001_s43
