epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.38169647390778,1.3638146061163683,1.0,fixed,1.0,,0.26,0.1424887201938654,0.33192211389541626,0.26,1.0,0.33192211389541626,0.26,1.0,"[[0, 0, 3, 548], [0, 0, 8, 62], [0, 0, 7, 168], [0, 0, 0, 385]]",0.0,0.1424887201938654,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.04, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.04,"[[0, 0, 3, 548], [0, 0, 8, 62], [0, 0, 7, 168], [0, 0, 0, 385]]",,0.1424887201938654,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.04, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.24609375,0.11753731343283583,0.30288460850715637,0.24609375,0.984375,0.30288460850715637,0.24609375,0.984375,"[[0, 0, 0, 97], [0, 0, 3, 12], [0, 0, 0, 32], [0, 0, 1, 63]]",0.0,0.11753731343283583,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[0, 0, 0, 97], [0, 0, 3, 12], [0, 0, 0, 32], [0, 0, 1, 63]]",,0.11753731343283583,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.361674330524496,1.3436899001781757,1.0,fixed,1.0,,0.406865675159686,0.38193603403437526,0.525825560092926,0.406865675159686,0.509090909090909,0.525825560092926,0.406865675159686,0.509090909090909,"[[336, 0, 102, 113], [17, 0, 41, 12], [45, 0, 89, 41], [122, 0, 67, 196]]",0.0,0.38193603403437526,0.0,0.6098003629764065,"{'Mn': 0.6098003629764065, 'Cu': 0.0, 'Zn': 0.5085714285714286, 'Class VIII': 0.509090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5085714285714286,"[[336, 0, 102, 113], [17, 0, 41, 12], [45, 0, 89, 41], [122, 0, 67, 196]]",,0.38193603403437526,0.0,0.6098003629764065,"{'Mn': 0.6098003629764065, 'Cu': 0.0, 'Zn': 0.5085714285714286, 'Class VIII': 0.509090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3038015463917526,0.28859957084782994,0.36538460850715637,0.3038015463917526,0.46875,0.36538460850715637,0.3038015463917526,0.46875,"[[33, 0, 58, 6], [4, 0, 10, 1], [11, 0, 13, 8], [21, 0, 13, 30]]",0.0,0.28859957084782994,0.0,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.0, 'Zn': 0.40625, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[33, 0, 58, 6], [4, 0, 10, 1], [11, 0, 13, 8], [21, 0, 13, 30]]",,0.28859957084782994,0.0,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.0, 'Zn': 0.40625, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.3504892974286467,1.3335594672423143,1.0,fixed,1.0,,0.29962641714002874,0.2254792536257172,0.42591023445129395,0.29962641714002874,0.948051948051948,0.42591023445129395,0.29962641714002874,0.948051948051948,"[[138, 0, 0, 413], [27, 0, 0, 43], [15, 0, 0, 160], [20, 0, 0, 365]]",0.0,0.2254792536257172,0.0,0.25045372050816694,"{'Mn': 0.25045372050816694, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[138, 0, 0, 413], [27, 0, 0, 43], [15, 0, 0, 160], [20, 0, 0, 365]]",,0.2254792536257172,0.0,0.25045372050816694,"{'Mn': 0.25045372050816694, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2846730025773196,0.19689919958352314,0.3798076808452606,0.2846730025773196,0.953125,0.3798076808452606,0.2846730025773196,0.953125,"[[18, 0, 0, 79], [9, 0, 0, 6], [0, 0, 0, 32], [3, 0, 0, 61]]",0.0,0.19689919958352314,0.0,0.18556701030927836,"{'Mn': 0.18556701030927836, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[18, 0, 0, 79], [9, 0, 0, 6], [0, 0, 0, 32], [3, 0, 0, 61]]",,0.19689919958352314,0.0,0.18556701030927836,"{'Mn': 0.18556701030927836, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,1.330158638793069,1.3055599056757414,1.0,fixed,1.0,,0.34988945718528297,0.3084961116694257,0.44623202085494995,0.34988945718528297,0.922077922077922,0.44623202085494995,0.34988945718528297,0.922077922077922,"[[134, 0, 50, 367], [19, 2, 7, 42], [12, 0, 36, 127], [17, 1, 12, 355]]",0.02857142857142857,0.3084961116694257,0.02857142857142857,0.24319419237749546,"{'Mn': 0.24319419237749546, 'Cu': 0.02857142857142857, 'Zn': 0.2057142857142857, 'Class VIII': 0.922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2057142857142857,"[[134, 0, 50, 367], [19, 2, 7, 42], [12, 0, 36, 127], [17, 1, 12, 355]]",,0.3084961116694257,0.02857142857142857,0.24319419237749546,"{'Mn': 0.24319419237749546, 'Cu': 0.02857142857142857, 'Zn': 0.2057142857142857, 'Class VIII': 0.922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2963917525773196,0.23281059799147902,0.3798076808452606,0.2963917525773196,0.90625,0.3798076808452606,0.2963917525773196,0.90625,"[[18, 1, 23, 55], [6, 0, 3, 6], [0, 0, 3, 29], [3, 0, 3, 58]]",0.0,0.23281059799147902,0.0,0.18556701030927836,"{'Mn': 0.18556701030927836, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[18, 1, 23, 55], [6, 0, 3, 6], [0, 0, 3, 29], [3, 0, 3, 58]]",,0.23281059799147902,0.0,0.18556701030927836,"{'Mn': 0.18556701030927836, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,1.2663246139481261,1.2467196171100323,1.0,fixed,1.0,,0.39689725882103377,0.36897763581887844,0.4987298846244812,0.39689725882103377,0.8987012987012987,0.4987298846244812,0.39689725882103377,0.8987012987012987,"[[219, 7, 0, 325], [13, 18, 8, 31], [39, 11, 6, 119], [34, 4, 1, 346]]",0.2571428571428571,0.36897763581887844,0.03428571428571429,0.397459165154265,"{'Mn': 0.397459165154265, 'Cu': 0.2571428571428571, 'Zn': 0.03428571428571429, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.03428571428571429,"[[219, 7, 0, 325], [13, 18, 8, 31], [39, 11, 6, 119], [34, 4, 1, 346]]",,0.36897763581887844,0.03428571428571429,0.397459165154265,"{'Mn': 0.397459165154265, 'Cu': 0.2571428571428571, 'Zn': 0.03428571428571429, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.42965528350515464,0.40275820862339684,0.5,0.42965528350515464,0.90625,0.5,0.42965528350515464,0.90625,"[[40, 1, 0, 56], [3, 6, 1, 5], [4, 1, 0, 27], [5, 0, 1, 58]]",0.4,0.40275820862339684,0.0,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.4, 'Zn': 0.0, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[40, 1, 0, 56], [3, 6, 1, 5], [4, 1, 0, 27], [5, 0, 1, 58]]",,0.40275820862339684,0.0,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.4, 'Zn': 0.0, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,1.2075205264059272,1.2120575744372148,1.0,fixed,1.0,,0.575080726895609,0.5158808026164674,0.5232853293418884,0.575080726895609,0.6493506493506493,0.5232853293418884,0.575080726895609,0.6493506493506493,"[[217, 21, 177, 136], [1, 46, 11, 12], [16, 23, 105, 31], [33, 9, 93, 250]]",0.6571428571428571,0.5158808026164674,0.3938294010889292,0.3938294010889292,"{'Mn': 0.3938294010889292, 'Cu': 0.6571428571428571, 'Zn': 0.6, 'Class VIII': 0.6493506493506493}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6,"[[217, 21, 177, 136], [1, 46, 11, 12], [16, 23, 105, 31], [33, 9, 93, 250]]",,0.5158808026164674,0.3938294010889292,0.3938294010889292,"{'Mn': 0.3938294010889292, 'Cu': 0.6571428571428571, 'Zn': 0.6, 'Class VIII': 0.6493506493506493}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.48250912800687284,0.4518456305189962,0.3990384638309479,0.48250912800687284,0.578125,0.3990384638309479,0.48250912800687284,0.578125,"[[21, 6, 66, 4], [0, 10, 5, 0], [6, 1, 15, 10], [6, 0, 21, 37]]",0.6666666666666666,0.4518456305189962,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.46875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[21, 6, 66, 4], [0, 10, 5, 0], [6, 1, 15, 10], [6, 0, 21, 37]]",,0.4518456305189962,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.46875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,1.1757540992788367,1.1801894765633802,1.0,fixed,1.0,,0.5592029839489004,0.4958485600558721,0.52159184217453,0.5592029839489004,0.8233766233766234,0.52159184217453,0.5592029839489004,0.8233766233766234,"[[179, 23, 101, 248], [1, 47, 8, 14], [8, 29, 73, 65], [16, 9, 43, 317]]",0.6714285714285714,0.4958485600558721,0.3248638838475499,0.3248638838475499,"{'Mn': 0.3248638838475499, 'Cu': 0.6714285714285714, 'Zn': 0.41714285714285715, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.41714285714285715,"[[179, 23, 101, 248], [1, 47, 8, 14], [8, 29, 73, 65], [16, 9, 43, 317]]",,0.4958485600558721,0.3248638838475499,0.3248638838475499,"{'Mn': 0.3248638838475499, 'Cu': 0.6714285714285714, 'Zn': 0.41714285714285715, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.46813251718213056,0.4131470420327684,0.42788460850715637,0.46813251718213056,0.78125,0.42788460850715637,0.46813251718213056,0.78125,"[[23, 11, 51, 12], [0, 10, 4, 1], [3, 4, 6, 19], [4, 1, 9, 50]]",0.6666666666666666,0.4131470420327684,0.1875,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.1875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.1875,"[[23, 11, 51, 12], [0, 10, 4, 1], [3, 4, 6, 19], [4, 1, 9, 50]]",,0.4131470420327684,0.1875,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.1875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,1.131673794743177,1.1285803134624774,1.0,fixed,1.0,,0.5783010818582507,0.5400639925333195,0.5732430219650269,0.5783010818582507,0.8155844155844156,0.5732430219650269,0.5783010818582507,0.8155844155844156,"[[249, 10, 85, 207], [1, 46, 7, 16], [20, 28, 68, 59], [21, 8, 42, 314]]",0.6571428571428571,0.5400639925333195,0.38857142857142857,0.4519056261343013,"{'Mn': 0.4519056261343013, 'Cu': 0.6571428571428571, 'Zn': 0.38857142857142857, 'Class VIII': 0.8155844155844156}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38857142857142857,"[[249, 10, 85, 207], [1, 46, 7, 16], [20, 28, 68, 59], [21, 8, 42, 314]]",,0.5400639925333195,0.38857142857142857,0.4519056261343013,"{'Mn': 0.4519056261343013, 'Cu': 0.6571428571428571, 'Zn': 0.38857142857142857, 'Class VIII': 0.8155844155844156}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5503436426116839,0.5054326610279766,0.4663461446762085,0.5503436426116839,0.78125,0.4663461446762085,0.5503436426116839,0.78125,"[[26, 1, 59, 11], [0, 14, 0, 1], [3, 3, 7, 19], [4, 2, 8, 50]]",0.9333333333333333,0.5054326610279766,0.21875,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[26, 1, 59, 11], [0, 14, 0, 1], [3, 3, 7, 19], [4, 2, 8, 50]]",,0.5054326610279766,0.21875,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,1.0940248760822657,1.1346193368618305,1.0,fixed,1.0,,0.6257496405590779,0.5309525427713556,0.562235414981842,0.6257496405590779,0.5922077922077922,0.562235414981842,0.6257496405590779,0.5922077922077922,"[[272, 30, 149, 100], [0, 56, 4, 10], [13, 40, 108, 14], [24, 49, 84, 228]]",0.8,0.5309525427713556,0.49364791288566245,0.49364791288566245,"{'Mn': 0.49364791288566245, 'Cu': 0.8, 'Zn': 0.6171428571428571, 'Class VIII': 0.5922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6171428571428571,"[[272, 30, 149, 100], [0, 56, 4, 10], [13, 40, 108, 14], [24, 49, 84, 228]]",,0.5309525427713556,0.49364791288566245,0.49364791288566245,"{'Mn': 0.49364791288566245, 'Cu': 0.8, 'Zn': 0.6171428571428571, 'Class VIII': 0.5922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5217515034364262,0.42566310435162896,0.4038461446762085,0.5217515034364262,0.53125,0.4038461446762085,0.5217515034364262,0.53125,"[[24, 10, 60, 3], [0, 14, 1, 0], [3, 8, 12, 9], [6, 7, 17, 34]]",0.9333333333333333,0.42566310435162896,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[24, 10, 60, 3], [0, 14, 1, 0], [3, 8, 12, 9], [6, 7, 17, 34]]",,0.42566310435162896,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,1.0447318541842538,1.0679248181673198,1.0,fixed,1.0,,0.6542121762085464,0.597920268978714,0.6477561593055725,0.6542121762085464,0.5636363636363636,0.6477561593055725,0.6542121762085464,0.5636363636363636,"[[404, 17, 84, 46], [2, 58, 2, 8], [43, 36, 86, 10], [81, 20, 67, 217]]",0.8285714285714286,0.597920268978714,0.49142857142857144,0.7332123411978222,"{'Mn': 0.7332123411978222, 'Cu': 0.8285714285714286, 'Zn': 0.49142857142857144, 'Class VIII': 0.5636363636363636}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.49142857142857144,"[[404, 17, 84, 46], [2, 58, 2, 8], [43, 36, 86, 10], [81, 20, 67, 217]]",,0.597920268978714,0.49142857142857144,0.7332123411978222,"{'Mn': 0.7332123411978222, 'Cu': 0.8285714285714286, 'Zn': 0.49142857142857144, 'Class VIII': 0.5636363636363636}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5133752147766323,0.4531450738190013,0.45673078298568726,0.5133752147766323,0.46875,0.45673078298568726,0.5133752147766323,0.46875,"[[45, 6, 46, 0], [0, 14, 1, 0], [11, 11, 6, 4], [18, 5, 11, 30]]",0.9333333333333333,0.4531450738190013,0.1875,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.1875,"[[45, 6, 46, 0], [0, 14, 1, 0], [11, 11, 6, 4], [18, 5, 11, 30]]",,0.4531450738190013,0.1875,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
