epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.3821025442432713,1.3643119839521556,1.0,fixed,1.0,,0.26142857142857145,0.14516610675625233,0.33276882767677307,0.26142857142857145,1.0,0.33276882767677307,0.26142857142857145,1.0,"[[0, 0, 2, 549], [0, 0, 5, 65], [0, 0, 8, 167], [0, 0, 0, 385]]",0.0,0.14516610675625233,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.045714285714285714,"[[0, 0, 2, 549], [0, 0, 5, 65], [0, 0, 8, 167], [0, 0, 0, 385]]",,0.14516610675625233,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.24609375,0.11666666666666665,0.30288460850715637,0.24609375,0.984375,0.30288460850715637,0.24609375,0.984375,"[[0, 0, 0, 97], [0, 0, 1, 14], [0, 0, 0, 32], [0, 0, 1, 63]]",0.0,0.11666666666666665,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[0, 0, 0, 97], [0, 0, 1, 14], [0, 0, 0, 32], [0, 0, 1, 63]]",,0.11666666666666665,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.3629074547741864,1.3445225266309886,1.0,fixed,1.0,,0.41010252904989747,0.38183013880357475,0.5249788165092468,0.41010252904989747,0.45454545454545453,0.5249788165092468,0.41010252904989747,0.45454545454545453,"[[348, 0, 111, 92], [22, 0, 33, 15], [47, 0, 97, 31], [134, 0, 76, 175]]",0.0,0.38183013880357475,0.0,0.631578947368421,"{'Mn': 0.631578947368421, 'Cu': 0.0, 'Zn': 0.5542857142857143, 'Class VIII': 0.45454545454545453}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5542857142857143,"[[348, 0, 111, 92], [22, 0, 33, 15], [47, 0, 97, 31], [134, 0, 76, 175]]",,0.38183013880357475,0.0,0.631578947368421,"{'Mn': 0.631578947368421, 'Cu': 0.0, 'Zn': 0.5542857142857143, 'Class VIII': 0.45454545454545453}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3089561855670103,0.3013526907275275,0.375,0.3089561855670103,0.46875,0.375,0.3089561855670103,0.46875,"[[35, 0, 62, 0], [6, 0, 9, 0], [11, 0, 13, 8], [17, 0, 17, 30]]",0.0,0.3013526907275275,0.0,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.0, 'Zn': 0.40625, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[35, 0, 62, 0], [6, 0, 9, 0], [11, 0, 13, 8], [17, 0, 17, 30]]",,0.3013526907275275,0.0,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.0, 'Zn': 0.40625, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.3529799620847445,1.3348972843243525,1.0,fixed,1.0,,0.2941193108162255,0.2165267093447668,0.41490262746810913,0.2941193108162255,0.9532467532467532,0.41490262746810913,0.2941193108162255,0.9532467532467532,"[[123, 0, 0, 428], [26, 0, 0, 44], [13, 0, 0, 162], [18, 0, 0, 367]]",0.0,0.2165267093447668,0.0,0.22323049001814882,"{'Mn': 0.22323049001814882, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9532467532467532}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[123, 0, 0, 428], [26, 0, 0, 44], [13, 0, 0, 162], [18, 0, 0, 367]]",,0.2165267093447668,0.0,0.22323049001814882,"{'Mn': 0.22323049001814882, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9532467532467532}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2795183634020619,0.189,0.3701923191547394,0.2795183634020619,0.953125,0.3701923191547394,0.2795183634020619,0.953125,"[[16, 0, 0, 81], [9, 0, 0, 6], [0, 0, 0, 32], [3, 0, 0, 61]]",0.0,0.189,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[16, 0, 0, 81], [9, 0, 0, 6], [0, 0, 0, 32], [3, 0, 0, 61]]",,0.189,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,1.334782195252341,1.30834115927036,1.0,fixed,1.0,,0.33419084545218847,0.2849768602250416,0.42675697803497314,0.33419084545218847,0.9194805194805195,0.42675697803497314,0.33419084545218847,0.9194805194805195,"[[115, 0, 52, 384], [22, 1, 5, 42], [10, 0, 34, 131], [18, 1, 12, 354]]",0.014285714285714285,0.2849768602250416,0.014285714285714285,0.20871143375680581,"{'Mn': 0.20871143375680581, 'Cu': 0.014285714285714285, 'Zn': 0.19428571428571428, 'Class VIII': 0.9194805194805195}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.19428571428571428,"[[115, 0, 52, 384], [22, 1, 5, 42], [10, 0, 34, 131], [18, 1, 12, 354]]",,0.2849768602250416,0.014285714285714285,0.20871143375680581,"{'Mn': 0.20871143375680581, 'Cu': 0.014285714285714285, 'Zn': 0.19428571428571428, 'Class VIII': 0.9194805194805195}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2951433634020619,0.22757834967406115,0.375,0.2951433634020619,0.921875,0.375,0.2951433634020619,0.921875,"[[16, 1, 27, 53], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",0.0,0.22757834967406115,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[16, 1, 27, 53], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",,0.22757834967406115,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,1.2705121781374957,1.2470629788362062,1.0,fixed,1.0,,0.39223430834138634,0.3615849387919563,0.486028790473938,0.39223430834138634,0.8987012987012987,0.486028790473938,0.39223430834138634,0.8987012987012987,"[[204, 7, 0, 340], [12, 19, 2, 37], [38, 11, 5, 121], [34, 4, 1, 346]]",0.2714285714285714,0.3615849387919563,0.02857142857142857,0.3702359346642468,"{'Mn': 0.3702359346642468, 'Cu': 0.2714285714285714, 'Zn': 0.02857142857142857, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.02857142857142857,"[[204, 7, 0, 340], [12, 19, 2, 37], [38, 11, 5, 121], [34, 4, 1, 346]]",,0.3615849387919563,0.02857142857142857,0.3702359346642468,"{'Mn': 0.3702359346642468, 'Cu': 0.2714285714285714, 'Zn': 0.02857142857142857, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4348904639175258,0.419618728303523,0.5,0.4348904639175258,0.90625,0.5,0.4348904639175258,0.90625,"[[39, 1, 0, 57], [3, 6, 0, 6], [4, 0, 1, 27], [5, 0, 1, 58]]",0.4,0.419618728303523,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[39, 1, 0, 57], [3, 6, 0, 6], [4, 0, 1, 27], [5, 0, 1, 58]]",,0.419618728303523,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,1.2120734296135,1.213517393057163,1.0,fixed,1.0,,0.5652945058571193,0.4969419623197165,0.4995766282081604,0.5652945058571193,0.6233766233766234,0.4995766282081604,0.5652945058571193,0.6233766233766234,"[[194, 22, 201, 134], [1, 46, 11, 12], [13, 23, 110, 29], [31, 13, 101, 240]]",0.6571428571428571,0.4969419623197165,0.35208711433756806,0.35208711433756806,"{'Mn': 0.35208711433756806, 'Cu': 0.6571428571428571, 'Zn': 0.6285714285714286, 'Class VIII': 0.6233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6285714285714286,"[[194, 22, 201, 134], [1, 46, 11, 12], [13, 23, 110, 29], [31, 13, 101, 240]]",,0.4969419623197165,0.35208711433756806,0.35208711433756806,"{'Mn': 0.35208711433756806, 'Cu': 0.6571428571428571, 'Zn': 0.6285714285714286, 'Class VIII': 0.6233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.48250912800687284,0.4488506336433915,0.39423078298568726,0.48250912800687284,0.546875,0.39423078298568726,0.48250912800687284,0.546875,"[[21, 6, 66, 4], [0, 10, 5, 0], [5, 1, 16, 10], [6, 0, 23, 35]]",0.6666666666666666,0.4488506336433915,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[21, 6, 66, 4], [0, 10, 5, 0], [5, 1, 16, 10], [6, 0, 23, 35]]",,0.4488506336433915,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,1.1766417320515659,1.177084322159107,1.0,fixed,1.0,,0.5545326089518468,0.4896613757570861,0.513971209526062,0.5545326089518468,0.8155844155844156,0.513971209526062,0.5545326089518468,0.8155844155844156,"[[173, 22, 107, 249], [1, 47, 7, 15], [8, 29, 73, 65], [12, 10, 49, 314]]",0.6714285714285714,0.4896613757570861,0.3139745916515426,0.3139745916515426,"{'Mn': 0.3139745916515426, 'Cu': 0.6714285714285714, 'Zn': 0.41714285714285715, 'Class VIII': 0.8155844155844156}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.41714285714285715,"[[173, 22, 107, 249], [1, 47, 7, 15], [8, 29, 73, 65], [12, 10, 49, 314]]",,0.4896613757570861,0.3139745916515426,0.3139745916515426,"{'Mn': 0.3139745916515426, 'Cu': 0.6714285714285714, 'Zn': 0.41714285714285715, 'Class VIII': 0.8155844155844156}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5220387671821306,0.45739872035556184,0.4423076808452606,0.5220387671821306,0.765625,0.4423076808452606,0.5220387671821306,0.765625,"[[23, 7, 56, 11], [0, 13, 1, 1], [3, 4, 7, 18], [4, 1, 10, 49]]",0.8666666666666667,0.45739872035556184,0.21875,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.8666666666666667, 'Zn': 0.21875, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[23, 7, 56, 11], [0, 13, 1, 1], [3, 4, 7, 18], [4, 1, 10, 49]]",,0.45739872035556184,0.21875,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.8666666666666667, 'Zn': 0.21875, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,1.1332929359899986,1.1243493167253642,1.0,fixed,1.0,,0.5699343578381691,0.532283563321204,0.5630821585655212,0.5699343578381691,0.8181818181818182,0.5630821585655212,0.5699343578381691,0.8181818181818182,"[[237, 10, 86, 218], [1, 45, 7, 17], [18, 28, 68, 61], [18, 6, 46, 315]]",0.6428571428571429,0.532283563321204,0.38857142857142857,0.4301270417422868,"{'Mn': 0.4301270417422868, 'Cu': 0.6428571428571429, 'Zn': 0.38857142857142857, 'Class VIII': 0.8181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38857142857142857,"[[237, 10, 86, 218], [1, 45, 7, 17], [18, 28, 68, 61], [18, 6, 46, 315]]",,0.532283563321204,0.38857142857142857,0.4301270417422868,"{'Mn': 0.4301270417422868, 'Cu': 0.6428571428571429, 'Zn': 0.38857142857142857, 'Class VIII': 0.8181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.547766323024055,0.5011509694430586,0.4615384638309479,0.547766323024055,0.78125,0.4615384638309479,0.547766323024055,0.78125,"[[25, 1, 59, 12], [0, 14, 0, 1], [3, 3, 7, 19], [4, 2, 8, 50]]",0.9333333333333333,0.5011509694430586,0.21875,0.25773195876288657,"{'Mn': 0.25773195876288657, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[25, 1, 59, 12], [0, 14, 0, 1], [3, 3, 7, 19], [4, 2, 8, 50]]",,0.5011509694430586,0.21875,0.25773195876288657,"{'Mn': 0.25773195876288657, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,1.093917863191785,1.1333561883522913,1.0,fixed,1.0,,0.6194666132415678,0.5183763426703093,0.546147346496582,0.6194666132415678,0.5844155844155844,0.546147346496582,0.6194666132415678,0.5844155844155844,"[[253, 34, 157, 107], [0, 56, 4, 10], [9, 41, 111, 14], [23, 51, 86, 225]]",0.8,0.5183763426703093,0.4591651542649728,0.4591651542649728,"{'Mn': 0.4591651542649728, 'Cu': 0.8, 'Zn': 0.6342857142857142, 'Class VIII': 0.5844155844155844}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6342857142857142,"[[253, 34, 157, 107], [0, 56, 4, 10], [9, 41, 111, 14], [23, 51, 86, 225]]",,0.5183763426703093,0.4591651542649728,0.4591651542649728,"{'Mn': 0.4591651542649728, 'Cu': 0.8, 'Zn': 0.6342857142857142, 'Class VIII': 0.5844155844155844}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5035491838487972,0.40562215054066364,0.3798076808452606,0.5035491838487972,0.46875,0.3798076808452606,0.5035491838487972,0.46875,"[[23, 9, 62, 3], [0, 14, 1, 0], [3, 10, 12, 7], [6, 8, 20, 30]]",0.9333333333333333,0.40562215054066364,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[23, 9, 62, 3], [0, 14, 1, 0], [3, 10, 12, 7], [6, 8, 20, 30]]",,0.40562215054066364,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,1.0466149662797515,1.0698716296599462,1.0,fixed,1.0,,0.639139816626205,0.5825462726206477,0.6392887234687805,0.639139816626205,0.5298701298701298,0.6392887234687805,0.639139816626205,0.5298701298701298,"[[413, 20, 76, 42], [3, 57, 2, 8], [50, 37, 81, 7], [86, 23, 72, 204]]",0.8142857142857143,0.5825462726206477,0.46285714285714286,0.7495462794918331,"{'Mn': 0.7495462794918331, 'Cu': 0.8142857142857143, 'Zn': 0.46285714285714286, 'Class VIII': 0.5298701298701298}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.46285714285714286,"[[413, 20, 76, 42], [3, 57, 2, 8], [50, 37, 81, 7], [86, 23, 72, 204]]",,0.5825462726206477,0.46285714285714286,0.7495462794918331,"{'Mn': 0.7495462794918331, 'Cu': 0.8142857142857143, 'Zn': 0.46285714285714286, 'Class VIII': 0.5298701298701298}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5300875214776632,0.4720045305571621,0.48557692766189575,0.5300875214776632,0.421875,0.48557692766189575,0.5300875214776632,0.421875,"[[53, 4, 40, 0], [1, 14, 0, 0], [11, 10, 7, 4], [20, 5, 12, 27]]",0.9333333333333333,0.4720045305571621,0.21875,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[53, 4, 40, 0], [1, 14, 0, 0], [11, 10, 7, 4], [20, 5, 12, 27]]",,0.4720045305571621,0.21875,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
