epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.3835636772014,1.3652547689584584,1.0,fixed,1.0,,0.26142857142857145,0.14513595676406013,0.33276882767677307,0.26142857142857145,1.0,0.33276882767677307,0.26142857142857145,1.0,"[[0, 0, 2, 549], [0, 0, 6, 64], [0, 0, 8, 167], [0, 0, 0, 385]]",0.0,0.14513595676406013,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.045714285714285714,"[[0, 0, 2, 549], [0, 0, 6, 64], [0, 0, 8, 167], [0, 0, 0, 385]]",,0.14513595676406013,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.24609375,0.11666666666666665,0.30288460850715637,0.24609375,0.984375,0.30288460850715637,0.24609375,0.984375,"[[0, 0, 0, 97], [0, 0, 1, 14], [0, 0, 0, 32], [0, 0, 1, 63]]",0.0,0.11666666666666665,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[0, 0, 0, 97], [0, 0, 1, 14], [0, 0, 0, 32], [0, 0, 1, 63]]",,0.11666666666666665,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.3647700193766001,1.3455555897492628,1.0,fixed,1.0,,0.40671765620948924,0.3834786084352564,0.5292125344276428,0.40671765620948924,0.45714285714285713,0.5292125344276428,0.40671765620948924,0.45714285714285713,"[[358, 0, 93, 100], [33, 0, 23, 14], [50, 0, 91, 34], [144, 0, 65, 176]]",0.0,0.3834786084352564,0.0,0.6497277676950998,"{'Mn': 0.6497277676950998, 'Cu': 0.0, 'Zn': 0.52, 'Class VIII': 0.45714285714285713}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.52,"[[358, 0, 93, 100], [33, 0, 23, 14], [50, 0, 91, 34], [144, 0, 65, 176]]",,0.3834786084352564,0.0,0.6497277676950998,"{'Mn': 0.6497277676950998, 'Cu': 0.0, 'Zn': 0.52, 'Class VIII': 0.45714285714285713}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3076272551546392,0.3012672252054086,0.3798076808452606,0.3076272551546392,0.484375,0.3798076808452606,0.3076272551546392,0.484375,"[[36, 0, 61, 0], [8, 0, 7, 0], [11, 0, 12, 9], [22, 0, 11, 31]]",0.0,0.3012672252054086,0.0,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.0, 'Zn': 0.375, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[36, 0, 61, 0], [8, 0, 7, 0], [11, 0, 12, 9], [22, 0, 11, 31]]",,0.3012672252054086,0.0,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.0, 'Zn': 0.375, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.3537225030563973,1.336949770267193,1.0,fixed,1.0,,0.2924375986989417,0.21232087782558573,0.4106689393520355,0.2924375986989417,0.961038961038961,0.4106689393520355,0.2924375986989417,0.961038961038961,"[[115, 0, 0, 436], [26, 0, 0, 44], [11, 0, 0, 164], [15, 0, 0, 370]]",0.0,0.21232087782558573,0.0,0.20871143375680581,"{'Mn': 0.20871143375680581, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[115, 0, 0, 436], [26, 0, 0, 44], [11, 0, 0, 164], [15, 0, 0, 370]]",,0.21232087782558573,0.0,0.20871143375680581,"{'Mn': 0.20871143375680581, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.28084729381443296,0.18699186991869918,0.3701923191547394,0.28084729381443296,0.96875,0.3701923191547394,0.28084729381443296,0.96875,"[[15, 0, 0, 82], [9, 0, 0, 6], [0, 0, 0, 32], [2, 0, 0, 62]]",0.0,0.18699186991869918,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.96875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[15, 0, 0, 82], [9, 0, 0, 6], [0, 0, 0, 32], [2, 0, 0, 62]]",,0.18699186991869918,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.96875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,1.3357150764078707,1.3112968435654273,1.0,fixed,1.0,,0.33407087467886015,0.28030690952931914,0.42252328991889954,0.33407087467886015,0.935064935064935,0.42252328991889954,0.33407087467886015,0.935064935064935,"[[103, 0, 54, 394], [22, 1, 5, 42], [8, 0, 35, 132], [12, 1, 12, 360]]",0.014285714285714285,0.28030690952931914,0.014285714285714285,0.1869328493647913,"{'Mn': 0.1869328493647913, 'Cu': 0.014285714285714285, 'Zn': 0.2, 'Class VIII': 0.935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2,"[[103, 0, 54, 394], [22, 1, 5, 42], [8, 0, 35, 132], [12, 1, 12, 360]]",,0.28030690952931914,0.014285714285714285,0.1869328493647913,"{'Mn': 0.1869328493647913, 'Cu': 0.014285714285714285, 'Zn': 0.2, 'Class VIII': 0.935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2951433634020619,0.22790490058418708,0.375,0.2951433634020619,0.921875,0.375,0.2951433634020619,0.921875,"[[16, 1, 28, 52], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",0.0,0.22790490058418708,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[16, 1, 28, 52], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",,0.22790490058418708,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,1.271536633775041,1.2483230966788073,1.0,fixed,1.0,,0.3893213048294718,0.3580664291848502,0.4784081280231476,0.3893213048294718,0.9012987012987013,0.4784081280231476,0.3893213048294718,0.9012987012987013,"[[193, 8, 0, 350], [12, 19, 8, 31], [36, 11, 6, 122], [33, 4, 1, 347]]",0.2714285714285714,0.3580664291848502,0.03428571428571429,0.3502722323049002,"{'Mn': 0.3502722323049002, 'Cu': 0.2714285714285714, 'Zn': 0.03428571428571429, 'Class VIII': 0.9012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.03428571428571429,"[[193, 8, 0, 350], [12, 19, 8, 31], [36, 11, 6, 122], [33, 4, 1, 347]]",,0.3580664291848502,0.03428571428571429,0.3502722323049002,"{'Mn': 0.3502722323049002, 'Cu': 0.2714285714285714, 'Zn': 0.03428571428571429, 'Class VIII': 0.9012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4348904639175258,0.4198468656999463,0.5,0.4348904639175258,0.90625,0.5,0.4348904639175258,0.90625,"[[39, 1, 0, 57], [3, 6, 1, 5], [4, 0, 1, 27], [5, 0, 1, 58]]",0.4,0.4198468656999463,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[39, 1, 0, 57], [3, 6, 1, 5], [4, 0, 1, 27], [5, 0, 1, 58]]",,0.4198468656999463,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,1.213932837183411,1.2154943094803736,1.0,fixed,1.0,,0.56471751479011,0.4939752019590229,0.4944961965084076,0.56471751479011,0.625974025974026,0.4944961965084076,0.56471751479011,0.625974025974026,"[[185, 22, 207, 137], [1, 46, 11, 12], [12, 22, 112, 29], [29, 13, 102, 241]]",0.6571428571428571,0.4939752019590229,0.33575317604355714,0.33575317604355714,"{'Mn': 0.33575317604355714, 'Cu': 0.6571428571428571, 'Zn': 0.64, 'Class VIII': 0.625974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.64,"[[185, 22, 207, 137], [1, 46, 11, 12], [12, 22, 112, 29], [29, 13, 102, 241]]",,0.4939752019590229,0.33575317604355714,0.33575317604355714,"{'Mn': 0.33575317604355714, 'Cu': 0.6571428571428571, 'Zn': 0.64, 'Class VIII': 0.625974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.47860287800687284,0.4451429732239591,0.38942307233810425,0.47860287800687284,0.53125,0.38942307233810425,0.47860287800687284,0.53125,"[[21, 6, 66, 4], [0, 10, 5, 0], [5, 1, 16, 10], [7, 0, 23, 34]]",0.6666666666666666,0.4451429732239591,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[21, 6, 66, 4], [0, 10, 5, 0], [5, 1, 16, 10], [7, 0, 23, 34]]",,0.4451429732239591,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,1.1791366600507014,1.1812619245969331,1.0,fixed,1.0,,0.5521357861738987,0.4851220236588234,0.5080440044403076,0.5521357861738987,0.812987012987013,0.5080440044403076,0.5521357861738987,0.812987012987013,"[[166, 22, 114, 249], [1, 47, 7, 15], [7, 29, 74, 65], [12, 10, 50, 313]]",0.6714285714285714,0.4851220236588234,0.30127041742286753,0.30127041742286753,"{'Mn': 0.30127041742286753, 'Cu': 0.6714285714285714, 'Zn': 0.4228571428571429, 'Class VIII': 0.812987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4228571428571429,"[[166, 22, 114, 249], [1, 47, 7, 15], [7, 29, 74, 65], [12, 10, 50, 313]]",,0.4851220236588234,0.30127041742286753,0.30127041742286753,"{'Mn': 0.30127041742286753, 'Cu': 0.6714285714285714, 'Zn': 0.4228571428571429, 'Class VIII': 0.812987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.479931808419244,0.4373165579191496,0.42307692766189575,0.479931808419244,0.765625,0.42307692766189575,0.479931808419244,0.765625,"[[20, 7, 58, 12], [0, 10, 4, 1], [3, 2, 9, 18], [4, 0, 11, 49]]",0.6666666666666666,0.4373165579191496,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.6666666666666666, 'Zn': 0.28125, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[20, 7, 58, 12], [0, 10, 4, 1], [3, 2, 9, 18], [4, 0, 11, 49]]",,0.4373165579191496,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.6666666666666666, 'Zn': 0.28125, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,1.1357092051892668,1.1285318503013024,1.0,fixed,1.0,,0.5726657552973342,0.5326804995405465,0.5605419278144836,0.5726657552973342,0.8181818181818182,0.5605419278144836,0.5726657552973342,0.8181818181818182,"[[232, 10, 90, 219], [1, 46, 6, 17], [17, 28, 69, 61], [17, 6, 47, 315]]",0.6571428571428571,0.5326804995405465,0.3942857142857143,0.42105263157894735,"{'Mn': 0.42105263157894735, 'Cu': 0.6571428571428571, 'Zn': 0.3942857142857143, 'Class VIII': 0.8181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.3942857142857143,"[[232, 10, 90, 219], [1, 46, 6, 17], [17, 28, 69, 61], [17, 6, 47, 315]]",,0.5326804995405465,0.3942857142857143,0.42105263157894735,"{'Mn': 0.42105263157894735, 'Cu': 0.6571428571428571, 'Zn': 0.3942857142857143, 'Class VIII': 0.8181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.547766323024055,0.5011509694430586,0.4615384638309479,0.547766323024055,0.78125,0.4615384638309479,0.547766323024055,0.78125,"[[25, 1, 59, 12], [0, 14, 0, 1], [3, 3, 7, 19], [4, 2, 8, 50]]",0.9333333333333333,0.5011509694430586,0.21875,0.25773195876288657,"{'Mn': 0.25773195876288657, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[25, 1, 59, 12], [0, 14, 0, 1], [3, 3, 7, 19], [4, 2, 8, 50]]",,0.5011509694430586,0.21875,0.25773195876288657,"{'Mn': 0.25773195876288657, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,1.095564865179964,1.134234790618603,1.0,fixed,1.0,,0.618687392462347,0.5193983752801566,0.546147346496582,0.618687392462347,0.587012987012987,0.546147346496582,0.618687392462347,0.587012987012987,"[[253, 32, 160, 106], [0, 56, 4, 10], [10, 40, 110, 15], [23, 49, 87, 226]]",0.8,0.5193983752801566,0.4591651542649728,0.4591651542649728,"{'Mn': 0.4591651542649728, 'Cu': 0.8, 'Zn': 0.6285714285714286, 'Class VIII': 0.587012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6285714285714286,"[[253, 32, 160, 106], [0, 56, 4, 10], [10, 40, 110, 15], [23, 49, 87, 226]]",,0.5193983752801566,0.4591651542649728,0.4591651542649728,"{'Mn': 0.4591651542649728, 'Cu': 0.8, 'Zn': 0.6285714285714286, 'Class VIII': 0.587012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5035491838487972,0.409519313589081,0.3798076808452606,0.5035491838487972,0.46875,0.3798076808452606,0.5035491838487972,0.46875,"[[23, 8, 63, 3], [0, 14, 1, 0], [3, 10, 12, 7], [6, 7, 21, 30]]",0.9333333333333333,0.409519313589081,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[23, 8, 63, 3], [0, 14, 1, 0], [3, 10, 12, 7], [6, 7, 21, 30]]",,0.409519313589081,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,1.048529443708626,1.072463063093332,1.0,fixed,1.0,,0.646673109105051,0.5873762024729045,0.6409822106361389,0.646673109105051,0.5246753246753246,0.6409822106361389,0.646673109105051,0.5246753246753246,"[[412, 19, 77, 43], [2, 58, 2, 8], [46, 37, 85, 7], [86, 23, 74, 202]]",0.8285714285714286,0.5873762024729045,0.4857142857142857,0.7477313974591652,"{'Mn': 0.7477313974591652, 'Cu': 0.8285714285714286, 'Zn': 0.4857142857142857, 'Class VIII': 0.5246753246753246}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4857142857142857,"[[412, 19, 77, 43], [2, 58, 2, 8], [46, 37, 85, 7], [86, 23, 74, 202]]",,0.5873762024729045,0.4857142857142857,0.7477313974591652,"{'Mn': 0.7477313974591652, 'Cu': 0.8285714285714286, 'Zn': 0.4857142857142857, 'Class VIII': 0.5246753246753246}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5145430627147767,0.4583084245877874,0.4615384638309479,0.5145430627147767,0.390625,0.4615384638309479,0.5145430627147767,0.390625,"[[50, 3, 44, 0], [1, 14, 0, 0], [11, 10, 7, 4], [22, 5, 12, 25]]",0.9333333333333333,0.4583084245877874,0.21875,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[50, 3, 44, 0], [1, 14, 0, 0], [11, 10, 7, 4], [22, 5, 12, 25]]",,0.4583084245877874,0.21875,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
