epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.3820886233368435,1.3642579041994536,1.0,fixed,1.0,,0.26142857142857145,0.14513595676406013,0.33276882767677307,0.26142857142857145,1.0,0.33276882767677307,0.26142857142857145,1.0,"[[0, 0, 2, 549], [0, 0, 6, 64], [0, 0, 8, 167], [0, 0, 0, 385]]",0.0,0.14513595676406013,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.045714285714285714,"[[0, 0, 2, 549], [0, 0, 6, 64], [0, 0, 8, 167], [0, 0, 0, 385]]",,0.14513595676406013,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.24609375,0.11666666666666665,0.30288460850715637,0.24609375,0.984375,0.30288460850715637,0.24609375,0.984375,"[[0, 0, 0, 97], [0, 0, 1, 14], [0, 0, 0, 32], [0, 0, 1, 63]]",0.0,0.11666666666666665,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[0, 0, 0, 97], [0, 0, 1, 14], [0, 0, 0, 32], [0, 0, 1, 63]]",,0.11666666666666665,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.362926585448755,1.3446688514489393,1.0,fixed,1.0,,0.40893699766658026,0.38013950243449024,0.5224385857582092,0.40893699766658026,0.45714285714285713,0.5224385857582092,0.40893699766658026,0.45714285714285713,"[[344, 0, 115, 92], [20, 0, 35, 15], [45, 0, 97, 33], [130, 0, 79, 176]]",0.0,0.38013950243449024,0.0,0.6243194192377496,"{'Mn': 0.6243194192377496, 'Cu': 0.0, 'Zn': 0.5542857142857143, 'Class VIII': 0.45714285714285713}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5542857142857143,"[[344, 0, 115, 92], [20, 0, 35, 15], [45, 0, 97, 33], [130, 0, 79, 176]]",,0.38013950243449024,0.0,0.6243194192377496,"{'Mn': 0.6243194192377496, 'Cu': 0.0, 'Zn': 0.5542857142857143, 'Class VIII': 0.45714285714285713}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3050499355670103,0.29672493149227125,0.3701923191547394,0.3050499355670103,0.453125,0.3701923191547394,0.3050499355670103,0.453125,"[[35, 0, 62, 0], [5, 0, 10, 0], [10, 0, 13, 9], [18, 0, 17, 29]]",0.0,0.29672493149227125,0.0,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.0, 'Zn': 0.40625, 'Class VIII': 0.453125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[35, 0, 62, 0], [5, 0, 10, 0], [10, 0, 13, 9], [18, 0, 17, 29]]",,0.29672493149227125,0.0,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.0, 'Zn': 0.40625, 'Class VIII': 0.453125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.3530558903475065,1.335388041459597,1.0,fixed,1.0,,0.2923044287835576,0.2138575796859074,0.41151565313339233,0.2923044287835576,0.9532467532467532,0.41151565313339233,0.2923044287835576,0.9532467532467532,"[[119, 0, 0, 432], [26, 0, 0, 44], [13, 0, 0, 162], [18, 0, 0, 367]]",0.0,0.2138575796859074,0.0,0.2159709618874773,"{'Mn': 0.2159709618874773, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9532467532467532}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[119, 0, 0, 432], [26, 0, 0, 44], [13, 0, 0, 162], [18, 0, 0, 367]]",,0.2138575796859074,0.0,0.2159709618874773,"{'Mn': 0.2159709618874773, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9532467532467532}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.27694104381443296,0.1849736668861093,0.36538460850715637,0.27694104381443296,0.953125,0.36538460850715637,0.27694104381443296,0.953125,"[[15, 0, 0, 82], [9, 0, 0, 6], [0, 0, 0, 32], [3, 0, 0, 61]]",0.0,0.1849736668861093,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[15, 0, 0, 82], [9, 0, 0, 6], [0, 0, 0, 32], [3, 0, 0, 61]]",,0.1849736668861093,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.953125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,1.3345606238455385,1.3089398420774019,1.0,fixed,1.0,,0.3336746647182219,0.28286836027463447,0.42506349086761475,0.3336746647182219,0.9246753246753247,0.42506349086761475,0.3336746647182219,0.9246753246753247,"[[111, 0, 52, 388], [21, 1, 6, 42], [10, 0, 34, 131], [16, 1, 12, 356]]",0.014285714285714285,0.28286836027463447,0.014285714285714285,0.2014519056261343,"{'Mn': 0.2014519056261343, 'Cu': 0.014285714285714285, 'Zn': 0.19428571428571428, 'Class VIII': 0.9246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.19428571428571428,"[[111, 0, 52, 388], [21, 1, 6, 42], [10, 0, 34, 131], [16, 1, 12, 356]]",,0.28286836027463447,0.014285714285714285,0.2014519056261343,"{'Mn': 0.2014519056261343, 'Cu': 0.014285714285714285, 'Zn': 0.19428571428571428, 'Class VIII': 0.9246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2951433634020619,0.22757834967406115,0.375,0.2951433634020619,0.921875,0.375,0.2951433634020619,0.921875,"[[16, 1, 27, 53], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",0.0,0.22757834967406115,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[16, 1, 27, 53], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",,0.22757834967406115,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,1.270171013635558,1.2459907715137188,1.0,fixed,1.0,,0.39457032078629173,0.3649086502183287,0.4885690212249756,0.39457032078629173,0.8987012987012987,0.4885690212249756,0.39457032078629173,0.8987012987012987,"[[206, 8, 0, 337], [12, 19, 5, 34], [38, 11, 6, 120], [34, 4, 1, 346]]",0.2714285714285714,0.3649086502183287,0.03428571428571429,0.3738656987295826,"{'Mn': 0.3738656987295826, 'Cu': 0.2714285714285714, 'Zn': 0.03428571428571429, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.03428571428571429,"[[206, 8, 0, 337], [12, 19, 5, 34], [38, 11, 6, 120], [34, 4, 1, 346]]",,0.3649086502183287,0.03428571428571429,0.3738656987295826,"{'Mn': 0.3738656987295826, 'Cu': 0.2714285714285714, 'Zn': 0.03428571428571429, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4348904639175258,0.419618728303523,0.5,0.4348904639175258,0.90625,0.5,0.4348904639175258,0.90625,"[[39, 1, 0, 57], [3, 6, 0, 6], [4, 0, 1, 27], [5, 0, 1, 58]]",0.4,0.419618728303523,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[39, 1, 0, 57], [3, 6, 0, 6], [4, 0, 1, 27], [5, 0, 1, 58]]",,0.419618728303523,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,1.2118119758528632,1.2107071028305934,1.0,fixed,1.0,,0.5701596860489783,0.5015848240545097,0.5046570897102356,0.5701596860489783,0.6233766233766234,0.5046570897102356,0.5701596860489783,0.6233766233766234,"[[200, 24, 195, 132], [1, 47, 10, 12], [14, 23, 109, 29], [33, 12, 100, 240]]",0.6714285714285714,0.5015848240545097,0.3629764065335753,0.3629764065335753,"{'Mn': 0.3629764065335753, 'Cu': 0.6714285714285714, 'Zn': 0.6228571428571429, 'Class VIII': 0.6233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6228571428571429,"[[200, 24, 195, 132], [1, 47, 10, 12], [14, 23, 109, 29], [33, 12, 100, 240]]",,0.5015848240545097,0.3629764065335753,0.3629764065335753,"{'Mn': 0.3629764065335753, 'Cu': 0.6714285714285714, 'Zn': 0.6228571428571429, 'Class VIII': 0.6233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.47860287800687284,0.4458938530778924,0.38942307233810425,0.47860287800687284,0.53125,0.38942307233810425,0.47860287800687284,0.53125,"[[21, 6, 66, 4], [0, 10, 5, 0], [6, 1, 16, 9], [7, 0, 23, 34]]",0.6666666666666666,0.4458938530778924,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[21, 6, 66, 4], [0, 10, 5, 0], [6, 1, 16, 9], [7, 0, 23, 34]]",,0.4458938530778924,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,1.1747853514310476,1.1720473560003133,1.0,fixed,1.0,,0.5560910505102883,0.49082231577349805,0.513971209526062,0.5560910505102883,0.8103896103896104,0.513971209526062,0.5560910505102883,0.8103896103896104,"[[173, 22, 109, 247], [1, 47, 7, 15], [8, 29, 75, 63], [14, 10, 49, 312]]",0.6714285714285714,0.49082231577349805,0.3139745916515426,0.3139745916515426,"{'Mn': 0.3139745916515426, 'Cu': 0.6714285714285714, 'Zn': 0.42857142857142855, 'Class VIII': 0.8103896103896104}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.42857142857142855,"[[173, 22, 109, 247], [1, 47, 7, 15], [8, 29, 75, 63], [14, 10, 49, 312]]",,0.49082231577349805,0.3139745916515426,0.3139745916515426,"{'Mn': 0.3139745916515426, 'Cu': 0.6714285714285714, 'Zn': 0.42857142857142855, 'Class VIII': 0.8103896103896104}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5480535867697595,0.4915057865172544,0.4615384638309479,0.5480535867697595,0.765625,0.4615384638309479,0.5480535867697595,0.765625,"[[24, 7, 55, 11], [0, 13, 1, 1], [3, 1, 10, 18], [4, 0, 11, 49]]",0.8666666666666667,0.4915057865172544,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.8666666666666667, 'Zn': 0.3125, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[24, 7, 55, 11], [0, 13, 1, 1], [3, 1, 10, 18], [4, 0, 11, 49]]",,0.4915057865172544,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.8666666666666667, 'Zn': 0.3125, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,1.1304704820787586,1.1195888840235197,1.0,fixed,1.0,,0.5696696679001579,0.5345229201218127,0.5673158168792725,0.5696696679001579,0.8233766233766234,0.5673158168792725,0.5696696679001579,0.8233766233766234,"[[243, 9, 80, 219], [1, 45, 5, 19], [20, 28, 65, 62], [18, 6, 44, 317]]",0.6428571428571429,0.5345229201218127,0.37142857142857144,0.44101633393829404,"{'Mn': 0.44101633393829404, 'Cu': 0.6428571428571429, 'Zn': 0.37142857142857144, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.37142857142857144,"[[243, 9, 80, 219], [1, 45, 5, 19], [20, 28, 65, 62], [18, 6, 44, 317]]",,0.5345229201218127,0.37142857142857144,0.44101633393829404,"{'Mn': 0.44101633393829404, 'Cu': 0.6428571428571429, 'Zn': 0.37142857142857144, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5554982817869416,0.5176900854385641,0.4759615361690521,0.5554982817869416,0.78125,0.4759615361690521,0.5554982817869416,0.78125,"[[28, 1, 57, 11], [0, 14, 0, 1], [3, 3, 7, 19], [4, 1, 9, 50]]",0.9333333333333333,0.5176900854385641,0.21875,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[28, 1, 57, 11], [0, 14, 0, 1], [3, 3, 7, 19], [4, 1, 9, 50]]",,0.5176900854385641,0.21875,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,1.0918698085320961,1.1303229652918303,1.0,fixed,1.0,,0.6163431305536569,0.5176607573452854,0.546147346496582,0.6163431305536569,0.5688311688311688,0.546147346496582,0.6163431305536569,0.5688311688311688,"[[261, 32, 155, 103], [0, 56, 4, 10], [11, 40, 109, 15], [24, 53, 89, 219]]",0.8,0.5176607573452854,0.47368421052631576,0.47368421052631576,"{'Mn': 0.47368421052631576, 'Cu': 0.8, 'Zn': 0.6228571428571429, 'Class VIII': 0.5688311688311688}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6228571428571429,"[[261, 32, 155, 103], [0, 56, 4, 10], [11, 40, 109, 15], [24, 53, 89, 219]]",,0.5176607573452854,0.47368421052631576,0.47368421052631576,"{'Mn': 0.47368421052631576, 'Cu': 0.8, 'Zn': 0.6228571428571429, 'Class VIII': 0.5688311688311688}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5061265034364262,0.41018285475704636,0.38461539149284363,0.5061265034364262,0.46875,0.38461539149284363,0.5061265034364262,0.46875,"[[24, 9, 61, 3], [0, 14, 1, 0], [3, 11, 12, 6], [6, 7, 21, 30]]",0.9333333333333333,0.41018285475704636,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[24, 9, 61, 3], [0, 14, 1, 0], [3, 11, 12, 6], [6, 7, 21, 30]]",,0.41018285475704636,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,1.0445818023101703,1.0745570865961223,1.0,fixed,1.0,,0.6463492587267542,0.5827023671555888,0.6392887234687805,0.6463492587267542,0.5194805194805194,0.6392887234687805,0.6463492587267542,0.5194805194805194,"[[411, 21, 81, 38], [2, 58, 2, 8], [46, 37, 86, 6], [84, 30, 71, 200]]",0.8285714285714286,0.5827023671555888,0.49142857142857144,0.7459165154264973,"{'Mn': 0.7459165154264973, 'Cu': 0.8285714285714286, 'Zn': 0.49142857142857144, 'Class VIII': 0.5194805194805194}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.49142857142857144,"[[411, 21, 81, 38], [2, 58, 2, 8], [46, 37, 86, 6], [84, 30, 71, 200]]",,0.5827023671555888,0.49142857142857144,0.7459165154264973,"{'Mn': 0.7459165154264973, 'Cu': 0.8285714285714286, 'Zn': 0.49142857142857144, 'Class VIII': 0.5194805194805194}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5522766323024055,0.48296918767507,0.4951923191547394,0.5522766323024055,0.4375,0.4951923191547394,0.5522766323024055,0.4375,"[[51, 5, 41, 0], [0, 14, 1, 0], [8, 11, 10, 3], [19, 6, 11, 28]]",0.9333333333333333,0.48296918767507,0.3125,0.5257731958762887,"{'Mn': 0.5257731958762887, 'Cu': 0.9333333333333333, 'Zn': 0.3125, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[51, 5, 41, 0], [0, 14, 1, 0], [8, 11, 10, 3], [19, 6, 11, 28]]",,0.48296918767507,0.3125,0.5257731958762887,"{'Mn': 0.5257731958762887, 'Cu': 0.9333333333333333, 'Zn': 0.3125, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
