epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.3835487405996065,1.365203206355755,1.0,fixed,1.0,,0.26142857142857145,0.14513595676406013,0.33276882767677307,0.26142857142857145,1.0,0.33276882767677307,0.26142857142857145,1.0,"[[0, 0, 2, 549], [0, 0, 6, 64], [0, 0, 8, 167], [0, 0, 0, 385]]",0.0,0.14513595676406013,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.045714285714285714,"[[0, 0, 2, 549], [0, 0, 6, 64], [0, 0, 8, 167], [0, 0, 0, 385]]",,0.14513595676406013,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 1.0}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.24609375,0.11710037174721188,0.30288460850715637,0.24609375,0.984375,0.30288460850715637,0.24609375,0.984375,"[[0, 0, 0, 97], [0, 0, 2, 13], [0, 0, 0, 32], [0, 0, 1, 63]]",0.0,0.11710037174721188,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[0, 0, 0, 97], [0, 0, 2, 13], [0, 0, 0, 32], [0, 0, 1, 63]]",,0.11710037174721188,0.0,0.0,"{'Mn': 0.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.984375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.364784854489404,1.3457026252379785,1.0,fixed,1.0,,0.4081511773163316,0.383222467816822,0.5275190472602844,0.4081511773163316,0.4623376623376623,0.5275190472602844,0.4081511773163316,0.4623376623376623,"[[352, 0, 100, 99], [30, 0, 26, 14], [48, 0, 93, 34], [140, 0, 67, 178]]",0.0,0.383222467816822,0.0,0.6388384754990926,"{'Mn': 0.6388384754990926, 'Cu': 0.0, 'Zn': 0.5314285714285715, 'Class VIII': 0.4623376623376623}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5314285714285715,"[[352, 0, 100, 99], [30, 0, 26, 14], [48, 0, 93, 34], [140, 0, 67, 178]]",,0.383222467816822,0.0,0.6388384754990926,"{'Mn': 0.6388384754990926, 'Cu': 0.0, 'Zn': 0.5314285714285715, 'Class VIII': 0.4623376623376623}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3076272551546392,0.3014718010872216,0.3798076808452606,0.3076272551546392,0.484375,0.3798076808452606,0.3076272551546392,0.484375,"[[36, 0, 61, 0], [8, 0, 7, 0], [11, 0, 12, 9], [21, 0, 12, 31]]",0.0,0.3014718010872216,0.0,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.0, 'Zn': 0.375, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[36, 0, 61, 0], [8, 0, 7, 0], [11, 0, 12, 9], [21, 0, 12, 31]]",,0.3014718010872216,0.0,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.0, 'Zn': 0.375, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.3537940463504277,1.3374209449841425,1.0,fixed,1.0,,0.2924375986989417,0.21232087782558573,0.4106689393520355,0.2924375986989417,0.961038961038961,0.4106689393520355,0.2924375986989417,0.961038961038961,"[[115, 0, 0, 436], [26, 0, 0, 44], [11, 0, 0, 164], [15, 0, 0, 370]]",0.0,0.21232087782558573,0.0,0.20871143375680581,"{'Mn': 0.20871143375680581, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[115, 0, 0, 436], [26, 0, 0, 44], [11, 0, 0, 164], [15, 0, 0, 370]]",,0.21232087782558573,0.0,0.20871143375680581,"{'Mn': 0.20871143375680581, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.28084729381443296,0.18699186991869918,0.3701923191547394,0.28084729381443296,0.96875,0.3701923191547394,0.28084729381443296,0.96875,"[[15, 0, 0, 82], [9, 0, 0, 6], [0, 0, 0, 32], [2, 0, 0, 62]]",0.0,0.18699186991869918,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.96875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[15, 0, 0, 82], [9, 0, 0, 6], [0, 0, 0, 32], [2, 0, 0, 62]]",,0.18699186991869918,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.96875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,1.3354963281670131,1.3117413474963262,1.0,fixed,1.0,,0.3348500954580809,0.28088127005920216,0.42252328991889954,0.3348500954580809,0.9324675324675324,0.42252328991889954,0.3348500954580809,0.9324675324675324,"[[103, 0, 59, 389], [22, 1, 5, 42], [8, 0, 36, 131], [12, 1, 13, 359]]",0.014285714285714285,0.28088127005920216,0.014285714285714285,0.1869328493647913,"{'Mn': 0.1869328493647913, 'Cu': 0.014285714285714285, 'Zn': 0.2057142857142857, 'Class VIII': 0.9324675324675324}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2057142857142857,"[[103, 0, 59, 389], [22, 1, 5, 42], [8, 0, 36, 131], [12, 1, 13, 359]]",,0.28088127005920216,0.014285714285714285,0.1869328493647913,"{'Mn': 0.1869328493647913, 'Cu': 0.014285714285714285, 'Zn': 0.2057142857142857, 'Class VIII': 0.9324675324675324}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2951433634020619,0.2282477992947675,0.375,0.2951433634020619,0.921875,0.375,0.2951433634020619,0.921875,"[[16, 1, 29, 51], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",0.0,0.2282477992947675,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[16, 1, 29, 51], [7, 0, 2, 6], [0, 0, 3, 29], [3, 0, 2, 59]]",,0.2282477992947675,0.0,0.16494845360824742,"{'Mn': 0.16494845360824742, 'Cu': 0.0, 'Zn': 0.09375, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,1.271207514646891,1.2470929118303151,1.0,fixed,1.0,,0.3938634595894124,0.3632844088527538,0.4843353033065796,0.3938634595894124,0.9064935064935065,0.4843353033065796,0.3938634595894124,0.9064935064935065,"[[197, 8, 0, 346], [12, 19, 8, 31], [35, 12, 7, 121], [31, 4, 1, 349]]",0.2714285714285714,0.3632844088527538,0.04,0.35753176043557167,"{'Mn': 0.35753176043557167, 'Cu': 0.2714285714285714, 'Zn': 0.04, 'Class VIII': 0.9064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.04,"[[197, 8, 0, 346], [12, 19, 8, 31], [35, 12, 7, 121], [31, 4, 1, 349]]",,0.3632844088527538,0.04,0.35753176043557167,"{'Mn': 0.35753176043557167, 'Cu': 0.2714285714285714, 'Zn': 0.04, 'Class VIII': 0.9064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4348904639175258,0.4198468656999463,0.5,0.4348904639175258,0.90625,0.5,0.4348904639175258,0.90625,"[[39, 1, 0, 57], [3, 6, 1, 5], [4, 0, 1, 27], [5, 0, 1, 58]]",0.4,0.4198468656999463,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[39, 1, 0, 57], [3, 6, 1, 5], [4, 0, 1, 27], [5, 0, 1, 58]]",,0.4198468656999463,0.03125,0.4020618556701031,"{'Mn': 0.4020618556701031, 'Cu': 0.4, 'Zn': 0.03125, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,1.2136022508949846,1.2127214532632093,1.0,fixed,1.0,,0.565036415490136,0.4956008165213914,0.4987298846244812,0.565036415490136,0.625974025974026,0.4987298846244812,0.565036415490136,0.625974025974026,"[[192, 24, 199, 136], [1, 46, 11, 12], [13, 23, 110, 29], [32, 12, 100, 241]]",0.6571428571428571,0.4956008165213914,0.3484573502722323,0.3484573502722323,"{'Mn': 0.3484573502722323, 'Cu': 0.6571428571428571, 'Zn': 0.6285714285714286, 'Class VIII': 0.625974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6285714285714286,"[[192, 24, 199, 136], [1, 46, 11, 12], [13, 23, 110, 29], [32, 12, 100, 241]]",,0.4956008165213914,0.3484573502722323,0.3484573502722323,"{'Mn': 0.3484573502722323, 'Cu': 0.6571428571428571, 'Zn': 0.6285714285714286, 'Class VIII': 0.625974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.48250912800687284,0.44939026040820745,0.39423078298568726,0.48250912800687284,0.546875,0.39423078298568726,0.48250912800687284,0.546875,"[[21, 6, 66, 4], [0, 10, 5, 0], [6, 1, 16, 9], [7, 0, 22, 35]]",0.6666666666666666,0.44939026040820745,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[21, 6, 66, 4], [0, 10, 5, 0], [6, 1, 16, 9], [7, 0, 22, 35]]",,0.44939026040820745,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,1.1771914749532133,1.1764723658561707,1.0,fixed,1.0,,0.5590156032715017,0.4942357380738055,0.513971209526062,0.5590156032715017,0.8103896103896104,0.513971209526062,0.5590156032715017,0.8103896103896104,"[[170, 21, 113, 247], [1, 47, 7, 15], [7, 27, 78, 63], [13, 9, 51, 312]]",0.6714285714285714,0.4942357380738055,0.308529945553539,0.308529945553539,"{'Mn': 0.308529945553539, 'Cu': 0.6714285714285714, 'Zn': 0.44571428571428573, 'Class VIII': 0.8103896103896104}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.44571428571428573,"[[170, 21, 113, 247], [1, 47, 7, 15], [7, 27, 78, 63], [13, 9, 51, 312]]",,0.4942357380738055,0.308529945553539,0.308529945553539,"{'Mn': 0.308529945553539, 'Cu': 0.6714285714285714, 'Zn': 0.44571428571428573, 'Class VIII': 0.8103896103896104}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4928989475945017,0.45835851949982387,0.4375,0.4928989475945017,0.765625,0.4375,0.4928989475945017,0.765625,"[[22, 6, 58, 11], [0, 10, 4, 1], [3, 1, 10, 18], [4, 0, 11, 49]]",0.6666666666666666,0.45835851949982387,0.2268041237113402,0.2268041237113402,"{'Mn': 0.2268041237113402, 'Cu': 0.6666666666666666, 'Zn': 0.3125, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[22, 6, 58, 11], [0, 10, 4, 1], [3, 1, 10, 18], [4, 0, 11, 49]]",,0.45835851949982387,0.2268041237113402,0.2268041237113402,"{'Mn': 0.2268041237113402, 'Cu': 0.6666666666666666, 'Zn': 0.3125, 'Class VIII': 0.765625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,1.1329628635902662,1.1235748208486116,1.0,fixed,1.0,,0.5721429749923398,0.5349059950596605,0.5639289021492004,0.5721429749923398,0.825974025974026,0.5639289021492004,0.5721429749923398,0.825974025974026,"[[236, 9, 86, 220], [1, 46, 5, 18], [19, 27, 66, 63], [17, 6, 44, 318]]",0.6571428571428571,0.5349059950596605,0.37714285714285717,0.4283121597096189,"{'Mn': 0.4283121597096189, 'Cu': 0.6571428571428571, 'Zn': 0.37714285714285717, 'Class VIII': 0.825974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.37714285714285717,"[[236, 9, 86, 220], [1, 46, 5, 18], [19, 27, 66, 63], [17, 6, 44, 318]]",,0.5349059950596605,0.37714285714285717,0.4283121597096189,"{'Mn': 0.4283121597096189, 'Cu': 0.6571428571428571, 'Zn': 0.37714285714285717, 'Class VIII': 0.825974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5336769759450172,0.5000565921051097,0.4615384638309479,0.5336769759450172,0.78125,0.4615384638309479,0.5336769759450172,0.78125,"[[26, 1, 58, 12], [0, 13, 0, 2], [3, 3, 7, 19], [4, 1, 9, 50]]",0.8666666666666667,0.5000565921051097,0.21875,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.8666666666666667, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[26, 1, 58, 12], [0, 13, 0, 2], [3, 3, 7, 19], [4, 1, 9, 50]]",,0.5000565921051097,0.21875,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.8666666666666667, 'Zn': 0.21875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,1.0936403294672836,1.1312844019669752,1.0,fixed,1.0,,0.6138772479788814,0.5158874885220128,0.5444538593292236,0.6138772479788814,0.574025974025974,0.5444538593292236,0.6138772479788814,0.574025974025974,"[[259, 33, 155, 104], [0, 56, 4, 10], [12, 40, 107, 16], [23, 52, 89, 221]]",0.8,0.5158874885220128,0.47005444646098005,0.47005444646098005,"{'Mn': 0.47005444646098005, 'Cu': 0.8, 'Zn': 0.6114285714285714, 'Class VIII': 0.574025974025974}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6114285714285714,"[[259, 33, 155, 104], [0, 56, 4, 10], [12, 40, 107, 16], [23, 52, 89, 221]]",,0.5158874885220128,0.47005444646098005,0.47005444646098005,"{'Mn': 0.47005444646098005, 'Cu': 0.8, 'Zn': 0.6114285714285714, 'Class VIII': 0.574025974025974}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5035491838487972,0.4085627099625745,0.3798076808452606,0.5035491838487972,0.46875,0.3798076808452606,0.5035491838487972,0.46875,"[[23, 8, 63, 3], [0, 14, 1, 0], [3, 11, 12, 6], [6, 7, 21, 30]]",0.9333333333333333,0.4085627099625745,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[23, 8, 63, 3], [0, 14, 1, 0], [3, 11, 12, 6], [6, 7, 21, 30]]",,0.4085627099625745,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,1.046767832056896,1.0770699267203991,1.0,fixed,1.0,,0.6459596483371438,0.5814359142819008,0.6367484927177429,0.6459596483371438,0.5064935064935064,0.6367484927177429,0.6459596483371438,0.5064935064935064,"[[411, 20, 82, 38], [2, 58, 2, 8], [44, 37, 88, 6], [85, 30, 75, 195]]",0.8285714285714286,0.5814359142819008,0.5028571428571429,0.7459165154264973,"{'Mn': 0.7459165154264973, 'Cu': 0.8285714285714286, 'Zn': 0.5028571428571429, 'Class VIII': 0.5064935064935064}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5028571428571429,"[[411, 20, 82, 38], [2, 58, 2, 8], [44, 37, 88, 6], [85, 30, 75, 195]]",,0.5814359142819008,0.5028571428571429,0.7459165154264973,"{'Mn': 0.7459165154264973, 'Cu': 0.8285714285714286, 'Zn': 0.5028571428571429, 'Class VIII': 0.5064935064935064}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5301680627147767,0.47084820101100205,0.4759615361690521,0.5301680627147767,0.421875,0.4759615361690521,0.5301680627147767,0.421875,"[[50, 3, 44, 0], [0, 14, 1, 0], [10, 10, 8, 4], [20, 6, 11, 27]]",0.9333333333333333,0.47084820101100205,0.25,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.9333333333333333, 'Zn': 0.25, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[50, 3, 44, 0], [0, 14, 1, 0], [10, 10, 8, 4], [20, 6, 11, 27]]",,0.47084820101100205,0.25,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.9333333333333333, 'Zn': 0.25, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
