epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.37771954890844,1.3676754603019128,1.0,fixed,1.0,,0.3221069130506517,0.2779166419212086,0.3615579903125763,0.3221069130506517,0.3064935064935065,0.3615579903125763,0.3221069130506517,0.3064935064935065,"[[201, 0, 273, 77], [7, 0, 54, 9], [31, 0, 108, 36], [75, 0, 192, 118]]",0.0,0.2779166419212086,0.0,0.3647912885662432,"{'Mn': 0.3647912885662432, 'Cu': 0.0, 'Zn': 0.6171428571428571, 'Class VIII': 0.3064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6171428571428571,"[[201, 0, 273, 77], [7, 0, 54, 9], [31, 0, 108, 36], [75, 0, 192, 118]]",,0.2779166419212086,0.0,0.3647912885662432,"{'Mn': 0.3647912885662432, 'Cu': 0.0, 'Zn': 0.6171428571428571, 'Class VIII': 0.3064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.27818943298969073,0.20713651390008014,0.26442307233810425,0.27818943298969073,0.25,0.26442307233810425,0.27818943298969073,0.25,"[[17, 0, 61, 19], [0, 0, 14, 1], [3, 0, 22, 7], [14, 0, 34, 16]]",0.0,0.20713651390008014,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.6875, 'Class VIII': 0.25}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[17, 0, 61, 19], [0, 0, 14, 1], [3, 0, 22, 7], [14, 0, 34, 16]]",,0.20713651390008014,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.6875, 'Class VIII': 0.25}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3515740834377907,1.3224284603045537,1.0,fixed,1.0,,0.34042472953543734,0.2416790159452048,0.4064352214336395,0.34042472953543734,0.01038961038961039,0.4064352214336395,0.34042472953543734,0.01038961038961039,"[[351, 0, 197, 3], [38, 0, 32, 0], [50, 0, 125, 0], [137, 0, 244, 4]]",0.0,0.2416790159452048,0.0,0.6370235934664247,"{'Mn': 0.6370235934664247, 'Cu': 0.0, 'Zn': 0.7142857142857143, 'Class VIII': 0.01038961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7142857142857143,"[[351, 0, 197, 3], [38, 0, 32, 0], [50, 0, 125, 0], [137, 0, 244, 4]]",,0.2416790159452048,0.0,0.6370235934664247,"{'Mn': 0.6370235934664247, 'Cu': 0.0, 'Zn': 0.7142857142857143, 'Class VIII': 0.01038961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2881765463917526,0.17593963754319158,0.2836538553237915,0.2881765463917526,0.0,0.2836538553237915,0.2881765463917526,0.0,"[[33, 0, 64, 0], [9, 0, 6, 0], [6, 0, 26, 0], [18, 0, 46, 0]]",0.0,0.17593963754319158,0.0,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.0, 'Zn': 0.8125, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.8125,"[[33, 0, 64, 0], [9, 0, 6, 0], [6, 0, 26, 0], [18, 0, 46, 0]]",,0.17593963754319158,0.0,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.0, 'Zn': 0.8125, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.3444194157381315,1.2952196827301612,1.0,fixed,1.0,,0.33137318217173023,0.29550888012411963,0.5275190472602844,0.33137318217173023,0.6207792207792208,0.5275190472602844,0.33137318217173023,0.6207792207792208,"[[382, 0, 0, 169], [40, 0, 0, 30], [80, 0, 2, 93], [145, 0, 1, 239]]",0.0,0.29550888012411963,0.0,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.0, 'Zn': 0.011428571428571429, 'Class VIII': 0.6207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.011428571428571429,"[[382, 0, 0, 169], [40, 0, 0, 30], [80, 0, 2, 93], [145, 0, 1, 239]]",,0.29550888012411963,0.0,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.0, 'Zn': 0.011428571428571429, 'Class VIII': 0.6207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.298083118556701,0.2548845733203275,0.45192307233810425,0.298083118556701,0.65625,0.45192307233810425,0.298083118556701,0.65625,"[[52, 0, 1, 44], [9, 0, 0, 6], [9, 0, 0, 23], [22, 0, 0, 42]]",0.0,0.2548845733203275,0.0,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[52, 0, 1, 44], [9, 0, 0, 6], [9, 0, 0, 23], [22, 0, 0, 42]]",,0.2548845733203275,0.0,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.2831688317898158,1.226965917990758,1.0,fixed,1.0,,0.44283699059561127,0.460616345549175,0.5639289021492004,0.44283699059561127,0.44415584415584414,0.5639289021492004,0.44283699059561127,0.44415584415584414,"[[418, 3, 45, 85], [27, 15, 19, 9], [73, 5, 62, 35], [150, 2, 62, 171]]",0.21428571428571427,0.460616345549175,0.21428571428571427,0.7586206896551724,"{'Mn': 0.7586206896551724, 'Cu': 0.21428571428571427, 'Zn': 0.35428571428571426, 'Class VIII': 0.44415584415584414}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.35428571428571426,"[[418, 3, 45, 85], [27, 15, 19, 9], [73, 5, 62, 35], [150, 2, 62, 171]]",,0.460616345549175,0.21428571428571427,0.7586206896551724,"{'Mn': 0.7586206896551724, 'Cu': 0.21428571428571427, 'Zn': 0.35428571428571426, 'Class VIII': 0.44415584415584414}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3909605884879725,0.4210444148475596,0.4038461446762085,0.3909605884879725,0.484375,0.4038461446762085,0.3909605884879725,0.484375,"[[36, 1, 57, 3], [4, 5, 6, 0], [12, 0, 12, 8], [24, 0, 9, 31]]",0.3333333333333333,0.4210444148475596,0.3333333333333333,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.3333333333333333, 'Zn': 0.375, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[36, 1, 57, 3], [4, 5, 6, 0], [12, 0, 12, 8], [24, 0, 9, 31]]",,0.4210444148475596,0.3333333333333333,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.3333333333333333, 'Zn': 0.375, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.1543116674229905,1.2247594892978668,1.0,fixed,1.0,,0.39515202583260656,0.3799508057204052,0.5478408336639404,0.39515202583260656,0.8779220779220779,0.5478408336639404,0.39515202583260656,0.8779220779220779,"[[288, 0, 4, 259], [20, 7, 0, 43], [58, 2, 14, 101], [44, 0, 3, 338]]",0.1,0.3799508057204052,0.08,0.5226860254083484,"{'Mn': 0.5226860254083484, 'Cu': 0.1, 'Zn': 0.08, 'Class VIII': 0.8779220779220779}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.08,"[[288, 0, 4, 259], [20, 7, 0, 43], [58, 2, 14, 101], [44, 0, 3, 338]]",,0.3799508057204052,0.08,0.5226860254083484,"{'Mn': 0.5226860254083484, 'Cu': 0.1, 'Zn': 0.08, 'Class VIII': 0.8779220779220779}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3744201030927835,0.36146569058862016,0.4759615361690521,0.3744201030927835,0.84375,0.4759615361690521,0.3744201030927835,0.84375,"[[41, 0, 10, 46], [6, 3, 0, 6], [7, 0, 1, 24], [10, 0, 0, 54]]",0.2,0.36146569058862016,0.03125,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.2, 'Zn': 0.03125, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[41, 0, 10, 46], [6, 3, 0, 6], [7, 0, 1, 24], [10, 0, 0, 54]]",,0.36146569058862016,0.03125,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.2, 'Zn': 0.03125, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.0697428392800126,1.076807255928333,1.0,fixed,1.0,,0.6692738114879675,0.6716307642456624,0.696867048740387,0.6692738114879675,0.6623376623376623,0.696867048740387,0.6692738114879675,0.6623376623376623,"[[408, 1, 92, 50], [1, 42, 12, 15], [33, 5, 118, 19], [59, 2, 69, 255]]",0.6,0.6716307642456624,0.6,0.7404718693284936,"{'Mn': 0.7404718693284936, 'Cu': 0.6, 'Zn': 0.6742857142857143, 'Class VIII': 0.6623376623376623}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6742857142857143,"[[408, 1, 92, 50], [1, 42, 12, 15], [33, 5, 118, 19], [59, 2, 69, 255]]",,0.6716307642456624,0.6,0.7404718693284936,"{'Mn': 0.7404718693284936, 'Cu': 0.6, 'Zn': 0.6742857142857143, 'Class VIII': 0.6623376623376623}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5456480884879725,0.5525306831758444,0.48076921701431274,0.5456480884879725,0.578125,0.48076921701431274,0.5456480884879725,0.578125,"[[36, 0, 61, 0], [0, 11, 4, 0], [6, 1, 16, 9], [16, 0, 11, 37]]",0.7333333333333333,0.5525306831758444,0.3711340206185567,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.7333333333333333, 'Zn': 0.5, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[36, 0, 61, 0], [0, 11, 4, 0], [6, 1, 16, 9], [16, 0, 11, 37]]",,0.5525306831758444,0.3711340206185567,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.7333333333333333, 'Zn': 0.5, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,0.9969219265354646,1.0386311343083015,1.0,fixed,1.0,,0.6249820868786387,0.6607404337450072,0.7070279717445374,0.6249820868786387,0.5948051948051948,0.7070279717445374,0.6249820868786387,0.5948051948051948,"[[494, 1, 32, 24], [10, 43, 8, 9], [87, 3, 69, 16], [124, 0, 32, 229]]",0.6142857142857143,0.6607404337450072,0.3942857142857143,0.896551724137931,"{'Mn': 0.896551724137931, 'Cu': 0.6142857142857143, 'Zn': 0.3942857142857143, 'Class VIII': 0.5948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.3942857142857143,"[[494, 1, 32, 24], [10, 43, 8, 9], [87, 3, 69, 16], [124, 0, 32, 229]]",,0.6607404337450072,0.3942857142857143,0.896551724137931,"{'Mn': 0.896551724137931, 'Cu': 0.6142857142857143, 'Zn': 0.3942857142857143, 'Class VIII': 0.5948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5014067869415808,0.5430158361104653,0.5528846383094788,0.5014067869415808,0.53125,0.5528846383094788,0.5014067869415808,0.53125,"[[64, 0, 33, 0], [1, 8, 6, 0], [11, 0, 9, 12], [25, 0, 5, 34]]",0.5333333333333333,0.5430158361104653,0.28125,0.6597938144329897,"{'Mn': 0.6597938144329897, 'Cu': 0.5333333333333333, 'Zn': 0.28125, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[64, 0, 33, 0], [1, 8, 6, 0], [11, 0, 9, 12], [25, 0, 5, 34]]",,0.5430158361104653,0.28125,0.6597938144329897,"{'Mn': 0.6597938144329897, 'Cu': 0.5333333333333333, 'Zn': 0.28125, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.8976095878594631,1.066989608682119,1.0,fixed,1.0,,0.6758027906757489,0.6535740318621752,0.6900931596755981,0.6758027906757489,0.8207792207792208,0.6900931596755981,0.6758027906757489,0.8207792207792208,"[[365, 3, 79, 104], [1, 53, 5, 11], [26, 19, 81, 49], [22, 6, 41, 316]]",0.7571428571428571,0.6535740318621752,0.46285714285714286,0.662431941923775,"{'Mn': 0.662431941923775, 'Cu': 0.7571428571428571, 'Zn': 0.46285714285714286, 'Class VIII': 0.8207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.46285714285714286,"[[365, 3, 79, 104], [1, 53, 5, 11], [26, 19, 81, 49], [22, 6, 41, 316]]",,0.6535740318621752,0.46285714285714286,0.662431941923775,"{'Mn': 0.662431941923775, 'Cu': 0.7571428571428571, 'Zn': 0.46285714285714286, 'Class VIII': 0.8207792207792208}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5748684493127147,0.5323880180422711,0.5,0.5748684493127147,0.734375,0.5,0.5748684493127147,0.734375,"[[34, 0, 56, 7], [0, 14, 0, 1], [3, 5, 9, 15], [9, 2, 6, 47]]",0.9333333333333333,0.5323880180422711,0.28125,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[34, 0, 56, 7], [0, 14, 0, 1], [3, 5, 9, 15], [9, 2, 6, 47]]",,0.5323880180422711,0.28125,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8395530377086755,1.0724836685336554,1.0,fixed,1.0,,0.7404065807151107,0.6973909032930441,0.7121083736419678,0.7404065807151107,0.7532467532467533,0.7121083736419678,0.7404065807151107,0.7532467532467533,"[[373, 2, 127, 49], [1, 60, 4, 5], [20, 18, 118, 19], [25, 8, 62, 290]]",0.8571428571428571,0.6973909032930441,0.6742857142857143,0.676950998185118,"{'Mn': 0.676950998185118, 'Cu': 0.8571428571428571, 'Zn': 0.6742857142857143, 'Class VIII': 0.7532467532467533}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6742857142857143,"[[373, 2, 127, 49], [1, 60, 4, 5], [20, 18, 118, 19], [25, 8, 62, 290]]",,0.6973909032930441,0.6742857142857143,0.676950998185118,"{'Mn': 0.676950998185118, 'Cu': 0.8571428571428571, 'Zn': 0.6742857142857143, 'Class VIII': 0.7532467532467533}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5854193513745705,0.5197329387643478,0.4759615361690521,0.5854193513745705,0.640625,0.4759615361690521,0.5854193513745705,0.640625,"[[29, 0, 68, 0], [0, 14, 1, 0], [3, 8, 15, 6], [10, 4, 9, 41]]",0.9333333333333333,0.5197329387643478,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[29, 0, 68, 0], [0, 14, 1, 0], [3, 8, 15, 6], [10, 4, 9, 41]]",,0.5197329387643478,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.756544679000571,1.0106110888031812,1.0,fixed,1.0,,0.7606151742993849,0.7370043645982852,0.7425910234451294,0.7606151742993849,0.6415584415584416,0.7425910234451294,0.7606151742993849,0.6415584415584416,"[[435, 1, 91, 24], [1, 58, 8, 3], [25, 7, 137, 6], [47, 3, 88, 247]]",0.8285714285714286,0.7370043645982852,0.6415584415584416,0.7894736842105263,"{'Mn': 0.7894736842105263, 'Cu': 0.8285714285714286, 'Zn': 0.7828571428571428, 'Class VIII': 0.6415584415584416}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7828571428571428,"[[435, 1, 91, 24], [1, 58, 8, 3], [25, 7, 137, 6], [47, 3, 88, 247]]",,0.7370043645982852,0.6415584415584416,0.7894736842105263,"{'Mn': 0.7894736842105263, 'Cu': 0.8285714285714286, 'Zn': 0.7828571428571428, 'Class VIII': 0.6415584415584416}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5748684493127147,0.5341026091026091,0.4759615361690521,0.5748684493127147,0.578125,0.4759615361690521,0.5748684493127147,0.578125,"[[34, 0, 63, 0], [0, 14, 1, 0], [8, 6, 14, 4], [15, 2, 10, 37]]",0.9333333333333333,0.5341026091026091,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.4375, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.4375,"[[34, 0, 63, 0], [0, 14, 1, 0], [8, 6, 14, 4], [15, 2, 10, 37]]",,0.5341026091026091,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.4375, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
