epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.3796609744832322,1.3682851607982929,1.0,fixed,1.0,,0.3590706389798949,0.32173596628432394,0.44453853368759155,0.3590706389798949,0.7116883116883117,0.44453853368759155,0.3590706389798949,0.7116883116883117,"[[182, 0, 165, 204], [0, 0, 51, 19], [28, 0, 69, 78], [23, 0, 88, 274]]",0.0,0.32173596628432394,0.0,0.33030852994555354,"{'Mn': 0.33030852994555354, 'Cu': 0.0, 'Zn': 0.3942857142857143, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.3942857142857143,"[[182, 0, 165, 204], [0, 0, 51, 19], [28, 0, 69, 78], [23, 0, 88, 274]]",,0.32173596628432394,0.0,0.33030852994555354,"{'Mn': 0.33030852994555354, 'Cu': 0.0, 'Zn': 0.3942857142857143, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.25475193298969073,0.2157470177533988,0.3076923191547394,0.25475193298969073,0.625,0.3076923191547394,0.25475193298969073,0.625,"[[17, 0, 33, 47], [0, 0, 10, 5], [3, 0, 7, 22], [10, 0, 14, 40]]",0.0,0.2157470177533988,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.21875, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[17, 0, 33, 47], [0, 0, 10, 5], [3, 0, 7, 22], [10, 0, 14, 40]]",,0.2157470177533988,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.21875, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3548830892588641,1.322085678577423,1.0,fixed,1.0,,0.3282709123906946,0.25388069404093944,0.45469939708709717,0.3282709123906946,0.023376623376623377,0.45469939708709717,0.3282709123906946,0.023376623376623377,"[[443, 0, 102, 6], [49, 0, 21, 0], [88, 0, 85, 2], [215, 0, 161, 9]]",0.0,0.25388069404093944,0.0,0.8039927404718693,"{'Mn': 0.8039927404718693, 'Cu': 0.0, 'Zn': 0.4857142857142857, 'Class VIII': 0.023376623376623377}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4857142857142857,"[[443, 0, 102, 6], [49, 0, 21, 0], [88, 0, 85, 2], [215, 0, 161, 9]]",,0.25388069404093944,0.0,0.8039927404718693,"{'Mn': 0.8039927404718693, 'Cu': 0.0, 'Zn': 0.4857142857142857, 'Class VIII': 0.023376623376623377}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.24363724226804123,0.16963440390357584,0.2884615361690521,0.24363724226804123,0.0,0.2884615361690521,0.24363724226804123,0.0,"[[43, 0, 54, 0], [9, 0, 6, 0], [15, 0, 17, 0], [35, 0, 29, 0]]",0.0,0.16963440390357584,0.0,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.0, 'Zn': 0.53125, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[43, 0, 54, 0], [9, 0, 6, 0], [15, 0, 17, 0], [35, 0, 29, 0]]",,0.16963440390357584,0.0,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.0, 'Zn': 0.53125, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.35185035741007,1.3157886633506188,1.0,fixed,1.0,,0.3291342777005209,0.29243954914799375,0.5131244659423828,0.3291342777005209,0.6805194805194805,0.5131244659423828,0.3291342777005209,0.6805194805194805,"[[341, 0, 0, 210], [41, 0, 0, 29], [69, 0, 3, 103], [123, 0, 0, 262]]",0.0,0.29243954914799375,0.0,0.6188747731397459,"{'Mn': 0.6188747731397459, 'Cu': 0.0, 'Zn': 0.017142857142857144, 'Class VIII': 0.6805194805194805}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.017142857142857144,"[[341, 0, 0, 210], [41, 0, 0, 29], [69, 0, 3, 103], [123, 0, 0, 262]]",,0.29243954914799375,0.0,0.6188747731397459,"{'Mn': 0.6188747731397459, 'Cu': 0.0, 'Zn': 0.017142857142857144, 'Class VIII': 0.6805194805194805}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2813708118556701,0.23597883597883595,0.41826921701431274,0.2813708118556701,0.671875,0.41826921701431274,0.2813708118556701,0.671875,"[[44, 0, 0, 53], [9, 0, 0, 6], [9, 0, 0, 23], [21, 0, 0, 43]]",0.0,0.23597883597883595,0.0,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[44, 0, 0, 53], [9, 0, 0, 6], [9, 0, 0, 23], [21, 0, 0, 43]]",,0.23597883597883595,0.0,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.671875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.297320614392693,1.2292626591829152,1.0,fixed,1.0,,0.47472093242510666,0.4769149644848175,0.5478408336639404,0.47472093242510666,0.3220779220779221,0.5478408336639404,0.47472093242510666,0.3220779220779221,"[[417, 6, 79, 49], [17, 25, 21, 7], [71, 9, 81, 14], [146, 4, 111, 124]]",0.35714285714285715,0.4769149644848175,0.3220779220779221,0.7568058076225045,"{'Mn': 0.7568058076225045, 'Cu': 0.35714285714285715, 'Zn': 0.46285714285714286, 'Class VIII': 0.3220779220779221}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.46285714285714286,"[[417, 6, 79, 49], [17, 25, 21, 7], [71, 9, 81, 14], [146, 4, 111, 124]]",,0.4769149644848175,0.3220779220779221,0.7568058076225045,"{'Mn': 0.7568058076225045, 'Cu': 0.35714285714285715, 'Zn': 0.46285714285714286, 'Class VIII': 0.3220779220779221}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4432506443298969,0.41949386197216476,0.39423078298568726,0.4432506443298969,0.3125,0.39423078298568726,0.4432506443298969,0.3125,"[[38, 9, 48, 2], [0, 9, 6, 0], [12, 0, 15, 5], [23, 0, 21, 20]]",0.6,0.41949386197216476,0.3125,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.6, 'Zn': 0.46875, 'Class VIII': 0.3125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[38, 9, 48, 2], [0, 9, 6, 0], [12, 0, 15, 5], [23, 0, 21, 20]]",,0.41949386197216476,0.3125,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.6, 'Zn': 0.46875, 'Class VIII': 0.3125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.1767134219408035,1.2525504231452942,1.0,fixed,1.0,,0.3717490041718717,0.33373885299032985,0.5554614663124084,0.3717490041718717,0.8519480519480519,0.5554614663124084,0.3717490041718717,0.8519480519480519,"[[320, 0, 0, 231], [28, 1, 0, 41], [70, 1, 7, 97], [56, 0, 1, 328]]",0.014285714285714285,0.33373885299032985,0.014285714285714285,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.014285714285714285, 'Zn': 0.04, 'Class VIII': 0.8519480519480519}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.04,"[[320, 0, 0, 231], [28, 1, 0, 41], [70, 1, 7, 97], [56, 0, 1, 328]]",,0.33373885299032985,0.014285714285714285,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.014285714285714285, 'Zn': 0.04, 'Class VIII': 0.8519480519480519}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3321520618556701,0.2837121498149966,0.4759615361690521,0.3321520618556701,0.84375,0.4759615361690521,0.3321520618556701,0.84375,"[[44, 0, 8, 45], [9, 0, 0, 6], [10, 0, 1, 21], [10, 0, 0, 54]]",0.0,0.2837121498149966,0.0,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.0, 'Zn': 0.03125, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[44, 0, 8, 45], [9, 0, 0, 6], [10, 0, 1, 21], [10, 0, 0, 54]]",,0.2837121498149966,0.0,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.0, 'Zn': 0.03125, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.0934115263658601,1.1206414080583131,1.0,fixed,1.0,,0.6423851556791665,0.5933662915570973,0.6121930480003357,0.6423851556791665,0.574025974025974,0.6121930480003357,0.6423851556791665,0.574025974025974,"[[336, 9, 169, 37], [1, 51, 9, 9], [22, 31, 115, 7], [30, 9, 125, 221]]",0.7285714285714285,0.5933662915570973,0.574025974025974,0.6098003629764065,"{'Mn': 0.6098003629764065, 'Cu': 0.7285714285714285, 'Zn': 0.6571428571428571, 'Class VIII': 0.574025974025974}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6571428571428571,"[[336, 9, 169, 37], [1, 51, 9, 9], [22, 31, 115, 7], [30, 9, 125, 221]]",,0.5933662915570973,0.574025974025974,0.6098003629764065,"{'Mn': 0.6098003629764065, 'Cu': 0.7285714285714285, 'Zn': 0.6571428571428571, 'Class VIII': 0.574025974025974}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5372154209621993,0.45853755886988995,0.4038461446762085,0.5372154209621993,0.34375,0.4038461446762085,0.5372154209621993,0.34375,"[[30, 1, 66, 0], [0, 14, 1, 0], [3, 8, 18, 3], [13, 4, 25, 22]]",0.9333333333333333,0.45853755886988995,0.30927835051546393,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.9333333333333333, 'Zn': 0.5625, 'Class VIII': 0.34375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5625,"[[30, 1, 66, 0], [0, 14, 1, 0], [3, 8, 18, 3], [13, 4, 25, 22]]",,0.45853755886988995,0.30927835051546393,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.9333333333333333, 'Zn': 0.5625, 'Class VIII': 0.34375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,1.0187552486722533,1.0334509920615416,1.0,fixed,1.0,,0.6457943055129988,0.6713555229287104,0.7138018608093262,0.6457943055129988,0.6935064935064935,0.7138018608093262,0.6457943055129988,0.6935064935064935,"[[454, 0, 54, 43], [6, 43, 8, 13], [69, 4, 79, 23], [81, 2, 35, 267]]",0.6142857142857143,0.6713555229287104,0.4514285714285714,0.8239564428312159,"{'Mn': 0.8239564428312159, 'Cu': 0.6142857142857143, 'Zn': 0.4514285714285714, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4514285714285714,"[[454, 0, 54, 43], [6, 43, 8, 13], [69, 4, 79, 23], [81, 2, 35, 267]]",,0.6713555229287104,0.4514285714285714,0.8239564428312159,"{'Mn': 0.8239564428312159, 'Cu': 0.6142857142857143, 'Zn': 0.4514285714285714, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4898840206185567,0.531824772362596,0.4951923191547394,0.4898840206185567,0.59375,0.4951923191547394,0.4898840206185567,0.59375,"[[47, 0, 50, 0], [0, 9, 6, 0], [10, 0, 9, 13], [19, 0, 7, 38]]",0.6,0.531824772362596,0.28125,0.4845360824742268,"{'Mn': 0.4845360824742268, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[47, 0, 50, 0], [0, 9, 6, 0], [10, 0, 9, 13], [19, 0, 7, 38]]",,0.531824772362596,0.28125,0.4845360824742268,"{'Mn': 0.4845360824742268, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.8904212155454868,1.0362388640642166,1.0,fixed,1.0,,0.692333184057322,0.6826149708756994,0.7154953479766846,0.692333184057322,0.8051948051948052,0.7154953479766846,0.692333184057322,0.8051948051948052,"[[399, 1, 65, 86], [3, 54, 2, 11], [31, 13, 82, 49], [31, 5, 39, 310]]",0.7714285714285715,0.6826149708756994,0.4685714285714286,0.7241379310344828,"{'Mn': 0.7241379310344828, 'Cu': 0.7714285714285715, 'Zn': 0.4685714285714286, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4685714285714286,"[[399, 1, 65, 86], [3, 54, 2, 11], [31, 13, 82, 49], [31, 5, 39, 310]]",,0.6826149708756994,0.4685714285714286,0.7241379310344828,"{'Mn': 0.7241379310344828, 'Cu': 0.7714285714285715, 'Zn': 0.4685714285714286, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5812714776632303,0.5352227587574552,0.5144230723381042,0.5812714776632303,0.71875,0.5144230723381042,0.5812714776632303,0.71875,"[[38, 0, 50, 9], [0, 14, 0, 1], [3, 6, 9, 14], [11, 2, 5, 46]]",0.9333333333333333,0.5352227587574552,0.28125,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[38, 0, 50, 9], [0, 14, 0, 1], [3, 6, 9, 14], [11, 2, 5, 46]]",,0.5352227587574552,0.28125,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8522642503517706,1.1645216299937322,1.0,fixed,1.0,,0.6890398802649257,0.6284756283463035,0.6511430740356445,0.6890398802649257,0.8181818181818182,0.6511430740356445,0.6890398802649257,0.8181818181818182,"[[298, 7, 159, 87], [1, 59, 4, 6], [11, 30, 97, 37], [13, 10, 47, 315]]",0.8428571428571429,0.6284756283463035,0.5408348457350273,0.5408348457350273,"{'Mn': 0.5408348457350273, 'Cu': 0.8428571428571429, 'Zn': 0.5542857142857143, 'Class VIII': 0.8181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5542857142857143,"[[298, 7, 159, 87], [1, 59, 4, 6], [11, 30, 97, 37], [13, 10, 47, 315]]",,0.6284756283463035,0.5408348457350273,0.5408348457350273,"{'Mn': 0.5408348457350273, 'Cu': 0.8428571428571429, 'Zn': 0.5542857142857143, 'Class VIII': 0.8181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5256577534364262,0.4492367365935353,0.42307692766189575,0.5256577534364262,0.640625,0.42307692766189575,0.5256577534364262,0.640625,"[[24, 2, 65, 6], [0, 14, 1, 0], [1, 10, 9, 12], [9, 5, 9, 41]]",0.9333333333333333,0.4492367365935353,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[24, 2, 65, 6], [0, 14, 1, 0], [1, 10, 9, 12], [9, 5, 9, 41]]",,0.4492367365935353,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.7552791821795541,1.0659292133954854,1.0,fixed,1.0,,0.7602838994036816,0.7366805251715083,0.7485182285308838,0.7602838994036816,0.6571428571428571,0.7485182285308838,0.7602838994036816,0.6571428571428571,"[[443, 1, 87, 20], [1, 59, 8, 2], [30, 7, 129, 9], [44, 6, 82, 253]]",0.8428571428571429,0.7366805251715083,0.6571428571428571,0.8039927404718693,"{'Mn': 0.8039927404718693, 'Cu': 0.8428571428571429, 'Zn': 0.7371428571428571, 'Class VIII': 0.6571428571428571}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7371428571428571,"[[443, 1, 87, 20], [1, 59, 8, 2], [30, 7, 129, 9], [44, 6, 82, 253]]",,0.7366805251715083,0.6571428571428571,0.8039927404718693,"{'Mn': 0.8039927404718693, 'Cu': 0.8428571428571429, 'Zn': 0.7371428571428571, 'Class VIII': 0.6571428571428571}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5631496993127147,0.5006733005477029,0.45192307233810425,0.5631496993127147,0.46875,0.45192307233810425,0.5631496993127147,0.46875,"[[34, 0, 63, 0], [0, 14, 1, 0], [5, 7, 16, 4], [12, 5, 17, 30]]",0.9333333333333333,0.5006733005477029,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.5, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[34, 0, 63, 0], [0, 14, 1, 0], [5, 7, 16, 4], [12, 5, 17, 30]]",,0.5006733005477029,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.9333333333333333, 'Zn': 0.5, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
