epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.3812783513520215,1.36874697300104,1.0,fixed,1.0,,0.33822565818936057,0.3045610593893107,0.4013547897338867,0.33822565818936057,0.535064935064935,0.4013547897338867,0.33822565818936057,0.535064935064935,"[[183, 0, 231, 137], [1, 0, 53, 16], [28, 0, 85, 62], [29, 0, 150, 206]]",0.0,0.3045610593893107,0.0,0.33212341197822143,"{'Mn': 0.33212341197822143, 'Cu': 0.0, 'Zn': 0.4857142857142857, 'Class VIII': 0.535064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4857142857142857,"[[183, 0, 231, 137], [1, 0, 53, 16], [28, 0, 85, 62], [29, 0, 150, 206]]",,0.3045610593893107,0.0,0.33212341197822143,"{'Mn': 0.33212341197822143, 'Cu': 0.0, 'Zn': 0.4857142857142857, 'Class VIII': 0.535064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.24693943298969073,0.21431168419383817,0.2836538553237915,0.24693943298969073,0.5,0.2836538553237915,0.24693943298969073,0.5,"[[17, 0, 50, 30], [0, 0, 11, 4], [3, 0, 10, 19], [10, 0, 22, 32]]",0.0,0.21431168419383817,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.3125, 'Class VIII': 0.5}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[17, 0, 50, 30], [0, 0, 11, 4], [3, 0, 10, 19], [10, 0, 22, 32]]",,0.21431168419383817,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.3125, 'Class VIII': 0.5}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3561518063416351,1.320085699741657,1.0,fixed,1.0,,0.27330614938600417,0.21458116667104377,0.44199830293655396,0.27330614938600417,0.01818181818181818,0.44199830293655396,0.27330614938600417,0.01818181818181818,"[[479, 0, 66, 6], [49, 0, 21, 0], [137, 0, 36, 2], [299, 0, 79, 7]]",0.0,0.21458116667104377,0.0,0.8693284936479129,"{'Mn': 0.8693284936479129, 'Cu': 0.0, 'Zn': 0.2057142857142857, 'Class VIII': 0.01818181818181818}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2057142857142857,"[[479, 0, 66, 6], [49, 0, 21, 0], [137, 0, 36, 2], [299, 0, 79, 7]]",,0.21458116667104377,0.0,0.8693284936479129,"{'Mn': 0.8693284936479129, 'Cu': 0.0, 'Zn': 0.2057142857142857, 'Class VIII': 0.01818181818181818}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.28704896907216493,0.21964991530208922,0.41826921701431274,0.28704896907216493,0.0,0.41826921701431274,0.28704896907216493,0.0,"[[75, 0, 22, 0], [11, 0, 4, 0], [20, 0, 12, 0], [50, 0, 14, 0]]",0.0,0.21964991530208922,0.0,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.0, 'Zn': 0.375, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[75, 0, 22, 0], [11, 0, 4, 0], [20, 0, 12, 0], [50, 0, 14, 0]]",,0.21964991530208922,0.0,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.0, 'Zn': 0.375, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.353630127939018,1.3206902879935045,1.0,fixed,1.0,,0.32454286185683645,0.2866843433398471,0.5012701153755188,0.32454286185683645,0.7038961038961039,0.5012701153755188,0.32454286185683645,0.7038961038961039,"[[318, 0, 0, 233], [37, 0, 0, 33], [61, 0, 3, 111], [114, 0, 0, 271]]",0.0,0.2866843433398471,0.0,0.5771324863883848,"{'Mn': 0.5771324863883848, 'Cu': 0.0, 'Zn': 0.017142857142857144, 'Class VIII': 0.7038961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.017142857142857144,"[[318, 0, 0, 233], [37, 0, 0, 33], [61, 0, 3, 111], [114, 0, 0, 271]]",,0.2866843433398471,0.0,0.5771324863883848,"{'Mn': 0.5771324863883848, 'Cu': 0.0, 'Zn': 0.017142857142857144, 'Class VIII': 0.7038961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2866865335051546,0.23584319526627218,0.41826921701431274,0.2866865335051546,0.734375,0.41826921701431274,0.2866865335051546,0.734375,"[[40, 0, 0, 57], [9, 0, 0, 6], [6, 0, 0, 26], [17, 0, 0, 47]]",0.0,0.23584319526627218,0.0,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[40, 0, 0, 57], [9, 0, 0, 6], [6, 0, 0, 26], [17, 0, 0, 47]]",,0.23584319526627218,0.0,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.2999918219205495,1.243468999862671,1.0,fixed,1.0,,0.4909007235958234,0.48981964792037125,0.5241320729255676,0.4909007235958234,0.43376623376623374,0.5241320729255676,0.4909007235958234,0.43376623376623374,"[[325, 3, 127, 96], [3, 25, 30, 12], [44, 7, 102, 22], [80, 3, 135, 167]]",0.35714285714285715,0.48981964792037125,0.35714285714285715,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.35714285714285715, 'Zn': 0.5828571428571429, 'Class VIII': 0.43376623376623374}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5828571428571429,"[[325, 3, 127, 96], [3, 25, 30, 12], [44, 7, 102, 22], [80, 3, 135, 167]]",,0.48981964792037125,0.35714285714285715,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.35714285714285715, 'Zn': 0.5828571428571429, 'Class VIII': 0.43376623376623374}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4707554768041237,0.4712682385160637,0.3990384638309479,0.4707554768041237,0.359375,0.3990384638309479,0.4707554768041237,0.359375,"[[32, 1, 62, 2], [0, 9, 6, 0], [6, 0, 19, 7], [18, 0, 23, 23]]",0.6,0.4712682385160637,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.6, 'Zn': 0.59375, 'Class VIII': 0.359375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.59375,"[[32, 1, 62, 2], [0, 9, 6, 0], [6, 0, 19, 7], [18, 0, 23, 23]]",,0.4712682385160637,0.32989690721649484,0.32989690721649484,"{'Mn': 0.32989690721649484, 'Cu': 0.6, 'Zn': 0.59375, 'Class VIII': 0.359375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.1811967145752262,1.248528072467217,1.0,fixed,1.0,,0.368114290428265,0.3290341335817571,0.5512277483940125,0.368114290428265,0.8467532467532467,0.5512277483940125,0.368114290428265,0.8467532467532467,"[[318, 0, 0, 233], [28, 1, 0, 41], [72, 1, 6, 96], [58, 0, 1, 326]]",0.014285714285714285,0.3290341335817571,0.014285714285714285,0.5771324863883848,"{'Mn': 0.5771324863883848, 'Cu': 0.014285714285714285, 'Zn': 0.03428571428571429, 'Class VIII': 0.8467532467532467}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.03428571428571429,"[[318, 0, 0, 233], [28, 1, 0, 41], [72, 1, 6, 96], [58, 0, 1, 326]]",,0.3290341335817571,0.014285714285714285,0.5771324863883848,"{'Mn': 0.5771324863883848, 'Cu': 0.014285714285714285, 'Zn': 0.03428571428571429, 'Class VIII': 0.8467532467532467}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.34246134020618557,0.2935498111541669,0.4951923191547394,0.34246134020618557,0.84375,0.4951923191547394,0.34246134020618557,0.84375,"[[48, 0, 4, 45], [9, 0, 0, 6], [10, 0, 1, 21], [10, 0, 0, 54]]",0.0,0.2935498111541669,0.0,0.4948453608247423,"{'Mn': 0.4948453608247423, 'Cu': 0.0, 'Zn': 0.03125, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[48, 0, 4, 45], [9, 0, 0, 6], [10, 0, 1, 21], [10, 0, 0, 54]]",,0.2935498111541669,0.0,0.4948453608247423,"{'Mn': 0.4948453608247423, 'Cu': 0.0, 'Zn': 0.03125, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.0892325059787646,1.1154771630580609,1.0,fixed,1.0,,0.6488013529120608,0.6311154954012097,0.6426756978034973,0.6488013529120608,0.6181818181818182,0.6426756978034973,0.6488013529120608,0.6181818181818182,"[[351, 1, 160, 39], [1, 43, 14, 12], [24, 12, 127, 12], [35, 3, 109, 238]]",0.6142857142857143,0.6311154954012097,0.6142857142857143,0.6370235934664247,"{'Mn': 0.6370235934664247, 'Cu': 0.6142857142857143, 'Zn': 0.7257142857142858, 'Class VIII': 0.6181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7257142857142858,"[[351, 1, 160, 39], [1, 43, 14, 12], [24, 12, 127, 12], [35, 3, 109, 238]]",,0.6311154954012097,0.6142857142857143,0.6370235934664247,"{'Mn': 0.6370235934664247, 'Cu': 0.6142857142857143, 'Zn': 0.7257142857142858, 'Class VIII': 0.6181818181818182}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.49781196305841924,0.491827084952085,0.41826921701431274,0.49781196305841924,0.390625,0.41826921701431274,0.49781196305841924,0.390625,"[[33, 1, 63, 0], [0, 10, 5, 0], [5, 1, 19, 7], [15, 0, 24, 25]]",0.6666666666666666,0.491827084952085,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.6666666666666666, 'Zn': 0.59375, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.59375,"[[33, 1, 63, 0], [0, 10, 5, 0], [5, 1, 19, 7], [15, 0, 24, 25]]",,0.491827084952085,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.6666666666666666, 'Zn': 0.59375, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,1.010054901040889,1.013016090943263,1.0,fixed,1.0,,0.6417025714757112,0.6746991683277421,0.7188823223114014,0.6417025714757112,0.7324675324675325,0.7188823223114014,0.6417025714757112,0.7324675324675325,"[[455, 0, 37, 59], [6, 43, 9, 12], [75, 2, 69, 29], [80, 1, 22, 282]]",0.6142857142857143,0.6746991683277421,0.3942857142857143,0.8257713248638838,"{'Mn': 0.8257713248638838, 'Cu': 0.6142857142857143, 'Zn': 0.3942857142857143, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.3942857142857143,"[[455, 0, 37, 59], [6, 43, 9, 12], [75, 2, 69, 29], [80, 1, 22, 282]]",,0.6746991683277421,0.3942857142857143,0.8257713248638838,"{'Mn': 0.8257713248638838, 'Cu': 0.6142857142857143, 'Zn': 0.3942857142857143, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4964937714776632,0.5365707568993761,0.5240384340286255,0.4964937714776632,0.59375,0.5240384340286255,0.4964937714776632,0.59375,"[[53, 0, 43, 1], [1, 8, 6, 0], [10, 0, 10, 12], [22, 0, 4, 38]]",0.5333333333333333,0.5365707568993761,0.3125,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.5333333333333333, 'Zn': 0.3125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[53, 0, 43, 1], [1, 8, 6, 0], [10, 0, 10, 12], [22, 0, 4, 38]]",,0.5365707568993761,0.3125,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.5333333333333333, 'Zn': 0.3125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.8948324652942451,1.0001735503856952,1.0,fixed,1.0,,0.6904828293303793,0.6843708083914918,0.7324301600456238,0.6904828293303793,0.7584415584415585,0.7324301600456238,0.6904828293303793,0.7584415584415585,"[[438, 1, 60, 52], [3, 51, 4, 12], [41, 16, 84, 34], [43, 5, 45, 292]]",0.7285714285714285,0.6843708083914918,0.48,0.79491833030853,"{'Mn': 0.79491833030853, 'Cu': 0.7285714285714285, 'Zn': 0.48, 'Class VIII': 0.7584415584415585}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.48,"[[438, 1, 60, 52], [3, 51, 4, 12], [41, 16, 84, 34], [43, 5, 45, 292]]",,0.6843708083914918,0.48,0.79491833030853,"{'Mn': 0.79491833030853, 'Cu': 0.7285714285714285, 'Zn': 0.48, 'Class VIII': 0.7584415584415585}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5811103951890034,0.5564729543280228,0.5240384340286255,0.5811103951890034,0.65625,0.5240384340286255,0.5811103951890034,0.65625,"[[44, 0, 52, 1], [0, 14, 1, 0], [4, 5, 9, 14], [14, 1, 7, 42]]",0.9333333333333333,0.5564729543280228,0.28125,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[44, 0, 52, 1], [0, 14, 1, 0], [4, 5, 9, 14], [14, 1, 7, 42]]",,0.5564729543280228,0.28125,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.866108609313095,1.3154148373466272,1.0,fixed,1.0,,0.6256684422655384,0.5432663185536937,0.5707027912139893,0.6256684422655384,0.8675324675324675,0.5707027912139893,0.6256684422655384,0.8675324675324675,"[[213, 11, 130, 197], [0, 61, 3, 6], [5, 41, 66, 63], [6, 14, 31, 334]]",0.8714285714285714,0.5432663185536937,0.37714285714285717,0.38656987295825773,"{'Mn': 0.38656987295825773, 'Cu': 0.8714285714285714, 'Zn': 0.37714285714285717, 'Class VIII': 0.8675324675324675}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.37714285714285717,"[[213, 11, 130, 197], [0, 61, 3, 6], [5, 41, 66, 63], [6, 14, 31, 334]]",,0.5432663185536937,0.37714285714285717,0.38656987295825773,"{'Mn': 0.38656987295825773, 'Cu': 0.8714285714285714, 'Zn': 0.37714285714285717, 'Class VIII': 0.8675324675324675}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5348797250859106,0.405837254305811,0.4326923191547394,0.5348797250859106,0.75,0.4326923191547394,0.5348797250859106,0.75,"[[20, 15, 33, 29], [0, 14, 0, 1], [0, 8, 8, 16], [6, 6, 4, 48]]",0.9333333333333333,0.405837254305811,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.9333333333333333, 'Zn': 0.25, 'Class VIII': 0.75}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[20, 15, 33, 29], [0, 14, 0, 1], [0, 8, 8, 16], [6, 6, 4, 48]]",,0.405837254305811,0.20618556701030927,0.20618556701030927,"{'Mn': 0.20618556701030927, 'Cu': 0.9333333333333333, 'Zn': 0.25, 'Class VIII': 0.75}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.7762934361156579,1.039998939404121,1.0,fixed,1.0,,0.7559858109222901,0.73640980189252,0.7434377670288086,0.7559858109222901,0.587012987012987,0.7434377670288086,0.7559858109222901,0.587012987012987,"[[458, 1, 83, 9], [1, 58, 9, 2], [32, 4, 136, 3], [69, 5, 85, 226]]",0.8285714285714286,0.73640980189252,0.587012987012987,0.8312159709618875,"{'Mn': 0.8312159709618875, 'Cu': 0.8285714285714286, 'Zn': 0.7771428571428571, 'Class VIII': 0.587012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7771428571428571,"[[458, 1, 83, 9], [1, 58, 9, 2], [32, 4, 136, 3], [69, 5, 85, 226]]",,0.73640980189252,0.587012987012987,0.8312159709618875,"{'Mn': 0.8312159709618875, 'Cu': 0.8285714285714286, 'Zn': 0.7771428571428571, 'Class VIII': 0.587012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.562988616838488,0.5143989594560431,0.4663461446762085,0.562988616838488,0.4375,0.4663461446762085,0.562988616838488,0.4375,"[[40, 0, 57, 0], [0, 14, 1, 0], [8, 7, 15, 2], [15, 3, 18, 28]]",0.9333333333333333,0.5143989594560431,0.41237113402061853,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[40, 0, 57, 0], [0, 14, 1, 0], [8, 7, 15, 2], [15, 3, 18, 28]]",,0.5143989594560431,0.41237113402061853,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
