epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.379640435850298,1.3682871736012971,1.0,fixed,1.0,,0.35946024936950527,0.3221864104493472,0.44707873463630676,0.35946024936950527,0.7246753246753247,0.44707873463630676,0.35946024936950527,0.7246753246753247,"[[182, 0, 163, 206], [0, 0, 51, 19], [28, 0, 67, 80], [23, 0, 83, 279]]",0.0,0.3221864104493472,0.0,0.33030852994555354,"{'Mn': 0.33030852994555354, 'Cu': 0.0, 'Zn': 0.38285714285714284, 'Class VIII': 0.7246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38285714285714284,"[[182, 0, 163, 206], [0, 0, 51, 19], [28, 0, 67, 80], [23, 0, 83, 279]]",,0.3221864104493472,0.0,0.33030852994555354,"{'Mn': 0.33030852994555354, 'Cu': 0.0, 'Zn': 0.38285714285714284, 'Class VIII': 0.7246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.25865818298969073,0.21829637878623007,0.3125,0.25865818298969073,0.640625,0.3125,0.25865818298969073,0.640625,"[[17, 0, 33, 47], [0, 0, 10, 5], [3, 0, 7, 22], [10, 0, 13, 41]]",0.0,0.21829637878623007,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.21875, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[17, 0, 33, 47], [0, 0, 10, 5], [3, 0, 7, 22], [10, 0, 13, 41]]",,0.21829637878623007,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.21875, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3547753264775146,1.3222037232839143,1.0,fixed,1.0,,0.31560444999646453,0.24564060930723475,0.44961896538734436,0.31560444999646453,0.02077922077922078,0.44961896538734436,0.31560444999646453,0.02077922077922078,"[[448, 0, 97, 6], [49, 0, 21, 0], [99, 0, 75, 1], [236, 0, 141, 8]]",0.0,0.24564060930723475,0.0,0.8130671506352087,"{'Mn': 0.8130671506352087, 'Cu': 0.0, 'Zn': 0.42857142857142855, 'Class VIII': 0.02077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.42857142857142855,"[[448, 0, 97, 6], [49, 0, 21, 0], [99, 0, 75, 1], [236, 0, 141, 8]]",,0.24564060930723475,0.0,0.8130671506352087,"{'Mn': 0.8130671506352087, 'Cu': 0.0, 'Zn': 0.42857142857142855, 'Class VIII': 0.02077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.25910115979381443,0.1835958005249344,0.3173076808452606,0.25910115979381443,0.0,0.3173076808452606,0.25910115979381443,0.0,"[[49, 0, 48, 0], [9, 0, 6, 0], [15, 0, 17, 0], [40, 0, 24, 0]]",0.0,0.1835958005249344,0.0,0.5051546391752577,"{'Mn': 0.5051546391752577, 'Cu': 0.0, 'Zn': 0.53125, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[49, 0, 48, 0], [9, 0, 6, 0], [15, 0, 17, 0], [40, 0, 24, 0]]",,0.1835958005249344,0.0,0.5051546391752577,"{'Mn': 0.5051546391752577, 'Cu': 0.0, 'Zn': 0.53125, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.3530436899210956,1.3223119332240179,1.0,fixed,1.0,,0.32402173144459895,0.28469536994866435,0.502116858959198,0.32402173144459895,0.7038961038961039,0.502116858959198,0.32402173144459895,0.7038961038961039,"[[320, 0, 0, 231], [36, 0, 0, 34], [61, 0, 2, 112], [114, 0, 0, 271]]",0.0,0.28469536994866435,0.0,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.0, 'Zn': 0.011428571428571429, 'Class VIII': 0.7038961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.011428571428571429,"[[320, 0, 0, 231], [36, 0, 0, 34], [61, 0, 2, 112], [114, 0, 0, 271]]",,0.28469536994866435,0.0,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.0, 'Zn': 0.011428571428571429, 'Class VIII': 0.7038961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2737999355670103,0.22118523354501748,0.39423078298568726,0.2737999355670103,0.734375,0.39423078298568726,0.2737999355670103,0.734375,"[[35, 0, 0, 62], [9, 0, 0, 6], [8, 0, 0, 24], [17, 0, 0, 47]]",0.0,0.22118523354501748,0.0,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[35, 0, 0, 62], [9, 0, 0, 6], [8, 0, 0, 24], [17, 0, 0, 47]]",,0.22118523354501748,0.0,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.3010212577678062,1.23925388776339,1.0,fixed,1.0,,0.47936019515874323,0.4679054757494414,0.5266723036766052,0.47936019515874323,0.3012987012987013,0.5266723036766052,0.47936019515874323,0.3012987012987013,"[[382, 9, 121, 39], [7, 25, 32, 6], [54, 10, 99, 12], [113, 4, 152, 116]]",0.35714285714285715,0.4679054757494414,0.3012987012987013,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.35714285714285715, 'Zn': 0.5657142857142857, 'Class VIII': 0.3012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5657142857142857,"[[382, 9, 121, 39], [7, 25, 32, 6], [54, 10, 99, 12], [113, 4, 152, 116]]",,0.4679054757494414,0.3012987012987013,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.35714285714285715, 'Zn': 0.5657142857142857, 'Class VIII': 0.3012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4576272551546392,0.42015960950990006,0.39423078298568726,0.4576272551546392,0.296875,0.39423078298568726,0.4576272551546392,0.296875,"[[36, 10, 51, 0], [0, 9, 6, 0], [10, 0, 18, 4], [20, 0, 25, 19]]",0.6,0.42015960950990006,0.296875,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.6, 'Zn': 0.5625, 'Class VIII': 0.296875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5625,"[[36, 10, 51, 0], [0, 9, 6, 0], [10, 0, 18, 4], [20, 0, 25, 19]]",,0.42015960950990006,0.296875,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.6, 'Zn': 0.5625, 'Class VIII': 0.296875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.1773311093046859,1.239945290180353,1.0,fixed,1.0,,0.3835022509251184,0.3597707872740149,0.5563082098960876,0.3835022509251184,0.8389610389610389,0.5563082098960876,0.3835022509251184,0.8389610389610389,"[[320, 0, 3, 228], [26, 4, 0, 40], [65, 1, 10, 99], [60, 0, 2, 323]]",0.05714285714285714,0.3597707872740149,0.05714285714285714,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.05714285714285714, 'Zn': 0.05714285714285714, 'Class VIII': 0.8389610389610389}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.05714285714285714,"[[320, 0, 3, 228], [26, 4, 0, 40], [65, 1, 10, 99], [60, 0, 2, 323]]",,0.3597707872740149,0.05714285714285714,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.05714285714285714, 'Zn': 0.05714285714285714, 'Class VIII': 0.8389610389610389}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.32429392182130584,0.2927768329554044,0.4375,0.32429392182130584,0.828125,0.4375,0.32429392182130584,0.828125,"[[36, 0, 16, 45], [8, 1, 0, 6], [10, 0, 1, 21], [11, 0, 0, 53]]",0.06666666666666667,0.2927768329554044,0.03125,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.06666666666666667, 'Zn': 0.03125, 'Class VIII': 0.828125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.03125,"[[36, 0, 16, 45], [8, 1, 0, 6], [10, 0, 1, 21], [11, 0, 0, 53]]",,0.2927768329554044,0.03125,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.06666666666666667, 'Zn': 0.03125, 'Class VIII': 0.828125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.0828532643012099,1.1237894067397485,1.0,fixed,1.0,,0.6352268602540835,0.5900041103564247,0.5969517230987549,0.6352268602540835,0.6857142857142857,0.5969517230987549,0.6352268602540835,0.6857142857142857,"[[276, 5, 207, 63], [1, 48, 8, 13], [18, 25, 117, 15], [16, 7, 98, 264]]",0.6857142857142857,0.5900041103564247,0.5009074410163339,0.5009074410163339,"{'Mn': 0.5009074410163339, 'Cu': 0.6857142857142857, 'Zn': 0.6685714285714286, 'Class VIII': 0.6857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6685714285714286,"[[276, 5, 207, 63], [1, 48, 8, 13], [18, 25, 117, 15], [16, 7, 98, 264]]",,0.5900041103564247,0.5009074410163339,0.5009074410163339,"{'Mn': 0.5009074410163339, 'Cu': 0.6857142857142857, 'Zn': 0.6685714285714286, 'Class VIII': 0.6857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5372959621993127,0.49833862981082977,0.4134615361690521,0.5372959621993127,0.46875,0.4134615361690521,0.5372959621993127,0.46875,"[[27, 1, 67, 2], [0, 14, 1, 0], [3, 3, 15, 11], [12, 1, 21, 30]]",0.9333333333333333,0.49833862981082977,0.27835051546391754,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[27, 1, 67, 2], [0, 14, 1, 0], [3, 3, 15, 11], [12, 1, 21, 30]]",,0.49833862981082977,0.27835051546391754,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,1.0140233221086297,1.0223920803803663,1.0,fixed,1.0,,0.646894901831381,0.6714883975479226,0.7154953479766846,0.646894901831381,0.6935064935064935,0.7154953479766846,0.646894901831381,0.6935064935064935,"[[458, 1, 51, 41], [5, 44, 10, 11], [72, 4, 76, 23], [83, 2, 33, 267]]",0.6285714285714286,0.6714883975479226,0.4342857142857143,0.8312159709618875,"{'Mn': 0.8312159709618875, 'Cu': 0.6285714285714286, 'Zn': 0.4342857142857143, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4342857142857143,"[[458, 1, 51, 41], [5, 44, 10, 11], [72, 4, 76, 23], [83, 2, 33, 267]]",,0.6714883975479226,0.4342857142857143,0.8312159709618875,"{'Mn': 0.8312159709618875, 'Cu': 0.6285714285714286, 'Zn': 0.4342857142857143, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4898840206185567,0.525413458319384,0.4951923191547394,0.4898840206185567,0.59375,0.4951923191547394,0.4898840206185567,0.59375,"[[47, 0, 50, 0], [0, 9, 6, 0], [10, 1, 9, 12], [20, 0, 6, 38]]",0.6,0.525413458319384,0.28125,0.4845360824742268,"{'Mn': 0.4845360824742268, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[47, 0, 50, 0], [0, 9, 6, 0], [10, 1, 9, 12], [20, 0, 6, 38]]",,0.525413458319384,0.28125,0.4845360824742268,"{'Mn': 0.4845360824742268, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.8933330049385896,1.0232392171254525,1.0,fixed,1.0,,0.6945071534635963,0.6789647609629512,0.7315834164619446,0.6945071534635963,0.7480519480519481,0.7315834164619446,0.6945071534635963,0.7480519480519481,"[[440, 2, 61, 48], [1, 53, 5, 11], [38, 22, 83, 32], [49, 6, 42, 288]]",0.7571428571428571,0.6789647609629512,0.4742857142857143,0.7985480943738656,"{'Mn': 0.7985480943738656, 'Cu': 0.7571428571428571, 'Zn': 0.4742857142857143, 'Class VIII': 0.7480519480519481}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4742857142857143,"[[440, 2, 61, 48], [1, 53, 5, 11], [38, 22, 83, 32], [49, 6, 42, 288]]",,0.6789647609629512,0.4742857142857143,0.7985480943738656,"{'Mn': 0.7985480943738656, 'Cu': 0.7571428571428571, 'Zn': 0.4742857142857143, 'Class VIII': 0.7480519480519481}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5797814647766323,0.5458751905190862,0.5240384340286255,0.5797814647766323,0.640625,0.5240384340286255,0.5797814647766323,0.640625,"[[45, 0, 45, 7], [0, 14, 0, 1], [7, 5, 9, 11], [15, 2, 6, 41]]",0.9333333333333333,0.5458751905190862,0.28125,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[45, 0, 45, 7], [0, 14, 0, 1], [7, 5, 9, 11], [15, 2, 6, 41]]",,0.5458751905190862,0.28125,0.4639175257731959,"{'Mn': 0.4639175257731959, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8980296394108115,1.1956049599326575,1.0,fixed,1.0,,0.6640450656421618,0.5723551848665994,0.5808636546134949,0.6640450656421618,0.7896103896103897,0.5808636546134949,0.6640450656421618,0.7896103896103897,"[[213, 12, 230, 96], [0, 60, 4, 6], [6, 38, 109, 22], [5, 15, 61, 304]]",0.8571428571428571,0.5723551848665994,0.38656987295825773,0.38656987295825773,"{'Mn': 0.38656987295825773, 'Cu': 0.8571428571428571, 'Zn': 0.6228571428571429, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6228571428571429,"[[213, 12, 230, 96], [0, 60, 4, 6], [6, 38, 109, 22], [5, 15, 61, 304]]",,0.5723551848665994,0.38656987295825773,0.38656987295825773,"{'Mn': 0.38656987295825773, 'Cu': 0.8571428571428571, 'Zn': 0.6228571428571429, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5335507946735395,0.4233534515501116,0.41826921701431274,0.5335507946735395,0.640625,0.41826921701431274,0.5335507946735395,0.640625,"[[21, 15, 58, 3], [0, 14, 1, 0], [1, 9, 11, 11], [7, 6, 10, 41]]",0.9333333333333333,0.4233534515501116,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.9333333333333333, 'Zn': 0.34375, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[21, 15, 58, 3], [0, 14, 1, 0], [1, 9, 11, 11], [7, 6, 10, 41]]",,0.4233534515501116,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.9333333333333333, 'Zn': 0.34375, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.8006336256056219,1.0670749453397899,1.0,fixed,1.0,,0.7540478940297453,0.712804912225799,0.7070279717445374,0.7540478940297453,0.6987012987012987,0.7070279717445374,0.7540478940297453,0.6987012987012987,"[[367, 2, 145, 37], [1, 60, 7, 2], [18, 9, 139, 9], [32, 6, 78, 269]]",0.8571428571428571,0.712804912225799,0.6660617059891107,0.6660617059891107,"{'Mn': 0.6660617059891107, 'Cu': 0.8571428571428571, 'Zn': 0.7942857142857143, 'Class VIII': 0.6987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7942857142857143,"[[367, 2, 145, 37], [1, 60, 7, 2], [18, 9, 139, 9], [32, 6, 78, 269]]",,0.712804912225799,0.6660617059891107,0.6660617059891107,"{'Mn': 0.6660617059891107, 'Cu': 0.8571428571428571, 'Zn': 0.7942857142857143, 'Class VIII': 0.6987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5761973797250859,0.5048355694692904,0.4663461446762085,0.5761973797250859,0.53125,0.4663461446762085,0.5761973797250859,0.53125,"[[33, 0, 64, 0], [0, 14, 1, 0], [3, 7, 16, 6], [11, 7, 12, 34]]",0.9333333333333333,0.5048355694692904,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.9333333333333333, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[33, 0, 64, 0], [0, 14, 1, 0], [3, 7, 16, 6], [11, 7, 12, 34]]",,0.5048355694692904,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.9333333333333333, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
