epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.3812480351409397,1.3687174366070674,1.0,fixed,1.0,,0.3395243594880618,0.3054387761926295,0.4030482769012451,0.3395243594880618,0.5402597402597402,0.4030482769012451,0.3395243594880618,0.5402597402597402,"[[183, 0, 228, 140], [0, 0, 53, 17], [28, 0, 85, 62], [29, 0, 148, 208]]",0.0,0.3054387761926295,0.0,0.33212341197822143,"{'Mn': 0.33212341197822143, 'Cu': 0.0, 'Zn': 0.4857142857142857, 'Class VIII': 0.5402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4857142857142857,"[[183, 0, 228, 140], [0, 0, 53, 17], [28, 0, 85, 62], [29, 0, 148, 208]]",,0.3054387761926295,0.0,0.33212341197822143,"{'Mn': 0.33212341197822143, 'Cu': 0.0, 'Zn': 0.4857142857142857, 'Class VIII': 0.5402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.25475193298969073,0.22079365079365076,0.29326921701431274,0.25475193298969073,0.53125,0.29326921701431274,0.25475193298969073,0.53125,"[[17, 0, 51, 29], [0, 0, 11, 4], [3, 0, 10, 19], [9, 0, 21, 34]]",0.0,0.22079365079365076,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.3125, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[17, 0, 51, 29], [0, 0, 11, 4], [3, 0, 10, 19], [9, 0, 21, 34]]",,0.22079365079365076,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.3125, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3560182460256525,1.3209926944512587,1.0,fixed,1.0,,0.26986046621255333,0.21105038172585924,0.44284504652023315,0.26986046621255333,0.01818181818181818,0.44284504652023315,0.26986046621255333,0.01818181818181818,"[[484, 0, 61, 6], [50, 0, 20, 0], [141, 0, 32, 2], [300, 0, 78, 7]]",0.0,0.21105038172585924,0.0,0.8784029038112523,"{'Mn': 0.8784029038112523, 'Cu': 0.0, 'Zn': 0.18285714285714286, 'Class VIII': 0.01818181818181818}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.18285714285714286,"[[484, 0, 61, 6], [50, 0, 20, 0], [141, 0, 32, 2], [300, 0, 78, 7]]",,0.21105038172585924,0.0,0.8784029038112523,"{'Mn': 0.8784029038112523, 'Cu': 0.0, 'Zn': 0.18285714285714286, 'Class VIII': 0.01818181818181818}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.27923646907216493,0.2141319942611191,0.4134615361690521,0.27923646907216493,0.0,0.4134615361690521,0.27923646907216493,0.0,"[[75, 0, 22, 0], [11, 0, 4, 0], [21, 0, 11, 0], [51, 0, 13, 0]]",0.0,0.2141319942611191,0.0,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.0, 'Zn': 0.34375, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[75, 0, 22, 0], [11, 0, 4, 0], [21, 0, 11, 0], [51, 0, 13, 0]]",,0.2141319942611191,0.0,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.0, 'Zn': 0.34375, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.3546551594863068,1.327932128539452,1.0,fixed,1.0,,0.31632003205505926,0.2733657985248322,0.4851820468902588,0.31632003205505926,0.7350649350649351,0.4851820468902588,0.31632003205505926,0.7350649350649351,"[[289, 0, 0, 262], [35, 0, 0, 35], [57, 0, 1, 117], [102, 0, 0, 283]]",0.0,0.2733657985248322,0.0,0.5245009074410163,"{'Mn': 0.5245009074410163, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.005714285714285714,"[[289, 0, 0, 262], [35, 0, 0, 35], [57, 0, 1, 117], [102, 0, 0, 283]]",,0.2733657985248322,0.0,0.5245009074410163,"{'Mn': 0.5245009074410163, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.26349065721649484,0.20938903863432165,0.375,0.26349065721649484,0.734375,0.375,0.26349065721649484,0.734375,"[[31, 0, 0, 66], [9, 0, 0, 6], [5, 0, 0, 27], [17, 0, 0, 47]]",0.0,0.20938903863432165,0.0,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[31, 0, 0, 66], [9, 0, 0, 6], [5, 0, 0, 27], [17, 0, 0, 47]]",,0.20938903863432165,0.0,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.3055653406961545,1.252665570149055,1.0,fixed,1.0,,0.47768366841869564,0.45519077963116705,0.4834885597229004,0.47768366841869564,0.36623376623376624,0.4834885597229004,0.47768366841869564,0.36623376623376624,"[[289, 14, 181, 67], [3, 25, 31, 11], [37, 8, 116, 14], [63, 5, 176, 141]]",0.35714285714285715,0.45519077963116705,0.35714285714285715,0.5245009074410163,"{'Mn': 0.5245009074410163, 'Cu': 0.35714285714285715, 'Zn': 0.6628571428571428, 'Class VIII': 0.36623376623376624}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6628571428571428,"[[289, 14, 181, 67], [3, 25, 31, 11], [37, 8, 116, 14], [63, 5, 176, 141]]",,0.45519077963116705,0.35714285714285715,0.5245009074410163,"{'Mn': 0.5245009074410163, 'Cu': 0.35714285714285715, 'Zn': 0.6628571428571428, 'Class VIII': 0.36623376623376624}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.46950708762886595,0.45334981541842634,0.38461539149284363,0.46950708762886595,0.3125,0.38461539149284363,0.46950708762886595,0.3125,"[[30, 2, 64, 1], [0, 9, 6, 0], [4, 0, 21, 7], [16, 0, 28, 20]]",0.6,0.45334981541842634,0.30927835051546393,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.6, 'Zn': 0.65625, 'Class VIII': 0.3125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.65625,"[[30, 2, 64, 1], [0, 9, 6, 0], [4, 0, 21, 7], [16, 0, 28, 20]]",,0.45334981541842634,0.30927835051546393,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.6, 'Zn': 0.65625, 'Class VIII': 0.3125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.180012280876572,1.2256022210304554,1.0,fixed,1.0,,0.4114837249864473,0.4054252750922068,0.5317527651786804,0.4114837249864473,0.8987012987012987,0.5317527651786804,0.4114837249864473,0.8987012987012987,"[[248, 1, 8, 294], [14, 12, 12, 32], [43, 4, 22, 106], [33, 2, 4, 346]]",0.17142857142857143,0.4054252750922068,0.12571428571428572,0.4500907441016334,"{'Mn': 0.4500907441016334, 'Cu': 0.17142857142857143, 'Zn': 0.12571428571428572, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.12571428571428572,"[[248, 1, 8, 294], [14, 12, 12, 32], [43, 4, 22, 106], [33, 2, 4, 346]]",,0.4054252750922068,0.12571428571428572,0.4500907441016334,"{'Mn': 0.4500907441016334, 'Cu': 0.17142857142857143, 'Zn': 0.12571428571428572, 'Class VIII': 0.8987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3953151847079038,0.38170051579626046,0.45192307233810425,0.3953151847079038,0.890625,0.45192307233810425,0.3953151847079038,0.890625,"[[29, 1, 17, 50], [5, 4, 1, 5], [4, 0, 4, 24], [6, 0, 1, 57]]",0.26666666666666666,0.38170051579626046,0.125,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.26666666666666666, 'Zn': 0.125, 'Class VIII': 0.890625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.125,"[[29, 1, 17, 50], [5, 4, 1, 5], [4, 0, 4, 24], [6, 0, 1, 57]]",,0.38170051579626046,0.125,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.26666666666666666, 'Zn': 0.125, 'Class VIII': 0.890625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.1134037149919045,1.1203234195709229,1.0,fixed,1.0,,0.6475420133405614,0.6268984092767353,0.6697713732719421,0.6475420133405614,0.6883116883116883,0.6697713732719421,0.6475420133405614,0.6883116883116883,"[[382, 4, 108, 57], [1, 45, 10, 14], [36, 23, 99, 17], [40, 6, 74, 265]]",0.6428571428571429,0.6268984092767353,0.5657142857142857,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.6428571428571429, 'Zn': 0.5657142857142857, 'Class VIII': 0.6883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5657142857142857,"[[382, 4, 108, 57], [1, 45, 10, 14], [36, 23, 99, 17], [40, 6, 74, 265]]",,0.6268984092767353,0.5657142857142857,0.6932849364791288,"{'Mn': 0.6932849364791288, 'Cu': 0.6428571428571429, 'Zn': 0.5657142857142857, 'Class VIII': 0.6883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5078339776632302,0.497624592711186,0.44711539149284363,0.5078339776632302,0.46875,0.44711539149284363,0.5078339776632302,0.46875,"[[38, 1, 57, 1], [0, 11, 4, 0], [5, 3, 14, 10], [19, 1, 14, 30]]",0.7333333333333333,0.497624592711186,0.3917525773195876,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.7333333333333333, 'Zn': 0.4375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.4375,"[[38, 1, 57, 1], [0, 11, 4, 0], [5, 3, 14, 10], [19, 1, 14, 30]]",,0.497624592711186,0.3917525773195876,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.7333333333333333, 'Zn': 0.4375, 'Class VIII': 0.46875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,1.0353645897797636,1.0338941250856106,1.0,fixed,1.0,,0.6446543474674146,0.6534035654589291,0.6985605359077454,0.6446543474674146,0.7324675324675325,0.6985605359077454,0.6446543474674146,0.7324675324675325,"[[419, 1, 66, 65], [4, 44, 11, 11], [55, 11, 80, 29], [53, 2, 48, 282]]",0.6285714285714286,0.6534035654589291,0.45714285714285713,0.7604355716878403,"{'Mn': 0.7604355716878403, 'Cu': 0.6285714285714286, 'Zn': 0.45714285714285713, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.45714285714285713,"[[419, 1, 66, 65], [4, 44, 11, 11], [55, 11, 80, 29], [53, 2, 48, 282]]",,0.6534035654589291,0.45714285714285713,0.7604355716878403,"{'Mn': 0.7604355716878403, 'Cu': 0.6285714285714286, 'Zn': 0.45714285714285713, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4900451030927835,0.5162867996201329,0.48557692766189575,0.4900451030927835,0.65625,0.48557692766189575,0.4900451030927835,0.65625,"[[41, 1, 54, 1], [0, 9, 6, 0], [9, 1, 9, 13], [15, 0, 7, 42]]",0.6,0.5162867996201329,0.28125,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[41, 1, 54, 1], [0, 9, 6, 0], [9, 1, 9, 13], [15, 0, 7, 42]]",,0.5162867996201329,0.28125,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.9181141660020158,1.0643651531292841,1.0,fixed,1.0,,0.6775698258184647,0.6536576631251113,0.7138018608093262,0.6775698258184647,0.7324675324675325,0.7138018608093262,0.6775698258184647,0.7324675324675325,"[[427, 5, 65, 54], [2, 51, 5, 12], [37, 28, 83, 27], [44, 8, 51, 282]]",0.7285714285714285,0.6536576631251113,0.4742857142857143,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.7285714285714285, 'Zn': 0.4742857142857143, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4742857142857143,"[[427, 5, 65, 54], [2, 51, 5, 12], [37, 28, 83, 27], [44, 8, 51, 282]]",,0.6536576631251113,0.4742857142857143,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.7285714285714285, 'Zn': 0.4742857142857143, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.578613616838488,0.5201634901360365,0.5144230723381042,0.578613616838488,0.6875,0.5144230723381042,0.578613616838488,0.6875,"[[40, 8, 47, 2], [0, 14, 0, 1], [6, 4, 9, 13], [13, 1, 6, 44]]",0.9333333333333333,0.5201634901360365,0.28125,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[40, 8, 47, 2], [0, 14, 0, 1], [6, 4, 9, 13], [13, 1, 6, 44]]",,0.5201634901360365,0.28125,0.41237113402061853,"{'Mn': 0.41237113402061853, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8925102246371476,1.2495312301012187,1.0,fixed,1.0,,0.6340976265114197,0.5541387305665163,0.5817103981971741,0.6340976265114197,0.8311688311688312,0.5817103981971741,0.6340976265114197,0.8311688311688312,"[[228, 13, 174, 136], [0, 58, 4, 8], [10, 41, 81, 43], [6, 16, 43, 320]]",0.8285714285714286,0.5541387305665163,0.41379310344827586,0.41379310344827586,"{'Mn': 0.41379310344827586, 'Cu': 0.8285714285714286, 'Zn': 0.46285714285714286, 'Class VIII': 0.8311688311688312}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.46285714285714286,"[[228, 13, 174, 136], [0, 58, 4, 8], [10, 41, 81, 43], [6, 16, 43, 320]]",,0.5541387305665163,0.41379310344827586,0.41379310344827586,"{'Mn': 0.41379310344827586, 'Cu': 0.8285714285714286, 'Zn': 0.46285714285714286, 'Class VIII': 0.8311688311688312}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5413632946735395,0.4186444583463664,0.4375,0.5413632946735395,0.734375,0.4375,0.5413632946735395,0.734375,"[[21, 17, 45, 14], [0, 14, 0, 1], [0, 10, 9, 13], [7, 4, 6, 47]]",0.9333333333333333,0.4186444583463664,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[21, 17, 45, 14], [0, 14, 0, 1], [0, 10, 9, 13], [7, 4, 6, 47]]",,0.4186444583463664,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.9333333333333333, 'Zn': 0.28125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.8039272510119386,1.1024568470624776,1.0,fixed,1.0,,0.7290938553279751,0.6850521670916988,0.6841659545898438,0.7290938553279751,0.5714285714285714,0.6841659545898438,0.7290938553279751,0.5714285714285714,"[[390, 4, 141, 16], [1, 59, 10, 0], [22, 11, 139, 3], [37, 7, 121, 220]]",0.8428571428571429,0.6850521670916988,0.5714285714285714,0.7078039927404719,"{'Mn': 0.7078039927404719, 'Cu': 0.8428571428571429, 'Zn': 0.7942857142857143, 'Class VIII': 0.5714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7942857142857143,"[[390, 4, 141, 16], [1, 59, 10, 0], [22, 11, 139, 3], [37, 7, 121, 220]]",,0.6850521670916988,0.5714285714285714,0.7078039927404719,"{'Mn': 0.7078039927404719, 'Cu': 0.8428571428571429, 'Zn': 0.7942857142857143, 'Class VIII': 0.5714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5449473797250859,0.4806225849440906,0.4326923191547394,0.5449473797250859,0.4375,0.4326923191547394,0.5449473797250859,0.4375,"[[33, 0, 64, 0], [0, 14, 1, 0], [5, 7, 15, 5], [13, 6, 17, 28]]",0.9333333333333333,0.4806225849440906,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[33, 0, 64, 0], [0, 14, 1, 0], [5, 7, 15, 5], [13, 6, 17, 28]]",,0.4806225849440906,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
