epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.379378695745726,1.3695307832497816,1.0,fixed,1.0,,0.29476512598109694,0.24272576052639344,0.43691787123680115,0.29476512598109694,0.8051948051948052,0.43691787123680115,0.29476512598109694,0.8051948051948052,"[[206, 0, 0, 345], [7, 0, 0, 63], [30, 0, 0, 145], [75, 0, 0, 310]]",0.0,0.24272576052639344,0.0,0.3738656987295826,"{'Mn': 0.3738656987295826, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[206, 0, 0, 345], [7, 0, 0, 63], [30, 0, 0, 145], [75, 0, 0, 310]]",,0.24272576052639344,0.0,0.3738656987295826,"{'Mn': 0.3738656987295826, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.23912693298969073,0.16987917146144996,0.32211539149284363,0.23912693298969073,0.78125,0.32211539149284363,0.23912693298969073,0.78125,"[[17, 0, 0, 80], [1, 0, 0, 14], [3, 0, 0, 29], [14, 0, 0, 50]]",0.0,0.16987917146144996,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[17, 0, 0, 80], [1, 0, 0, 14], [3, 0, 0, 29], [14, 0, 0, 50]]",,0.16987917146144996,0.0,0.17525773195876287,"{'Mn': 0.17525773195876287, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3587141866619523,1.3213420005945058,1.0,fixed,1.0,,0.29605652061187454,0.2750321614689913,0.4868755340576172,0.29605652061187454,0.2857142857142857,0.4868755340576172,0.29605652061187454,0.2857142857142857,"[[451, 0, 19, 81], [49, 0, 2, 19], [113, 0, 14, 48], [261, 0, 14, 110]]",0.0,0.2750321614689913,0.0,0.8185117967332124,"{'Mn': 0.8185117967332124, 'Cu': 0.0, 'Zn': 0.08, 'Class VIII': 0.2857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.08,"[[451, 0, 19, 81], [49, 0, 2, 19], [113, 0, 14, 48], [261, 0, 14, 110]]",,0.2750321614689913,0.0,0.8185117967332124,"{'Mn': 0.8185117967332124, 'Cu': 0.0, 'Zn': 0.08, 'Class VIII': 0.2857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.25604059278350516,0.2393483709273183,0.42307692766189575,0.25604059278350516,0.34375,0.42307692766189575,0.25604059278350516,0.34375,"[[66, 0, 22, 9], [10, 0, 0, 5], [18, 0, 0, 14], [40, 0, 2, 22]]",0.0,0.2393483709273183,0.0,0.6804123711340206,"{'Mn': 0.6804123711340206, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.34375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[66, 0, 22, 9], [10, 0, 0, 5], [18, 0, 0, 14], [40, 0, 2, 22]]",,0.2393483709273183,0.0,0.6804123711340206,"{'Mn': 0.6804123711340206, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.34375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.332431193139102,1.3864113321671119,1.0,fixed,1.0,,0.3126216795908266,0.2549006769876343,0.42506349086761475,0.3126216795908266,0.9324675324675324,0.42506349086761475,0.3126216795908266,0.9324675324675324,"[[128, 0, 59, 364], [11, 0, 14, 45], [9, 0, 15, 151], [7, 0, 19, 359]]",0.0,0.2549006769876343,0.0,0.2323049001814882,"{'Mn': 0.2323049001814882, 'Cu': 0.0, 'Zn': 0.08571428571428572, 'Class VIII': 0.9324675324675324}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.08571428571428572,"[[128, 0, 59, 364], [11, 0, 14, 45], [9, 0, 15, 151], [7, 0, 19, 359]]",,0.2549006769876343,0.0,0.2323049001814882,"{'Mn': 0.2323049001814882, 'Cu': 0.0, 'Zn': 0.08571428571428572, 'Class VIII': 0.9324675324675324}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.28865979381443296,0.21408730624476735,0.3701923191547394,0.28865979381443296,0.9375,0.3701923191547394,0.28865979381443296,0.9375,"[[15, 0, 16, 66], [4, 0, 5, 6], [0, 0, 2, 30], [1, 0, 3, 60]]",0.0,0.21408730624476735,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0625, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0625,"[[15, 0, 16, 66], [4, 0, 5, 6], [0, 0, 2, 30], [1, 0, 3, 60]]",,0.21408730624476735,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0625, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.311782783753163,1.271678062585684,1.0,fixed,1.0,,0.42674817922549324,0.37156578183349986,0.42167654633522034,0.42674817922549324,0.07012987012987013,0.42167654633522034,0.42674817922549324,0.07012987012987013,"[[321, 12, 209, 9], [10, 23, 34, 3], [44, 1, 127, 3], [110, 4, 244, 27]]",0.32857142857142857,0.37156578183349986,0.07012987012987013,0.5825771324863884,"{'Mn': 0.5825771324863884, 'Cu': 0.32857142857142857, 'Zn': 0.7257142857142858, 'Class VIII': 0.07012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7257142857142858,"[[321, 12, 209, 9], [10, 23, 34, 3], [44, 1, 127, 3], [110, 4, 244, 27]]",,0.37156578183349986,0.07012987012987013,0.5825771324863884,"{'Mn': 0.5825771324863884, 'Cu': 0.32857142857142857, 'Zn': 0.7257142857142858, 'Class VIII': 0.07012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.42528994845360824,0.35970582739936474,0.3076923191547394,0.42528994845360824,0.03125,0.3076923191547394,0.42528994845360824,0.03125,"[[28, 1, 68, 0], [0, 9, 6, 0], [7, 0, 25, 0], [19, 0, 43, 2]]",0.6,0.35970582739936474,0.03125,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.6, 'Zn': 0.78125, 'Class VIII': 0.03125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[28, 1, 68, 0], [0, 9, 6, 0], [7, 0, 25, 0], [19, 0, 43, 2]]",,0.35970582739936474,0.03125,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.6, 'Zn': 0.78125, 'Class VIII': 0.03125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.2357628550883886,1.2362756729125977,1.0,fixed,1.0,,0.48752021118627287,0.482699472807667,0.5046570897102356,0.48752021118627287,0.5688311688311688,0.5046570897102356,0.48752021118627287,0.5688311688311688,"[[251, 10, 225, 65], [1, 24, 22, 23], [34, 0, 102, 39], [26, 5, 135, 219]]",0.34285714285714286,0.482699472807667,0.34285714285714286,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.34285714285714286, 'Zn': 0.5828571428571429, 'Class VIII': 0.5688311688311688}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5828571428571429,"[[251, 10, 225, 65], [1, 24, 22, 23], [34, 0, 102, 39], [26, 5, 135, 219]]",,0.482699472807667,0.34285714285714286,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.34285714285714286, 'Zn': 0.5828571428571429, 'Class VIII': 0.5688311688311688}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4672170317869416,0.4690985053902167,0.4086538553237915,0.4672170317869416,0.484375,0.4086538553237915,0.4672170317869416,0.484375,"[[28, 1, 64, 4], [0, 8, 4, 3], [4, 0, 18, 10], [12, 0, 21, 31]]",0.5333333333333333,0.4690985053902167,0.28865979381443296,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.5333333333333333, 'Zn': 0.5625, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5625,"[[28, 1, 64, 4], [0, 8, 4, 3], [4, 0, 18, 10], [12, 0, 21, 31]]",,0.4690985053902167,0.28865979381443296,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.5333333333333333, 'Zn': 0.5625, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.155005293117987,1.1686749412463262,1.0,fixed,1.0,,0.5563687038913899,0.5216812431438947,0.55376797914505,0.5563687038913899,0.8051948051948052,0.55376797914505,0.5563687038913899,0.8051948051948052,"[[230, 20, 187, 114], [0, 41, 4, 25], [23, 6, 73, 73], [10, 15, 50, 310]]",0.5857142857142857,0.5216812431438947,0.41714285714285715,0.41742286751361163,"{'Mn': 0.41742286751361163, 'Cu': 0.5857142857142857, 'Zn': 0.41714285714285715, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.41714285714285715,"[[230, 20, 187, 114], [0, 41, 4, 25], [23, 6, 73, 73], [10, 15, 50, 310]]",,0.5216812431438947,0.41714285714285715,0.41742286751361163,"{'Mn': 0.41742286751361163, 'Cu': 0.5857142857142857, 'Zn': 0.41714285714285715, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4826353092783505,0.4699832903498554,0.4375,0.4826353092783505,0.6875,0.4375,0.4826353092783505,0.6875,"[[26, 2, 66, 3], [0, 9, 2, 4], [2, 2, 12, 16], [7, 1, 12, 44]]",0.6,0.4699832903498554,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6, 'Zn': 0.375, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[26, 2, 66, 3], [0, 9, 2, 4], [2, 2, 12, 16], [7, 1, 12, 44]]",,0.4699832903498554,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.6, 'Zn': 0.375, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,1.0210289216122113,1.0488777183569395,1.0,fixed,1.0,,0.5920621302472482,0.6088952924491353,0.6469094157218933,0.5920621302472482,0.8649350649350649,0.6469094157218933,0.5920621302472482,0.8649350649350649,"[[334, 0, 115, 102], [1, 40, 5, 24], [38, 1, 57, 79], [20, 2, 30, 333]]",0.5714285714285714,0.6088952924491353,0.32571428571428573,0.6061705989110708,"{'Mn': 0.6061705989110708, 'Cu': 0.5714285714285714, 'Zn': 0.32571428571428573, 'Class VIII': 0.8649350649350649}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.32571428571428573,"[[334, 0, 115, 102], [1, 40, 5, 24], [38, 1, 57, 79], [20, 2, 30, 333]]",,0.6088952924491353,0.32571428571428573,0.6061705989110708,"{'Mn': 0.6061705989110708, 'Cu': 0.5714285714285714, 'Zn': 0.32571428571428573, 'Class VIII': 0.8649350649350649}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.49934761597938143,0.5098469219158874,0.48076921701431274,0.49934761597938143,0.734375,0.48076921701431274,0.49934761597938143,0.734375,"[[34, 1, 62, 0], [0, 9, 0, 6], [3, 1, 10, 18], [11, 0, 6, 47]]",0.6,0.5098469219158874,0.3125,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.6, 'Zn': 0.3125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[34, 1, 62, 0], [0, 9, 0, 6], [3, 1, 10, 18], [11, 0, 6, 47]]",,0.5098469219158874,0.3125,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.6, 'Zn': 0.3125, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.9086278769615534,1.0778846316612685,1.0,fixed,1.0,,0.6675885638862046,0.6790595013371087,0.7138018608093262,0.6675885638862046,0.5766233766233766,0.7138018608093262,0.6675885638862046,0.5766233766233766,"[[483, 0, 49, 19], [4, 50, 5, 11], [67, 5, 88, 15], [91, 5, 67, 222]]",0.7142857142857143,0.6790595013371087,0.5028571428571429,0.8765880217785844,"{'Mn': 0.8765880217785844, 'Cu': 0.7142857142857143, 'Zn': 0.5028571428571429, 'Class VIII': 0.5766233766233766}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5028571428571429,"[[483, 0, 49, 19], [4, 50, 5, 11], [67, 5, 88, 15], [91, 5, 67, 222]]",,0.6790595013371087,0.5028571428571429,0.8765880217785844,"{'Mn': 0.8765880217785844, 'Cu': 0.7142857142857143, 'Zn': 0.5028571428571429, 'Class VIII': 0.5766233766233766}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5087602018900343,0.48160550977107125,0.4951923191547394,0.5087602018900343,0.484375,0.4951923191547394,0.5087602018900343,0.484375,"[[52, 1, 44, 0], [1, 11, 3, 0], [8, 10, 9, 5], [20, 4, 9, 31]]",0.7333333333333333,0.48160550977107125,0.28125,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.7333333333333333, 'Zn': 0.28125, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[52, 1, 44, 0], [1, 11, 3, 0], [8, 10, 9, 5], [20, 4, 9, 31]]",,0.48160550977107125,0.28125,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.7333333333333333, 'Zn': 0.28125, 'Class VIII': 0.484375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.858590517193079,1.3547887429594994,1.0,fixed,1.0,,0.6680433450397153,0.5866240877628782,0.6858594417572021,0.6680433450397153,0.7818181818181819,0.6858594417572021,0.6680433450397153,0.7818181818181819,"[[404, 19, 39, 89], [0, 65, 4, 1], [32, 45, 40, 58], [18, 44, 22, 301]]",0.9285714285714286,0.5866240877628782,0.22857142857142856,0.7332123411978222,"{'Mn': 0.7332123411978222, 'Cu': 0.9285714285714286, 'Zn': 0.22857142857142856, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.22857142857142856,"[[404, 19, 39, 89], [0, 65, 4, 1], [32, 45, 40, 58], [18, 44, 22, 301]]",,0.5866240877628782,0.22857142857142856,0.7332123411978222,"{'Mn': 0.7332123411978222, 'Cu': 0.9285714285714286, 'Zn': 0.22857142857142856, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5253355884879725,0.4069096787651231,0.4615384638309479,0.5253355884879725,0.640625,0.4615384638309479,0.5253355884879725,0.640625,"[[36, 20, 10, 31], [0, 14, 0, 1], [4, 19, 5, 4], [7, 12, 4, 41]]",0.9333333333333333,0.4069096787651231,0.15625,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[36, 20, 10, 31], [0, 14, 0, 1], [4, 19, 5, 4], [7, 12, 4, 41]]",,0.4069096787651231,0.15625,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.8042537977767957,1.090144955768035,1.0,fixed,1.0,,0.743834704315648,0.7486923462566846,0.7705334424972534,0.743834704315648,0.7116883116883117,0.7705334424972534,0.743834704315648,0.7116883116883117,"[[468, 0, 65, 18], [1, 53, 7, 9], [40, 2, 115, 18], [45, 3, 63, 274]]",0.7571428571428571,0.7486923462566846,0.6571428571428571,0.8493647912885662,"{'Mn': 0.8493647912885662, 'Cu': 0.7571428571428571, 'Zn': 0.6571428571428571, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6571428571428571,"[[468, 0, 65, 18], [1, 53, 7, 9], [40, 2, 115, 18], [45, 3, 63, 274]]",,0.7486923462566846,0.6571428571428571,0.8493647912885662,"{'Mn': 0.8493647912885662, 'Cu': 0.7571428571428571, 'Zn': 0.6571428571428571, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5488992697594501,0.49923419813356923,0.48557692766189575,0.5488992697594501,0.5625,0.48557692766189575,0.5488992697594501,0.5625,"[[41, 2, 54, 0], [1, 13, 1, 0], [7, 10, 11, 4], [16, 4, 8, 36]]",0.8666666666666667,0.49923419813356923,0.34375,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[41, 2, 54, 0], [1, 13, 1, 0], [7, 10, 11, 4], [16, 4, 8, 36]]",,0.49923419813356923,0.34375,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
