epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.3816504921462085,1.3682175966409535,1.0,fixed,1.0,,0.30357673179814737,0.23318773878970872,0.43437764048576355,0.30357673179814737,0.9402597402597402,0.43437764048576355,0.30357673179814737,0.9402597402597402,"[[151, 0, 0, 400], [2, 0, 0, 68], [20, 0, 0, 155], [23, 0, 0, 362]]",0.0,0.23318773878970872,0.0,0.27404718693284935,"{'Mn': 0.27404718693284935, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[151, 0, 0, 400], [2, 0, 0, 68], [20, 0, 0, 155], [23, 0, 0, 362]]",,0.23318773878970872,0.0,0.27404718693284935,"{'Mn': 0.27404718693284935, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2613965850515464,0.16837733810520628,0.3413461446762085,0.2613965850515464,0.921875,0.3413461446762085,0.2613965850515464,0.921875,"[[12, 0, 0, 85], [1, 0, 0, 14], [3, 0, 0, 29], [5, 0, 0, 59]]",0.0,0.16837733810520628,0.0,0.12371134020618557,"{'Mn': 0.12371134020618557, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[12, 0, 0, 85], [1, 0, 0, 14], [3, 0, 0, 29], [5, 0, 0, 59]]",,0.16837733810520628,0.0,0.12371134020618557,"{'Mn': 0.12371134020618557, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.362943965840984,1.327880437557514,1.0,fixed,1.0,,0.2860598203973885,0.25092395673343487,0.486028790473938,0.2860598203973885,0.32727272727272727,0.486028790473938,0.2860598203973885,0.32727272727272727,"[[447, 0, 1, 103], [49, 0, 0, 21], [112, 0, 1, 62], [258, 0, 1, 126]]",0.0,0.25092395673343487,0.0,0.8112522686025408,"{'Mn': 0.8112522686025408, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.32727272727272727}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.005714285714285714,"[[447, 0, 1, 103], [49, 0, 0, 21], [112, 0, 1, 62], [258, 0, 1, 126]]",,0.25092395673343487,0.0,0.8112522686025408,"{'Mn': 0.8112522686025408, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.32727272727272727}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.27416237113402064,0.24195942602671944,0.45192307233810425,0.27416237113402064,0.375,0.45192307233810425,0.27416237113402064,0.375,"[[70, 0, 5, 22], [10, 0, 0, 5], [18, 0, 0, 14], [40, 0, 0, 24]]",0.0,0.24195942602671944,0.0,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[70, 0, 5, 22], [10, 0, 0, 5], [18, 0, 0, 14], [40, 0, 0, 24]]",,0.24195942602671944,0.0,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.3372828332153526,1.3811477376864507,1.0,fixed,1.0,,0.31225021802154285,0.2552542494909934,0.40474173426628113,0.31225021802154285,0.8909090909090909,0.40474173426628113,0.31225021802154285,0.8909090909090909,"[[106, 0, 111, 334], [6, 0, 21, 43], [7, 0, 29, 139], [5, 0, 37, 343]]",0.0,0.2552542494909934,0.0,0.19237749546279492,"{'Mn': 0.19237749546279492, 'Cu': 0.0, 'Zn': 0.1657142857142857, 'Class VIII': 0.8909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.1657142857142857,"[[106, 0, 111, 334], [6, 0, 21, 43], [7, 0, 29, 139], [5, 0, 37, 343]]",,0.2552542494909934,0.0,0.19237749546279492,"{'Mn': 0.19237749546279492, 'Cu': 0.0, 'Zn': 0.1657142857142857, 'Class VIII': 0.8909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.29913015463917525,0.22661672766630114,0.36538460850715637,0.29913015463917525,0.90625,0.36538460850715637,0.29913015463917525,0.90625,"[[13, 0, 24, 60], [4, 0, 5, 6], [0, 0, 5, 27], [1, 0, 5, 58]]",0.0,0.22661672766630114,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[13, 0, 24, 60], [4, 0, 5, 6], [0, 0, 5, 27], [1, 0, 5, 58]]",,0.22661672766630114,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.3132952475869977,1.2579446939321666,1.0,fixed,1.0,,0.37637671765620945,0.3261175961816044,0.3971210718154907,0.37637671765620945,0.08571428571428572,0.3971210718154907,0.37637671765620945,0.08571428571428572,"[[299, 2, 240, 10], [21, 11, 34, 4], [44, 0, 126, 5], [100, 2, 250, 33]]",0.15714285714285714,0.3261175961816044,0.08571428571428572,0.542649727767695,"{'Mn': 0.542649727767695, 'Cu': 0.15714285714285714, 'Zn': 0.72, 'Class VIII': 0.08571428571428572}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.72,"[[299, 2, 240, 10], [21, 11, 34, 4], [44, 0, 126, 5], [100, 2, 250, 33]]",,0.3261175961816044,0.08571428571428572,0.542649727767695,"{'Mn': 0.542649727767695, 'Cu': 0.15714285714285714, 'Zn': 0.72, 'Class VIII': 0.08571428571428572}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.35185244845360825,0.3182455348183825,0.2836538553237915,0.35185244845360825,0.0625,0.2836538553237915,0.35185244845360825,0.0625,"[[28, 1, 68, 0], [3, 6, 5, 1], [5, 0, 21, 6], [18, 0, 42, 4]]",0.4,0.3182455348183825,0.0625,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.4, 'Zn': 0.65625, 'Class VIII': 0.0625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.65625,"[[28, 1, 68, 0], [3, 6, 5, 1], [5, 0, 21, 6], [18, 0, 42, 4]]",,0.3182455348183825,0.0625,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.4, 'Zn': 0.65625, 'Class VIII': 0.0625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.1883013151787423,1.1156465663359716,1.0,fixed,1.0,,0.5616601456619605,0.5022185072119975,0.5656223297119141,0.5616601456619605,0.5246753246753246,0.5656223297119141,0.5616601456619605,0.5246753246753246,"[[349, 39, 122, 41], [2, 49, 5, 14], [40, 25, 68, 42], [43, 56, 84, 202]]",0.7,0.5022185072119975,0.38857142857142857,0.6333938294010889,"{'Mn': 0.6333938294010889, 'Cu': 0.7, 'Zn': 0.38857142857142857, 'Class VIII': 0.5246753246753246}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38857142857142857,"[[349, 39, 122, 41], [2, 49, 5, 14], [40, 25, 68, 42], [43, 56, 84, 202]]",,0.5022185072119975,0.38857142857142857,0.6333938294010889,"{'Mn': 0.6333938294010889, 'Cu': 0.7, 'Zn': 0.38857142857142857, 'Class VIII': 0.5246753246753246}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5688896048109966,0.5233923714590568,0.5528846383094788,0.5688896048109966,0.5625,0.5528846383094788,0.5688896048109966,0.5625,"[[53, 2, 42, 0], [0, 10, 1, 4], [4, 8, 16, 4], [12, 8, 8, 36]]",0.6666666666666666,0.5233923714590568,0.5,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[53, 2, 42, 0], [0, 10, 1, 4], [4, 8, 16, 4], [12, 8, 8, 36]]",,0.5233923714590568,0.5,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.6666666666666666, 'Zn': 0.5, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.1130249673450314,1.0793003806701074,1.0,fixed,1.0,,0.5897704292078157,0.5542763801496493,0.5893310904502869,0.5897704292078157,0.5168831168831168,0.5893310904502869,0.5897704292078157,0.5168831168831168,"[[357, 12, 134, 48], [2, 46, 15, 7], [32, 14, 94, 35], [42, 25, 119, 199]]",0.6571428571428571,0.5542763801496493,0.5168831168831168,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.6571428571428571, 'Zn': 0.5371428571428571, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5371428571428571,"[[357, 12, 134, 48], [2, 46, 15, 7], [32, 14, 94, 35], [42, 25, 119, 199]]",,0.5542763801496493,0.5168831168831168,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.6571428571428571, 'Zn': 0.5371428571428571, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.60725139604811,0.5545401048829415,0.5336538553237915,0.60725139604811,0.453125,0.5336538553237915,0.60725139604811,0.453125,"[[50, 1, 46, 0], [0, 13, 1, 1], [3, 2, 19, 8], [13, 6, 16, 29]]",0.8666666666666667,0.5545401048829415,0.453125,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.8666666666666667, 'Zn': 0.59375, 'Class VIII': 0.453125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.59375,"[[50, 1, 46, 0], [0, 13, 1, 1], [3, 2, 19, 8], [13, 6, 16, 29]]",,0.5545401048829415,0.453125,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.8666666666666667, 'Zn': 0.59375, 'Class VIII': 0.453125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,1.0142187006972931,1.0073307718221958,1.0,fixed,1.0,,0.613430244891225,0.6405595330225295,0.6858594417572021,0.613430244891225,0.5402597402597402,0.6858594417572021,0.613430244891225,0.5402597402597402,"[[486, 0, 40, 25], [9, 43, 3, 15], [74, 2, 73, 26], [120, 4, 53, 208]]",0.6142857142857143,0.6405595330225295,0.41714285714285715,0.8820326678765881,"{'Mn': 0.8820326678765881, 'Cu': 0.6142857142857143, 'Zn': 0.41714285714285715, 'Class VIII': 0.5402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.41714285714285715,"[[486, 0, 40, 25], [9, 43, 3, 15], [74, 2, 73, 26], [120, 4, 53, 208]]",,0.6405595330225295,0.41714285714285715,0.8820326678765881,"{'Mn': 0.8820326678765881, 'Cu': 0.6142857142857143, 'Zn': 0.41714285714285715, 'Class VIII': 0.5402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5475918170103092,0.5641657782515991,0.625,0.5475918170103092,0.515625,0.625,0.5475918170103092,0.515625,"[[80, 1, 16, 0], [2, 9, 0, 4], [12, 1, 8, 11], [19, 1, 11, 33]]",0.6,0.5641657782515991,0.25,0.8247422680412371,"{'Mn': 0.8247422680412371, 'Cu': 0.6, 'Zn': 0.25, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[80, 1, 16, 0], [2, 9, 0, 4], [12, 1, 8, 11], [19, 1, 11, 33]]",,0.5641657782515991,0.25,0.8247422680412371,"{'Mn': 0.8247422680412371, 'Cu': 0.6, 'Zn': 0.25, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.9015073127843238,1.029558973816725,1.0,fixed,1.0,,0.6437540952695218,0.6636768925795137,0.7002540230751038,0.6437540952695218,0.5168831168831168,0.7002540230751038,0.6437540952695218,0.5168831168831168,"[[487, 0, 57, 7], [3, 43, 9, 15], [58, 1, 98, 18], [111, 3, 72, 199]]",0.6142857142857143,0.6636768925795137,0.5168831168831168,0.8838475499092558,"{'Mn': 0.8838475499092558, 'Cu': 0.6142857142857143, 'Zn': 0.56, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.56,"[[487, 0, 57, 7], [3, 43, 9, 15], [58, 1, 98, 18], [111, 3, 72, 199]]",,0.6636768925795137,0.5168831168831168,0.8838475499092558,"{'Mn': 0.8838475499092558, 'Cu': 0.6142857142857143, 'Zn': 0.56, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5141672036082474,0.5176998987854251,0.5528846383094788,0.5141672036082474,0.515625,0.5528846383094788,0.5141672036082474,0.515625,"[[64, 1, 32, 0], [0, 9, 6, 0], [10, 6, 9, 7], [19, 1, 11, 33]]",0.6,0.5176998987854251,0.28125,0.6597938144329897,"{'Mn': 0.6597938144329897, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[64, 1, 32, 0], [0, 9, 6, 0], [10, 6, 9, 7], [19, 1, 11, 33]]",,0.5176998987854251,0.28125,0.6597938144329897,"{'Mn': 0.6597938144329897, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8503342983690468,0.8824215502693102,1.0,fixed,1.0,,0.6795258915313362,0.6703656022181883,0.7502116560935974,0.6795258915313362,0.7636363636363637,0.7502116560935974,0.6795258915313362,0.7636363636363637,"[[496, 0, 11, 44], [4, 59, 2, 5], [71, 12, 37, 55], [69, 9, 13, 294]]",0.8428571428571429,0.6703656022181883,0.21142857142857144,0.9001814882032668,"{'Mn': 0.9001814882032668, 'Cu': 0.8428571428571429, 'Zn': 0.21142857142857144, 'Class VIII': 0.7636363636363637}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.21142857142857144,"[[496, 0, 11, 44], [4, 59, 2, 5], [71, 12, 37, 55], [69, 9, 13, 294]]",,0.6703656022181883,0.21142857142857144,0.9001814882032668,"{'Mn': 0.9001814882032668, 'Cu': 0.8428571428571429, 'Zn': 0.21142857142857144, 'Class VIII': 0.7636363636363637}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6736522766323024,0.621483859626991,0.7307692170143127,0.6736522766323024,0.6875,0.7307692170143127,0.6736522766323024,0.6875,"[[89, 1, 3, 4], [0, 14, 1, 0], [10, 7, 5, 10], [15, 4, 1, 44]]",0.9333333333333333,0.621483859626991,0.15625,0.9175257731958762,"{'Mn': 0.9175257731958762, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[89, 1, 3, 4], [0, 14, 1, 0], [10, 7, 5, 10], [15, 4, 1, 44]]",,0.621483859626991,0.15625,0.9175257731958762,"{'Mn': 0.9175257731958762, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.799427624691177,0.9636947478239353,1.0,fixed,1.0,,0.7183925330567799,0.7330702195641842,0.7637595534324646,0.7183925330567799,0.8285714285714286,0.7637595534324646,0.7183925330567799,0.8285714285714286,"[[453, 0, 24, 74], [3, 56, 3, 8], [42, 4, 74, 55], [45, 3, 18, 319]]",0.8,0.7330702195641842,0.4228571428571429,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8, 'Zn': 0.4228571428571429, 'Class VIII': 0.8285714285714286}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4228571428571429,"[[453, 0, 24, 74], [3, 56, 3, 8], [42, 4, 74, 55], [45, 3, 18, 319]]",,0.7330702195641842,0.4228571428571429,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8, 'Zn': 0.4228571428571429, 'Class VIII': 0.8285714285714286}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5915914948453609,0.5502385431248478,0.6009615659713745,0.5915914948453609,0.6875,0.6009615659713745,0.5915914948453609,0.6875,"[[61, 1, 17, 18], [0, 12, 3, 0], [6, 7, 8, 11], [13, 4, 3, 44]]",0.8,0.5502385431248478,0.25,0.6288659793814433,"{'Mn': 0.6288659793814433, 'Cu': 0.8, 'Zn': 0.25, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[61, 1, 17, 18], [0, 12, 3, 0], [6, 7, 8, 11], [13, 4, 3, 44]]",,0.5502385431248478,0.25,0.6288659793814433,"{'Mn': 0.6288659793814433, 'Cu': 0.8, 'Zn': 0.25, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
