epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.3826122332263637,1.3677303836895869,1.0,fixed,1.0,,0.30611992363353524,0.2301628810520024,0.43437764048576355,0.30611992363353524,0.974025974025974,0.43437764048576355,0.30611992363353524,0.974025974025974,"[[138, 0, 0, 413], [4, 0, 0, 66], [14, 0, 0, 161], [10, 0, 0, 375]]",0.0,0.2301628810520024,0.0,0.25045372050816694,"{'Mn': 0.25045372050816694, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.974025974025974}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[138, 0, 0, 413], [4, 0, 0, 66], [14, 0, 0, 161], [10, 0, 0, 375]]",,0.2301628810520024,0.0,0.25045372050816694,"{'Mn': 0.25045372050816694, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.974025974025974}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2601481958762887,0.16150670794633643,0.3365384638309479,0.2601481958762887,0.9375,0.3365384638309479,0.2601481958762887,0.9375,"[[10, 0, 0, 87], [1, 0, 0, 14], [2, 0, 0, 30], [4, 0, 0, 60]]",0.0,0.16150670794633643,0.0,0.10309278350515463,"{'Mn': 0.10309278350515463, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[10, 0, 0, 87], [1, 0, 0, 14], [2, 0, 0, 30], [4, 0, 0, 60]]",,0.16150670794633643,0.0,0.10309278350515463,"{'Mn': 0.10309278350515463, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3636570419814136,1.3287912744742174,1.0,fixed,1.0,,0.2854104697480378,0.2501660987410812,0.4851820468902588,0.2854104697480378,0.3246753246753247,0.4851820468902588,0.2854104697480378,0.3246753246753247,"[[447, 0, 1, 103], [49, 0, 0, 21], [114, 0, 1, 60], [260, 0, 0, 125]]",0.0,0.2501660987410812,0.0,0.8112522686025408,"{'Mn': 0.8112522686025408, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.3246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.005714285714285714,"[[447, 0, 1, 103], [49, 0, 0, 21], [114, 0, 1, 60], [260, 0, 0, 125]]",,0.2501660987410812,0.0,0.8112522686025408,"{'Mn': 0.8112522686025408, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.3246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.27806862113402064,0.2428562316622018,0.45673078298568726,0.27806862113402064,0.390625,0.45673078298568726,0.27806862113402064,0.390625,"[[70, 0, 1, 26], [10, 0, 0, 5], [18, 0, 0, 14], [39, 0, 0, 25]]",0.0,0.2428562316622018,0.0,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[70, 0, 1, 26], [10, 0, 0, 5], [18, 0, 0, 14], [39, 0, 0, 25]]",,0.2428562316622018,0.0,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.3368253868979376,1.374286990899306,1.0,fixed,1.0,,0.31075753647441484,0.2548107456015023,0.4005080461502075,0.31075753647441484,0.8753246753246753,0.4005080461502075,0.31075753647441484,0.8753246753246753,"[[105, 0, 115, 331], [7, 0, 20, 43], [5, 0, 31, 139], [5, 0, 43, 337]]",0.0,0.2548107456015023,0.0,0.19056261343012704,"{'Mn': 0.19056261343012704, 'Cu': 0.0, 'Zn': 0.17714285714285713, 'Class VIII': 0.8753246753246753}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.17714285714285713,"[[105, 0, 115, 331], [7, 0, 20, 43], [5, 0, 31, 139], [5, 0, 43, 337]]",,0.2548107456015023,0.0,0.19056261343012704,"{'Mn': 0.19056261343012704, 'Cu': 0.0, 'Zn': 0.17714285714285713, 'Class VIII': 0.8753246753246753}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.28741140463917525,0.22056821896638829,0.3509615361690521,0.28741140463917525,0.859375,0.3509615361690521,0.28741140463917525,0.859375,"[[13, 0, 27, 57], [4, 0, 5, 6], [0, 0, 5, 27], [1, 0, 8, 55]]",0.0,0.22056821896638829,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[13, 0, 27, 57], [4, 0, 5, 6], [0, 0, 5, 27], [1, 0, 8, 55]]",,0.22056821896638829,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.3113874148678135,1.2629915659244244,1.0,fixed,1.0,,0.39951893841186037,0.342383883455312,0.42252328991889954,0.39951893841186037,0.03116883116883117,0.42252328991889954,0.39951893841186037,0.03116883116883117,"[[347, 2, 195, 7], [19, 16, 33, 2], [50, 0, 124, 1], [113, 3, 257, 12]]",0.22857142857142856,0.342383883455312,0.03116883116883117,0.6297640653357531,"{'Mn': 0.6297640653357531, 'Cu': 0.22857142857142856, 'Zn': 0.7085714285714285, 'Class VIII': 0.03116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7085714285714285,"[[347, 2, 195, 7], [19, 16, 33, 2], [50, 0, 124, 1], [113, 3, 257, 12]]",,0.342383883455312,0.03116883116883117,0.6297640653357531,"{'Mn': 0.6297640653357531, 'Cu': 0.22857142857142856, 'Zn': 0.7085714285714285, 'Class VIII': 0.03116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3800767826460481,0.33164804194728803,0.3076923191547394,0.3800767826460481,0.015625,0.3076923191547394,0.3800767826460481,0.015625,"[[34, 1, 62, 0], [2, 7, 6, 0], [8, 0, 22, 2], [21, 0, 42, 1]]",0.4666666666666667,0.33164804194728803,0.015625,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.4666666666666667, 'Zn': 0.6875, 'Class VIII': 0.015625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[34, 1, 62, 0], [2, 7, 6, 0], [8, 0, 22, 2], [21, 0, 42, 1]]",,0.33164804194728803,0.015625,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.4666666666666667, 'Zn': 0.6875, 'Class VIII': 0.015625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.207453881566589,1.1135850938466878,1.0,fixed,1.0,,0.570980271996606,0.5755839366294464,0.6418289542198181,0.570980271996606,0.7090909090909091,0.6418289542198181,0.570980271996606,0.7090909090909091,"[[386, 11, 94, 60], [4, 36, 8, 22], [45, 3, 63, 64], [40, 9, 63, 273]]",0.5142857142857142,0.5755839366294464,0.36,0.7005444646098004,"{'Mn': 0.7005444646098004, 'Cu': 0.5142857142857142, 'Zn': 0.36, 'Class VIII': 0.7090909090909091}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.36,"[[386, 11, 94, 60], [4, 36, 8, 22], [45, 3, 63, 64], [40, 9, 63, 273]]",,0.5755839366294464,0.36,0.7005444646098004,"{'Mn': 0.7005444646098004, 'Cu': 0.5142857142857142, 'Zn': 0.36, 'Class VIII': 0.7090909090909091}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5264497422680412,0.5353136347569009,0.5096153616905212,0.5264497422680412,0.625,0.5096153616905212,0.5264497422680412,0.625,"[[43, 1, 53, 0], [0, 9, 6, 0], [5, 2, 14, 11], [19, 0, 5, 40]]",0.6,0.5353136347569009,0.4375,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.6, 'Zn': 0.4375, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.4375,"[[43, 1, 53, 0], [0, 9, 6, 0], [5, 2, 14, 11], [19, 0, 5, 40]]",,0.5353136347569009,0.4375,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.6, 'Zn': 0.4375, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.0879062075872679,1.1181458979845047,1.0,fixed,1.0,,0.5383643670304287,0.46708157379506143,0.49195596575737,0.5383643670304287,0.5064935064935064,0.49195596575737,0.5383643670304287,0.5064935064935064,"[[251, 33, 213, 54], [0, 49, 11, 10], [26, 23, 86, 40], [26, 59, 105, 195]]",0.7,0.46708157379506143,0.455535390199637,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.7, 'Zn': 0.49142857142857144, 'Class VIII': 0.5064935064935064}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.49142857142857144,"[[251, 33, 213, 54], [0, 49, 11, 10], [26, 23, 86, 40], [26, 59, 105, 195]]",,0.46708157379506143,0.455535390199637,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.7, 'Zn': 0.49142857142857144, 'Class VIII': 0.5064935064935064}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5425767826460481,0.467830197971043,0.4375,0.5425767826460481,0.421875,0.4375,0.5425767826460481,0.421875,"[[34, 2, 61, 0], [0, 13, 2, 0], [2, 4, 17, 9], [9, 10, 18, 27]]",0.8666666666666667,0.467830197971043,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.8666666666666667, 'Zn': 0.53125, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[34, 2, 61, 0], [0, 13, 2, 0], [2, 4, 17, 9], [9, 10, 18, 27]]",,0.467830197971043,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.8666666666666667, 'Zn': 0.53125, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,0.9699376545645095,1.0232800119198286,1.0,fixed,1.0,,0.5931705046314847,0.627445705164644,0.6883996725082397,0.5931705046314847,0.5792207792207792,0.6883996725082397,0.5931705046314847,0.5792207792207792,"[[486, 0, 44, 21], [8, 37, 6, 19], [77, 0, 67, 31], [95, 2, 65, 223]]",0.5285714285714286,0.627445705164644,0.38285714285714284,0.8820326678765881,"{'Mn': 0.8820326678765881, 'Cu': 0.5285714285714286, 'Zn': 0.38285714285714284, 'Class VIII': 0.5792207792207792}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.38285714285714284,"[[486, 0, 44, 21], [8, 37, 6, 19], [77, 0, 67, 31], [95, 2, 65, 223]]",,0.627445705164644,0.38285714285714284,0.8820326678765881,"{'Mn': 0.8820326678765881, 'Cu': 0.5285714285714286, 'Zn': 0.38285714285714284, 'Class VIII': 0.5792207792207792}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5914867912371133,0.612384651858336,0.6971153616905212,0.5914867912371133,0.515625,0.6971153616905212,0.5914867912371133,0.515625,"[[94, 1, 2, 0], [1, 9, 3, 2], [10, 1, 9, 12], [20, 0, 11, 33]]",0.6,0.612384651858336,0.28125,0.9690721649484536,"{'Mn': 0.9690721649484536, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[94, 1, 2, 0], [1, 9, 3, 2], [10, 1, 9, 12], [20, 0, 11, 33]]",,0.612384651858336,0.28125,0.9690721649484536,"{'Mn': 0.9690721649484536, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.8994689152852909,1.020250810453525,1.0,fixed,1.0,,0.6834417941405238,0.6916843328760832,0.7222692370414734,0.6834417941405238,0.6,0.7222692370414734,0.6834417941405238,0.6,"[[472, 0, 60, 19], [3, 49, 5, 13], [49, 2, 101, 23], [57, 5, 92, 231]]",0.7,0.6916843328760832,0.5771428571428572,0.8566243194192378,"{'Mn': 0.8566243194192378, 'Cu': 0.7, 'Zn': 0.5771428571428572, 'Class VIII': 0.6}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5771428571428572,"[[472, 0, 60, 19], [3, 49, 5, 13], [49, 2, 101, 23], [57, 5, 92, 231]]",,0.6916843328760832,0.5771428571428572,0.8566243194192378,"{'Mn': 0.8566243194192378, 'Cu': 0.7, 'Zn': 0.5771428571428572, 'Class VIII': 0.6}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5194372852233677,0.4998229439961983,0.5144230723381042,0.5194372852233677,0.53125,0.5144230723381042,0.5194372852233677,0.53125,"[[52, 1, 44, 0], [0, 10, 5, 0], [5, 9, 11, 7], [16, 3, 11, 34]]",0.6666666666666666,0.4998229439961983,0.34375,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.6666666666666666, 'Zn': 0.34375, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[52, 1, 44, 0], [0, 10, 5, 0], [5, 9, 11, 7], [16, 3, 11, 34]]",,0.4998229439961983,0.34375,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.6666666666666666, 'Zn': 0.34375, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8443777426271826,0.9453472552391199,1.0,fixed,1.0,,0.6861198057840526,0.6632806587802391,0.7442845106124878,0.6861198057840526,0.8337662337662337,0.7442845106124878,0.6861198057840526,0.8337662337662337,"[[453, 7, 27, 64], [1, 57, 3, 9], [37, 16, 48, 74], [35, 12, 17, 321]]",0.8142857142857143,0.6632806587802391,0.2742857142857143,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8142857142857143, 'Zn': 0.2742857142857143, 'Class VIII': 0.8337662337662337}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2742857142857143,"[[453, 7, 27, 64], [1, 57, 3, 9], [37, 16, 48, 74], [35, 12, 17, 321]]",,0.6632806587802391,0.2742857142857143,0.822141560798548,"{'Mn': 0.822141560798548, 'Cu': 0.8142857142857143, 'Zn': 0.2742857142857143, 'Class VIII': 0.8337662337662337}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6364019544673539,0.5623505806010929,0.6538461446762085,0.6364019544673539,0.734375,0.6538461446762085,0.6364019544673539,0.734375,"[[70, 1, 16, 10], [0, 14, 1, 0], [7, 13, 5, 7], [9, 6, 2, 47]]",0.9333333333333333,0.5623505806010929,0.15625,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[70, 1, 16, 10], [0, 14, 1, 0], [7, 13, 5, 7], [9, 6, 2, 47]]",,0.5623505806010929,0.15625,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.8032139210483512,1.0277412195618336,1.0,fixed,1.0,,0.7614395314304571,0.7510261923554133,0.7713801860809326,0.7614395314304571,0.7298701298701299,0.7713801860809326,0.7614395314304571,0.7298701298701299,"[[459, 0, 66, 26], [2, 59, 6, 3], [31, 5, 112, 27], [36, 6, 62, 281]]",0.8428571428571429,0.7510261923554133,0.64,0.8330308529945554,"{'Mn': 0.8330308529945554, 'Cu': 0.8428571428571429, 'Zn': 0.64, 'Class VIII': 0.7298701298701299}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.64,"[[459, 0, 66, 26], [2, 59, 6, 3], [31, 5, 112, 27], [36, 6, 62, 281]]",,0.7510261923554133,0.64,0.8330308529945554,"{'Mn': 0.8330308529945554, 'Cu': 0.8428571428571429, 'Zn': 0.64, 'Class VIII': 0.7298701298701299}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5863106743986255,0.5328105666441602,0.5528846383094788,0.5863106743986255,0.578125,0.5528846383094788,0.5863106743986255,0.578125,"[[54, 1, 40, 2], [0, 13, 2, 0], [6, 11, 11, 4], [11, 6, 10, 37]]",0.8666666666666667,0.5328105666441602,0.34375,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[54, 1, 40, 2], [0, 13, 2, 0], [6, 11, 11, 4], [11, 6, 10, 37]]",,0.5328105666441602,0.34375,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
