epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.3816720617784035,1.3680745638333833,1.0,fixed,1.0,,0.3062990548471492,0.23690671031096563,0.43945807218551636,0.3062990548471492,0.9402597402597402,0.43945807218551636,0.3062990548471492,0.9402597402597402,"[[157, 0, 0, 394], [3, 0, 0, 67], [20, 0, 0, 155], [23, 0, 0, 362]]",0.0,0.23690671031096563,0.0,0.2849364791288566,"{'Mn': 0.2849364791288566, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[157, 0, 0, 394], [3, 0, 0, 67], [20, 0, 0, 155], [23, 0, 0, 362]]",,0.23690671031096563,0.0,0.2849364791288566,"{'Mn': 0.2849364791288566, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9402597402597402}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.26912854381443296,0.18093508397760596,0.35576921701431274,0.26912854381443296,0.921875,0.35576921701431274,0.26912854381443296,0.921875,"[[15, 0, 0, 82], [1, 0, 0, 14], [3, 0, 0, 29], [5, 0, 0, 59]]",0.0,0.18093508397760596,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[15, 0, 0, 82], [1, 0, 0, 14], [3, 0, 0, 29], [5, 0, 0, 59]]",,0.18093508397760596,0.0,0.15463917525773196,"{'Mn': 0.15463917525773196, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.921875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3633430431018005,1.3294046337787921,1.0,fixed,1.0,,0.2928821269474627,0.25842816217561915,0.4936494529247284,0.2928821269474627,0.36363636363636365,0.4936494529247284,0.2928821269474627,0.36363636363636365,"[[442, 0, 1, 108], [48, 0, 0, 22], [107, 0, 1, 67], [245, 0, 0, 140]]",0.0,0.25842816217561915,0.0,0.8021778584392014,"{'Mn': 0.8021778584392014, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.36363636363636365}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.005714285714285714,"[[442, 0, 1, 108], [48, 0, 0, 22], [107, 0, 1, 67], [245, 0, 0, 140]]",,0.25842816217561915,0.0,0.8021778584392014,"{'Mn': 0.8021778584392014, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.36363636363636365}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.27806862113402064,0.24280718486727068,0.45673078298568726,0.27806862113402064,0.390625,0.45673078298568726,0.27806862113402064,0.390625,"[[70, 0, 1, 26], [10, 0, 0, 5], [17, 0, 0, 15], [39, 0, 0, 25]]",0.0,0.24280718486727068,0.0,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[70, 0, 1, 26], [10, 0, 0, 5], [17, 0, 0, 15], [39, 0, 0, 25]]",,0.24280718486727068,0.0,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.390625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.337921357638127,1.3783981387431805,1.0,fixed,1.0,,0.3106260164517878,0.2541468291256865,0.40389499068260193,0.3106260164517878,0.8883116883116883,0.40389499068260193,0.3106260164517878,0.8883116883116883,"[[107, 0, 102, 342], [9, 0, 18, 43], [7, 0, 28, 140], [6, 0, 37, 342]]",0.0,0.2541468291256865,0.0,0.19419237749546278,"{'Mn': 0.19419237749546278, 'Cu': 0.0, 'Zn': 0.16, 'Class VIII': 0.8883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.16,"[[107, 0, 102, 342], [9, 0, 18, 43], [7, 0, 28, 140], [6, 0, 37, 342]]",,0.2541468291256865,0.0,0.19419237749546278,"{'Mn': 0.19419237749546278, 'Cu': 0.0, 'Zn': 0.16, 'Class VIII': 0.8883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.29913015463917525,0.22649528410397976,0.36538460850715637,0.29913015463917525,0.90625,0.36538460850715637,0.29913015463917525,0.90625,"[[13, 0, 23, 61], [4, 0, 5, 6], [0, 0, 5, 27], [1, 0, 5, 58]]",0.0,0.22649528410397976,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[13, 0, 23, 61], [4, 0, 5, 6], [0, 0, 5, 27], [1, 0, 5, 58]]",,0.22649528410397976,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.90625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.31419822493115,1.2719843571002667,1.0,fixed,1.0,,0.4049668842953779,0.35183481612433926,0.43014395236968994,0.4049668842953779,0.04415584415584416,0.43014395236968994,0.4049668842953779,0.04415584415584416,"[[355, 6, 184, 6], [19, 18, 31, 2], [52, 1, 118, 4], [117, 4, 247, 17]]",0.2571428571428571,0.35183481612433926,0.04415584415584416,0.6442831215970962,"{'Mn': 0.6442831215970962, 'Cu': 0.2571428571428571, 'Zn': 0.6742857142857143, 'Class VIII': 0.04415584415584416}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6742857142857143,"[[355, 6, 184, 6], [19, 18, 31, 2], [52, 1, 118, 4], [117, 4, 247, 17]]",,0.35183481612433926,0.04415584415584416,0.6442831215970962,"{'Mn': 0.6442831215970962, 'Cu': 0.2571428571428571, 'Zn': 0.6742857142857143, 'Class VIII': 0.04415584415584416}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.38265410223367696,0.3337115112477431,0.3125,0.38265410223367696,0.015625,0.3125,0.38265410223367696,0.015625,"[[35, 1, 61, 0], [2, 7, 6, 0], [9, 0, 22, 1], [22, 0, 41, 1]]",0.4666666666666667,0.3337115112477431,0.015625,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.4666666666666667, 'Zn': 0.6875, 'Class VIII': 0.015625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[35, 1, 61, 0], [2, 7, 6, 0], [9, 0, 22, 1], [22, 0, 41, 1]]",,0.3337115112477431,0.015625,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.4666666666666667, 'Zn': 0.6875, 'Class VIII': 0.015625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.2193131233389314,1.1268367675634532,1.0,fixed,1.0,,0.5234987154406392,0.5380465475716644,0.6223539113998413,0.5234987154406392,0.6597402597402597,0.6223539113998413,0.5234987154406392,0.6597402597402597,"[[403, 8, 79, 61], [4, 30, 15, 21], [63, 3, 48, 61], [74, 8, 49, 254]]",0.42857142857142855,0.5380465475716644,0.2742857142857143,0.7313974591651543,"{'Mn': 0.7313974591651543, 'Cu': 0.42857142857142855, 'Zn': 0.2742857142857143, 'Class VIII': 0.6597402597402597}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2742857142857143,"[[403, 8, 79, 61], [4, 30, 15, 21], [63, 3, 48, 61], [74, 8, 49, 254]]",,0.5380465475716644,0.2742857142857143,0.7313974591651543,"{'Mn': 0.7313974591651543, 'Cu': 0.42857142857142855, 'Zn': 0.2742857142857143, 'Class VIII': 0.6597402597402597}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.498864368556701,0.529539889002375,0.5192307829856873,0.498864368556701,0.609375,0.5192307829856873,0.498864368556701,0.609375,"[[52, 1, 44, 0], [0, 9, 5, 1], [13, 1, 8, 10], [20, 0, 5, 39]]",0.6,0.529539889002375,0.25,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.6, 'Zn': 0.25, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[52, 1, 44, 0], [0, 9, 5, 1], [13, 1, 8, 10], [20, 0, 5, 39]]",,0.529539889002375,0.25,0.5360824742268041,"{'Mn': 0.5360824742268041, 'Cu': 0.6, 'Zn': 0.25, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.1029590505200464,1.1389422886646712,1.0,fixed,1.0,,0.5384532255403399,0.45767539092735915,0.4724809527397156,0.5384532255403399,0.4909090909090909,0.4724809527397156,0.5384532255403399,0.4909090909090909,"[[222, 40, 242, 47], [0, 49, 14, 7], [22, 20, 98, 35], [17, 59, 120, 189]]",0.7,0.45767539092735915,0.4029038112522686,0.4029038112522686,"{'Mn': 0.4029038112522686, 'Cu': 0.7, 'Zn': 0.56, 'Class VIII': 0.4909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.56,"[[222, 40, 242, 47], [0, 49, 14, 7], [22, 20, 98, 35], [17, 59, 120, 189]]",,0.45767539092735915,0.4029038112522686,0.4029038112522686,"{'Mn': 0.4029038112522686, 'Cu': 0.7, 'Zn': 0.56, 'Class VIII': 0.4909090909090909}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5103200171821306,0.4167326361881716,0.3798076808452606,0.5103200171821306,0.40625,0.3798076808452606,0.5103200171821306,0.40625,"[[23, 2, 72, 0], [0, 13, 2, 0], [2, 8, 17, 5], [4, 12, 22, 26]]",0.8666666666666667,0.4167326361881716,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.8666666666666667, 'Zn': 0.53125, 'Class VIII': 0.40625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.53125,"[[23, 2, 72, 0], [0, 13, 2, 0], [2, 8, 17, 5], [4, 12, 22, 26]]",,0.4167326361881716,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.8666666666666667, 'Zn': 0.53125, 'Class VIII': 0.40625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,0.9719758345871359,1.0372460014545,1.0,fixed,1.0,,0.5920041483017889,0.626297224179539,0.6858594417572021,0.5920041483017889,0.5714285714285714,0.6858594417572021,0.5920041483017889,0.5714285714285714,"[[483, 0, 52, 16], [7, 36, 8, 19], [82, 0, 71, 22], [82, 1, 82, 220]]",0.5142857142857142,0.626297224179539,0.4057142857142857,0.8765880217785844,"{'Mn': 0.8765880217785844, 'Cu': 0.5142857142857142, 'Zn': 0.4057142857142857, 'Class VIII': 0.5714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4057142857142857,"[[483, 0, 52, 16], [7, 36, 8, 19], [82, 0, 71, 22], [82, 1, 82, 220]]",,0.626297224179539,0.4057142857142857,0.8765880217785844,"{'Mn': 0.8765880217785844, 'Cu': 0.5142857142857142, 'Zn': 0.4057142857142857, 'Class VIII': 0.5714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5812580541237113,0.6018680867942559,0.6730769276618958,0.5812580541237113,0.546875,0.6730769276618958,0.5812580541237113,0.546875,"[[87, 1, 9, 0], [1, 9, 1, 4], [10, 1, 9, 12], [17, 0, 12, 35]]",0.6,0.6018680867942559,0.28125,0.8969072164948454,"{'Mn': 0.8969072164948454, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[87, 1, 9, 0], [1, 9, 1, 4], [10, 1, 9, 12], [17, 0, 12, 35]]",,0.6018680867942559,0.28125,0.8969072164948454,"{'Mn': 0.8969072164948454, 'Cu': 0.6, 'Zn': 0.28125, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.9006705711016784,1.045009892147321,1.0,fixed,1.0,,0.7137213331133476,0.6985056825404736,0.7281964421272278,0.7137213331133476,0.638961038961039,0.7281964421272278,0.7137213331133476,0.638961038961039,"[[448, 4, 81, 18], [1, 53, 6, 10], [34, 6, 113, 22], [42, 8, 89, 246]]",0.7571428571428571,0.6985056825404736,0.638961038961039,0.8130671506352087,"{'Mn': 0.8130671506352087, 'Cu': 0.7571428571428571, 'Zn': 0.6457142857142857, 'Class VIII': 0.638961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6457142857142857,"[[448, 4, 81, 18], [1, 53, 6, 10], [34, 6, 113, 22], [42, 8, 89, 246]]",,0.6985056825404736,0.638961038961039,0.8130671506352087,"{'Mn': 0.8130671506352087, 'Cu': 0.7571428571428571, 'Zn': 0.6457142857142857, 'Class VIII': 0.638961038961039}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5370543384879725,0.46972746340113936,0.44711539149284363,0.5370543384879725,0.5,0.44711539149284363,0.5370543384879725,0.5,"[[36, 1, 60, 0], [0, 14, 1, 0], [3, 12, 11, 6], [15, 6, 11, 32]]",0.9333333333333333,0.46972746340113936,0.34375,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.34375, 'Class VIII': 0.5}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[36, 1, 60, 0], [0, 14, 1, 0], [3, 12, 11, 6], [15, 6, 11, 32]]",,0.46972746340113936,0.34375,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.34375, 'Class VIII': 0.5}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8436792026701811,1.1037158112113292,1.0,fixed,1.0,,0.6322049638202089,0.6156892043781355,0.701100766658783,0.6322049638202089,0.8883116883116883,0.701100766658783,0.6322049638202089,0.8883116883116883,"[[397, 11, 31, 112], [0, 48, 4, 18], [28, 13, 41, 93], [21, 9, 13, 342]]",0.6857142857142857,0.6156892043781355,0.2342857142857143,0.720508166969147,"{'Mn': 0.720508166969147, 'Cu': 0.6857142857142857, 'Zn': 0.2342857142857143, 'Class VIII': 0.8883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2342857142857143,"[[397, 11, 31, 112], [0, 48, 4, 18], [28, 13, 41, 93], [21, 9, 13, 342]]",,0.6156892043781355,0.2342857142857143,0.720508166969147,"{'Mn': 0.720508166969147, 'Cu': 0.6857142857142857, 'Zn': 0.2342857142857143, 'Class VIII': 0.8883116883116883}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.56428264604811,0.4805295021673986,0.5625,0.56428264604811,0.8125,0.5625,0.56428264604811,0.8125,"[[50, 3, 11, 33], [0, 13, 0, 2], [5, 11, 2, 14], [7, 3, 2, 52]]",0.8666666666666667,0.4805295021673986,0.0625,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.8666666666666667, 'Zn': 0.0625, 'Class VIII': 0.8125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0625,"[[50, 3, 11, 33], [0, 13, 0, 2], [5, 11, 2, 14], [7, 3, 2, 52]]",,0.4805295021673986,0.0625,0.5154639175257731,"{'Mn': 0.5154639175257731, 'Cu': 0.8666666666666667, 'Zn': 0.0625, 'Class VIII': 0.8125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.8176145173005156,1.0172107523450484,1.0,fixed,1.0,,0.7067273198670658,0.699408013321539,0.7459779977798462,0.7067273198670658,0.8441558441558441,0.7459779977798462,0.7067273198670658,0.8441558441558441,"[[425, 6, 49, 71], [0, 54, 4, 12], [32, 7, 77, 59], [24, 7, 29, 325]]",0.7714285714285715,0.699408013321539,0.44,0.7713248638838476,"{'Mn': 0.7713248638838476, 'Cu': 0.7714285714285715, 'Zn': 0.44, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.44,"[[425, 6, 49, 71], [0, 54, 4, 12], [32, 7, 77, 59], [24, 7, 29, 325]]",,0.699408013321539,0.44,0.7713248638838476,"{'Mn': 0.7713248638838476, 'Cu': 0.7714285714285715, 'Zn': 0.44, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5990710910652921,0.5212111925044752,0.5721153616905212,0.5990710910652921,0.6875,0.5721153616905212,0.5990710910652921,0.6875,"[[54, 1, 31, 11], [0, 14, 0, 1], [4, 16, 7, 5], [11, 6, 3, 44]]",0.9333333333333333,0.5212111925044752,0.21875,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[54, 1, 31, 11], [0, 14, 0, 1], [4, 16, 7, 5], [11, 6, 3, 44]]",,0.5212111925044752,0.21875,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.9333333333333333, 'Zn': 0.21875, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
