epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.382628456966297,1.3676167222169728,1.0,fixed,1.0,,0.30592429349235156,0.2304245484807424,0.43437764048576355,0.30592429349235156,0.9714285714285714,0.43437764048576355,0.30592429349235156,0.9714285714285714,"[[139, 0, 0, 412], [4, 0, 0, 66], [14, 0, 0, 161], [11, 0, 0, 374]]",0.0,0.2304245484807424,0.0,0.25226860254083483,"{'Mn': 0.25226860254083483, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[139, 0, 0, 412], [4, 0, 0, 66], [14, 0, 0, 161], [11, 0, 0, 374]]",,0.2304245484807424,0.0,0.25226860254083483,"{'Mn': 0.25226860254083483, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9714285714285714}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2653028350515464,0.17032967032967034,0.3461538553237915,0.2653028350515464,0.9375,0.3461538553237915,0.2653028350515464,0.9375,"[[12, 0, 0, 85], [1, 0, 0, 14], [3, 0, 0, 29], [4, 0, 0, 60]]",0.0,0.17032967032967034,0.0,0.12371134020618557,"{'Mn': 0.12371134020618557, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[12, 0, 0, 85], [1, 0, 0, 14], [3, 0, 0, 29], [4, 0, 0, 60]]",,0.17032967032967034,0.0,0.12371134020618557,"{'Mn': 0.12371134020618557, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.9375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3640629488068658,1.3304168261014497,1.0,fixed,1.0,,0.29249086666509533,0.2578370914961389,0.4936494529247284,0.29249086666509533,0.35844155844155845,0.4936494529247284,0.29249086666509533,0.35844155844155845,"[[444, 0, 1, 106], [48, 0, 0, 22], [107, 0, 1, 67], [247, 0, 0, 138]]",0.0,0.2578370914961389,0.0,0.8058076225045372,"{'Mn': 0.8058076225045372, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.35844155844155845}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.005714285714285714,"[[444, 0, 1, 106], [48, 0, 0, 22], [107, 0, 1, 67], [247, 0, 0, 138]]",,0.2578370914961389,0.0,0.8058076225045372,"{'Mn': 0.8058076225045372, 'Cu': 0.0, 'Zn': 0.005714285714285714, 'Class VIII': 0.35844155844155845}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2793975515463918,0.24359740750062922,0.45673078298568726,0.2793975515463918,0.40625,0.45673078298568726,0.2793975515463918,0.40625,"[[69, 0, 0, 28], [10, 0, 0, 5], [18, 0, 0, 14], [38, 0, 0, 26]]",0.0,0.24359740750062922,0.0,0.711340206185567,"{'Mn': 0.711340206185567, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.40625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[69, 0, 0, 28], [10, 0, 0, 5], [18, 0, 0, 14], [38, 0, 0, 26]]",,0.24359740750062922,0.0,0.711340206185567,"{'Mn': 0.711340206185567, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.40625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.33758785595765,1.371658247250777,1.0,fixed,1.0,,0.31212034789167276,0.2546123091084867,0.4055884778499603,0.31212034789167276,0.8961038961038961,0.4055884778499603,0.31212034789167276,0.8961038961038961,"[[106, 0, 105, 340], [10, 0, 16, 44], [6, 0, 28, 141], [6, 0, 34, 345]]",0.0,0.2546123091084867,0.0,0.19237749546279492,"{'Mn': 0.19237749546279492, 'Cu': 0.0, 'Zn': 0.16, 'Class VIII': 0.8961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.16,"[[106, 0, 105, 340], [10, 0, 16, 44], [6, 0, 28, 141], [6, 0, 34, 345]]",,0.2546123091084867,0.0,0.19237749546279492,"{'Mn': 0.19237749546279492, 'Cu': 0.0, 'Zn': 0.16, 'Class VIII': 0.8961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.29131765463917525,0.2222121040418758,0.35576921701431274,0.29131765463917525,0.875,0.35576921701431274,0.29131765463917525,0.875,"[[13, 0, 24, 60], [4, 0, 5, 6], [0, 0, 5, 27], [2, 0, 6, 56]]",0.0,0.2222121040418758,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[13, 0, 24, 60], [4, 0, 5, 6], [0, 0, 5, 27], [2, 0, 6, 56]]",,0.2222121040418758,0.0,0.13402061855670103,"{'Mn': 0.13402061855670103, 'Cu': 0.0, 'Zn': 0.15625, 'Class VIII': 0.875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.3127058953852266,1.2726428760932043,1.0,fixed,1.0,,0.4167660923468546,0.3648478774796999,0.44961896538734436,0.4167660923468546,0.046753246753246755,0.44961896538734436,0.4167660923468546,0.046753246753246755,"[[378, 6, 161, 6], [18, 19, 31, 2], [55, 1, 116, 3], [126, 4, 237, 18]]",0.2714285714285714,0.3648478774796999,0.046753246753246755,0.6860254083484574,"{'Mn': 0.6860254083484574, 'Cu': 0.2714285714285714, 'Zn': 0.6628571428571428, 'Class VIII': 0.046753246753246755}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6628571428571428,"[[378, 6, 161, 6], [18, 19, 31, 2], [55, 1, 116, 3], [126, 4, 237, 18]]",,0.3648478774796999,0.046753246753246755,0.6860254083484574,"{'Mn': 0.6860254083484574, 'Cu': 0.2714285714285714, 'Zn': 0.6628571428571428, 'Class VIII': 0.046753246753246755}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3836957689003436,0.34164939352065105,0.3076923191547394,0.3836957689003436,0.015625,0.3076923191547394,0.3836957689003436,0.015625,"[[35, 1, 61, 0], [1, 8, 6, 0], [12, 0, 20, 0], [22, 0, 41, 1]]",0.5333333333333333,0.34164939352065105,0.015625,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.015625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[35, 1, 61, 0], [1, 8, 6, 0], [12, 0, 20, 0], [22, 0, 41, 1]]",,0.34164939352065105,0.015625,0.36082474226804123,"{'Mn': 0.36082474226804123, 'Cu': 0.5333333333333333, 'Zn': 0.625, 'Class VIII': 0.015625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.211916148259833,1.1219587440674121,1.0,fixed,1.0,,0.5250783699059561,0.5488875560589511,0.6511430740356445,0.5250783699059561,0.6441558441558441,0.6511430740356445,0.5250783699059561,0.6441558441558441,"[[456, 2, 36, 57], [6, 30, 14, 20], [81, 3, 35, 56], [94, 5, 38, 248]]",0.42857142857142855,0.5488875560589511,0.2,0.8275862068965517,"{'Mn': 0.8275862068965517, 'Cu': 0.42857142857142855, 'Zn': 0.2, 'Class VIII': 0.6441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2,"[[456, 2, 36, 57], [6, 30, 14, 20], [81, 3, 35, 56], [94, 5, 38, 248]]",,0.5488875560589511,0.2,0.8275862068965517,"{'Mn': 0.8275862068965517, 'Cu': 0.42857142857142855, 'Zn': 0.2, 'Class VIII': 0.6441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5309600515463917,0.5595644910066484,0.5913461446762085,0.5309600515463917,0.59375,0.5913461446762085,0.5309600515463917,0.59375,"[[69, 1, 27, 0], [0, 9, 6, 0], [14, 1, 7, 10], [22, 0, 4, 38]]",0.6,0.5595644910066484,0.21875,0.711340206185567,"{'Mn': 0.711340206185567, 'Cu': 0.6, 'Zn': 0.21875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.21875,"[[69, 1, 27, 0], [0, 9, 6, 0], [14, 1, 7, 10], [22, 0, 4, 38]]",,0.5595644910066484,0.21875,0.711340206185567,"{'Mn': 0.711340206185567, 'Cu': 0.6, 'Zn': 0.21875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,1.100546789330405,1.1041938398893063,1.0,fixed,1.0,,0.6257862917481792,0.5573992700580491,0.6071126461029053,0.6257862917481792,0.44155844155844154,0.6071126461029053,0.6257862917481792,0.44155844155844154,"[[385, 21, 125, 20], [1, 51, 11, 7], [34, 13, 111, 17], [30, 52, 133, 170]]",0.7285714285714285,0.5573992700580491,0.44155844155844154,0.6987295825771325,"{'Mn': 0.6987295825771325, 'Cu': 0.7285714285714285, 'Zn': 0.6342857142857142, 'Class VIII': 0.44155844155844154}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6342857142857142,"[[385, 21, 125, 20], [1, 51, 11, 7], [34, 13, 111, 17], [30, 52, 133, 170]]",,0.5573992700580491,0.44155844155844154,0.6987295825771325,"{'Mn': 0.6987295825771325, 'Cu': 0.7285714285714285, 'Zn': 0.6342857142857142, 'Class VIII': 0.44155844155844154}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5102045747422681,0.44051436061417915,0.42307692766189575,0.5102045747422681,0.359375,0.42307692766189575,0.5102045747422681,0.359375,"[[37, 1, 59, 0], [0, 12, 3, 0], [4, 9, 16, 3], [7, 11, 23, 23]]",0.8,0.44051436061417915,0.359375,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.8, 'Zn': 0.5, 'Class VIII': 0.359375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[37, 1, 59, 0], [0, 12, 3, 0], [4, 9, 16, 3], [7, 11, 23, 23]]",,0.44051436061417915,0.359375,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.8, 'Zn': 0.5, 'Class VIII': 0.359375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,0.9783029181731714,1.0550827257908308,1.0,fixed,1.0,,0.5732395644283121,0.6059301580290244,0.6646909117698669,0.5732395644283121,0.5142857142857142,0.6646909117698669,0.5732395644283121,0.5142857142857142,"[[481, 0, 54, 16], [7, 35, 9, 19], [82, 0, 71, 22], [88, 1, 98, 198]]",0.5,0.6059301580290244,0.4057142857142857,0.8729582577132486,"{'Mn': 0.8729582577132486, 'Cu': 0.5, 'Zn': 0.4057142857142857, 'Class VIII': 0.5142857142857142}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4057142857142857,"[[481, 0, 54, 16], [7, 35, 9, 19], [82, 0, 71, 22], [88, 1, 98, 198]]",,0.6059301580290244,0.4057142857142857,0.8729582577132486,"{'Mn': 0.8729582577132486, 'Cu': 0.5, 'Zn': 0.4057142857142857, 'Class VIII': 0.5142857142857142}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5554043170103092,0.5775156444827707,0.6346153616905212,0.5554043170103092,0.546875,0.6346153616905212,0.5554043170103092,0.546875,"[[80, 1, 16, 0], [0, 9, 2, 4], [11, 1, 8, 12], [17, 0, 12, 35]]",0.6,0.5775156444827707,0.25,0.8247422680412371,"{'Mn': 0.8247422680412371, 'Cu': 0.6, 'Zn': 0.25, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[80, 1, 16, 0], [0, 9, 2, 4], [11, 1, 8, 12], [17, 0, 12, 35]]",,0.5775156444827707,0.25,0.8247422680412371,"{'Mn': 0.8247422680412371, 'Cu': 0.6, 'Zn': 0.25, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.8896983521612915,1.0855776232022505,1.0,fixed,1.0,,0.7132183515214368,0.6873444359697011,0.7341236472129822,0.7132183515214368,0.7532467532467533,0.7341236472129822,0.7132183515214368,0.7532467532467533,"[[428, 10, 76, 37], [1, 55, 6, 8], [27, 9, 94, 45], [26, 13, 56, 290]]",0.7857142857142857,0.6873444359697011,0.5371428571428571,0.7767695099818511,"{'Mn': 0.7767695099818511, 'Cu': 0.7857142857142857, 'Zn': 0.5371428571428571, 'Class VIII': 0.7532467532467533}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.5371428571428571,"[[428, 10, 76, 37], [1, 55, 6, 8], [27, 9, 94, 45], [26, 13, 56, 290]]",,0.6873444359697011,0.5371428571428571,0.7767695099818511,"{'Mn': 0.7767695099818511, 'Cu': 0.7857142857142857, 'Zn': 0.5371428571428571, 'Class VIII': 0.7532467532467533}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5346381013745705,0.46647193523376784,0.44711539149284363,0.5346381013745705,0.65625,0.44711539149284363,0.5346381013745705,0.65625,"[[29, 1, 67, 0], [0, 14, 1, 0], [3, 13, 8, 8], [10, 6, 6, 42]]",0.9333333333333333,0.46647193523376784,0.25,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.9333333333333333, 'Zn': 0.25, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[29, 1, 67, 0], [0, 14, 1, 0], [3, 13, 8, 8], [10, 6, 6, 42]]",,0.46647193523376784,0.25,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.9333333333333333, 'Zn': 0.25, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.8371452065939838,1.1837557353652441,1.0,fixed,1.0,,0.6696224102576189,0.6361130010563993,0.701100766658783,0.6696224102576189,0.8935064935064935,0.701100766658783,0.6696224102576189,0.8935064935064935,"[[379, 11, 38, 123], [0, 58, 3, 9], [26, 17, 47, 85], [17, 10, 14, 344]]",0.8285714285714286,0.6361130010563993,0.26857142857142857,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.8285714285714286, 'Zn': 0.26857142857142857, 'Class VIII': 0.8935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.26857142857142857,"[[379, 11, 38, 123], [0, 58, 3, 9], [26, 17, 47, 85], [17, 10, 14, 344]]",,0.6361130010563993,0.26857142857142857,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.8285714285714286, 'Zn': 0.26857142857142857, 'Class VIII': 0.8935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5500214776632303,0.4468337184142003,0.4951923191547394,0.5500214776632303,0.71875,0.4951923191547394,0.5500214776632303,0.71875,"[[38, 5, 22, 32], [0, 14, 0, 1], [4, 16, 5, 7], [10, 6, 2, 46]]",0.9333333333333333,0.4468337184142003,0.15625,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[38, 5, 22, 32], [0, 14, 0, 1], [4, 16, 5, 7], [10, 6, 2, 46]]",,0.4468337184142003,0.15625,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.8141298090686669,1.0699634741132076,1.0,fixed,1.0,,0.7401334056143494,0.7159660825515088,0.773073673248291,0.7401334056143494,0.8025974025974026,0.773073673248291,0.7401334056143494,0.8025974025974026,"[[468, 3, 28, 52], [1, 62, 4, 3], [39, 10, 74, 52], [29, 20, 27, 309]]",0.8857142857142857,0.7159660825515088,0.4228571428571429,0.8493647912885662,"{'Mn': 0.8493647912885662, 'Cu': 0.8857142857142857, 'Zn': 0.4228571428571429, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4228571428571429,"[[468, 3, 28, 52], [1, 62, 4, 3], [39, 10, 74, 52], [29, 20, 27, 309]]",,0.7159660825515088,0.4228571428571429,0.8493647912885662,"{'Mn': 0.8493647912885662, 'Cu': 0.8857142857142857, 'Zn': 0.4228571428571429, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5819560781786941,0.5010904529715214,0.5721153616905212,0.5819560781786941,0.609375,0.5721153616905212,0.5819560781786941,0.609375,"[[61, 1, 18, 17], [0, 14, 1, 0], [6, 16, 5, 5], [14, 7, 4, 39]]",0.9333333333333333,0.5010904529715214,0.15625,0.6288659793814433,"{'Mn': 0.6288659793814433, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[61, 1, 18, 17], [0, 14, 1, 0], [6, 16, 5, 5], [14, 7, 4, 39]]",,0.5010904529715214,0.15625,0.6288659793814433,"{'Mn': 0.6288659793814433, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
