panel,partition,view,weighting,metal,ec1,count_or_weight,p_ec_given_metal,p_metal_given_ec
pinmymetal,train,native6,site,Mn,1,163.0,0.30185185185185187,0.3319755600814664
pinmymetal,train,native6,site,Mn,2,144.0,0.26666666666666666,0.7309644670050761
pinmymetal,train,native6,site,Mn,3,172.0,0.31851851851851853,0.5
pinmymetal,train,native6,site,Mn,4,7.0,0.012962962962962963,0.15217391304347827
pinmymetal,train,native6,site,Mn,5,48.0,0.08888888888888889,0.6956521739130435
pinmymetal,train,native6,site,Mn,6,6.0,0.011111111111111112,0.4
pinmymetal,train,native6,site,Mn,7,0.0,0.0,0.0
pinmymetal,train,native6,site,Cu,1,56.0,0.875,0.11405295315682282
pinmymetal,train,native6,site,Cu,2,3.0,0.046875,0.015228426395939087
pinmymetal,train,native6,site,Cu,3,4.0,0.0625,0.011627906976744186
pinmymetal,train,native6,site,Cu,4,0.0,0.0,0.0
pinmymetal,train,native6,site,Cu,5,0.0,0.0,0.0
pinmymetal,train,native6,site,Cu,6,0.0,0.0,0.0
pinmymetal,train,native6,site,Cu,7,1.0,0.015625,1.0
pinmymetal,train,native6,site,Zn,1,13.0,0.07471264367816093,0.026476578411405296
pinmymetal,train,native6,site,Zn,2,26.0,0.14942528735632185,0.1319796954314721
pinmymetal,train,native6,site,Zn,3,99.0,0.5689655172413793,0.2877906976744186
pinmymetal,train,native6,site,Zn,4,22.0,0.12643678160919541,0.4782608695652174
pinmymetal,train,native6,site,Zn,5,8.0,0.04597701149425287,0.11594202898550725
pinmymetal,train,native6,site,Zn,6,6.0,0.034482758620689655,0.4
pinmymetal,train,native6,site,Zn,7,0.0,0.0,0.0
pinmymetal,train,native6,site,Fe,1,203.0,0.8185483870967742,0.4134419551934827
pinmymetal,train,native6,site,Fe,2,5.0,0.020161290322580645,0.025380710659898477
pinmymetal,train,native6,site,Fe,3,37.0,0.14919354838709678,0.10755813953488372
pinmymetal,train,native6,site,Fe,4,2.0,0.008064516129032258,0.043478260869565216
pinmymetal,train,native6,site,Fe,5,1.0,0.004032258064516129,0.014492753623188406
pinmymetal,train,native6,site,Fe,6,0.0,0.0,0.0
pinmymetal,train,native6,site,Fe,7,0.0,0.0,0.0
pinmymetal,train,native6,site,Co,1,26.0,0.3561643835616438,0.05295315682281059
pinmymetal,train,native6,site,Co,2,8.0,0.1095890410958904,0.04060913705583756
pinmymetal,train,native6,site,Co,3,16.0,0.2191780821917808,0.046511627906976744
pinmymetal,train,native6,site,Co,4,13.0,0.1780821917808219,0.2826086956521739
pinmymetal,train,native6,site,Co,5,8.0,0.1095890410958904,0.11594202898550725
pinmymetal,train,native6,site,Co,6,2.0,0.0273972602739726,0.13333333333333333
pinmymetal,train,native6,site,Co,7,0.0,0.0,0.0
pinmymetal,train,native6,site,Ni,1,30.0,0.46875,0.06109979633401222
pinmymetal,train,native6,site,Ni,2,11.0,0.171875,0.05583756345177665
pinmymetal,train,native6,site,Ni,3,16.0,0.25,0.046511627906976744
pinmymetal,train,native6,site,Ni,4,2.0,0.03125,0.043478260869565216
pinmymetal,train,native6,site,Ni,5,4.0,0.0625,0.057971014492753624
pinmymetal,train,native6,site,Ni,6,1.0,0.015625,0.06666666666666667
pinmymetal,train,native6,site,Ni,7,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Mn,1,163.0,0.30754716981132074,0.34029227557411273
pinmymetal,train,native6,protein_group,Mn,2,142.0,0.2679245283018868,0.7357512953367875
pinmymetal,train,native6,protein_group,Mn,3,167.0,0.3150943396226415,0.49702380952380953
pinmymetal,train,native6,protein_group,Mn,4,7.0,0.013207547169811321,0.15217391304347827
pinmymetal,train,native6,protein_group,Mn,5,46.0,0.08679245283018867,0.6865671641791045
pinmymetal,train,native6,protein_group,Mn,6,5.0,0.009433962264150943,0.35714285714285715
pinmymetal,train,native6,protein_group,Mn,7,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Cu,1,44.0,0.8461538461538461,0.0918580375782881
pinmymetal,train,native6,protein_group,Cu,2,3.0,0.057692307692307696,0.015544041450777202
pinmymetal,train,native6,protein_group,Cu,3,4.0,0.07692307692307693,0.011904761904761904
pinmymetal,train,native6,protein_group,Cu,4,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Cu,5,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Cu,6,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Cu,7,1.0,0.019230769230769232,1.0
pinmymetal,train,native6,protein_group,Zn,1,13.0,0.07692307692307693,0.027139874739039668
pinmymetal,train,native6,protein_group,Zn,2,24.0,0.14201183431952663,0.12435233160621761
pinmymetal,train,native6,protein_group,Zn,3,96.0,0.5680473372781065,0.2857142857142857
pinmymetal,train,native6,protein_group,Zn,4,22.0,0.1301775147928994,0.4782608695652174
pinmymetal,train,native6,protein_group,Zn,5,8.0,0.047337278106508875,0.11940298507462686
pinmymetal,train,native6,protein_group,Zn,6,6.0,0.03550295857988166,0.42857142857142855
pinmymetal,train,native6,protein_group,Zn,7,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Fe,1,203.0,0.8185483870967742,0.42379958246346555
pinmymetal,train,native6,protein_group,Fe,2,5.0,0.020161290322580645,0.025906735751295335
pinmymetal,train,native6,protein_group,Fe,3,37.0,0.14919354838709678,0.11011904761904762
pinmymetal,train,native6,protein_group,Fe,4,2.0,0.008064516129032258,0.043478260869565216
pinmymetal,train,native6,protein_group,Fe,5,1.0,0.004032258064516129,0.014925373134328358
