panel,partition,group,structure_id,pocket_id,ec1,native6,common4,metal_symbols,matched_site_keys
pinmymetal,train,1a16,1a16__chain_A__EC_3.4.11.9,1a16__chain_A__EC_3.4.11.9_METAL_0,3,0,0,MN,"[[""1a16"",""3.4.11.9"",""A_443""],[""1a16"",""3.4.11.9"",""A_444""]]"
pinmymetal,train,1a6q,1a6q__chain_A__EC_3.1.3.16,1a6q__chain_A__EC_3.1.3.16_METAL_0,3,0,0,MN,"[[""1a6q"",""3.1.3.16"",""A_383""],[""1a6q"",""3.1.3.16"",""A_384""]]"
pinmymetal,train,1b4u,1b4u__chain_B__EC_1.13.11.8,1b4u__chain_B__EC_1.13.11.8_METAL_0,1,3,3,FE,"[[""1b4u"",""1.13.11.8"",""B_501""]]"
pinmymetal,train,1b6a,1b6a__chain_A__EC_3.4.11.18,1b6a__chain_A__EC_3.4.11.18_METAL_0,3,4,3,CO,"[[""1b6a"",""3.4.11.18"",""A_481""],[""1b6a"",""3.4.11.18"",""A_482""]]"
pinmymetal,train,1bav,1bav__chain_A__EC_3.4.17.1,1bav__chain_A__EC_3.4.17.1_METAL_0,3,2,2,ZN,"[[""1bav"",""3.4.17.1"",""A_310""]]"
pinmymetal,train,1biq,1biq__chain_A__EC_1.17.4.1,1biq__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1biq"",""1.17.4.1"",""A_377""]]"
pinmymetal,train,1boa,1boa__chain_A__EC_3.4.11.18,1boa__chain_A__EC_3.4.11.18_METAL_0,3,4,3,CO,"[[""1boa"",""3.4.11.18"",""A_481""],[""1boa"",""3.4.11.18"",""A_482""]]"
pinmymetal,train,1bs6,1bs6__chain_A__EC_3.5.1.31,1bs6__chain_A__EC_3.5.1.31_METAL_0,3,5,3,NI,"[[""1bs6"",""3.5.1.31"",""A_2001""]]"
pinmymetal,train,1bxr,1bxr__chain_A__EC_6.3.5.5,1bxr__chain_A__EC_6.3.5.5_METAL_0,6,0,0,MN,"[[""1bxr"",""6.3.5.5"",""A_1074""]]"
pinmymetal,train,1bxr,1bxr__chain_A__EC_6.3.5.5,1bxr__chain_A__EC_6.3.5.5_METAL_1,6,0,0,MN,"[[""1bxr"",""6.3.5.5"",""A_1077""],[""1bxr"",""6.3.5.5"",""A_1078""]]"
pinmymetal,train,1d6u,1d6u__chain_A__EC_1.4.3.6,1d6u__chain_A__EC_1.4.3.6_METAL_0,1,1,1,CU,"[[""1d6u"",""1.4.3.6"",""A_801""]]"
pinmymetal,train,1d8w,1d8w__chain_A__EC_5.3.1.14,1d8w__chain_A__EC_5.3.1.14_METAL_0,5,2,2,ZN,"[[""1d8w"",""5.3.1.14"",""A_450""]]"
pinmymetal,train,1dce,1dce__chain_B__EC_2.5.1.-,1dce__chain_B__EC_2.5.1.-_METAL_0,2,2,2,ZN,"[[""1dce"",""2.5.1.-"",""B_900""]]"
