epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.3765613074238237,1.3459233458225544,1.0,fixed,1.0,,0.30652061187451385,0.2634580646544562,0.4716342091560364,0.30652061187451385,0.7142857142857143,0.4716342091560364,0.30652061187451385,0.7142857142857143,"[[282, 0, 0, 269], [37, 0, 0, 33], [46, 0, 0, 129], [110, 0, 0, 275]]",0.0,0.2634580646544562,0.0,0.5117967332123412,"{'Mn': 0.5117967332123412, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.7142857142857143}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[282, 0, 0, 269], [37, 0, 0, 33], [46, 0, 0, 129], [110, 0, 0, 275]]",,0.2634580646544562,0.0,0.5117967332123412,"{'Mn': 0.5117967332123412, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.7142857142857143}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2815318943298969,0.2303475935828877,0.4086538553237915,0.2815318943298969,0.734375,0.4086538553237915,0.2815318943298969,0.734375,"[[38, 0, 0, 59], [9, 0, 0, 6], [4, 0, 0, 28], [17, 0, 0, 47]]",0.0,0.2303475935828877,0.0,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[38, 0, 0, 59], [9, 0, 0, 6], [4, 0, 0, 28], [17, 0, 0, 47]]",,0.2303475935828877,0.0,0.3917525773195876,"{'Mn': 0.3917525773195876, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,1.3451184590120573,1.3151414623627296,1.0,fixed,1.0,,0.3364331675583944,0.32592219202116207,0.5122777223587036,0.3364331675583944,0.4987012987012987,0.5122777223587036,0.3364331675583944,0.4987012987012987,"[[388, 0, 31, 132], [44, 0, 2, 24], [77, 0, 25, 73], [174, 0, 19, 192]]",0.0,0.32592219202116207,0.0,0.7041742286751361,"{'Mn': 0.7041742286751361, 'Cu': 0.0, 'Zn': 0.14285714285714285, 'Class VIII': 0.4987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.14285714285714285,"[[388, 0, 31, 132], [44, 0, 2, 24], [77, 0, 25, 73], [174, 0, 19, 192]]",,0.32592219202116207,0.0,0.7041742286751361,"{'Mn': 0.7041742286751361, 'Cu': 0.0, 'Zn': 0.14285714285714285, 'Class VIII': 0.4987012987012987}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.31237918814432986,0.29500069676700114,0.45192307233810425,0.31237918814432986,0.578125,0.45192307233810425,0.31237918814432986,0.578125,"[[53, 0, 8, 36], [9, 0, 0, 6], [11, 0, 4, 17], [25, 0, 2, 37]]",0.0,0.29500069676700114,0.0,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.0, 'Zn': 0.125, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.125,"[[53, 0, 8, 36], [9, 0, 0, 6], [11, 0, 4, 17], [25, 0, 2, 37]]",,0.29500069676700114,0.0,0.5463917525773195,"{'Mn': 0.5463917525773195, 'Cu': 0.0, 'Zn': 0.125, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,1.3133011444194898,1.2552572672183697,1.0,fixed,1.0,,0.4514587408961275,0.4771392416192094,0.5334462523460388,0.4514587408961275,0.4779220779220779,0.5334462523460388,0.4514587408961275,0.4779220779220779,"[[357, 0, 125, 69], [26, 20, 12, 12], [60, 1, 69, 45], [118, 0, 83, 184]]",0.2857142857142857,0.4771392416192094,0.2857142857142857,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.2857142857142857, 'Zn': 0.3942857142857143, 'Class VIII': 0.4779220779220779}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.3942857142857143,"[[357, 0, 125, 69], [26, 20, 12, 12], [60, 1, 69, 45], [118, 0, 83, 184]]",,0.4771392416192094,0.2857142857142857,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.2857142857142857, 'Zn': 0.3942857142857143, 'Class VIII': 0.4779220779220779}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4729300902061856,0.5005828366719456,0.4663461446762085,0.4729300902061856,0.453125,0.4663461446762085,0.4729300902061856,0.453125,"[[48, 1, 44, 4], [0, 9, 5, 1], [11, 0, 11, 10], [26, 0, 9, 29]]",0.6,0.5005828366719456,0.34375,0.4948453608247423,"{'Mn': 0.4948453608247423, 'Cu': 0.6, 'Zn': 0.34375, 'Class VIII': 0.453125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[48, 1, 44, 4], [0, 9, 5, 1], [11, 0, 11, 10], [26, 0, 9, 29]]",,0.5005828366719456,0.34375,0.4948453608247423,"{'Mn': 0.4948453608247423, 'Cu': 0.6, 'Zn': 0.34375, 'Class VIII': 0.453125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,1.171819554792868,1.079627092068012,1.0,fixed,1.0,,0.5826683479859524,0.6018368497390352,0.7036409974098206,0.5826683479859524,0.7896103896103897,0.7036409974098206,0.5826683479859524,0.7896103896103897,"[[465, 0, 3, 83], [7, 40, 0, 23], [72, 3, 22, 78], [74, 1, 6, 304]]",0.5714285714285714,0.6018368497390352,0.12571428571428572,0.8439201451905626,"{'Mn': 0.8439201451905626, 'Cu': 0.5714285714285714, 'Zn': 0.12571428571428572, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.12571428571428572,"[[465, 0, 3, 83], [7, 40, 0, 23], [72, 3, 22, 78], [74, 1, 6, 304]]",,0.6018368497390352,0.12571428571428572,0.8439201451905626,"{'Mn': 0.8439201451905626, 'Cu': 0.5714285714285714, 'Zn': 0.12571428571428572, 'Class VIII': 0.7896103896103897}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5915216924398625,0.5973464317976513,0.6875,0.5915216924398625,0.71875,0.6875,0.5915216924398625,0.71875,"[[83, 1, 0, 13], [1, 10, 0, 4], [10, 1, 4, 17], [14, 0, 4, 46]]",0.6666666666666666,0.5973464317976513,0.125,0.8556701030927835,"{'Mn': 0.8556701030927835, 'Cu': 0.6666666666666666, 'Zn': 0.125, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.125,"[[83, 1, 0, 13], [1, 10, 0, 4], [10, 1, 4, 17], [14, 0, 4, 46]]",,0.5973464317976513,0.125,0.8556701030927835,"{'Mn': 0.8556701030927835, 'Cu': 0.6666666666666666, 'Zn': 0.125, 'Class VIII': 0.71875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,1.048708046610291,0.9805691081743974,1.0,fixed,1.0,,0.6074487943997926,0.6244540207311885,0.696867048740387,0.6074487943997926,0.6285714285714286,0.696867048740387,0.6074487943997926,0.6285714285714286,"[[495, 2, 24, 30], [8, 48, 1, 13], [103, 6, 38, 28], [119, 5, 19, 242]]",0.6857142857142857,0.6244540207311885,0.21714285714285714,0.8983666061705989,"{'Mn': 0.8983666061705989, 'Cu': 0.6857142857142857, 'Zn': 0.21714285714285714, 'Class VIII': 0.6285714285714286}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.21714285714285714,"[[495, 2, 24, 30], [8, 48, 1, 13], [103, 6, 38, 28], [119, 5, 19, 242]]",,0.6244540207311885,0.21714285714285714,0.8983666061705989,"{'Mn': 0.8983666061705989, 'Cu': 0.6857142857142857, 'Zn': 0.21714285714285714, 'Class VIII': 0.6285714285714286}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6247395833333333,0.5920365925023587,0.7355769276618958,0.6247395833333333,0.640625,0.7355769276618958,0.6247395833333333,0.640625,"[[97, 0, 0, 0], [2, 11, 0, 2], [13, 9, 4, 6], [17, 3, 3, 41]]",0.7333333333333333,0.5920365925023587,0.125,1.0,"{'Mn': 1.0, 'Cu': 0.7333333333333333, 'Zn': 0.125, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.125,"[[97, 0, 0, 0], [2, 11, 0, 2], [13, 9, 4, 6], [17, 3, 3, 41]]",,0.5920365925023587,0.125,1.0,"{'Mn': 1.0, 'Cu': 0.7333333333333333, 'Zn': 0.125, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,0.8850550528716397,1.0485475670832853,1.0,fixed,1.0,,0.7312342376316968,0.7163979828307353,0.7375105619430542,0.7312342376316968,0.825974025974026,0.7375105619430542,0.7312342376316968,0.825974025974026,"[[393, 0, 95, 63], [1, 55, 5, 9], [13, 7, 105, 50], [19, 7, 41, 318]]",0.7857142857142857,0.7163979828307353,0.6,0.7132486388384754,"{'Mn': 0.7132486388384754, 'Cu': 0.7857142857142857, 'Zn': 0.6, 'Class VIII': 0.825974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6,"[[393, 0, 95, 63], [1, 55, 5, 9], [13, 7, 105, 50], [19, 7, 41, 318]]",,0.7163979828307353,0.6,0.7132486388384754,"{'Mn': 0.7132486388384754, 'Cu': 0.7857142857142857, 'Zn': 0.6, 'Class VIII': 0.825974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5543760738831616,0.47692432520149297,0.4759615361690521,0.5543760738831616,0.6875,0.4759615361690521,0.5543760738831616,0.6875,"[[31, 1, 48, 17], [0, 13, 1, 1], [2, 12, 11, 7], [9, 4, 7, 44]]",0.8666666666666667,0.47692432520149297,0.31958762886597936,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[31, 1, 48, 17], [0, 13, 1, 1], [2, 12, 11, 7], [9, 4, 7, 44]]",,0.47692432520149297,0.31958762886597936,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.8666666666666667, 'Zn': 0.34375, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,0.8294643684214836,1.2004376890567632,1.0,fixed,1.0,,0.7099219836424918,0.6542989619654354,0.6206604838371277,0.7099219836424918,0.7194805194805195,0.6206604838371277,0.7099219836424918,0.7194805194805195,"[[252, 1, 215, 83], [0, 58, 10, 2], [10, 8, 146, 11], [8, 5, 95, 277]]",0.8285714285714286,0.6542989619654354,0.4573502722323049,0.4573502722323049,"{'Mn': 0.4573502722323049, 'Cu': 0.8285714285714286, 'Zn': 0.8342857142857143, 'Class VIII': 0.7194805194805195}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8342857142857143,"[[252, 1, 215, 83], [0, 58, 10, 2], [10, 8, 146, 11], [8, 5, 95, 277]]",,0.6542989619654354,0.4573502722323049,0.4573502722323049,"{'Mn': 0.4573502722323049, 'Cu': 0.8285714285714286, 'Zn': 0.8342857142857143, 'Class VIII': 0.7194805194805195}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5597723367697595,0.4696614162232088,0.44711539149284363,0.5597723367697595,0.625,0.44711539149284363,0.5597723367697595,0.625,"[[24, 3, 65, 5], [0, 13, 2, 0], [0, 12, 16, 4], [5, 5, 14, 40]]",0.8666666666666667,0.4696614162232088,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.8666666666666667, 'Zn': 0.5, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[24, 3, 65, 5], [0, 13, 2, 0], [0, 12, 16, 4], [5, 5, 14, 40]]",,0.4696614162232088,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.8666666666666667, 'Zn': 0.5, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.7352615464982148,1.1306604725810199,1.0,fixed,1.0,,0.7945984868126429,0.752574769420098,0.7535986304283142,0.7945984868126429,0.7064935064935065,0.7535986304283142,0.7945984868126429,0.7064935064935065,"[[408, 1, 106, 36], [1, 62, 6, 1], [12, 5, 148, 10], [24, 9, 80, 272]]",0.8857142857142857,0.752574769420098,0.7064935064935065,0.7404718693284936,"{'Mn': 0.7404718693284936, 'Cu': 0.8857142857142857, 'Zn': 0.8457142857142858, 'Class VIII': 0.7064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8457142857142858,"[[408, 1, 106, 36], [1, 62, 6, 1], [12, 5, 148, 10], [24, 9, 80, 272]]",,0.752574769420098,0.7064935064935065,0.7404718693284936,"{'Mn': 0.7404718693284936, 'Cu': 0.8857142857142857, 'Zn': 0.8457142857142858, 'Class VIII': 0.7064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5604918384879725,0.4853091022056539,0.4759615361690521,0.5604918384879725,0.59375,0.4759615361690521,0.5604918384879725,0.59375,"[[36, 1, 57, 3], [0, 14, 1, 0], [2, 13, 11, 6], [10, 7, 9, 38]]",0.9333333333333333,0.4853091022056539,0.34375,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.34375, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[36, 1, 57, 3], [0, 14, 1, 0], [2, 13, 11, 6], [10, 7, 9, 38]]",,0.4853091022056539,0.34375,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.34375, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.6729060643025346,1.146232466858167,1.0,fixed,1.0,,0.7804696301883234,0.7852363765682988,0.8060965538024902,0.7804696301883234,0.8493506493506493,0.8060965538024902,0.7804696301883234,0.8493506493506493,"[[454, 0, 51, 46], [0, 55, 7, 8], [16, 2, 116, 41], [24, 2, 32, 327]]",0.7857142857142857,0.7852363765682988,0.6628571428571428,0.8239564428312159,"{'Mn': 0.8239564428312159, 'Cu': 0.7857142857142857, 'Zn': 0.6628571428571428, 'Class VIII': 0.8493506493506493}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6628571428571428,"[[454, 0, 51, 46], [0, 55, 7, 8], [16, 2, 116, 41], [24, 2, 32, 327]]",,0.7852363765682988,0.6628571428571428,0.8239564428312159,"{'Mn': 0.8239564428312159, 'Cu': 0.7857142857142857, 'Zn': 0.6628571428571428, 'Class VIII': 0.8493506493506493}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5761168384879725,0.49096904648146883,0.5,0.5761168384879725,0.6875,0.5,0.5761168384879725,0.6875,"[[36, 1, 33, 27], [0, 14, 1, 0], [3, 11, 10, 8], [11, 5, 4, 44]]",0.9333333333333333,0.49096904648146883,0.3125,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.3125, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.3125,"[[36, 1, 33, 27], [0, 14, 1, 0], [3, 11, 10, 8], [11, 5, 4, 44]]",,0.49096904648146883,0.3125,0.3711340206185567,"{'Mn': 0.3711340206185567, 'Cu': 0.9333333333333333, 'Zn': 0.3125, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.6643157062699666,1.0585283811848898,1.0,fixed,1.0,,0.8059241756428689,0.7978067085736795,0.812870442867279,0.8059241756428689,0.8025974025974026,0.812870442867279,0.8059241756428689,0.8025974025974026,"[[454, 0, 65, 32], [1, 55, 8, 6], [12, 2, 142, 19], [22, 2, 52, 309]]",0.7857142857142857,0.7978067085736795,0.7857142857142857,0.8239564428312159,"{'Mn': 0.8239564428312159, 'Cu': 0.7857142857142857, 'Zn': 0.8114285714285714, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8114285714285714,"[[454, 0, 65, 32], [1, 55, 8, 6], [12, 2, 142, 19], [22, 2, 52, 309]]",,0.7978067085736795,0.7857142857142857,0.8239564428312159,"{'Mn': 0.8239564428312159, 'Cu': 0.7857142857142857, 'Zn': 0.8114285714285714, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5753275343642612,0.5263681356296227,0.5480769276618958,0.5753275343642612,0.6875,0.5480769276618958,0.5753275343642612,0.6875,"[[46, 1, 38, 12], [0, 11, 4, 0], [4, 10, 13, 5], [11, 4, 5, 44]]",0.7333333333333333,0.5263681356296227,0.40625,0.4742268041237113,"{'Mn': 0.4742268041237113, 'Cu': 0.7333333333333333, 'Zn': 0.40625, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[46, 1, 38, 12], [0, 11, 4, 0], [4, 10, 13, 5], [11, 4, 5, 44]]",,0.5263681356296227,0.40625,0.4742268041237113,"{'Mn': 0.4742268041237113, 'Cu': 0.7333333333333333, 'Zn': 0.40625, 'Class VIII': 0.6875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
