epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.3785243872049693,1.3500703389828022,1.0,fixed,1.0,,0.25247248214580337,0.16897863166351665,0.4682472348213196,0.25247248214580337,0.02077922077922078,0.4682472348213196,0.25247248214580337,0.02077922077922078,"[[545, 0, 0, 6], [68, 0, 0, 2], [172, 0, 0, 3], [377, 0, 0, 8]]",0.0,0.16897863166351665,0.0,0.9891107078039928,"{'Mn': 0.9891107078039928, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.02077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[545, 0, 0, 6], [68, 0, 0, 2], [172, 0, 0, 3], [377, 0, 0, 8]]",,0.16897863166351665,0.0,0.9891107078039928,"{'Mn': 0.9891107078039928, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.02077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.25,0.15953947368421054,0.4663461446762085,0.25,0.0,0.4663461446762085,0.25,0.0,"[[97, 0, 0, 0], [15, 0, 0, 0], [31, 0, 0, 1], [64, 0, 0, 0]]",0.0,0.15953947368421054,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[97, 0, 0, 0], [15, 0, 0, 0], [31, 0, 0, 1], [64, 0, 0, 0]]",,0.15953947368421054,0.0,1.0,"{'Mn': 1.0, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.0}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.357726263033377,1.334896330650036,1.0,fixed,1.0,,0.27075800787234544,0.22186092780877398,0.480101615190506,0.27075800787234544,0.17922077922077922,0.480101615190506,0.27075800787234544,0.17922077922077922,"[[498, 0, 0, 53], [64, 0, 0, 6], [152, 0, 0, 23], [316, 0, 0, 69]]",0.0,0.22186092780877398,0.0,0.9038112522686026,"{'Mn': 0.9038112522686026, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.17922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[498, 0, 0, 53], [64, 0, 0, 6], [152, 0, 0, 23], [316, 0, 0, 69]]",,0.22186092780877398,0.0,0.9038112522686026,"{'Mn': 0.9038112522686026, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.17922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.2529800257731959,0.20415693952857897,0.44711539149284363,0.2529800257731959,0.15625,0.44711539149284363,0.2529800257731959,0.15625,"[[83, 0, 0, 14], [11, 0, 0, 4], [26, 0, 0, 6], [54, 0, 0, 10]]",0.0,0.20415693952857897,0.0,0.8556701030927835,"{'Mn': 0.8556701030927835, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.15625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[83, 0, 0, 14], [11, 0, 0, 4], [26, 0, 0, 6], [54, 0, 0, 10]]",,0.20415693952857897,0.0,0.8556701030927835,"{'Mn': 0.8556701030927835, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.15625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.3435260258816384,1.3055686125388513,1.0,fixed,1.0,,0.3783140453013411,0.3636439258098729,0.5292125344276428,0.3783140453013411,0.7012987012987013,0.5292125344276428,0.3783140453013411,0.7012987012987013,"[[312, 0, 43, 196], [36, 0, 16, 18], [42, 0, 43, 90], [94, 0, 21, 270]]",0.0,0.3636439258098729,0.0,0.5662431941923775,"{'Mn': 0.5662431941923775, 'Cu': 0.0, 'Zn': 0.24571428571428572, 'Class VIII': 0.7012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.24571428571428572,"[[312, 0, 43, 196], [36, 0, 16, 18], [42, 0, 43, 90], [94, 0, 21, 270]]",,0.3636439258098729,0.0,0.5662431941923775,"{'Mn': 0.5662431941923775, 'Cu': 0.0, 'Zn': 0.24571428571428572, 'Class VIII': 0.7012987012987013}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3438708118556701,0.32022318561335905,0.4663461446762085,0.3438708118556701,0.734375,0.4663461446762085,0.3438708118556701,0.734375,"[[44, 0, 5, 48], [9, 0, 2, 4], [9, 0, 6, 17], [14, 0, 3, 47]]",0.0,0.32022318561335905,0.0,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.0, 'Zn': 0.1875, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.1875,"[[44, 0, 5, 48], [9, 0, 2, 4], [9, 0, 6, 17], [14, 0, 3, 47]]",,0.32022318561335905,0.0,0.4536082474226804,"{'Mn': 0.4536082474226804, 'Cu': 0.0, 'Zn': 0.1875, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,1.2897586033150956,1.2530196905136108,1.0,fixed,1.0,,0.4602620972493931,0.45495996383830556,0.5664690732955933,0.4602620972493931,0.8233766233766234,0.5664690732955933,0.4602620972493931,0.8233766233766234,"[[312, 7, 2, 230], [8, 26, 10, 26], [41, 10, 14, 110], [63, 3, 2, 317]]",0.37142857142857144,0.45495996383830556,0.08,0.5662431941923775,"{'Mn': 0.5662431941923775, 'Cu': 0.37142857142857144, 'Zn': 0.08, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.08,"[[312, 7, 2, 230], [8, 26, 10, 26], [41, 10, 14, 110], [63, 3, 2, 317]]",,0.45495996383830556,0.08,0.5662431941923775,"{'Mn': 0.5662431941923775, 'Cu': 0.37142857142857144, 'Zn': 0.08, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.45637886597938143,0.408015350877193,0.4615384638309479,0.45637886597938143,0.78125,0.4615384638309479,0.45637886597938143,0.78125,"[[34, 12, 0, 51], [0, 9, 1, 5], [7, 0, 3, 22], [12, 0, 2, 50]]",0.6,0.408015350877193,0.09375,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.6, 'Zn': 0.09375, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.09375,"[[34, 12, 0, 51], [0, 9, 1, 5], [7, 0, 3, 22], [12, 0, 2, 50]]",,0.408015350877193,0.09375,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.6, 'Zn': 0.09375, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,1.250371067910581,1.2042737030065978,1.0,fixed,1.0,,0.49571004313291067,0.5091759598217308,0.6020321846008301,0.49571004313291067,0.8649350649350649,0.6020321846008301,0.49571004313291067,0.8649350649350649,"[[320, 6, 11, 214], [5, 24, 13, 28], [38, 2, 34, 101], [40, 3, 9, 333]]",0.34285714285714286,0.5091759598217308,0.19428571428571428,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.34285714285714286, 'Zn': 0.19428571428571428, 'Class VIII': 0.8649350649350649}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.19428571428571428,"[[320, 6, 11, 214], [5, 24, 13, 28], [38, 2, 34, 101], [40, 3, 9, 333]]",,0.5091759598217308,0.19428571428571428,0.5807622504537205,"{'Mn': 0.5807622504537205, 'Cu': 0.34285714285714286, 'Zn': 0.19428571428571428, 'Class VIII': 0.8649350649350649}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4929096864261168,0.499498361998362,0.5240384340286255,0.4929096864261168,0.859375,0.5240384340286255,0.4929096864261168,0.859375,"[[41, 1, 3, 52], [1, 8, 1, 5], [3, 0, 5, 24], [6, 0, 3, 55]]",0.5333333333333333,0.499498361998362,0.15625,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.5333333333333333, 'Zn': 0.15625, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[41, 1, 3, 52], [1, 8, 1, 5], [3, 0, 5, 24], [6, 0, 3, 55]]",,0.499498361998362,0.15625,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.5333333333333333, 'Zn': 0.15625, 'Class VIII': 0.859375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,1.161460760074693,1.2155254024725695,1.0,fixed,1.0,,0.5661903976241545,0.5206965430391122,0.5546147227287292,0.5661903976241545,0.7636363636363637,0.5546147227287292,0.5661903976241545,0.7636363636363637,"[[210, 12, 189, 140], [0, 30, 22, 18], [5, 6, 121, 43], [7, 15, 69, 294]]",0.42857142857142855,0.5206965430391122,0.3811252268602541,0.3811252268602541,"{'Mn': 0.3811252268602541, 'Cu': 0.42857142857142855, 'Zn': 0.6914285714285714, 'Class VIII': 0.7636363636363637}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6914285714285714,"[[210, 12, 189, 140], [0, 30, 22, 18], [5, 6, 121, 43], [7, 15, 69, 294]]",,0.5206965430391122,0.3811252268602541,0.3811252268602541,"{'Mn': 0.3811252268602541, 'Cu': 0.42857142857142855, 'Zn': 0.6914285714285714, 'Class VIII': 0.7636363636363637}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.49297948883161513,0.4373100108923798,0.42307692766189575,0.49297948883161513,0.734375,0.42307692766189575,0.49297948883161513,0.734375,"[[19, 9, 56, 13], [0, 10, 4, 1], [2, 1, 12, 17], [5, 0, 12, 47]]",0.6666666666666666,0.4373100108923798,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.6666666666666666, 'Zn': 0.375, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[19, 9, 56, 13], [0, 10, 4, 1], [2, 1, 12, 17], [5, 0, 12, 47]]",,0.4373100108923798,0.1958762886597938,0.1958762886597938,"{'Mn': 0.1958762886597938, 'Cu': 0.6666666666666666, 'Zn': 0.375, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,1.098296181575672,1.2044440301565023,1.0,fixed,1.0,,0.556884059678978,0.45263653200904785,0.45893311500549316,0.556884059678978,0.33246753246753247,0.45893311500549316,0.556884059678978,0.33246753246753247,"[[235, 35, 259, 22], [0, 52, 13, 5], [10, 38, 127, 0], [12, 50, 195, 128]]",0.7428571428571429,0.45263653200904785,0.33246753246753247,0.426497277676951,"{'Mn': 0.426497277676951, 'Cu': 0.7428571428571429, 'Zn': 0.7257142857142858, 'Class VIII': 0.33246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7257142857142858,"[[235, 35, 259, 22], [0, 52, 13, 5], [10, 38, 127, 0], [12, 50, 195, 128]]",,0.45263653200904785,0.33246753246753247,0.426497277676951,"{'Mn': 0.426497277676951, 'Cu': 0.7428571428571429, 'Zn': 0.7257142857142858, 'Class VIII': 0.33246753246753247}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.46477394759450175,0.3504288701231135,0.32692307233810425,0.46477394759450175,0.265625,0.32692307233810425,0.46477394759450175,0.265625,"[[22, 15, 60, 0], [0, 13, 2, 0], [2, 8, 16, 6], [6, 8, 33, 17]]",0.8666666666666667,0.3504288701231135,0.2268041237113402,0.2268041237113402,"{'Mn': 0.2268041237113402, 'Cu': 0.8666666666666667, 'Zn': 0.5, 'Class VIII': 0.265625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[22, 15, 60, 0], [0, 13, 2, 0], [2, 8, 16, 6], [6, 8, 33, 17]]",,0.3504288701231135,0.2268041237113402,0.2268041237113402,"{'Mn': 0.2268041237113402, 'Cu': 0.8666666666666667, 'Zn': 0.5, 'Class VIII': 0.265625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,1.0479699711541872,1.1589405078154345,1.0,fixed,1.0,,0.5597799750159097,0.5153252280248779,0.541913628578186,0.5597799750159097,0.9064935064935065,0.541913628578186,0.5597799750159097,0.9064935064935065,"[[188, 10, 59, 294], [0, 47, 3, 20], [10, 24, 56, 85], [7, 8, 21, 349]]",0.6714285714285714,0.5153252280248779,0.32,0.3411978221415608,"{'Mn': 0.3411978221415608, 'Cu': 0.6714285714285714, 'Zn': 0.32, 'Class VIII': 0.9064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.32,"[[188, 10, 59, 294], [0, 47, 3, 20], [10, 24, 56, 85], [7, 8, 21, 349]]",,0.5153252280248779,0.32,0.3411978221415608,"{'Mn': 0.3411978221415608, 'Cu': 0.6714285714285714, 'Zn': 0.32, 'Class VIII': 0.9064935064935065}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5442278780068729,0.4777789788738127,0.4615384638309479,0.5442278780068729,0.84375,0.4615384638309479,0.5442278780068729,0.84375,"[[21, 1, 37, 38], [0, 13, 0, 2], [2, 3, 8, 19], [4, 2, 4, 54]]",0.8666666666666667,0.4777789788738127,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.8666666666666667, 'Zn': 0.25, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.25,"[[21, 1, 37, 38], [0, 13, 0, 2], [2, 3, 8, 19], [4, 2, 4, 54]]",,0.4777789788738127,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.8666666666666667, 'Zn': 0.25, 'Class VIII': 0.84375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,0.9998767714242678,1.0626470561210926,1.0,fixed,1.0,,0.6159541094114597,0.5730389924800503,0.6511430740356445,0.6159541094114597,0.8857142857142857,0.6511430740356445,0.6159541094114597,0.8857142857142857,"[[339, 9, 32, 171], [1, 53, 0, 16], [30, 36, 36, 73], [19, 8, 17, 341]]",0.7571428571428571,0.5730389924800503,0.2057142857142857,0.6152450090744102,"{'Mn': 0.6152450090744102, 'Cu': 0.7571428571428571, 'Zn': 0.2057142857142857, 'Class VIII': 0.8857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2057142857142857,"[[339, 9, 32, 171], [1, 53, 0, 16], [30, 36, 36, 73], [19, 8, 17, 341]]",,0.5730389924800503,0.2057142857142857,0.6152450090744102,"{'Mn': 0.6152450090744102, 'Cu': 0.7571428571428571, 'Zn': 0.2057142857142857, 'Class VIII': 0.8857142857142857}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5811909364261169,0.5064050623897064,0.5336538553237915,0.5811909364261169,0.78125,0.5336538553237915,0.5811909364261169,0.78125,"[[41, 2, 24, 30], [0, 14, 0, 1], [3, 7, 6, 16], [8, 4, 2, 50]]",0.9333333333333333,0.5064050623897064,0.1875,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.1875,"[[41, 2, 24, 30], [0, 14, 0, 1], [3, 7, 6, 16], [8, 4, 2, 50]]",,0.5064050623897064,0.1875,0.422680412371134,"{'Mn': 0.422680412371134, 'Cu': 0.9333333333333333, 'Zn': 0.1875, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,0.947602755314595,0.9634797584552032,1.0,fixed,1.0,,0.6893049237513847,0.6916150327100618,0.7400507926940918,0.6893049237513847,0.7766233766233767,0.7400507926940918,0.6893049237513847,0.7766233766233767,"[[449, 1, 50, 51], [4, 52, 2, 12], [58, 11, 74, 32], [52, 6, 28, 299]]",0.7428571428571429,0.6916150327100618,0.4228571428571429,0.8148820326678766,"{'Mn': 0.8148820326678766, 'Cu': 0.7428571428571429, 'Zn': 0.4228571428571429, 'Class VIII': 0.7766233766233767}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4228571428571429,"[[449, 1, 50, 51], [4, 52, 2, 12], [58, 11, 74, 32], [52, 6, 28, 299]]",,0.6916150327100618,0.4228571428571429,0.8148820326678766,"{'Mn': 0.8148820326678766, 'Cu': 0.7428571428571429, 'Zn': 0.4228571428571429, 'Class VIII': 0.7766233766233767}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6297573024054983,0.5823893664962659,0.6538461446762085,0.6297573024054983,0.65625,0.6538461446762085,0.6297573024054983,0.65625,"[[75, 0, 18, 4], [0, 14, 1, 0], [7, 7, 5, 13], [12, 4, 6, 42]]",0.9333333333333333,0.5823893664962659,0.15625,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.15625,"[[75, 0, 18, 4], [0, 14, 1, 0], [7, 7, 5, 13], [12, 4, 6, 42]]",,0.5823893664962659,0.15625,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.9333333333333333, 'Zn': 0.15625, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
