epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,0.0001,1.288674799171654,1.213026986672328,1.0,fixed,1.0,,0.6048598769651401,0.6259710673438261,0.6621507406234741,0.6048598769651401,0.7168831168831169,0.6621507406234741,0.6048598769651401,0.7168831168831169,"[[406, 1, 15, 129], [2, 46, 5, 17], [65, 6, 54, 50], [87, 4, 18, 276]]",0.6571428571428571,0.6259710673438261,0.30857142857142855,0.7368421052631579,"{'Mn': 0.7368421052631579, 'Cu': 0.6571428571428571, 'Zn': 0.30857142857142855, 'Class VIII': 0.7168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.30857142857142855,"[[406, 1, 15, 129], [2, 46, 5, 17], [65, 6, 54, 50], [87, 4, 18, 276]]",,0.6259710673438261,0.30857142857142855,0.7368421052631579,"{'Mn': 0.7368421052631579, 'Cu': 0.6571428571428571, 'Zn': 0.30857142857142855, 'Class VIII': 0.7168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4530015034364261,0.45157774932422823,0.4086538553237915,0.4530015034364261,0.625,0.4086538553237915,0.4530015034364261,0.625,"[[24, 0, 59, 14], [0, 8, 4, 3], [6, 2, 13, 11], [15, 0, 9, 40]]",0.5333333333333333,0.45157774932422823,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.5333333333333333, 'Zn': 0.40625, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.40625,"[[24, 0, 59, 14], [0, 8, 4, 3], [6, 2, 13, 11], [15, 0, 9, 40]]",,0.45157774932422823,0.24742268041237114,0.24742268041237114,"{'Mn': 0.24742268041237114, 'Cu': 0.5333333333333333, 'Zn': 0.40625, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,0.0001,0.945883376372827,1.1311075951044376,1.0,fixed,1.0,,0.7594804016310368,0.7258565724772639,0.6985605359077454,0.7594804016310368,0.7948051948051948,0.6985605359077454,0.7594804016310368,0.7948051948051948,"[[315, 0, 126, 110], [0, 59, 7, 4], [6, 2, 145, 22], [4, 1, 74, 306]]",0.8428571428571429,0.7258565724772639,0.5716878402903811,0.5716878402903811,"{'Mn': 0.5716878402903811, 'Cu': 0.8428571428571429, 'Zn': 0.8285714285714286, 'Class VIII': 0.7948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8285714285714286,"[[315, 0, 126, 110], [0, 59, 7, 4], [6, 2, 145, 22], [4, 1, 74, 306]]",,0.7258565724772639,0.5716878402903811,0.5716878402903811,"{'Mn': 0.5716878402903811, 'Cu': 0.8428571428571429, 'Zn': 0.8285714285714286, 'Class VIII': 0.7948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5299130154639176,0.4556213763075373,0.4086538553237915,0.5299130154639176,0.625,0.4086538553237915,0.5299130154639176,0.625,"[[11, 0, 76, 10], [0, 9, 4, 2], [0, 2, 25, 5], [2, 2, 20, 40]]",0.6,0.4556213763075373,0.1134020618556701,0.1134020618556701,"{'Mn': 0.1134020618556701, 'Cu': 0.6, 'Zn': 0.78125, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[11, 0, 76, 10], [0, 9, 4, 2], [0, 2, 25, 5], [2, 2, 20, 40]]",,0.4556213763075373,0.1134020618556701,0.1134020618556701,"{'Mn': 0.1134020618556701, 'Cu': 0.6, 'Zn': 0.78125, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,0.0001,0.6769366126406837,1.1179947749926493,1.0,fixed,1.0,,0.8237386569872959,0.7985314045349381,0.7883149981498718,0.8237386569872959,0.7428571428571429,0.7883149981498718,0.8237386569872959,0.7428571428571429,"[[427, 0, 69, 55], [0, 62, 7, 1], [10, 1, 156, 8], [20, 1, 78, 286]]",0.8857142857142857,0.7985314045349381,0.7428571428571429,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.8857142857142857, 'Zn': 0.8914285714285715, 'Class VIII': 0.7428571428571429}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8914285714285715,"[[427, 0, 69, 55], [0, 62, 7, 1], [10, 1, 156, 8], [20, 1, 78, 286]]",,0.7985314045349381,0.7428571428571429,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.8857142857142857, 'Zn': 0.8914285714285715, 'Class VIII': 0.7428571428571429}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6097991838487973,0.5449400191460082,0.4759615361690521,0.6097991838487973,0.5625,0.4759615361690521,0.6097991838487973,0.5625,"[[23, 0, 70, 4], [0, 11, 4, 0], [1, 1, 29, 1], [9, 2, 17, 36]]",0.7333333333333333,0.5449400191460082,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.7333333333333333, 'Zn': 0.90625, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.90625,"[[23, 0, 70, 4], [0, 11, 4, 0], [1, 1, 29, 1], [9, 2, 17, 36]]",,0.5449400191460082,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.7333333333333333, 'Zn': 0.90625, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,0.0001,0.5357652831872975,0.8509114078031137,1.0,fixed,1.0,,0.8229173639427723,0.8316439540840892,0.8340389728546143,0.8229173639427723,0.8441558441558441,0.8340389728546143,0.8229173639427723,0.8441558441558441,"[[478, 0, 16, 57], [1, 63, 5, 1], [34, 1, 119, 21], [33, 1, 26, 325]]",0.9,0.8316439540840892,0.68,0.867513611615245,"{'Mn': 0.867513611615245, 'Cu': 0.9, 'Zn': 0.68, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.68,"[[478, 0, 16, 57], [1, 63, 5, 1], [34, 1, 119, 21], [33, 1, 26, 325]]",,0.8316439540840892,0.68,0.867513611615245,"{'Mn': 0.867513611615245, 'Cu': 0.9, 'Zn': 0.68, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.625464454467354,0.6400361967552194,0.6442307829856873,0.625464454467354,0.609375,0.6442307829856873,0.625464454467354,0.609375,"[[70, 0, 21, 6], [0, 11, 4, 0], [9, 1, 14, 8], [15, 0, 10, 39]]",0.7333333333333333,0.6400361967552194,0.4375,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.7333333333333333, 'Zn': 0.4375, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.4375,"[[70, 0, 21, 6], [0, 11, 4, 0], [9, 1, 14, 8], [15, 0, 10, 39]]",,0.6400361967552194,0.4375,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.7333333333333333, 'Zn': 0.4375, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,0.0001,0.4899435754160623,0.9183620635706645,1.0,fixed,1.0,,0.8587862681782827,0.8511728802960914,0.8467400670051575,0.8587862681782827,0.8935064935064935,0.8467400670051575,0.8587862681782827,0.8935064935064935,"[[448, 0, 19, 84], [0, 63, 6, 1], [8, 1, 145, 21], [4, 1, 36, 344]]",0.9,0.8511728802960914,0.8130671506352087,0.8130671506352087,"{'Mn': 0.8130671506352087, 'Cu': 0.9, 'Zn': 0.8285714285714286, 'Class VIII': 0.8935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8285714285714286,"[[448, 0, 19, 84], [0, 63, 6, 1], [8, 1, 145, 21], [4, 1, 36, 344]]",,0.8511728802960914,0.8130671506352087,0.8130671506352087,"{'Mn': 0.8130671506352087, 'Cu': 0.9, 'Zn': 0.8285714285714286, 'Class VIII': 0.8935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6584460910652921,0.6456552734420284,0.620192289352417,0.6584460910652921,0.65625,0.620192289352417,0.6584460910652921,0.65625,"[[54, 0, 28, 15], [0, 11, 4, 0], [2, 1, 22, 7], [10, 0, 12, 42]]",0.7333333333333333,0.6456552734420284,0.5567010309278351,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[54, 0, 28, 15], [0, 11, 4, 0], [2, 1, 22, 7], [10, 0, 12, 42]]",,0.6456552734420284,0.5567010309278351,0.5567010309278351,"{'Mn': 0.5567010309278351, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,0.0001,0.4164535258519086,1.0487082623518431,1.0,fixed,1.0,,0.8725976382963678,0.8561062123573687,0.8594411611557007,0.8725976382963678,0.8337662337662337,0.8594411611557007,0.8725976382963678,0.8337662337662337,"[[472, 0, 43, 36], [0, 62, 7, 1], [5, 1, 160, 9], [10, 0, 54, 321]]",0.8857142857142857,0.8561062123573687,0.8337662337662337,0.8566243194192378,"{'Mn': 0.8566243194192378, 'Cu': 0.8857142857142857, 'Zn': 0.9142857142857143, 'Class VIII': 0.8337662337662337}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.9142857142857143,"[[472, 0, 43, 36], [0, 62, 7, 1], [5, 1, 160, 9], [10, 0, 54, 321]]",,0.8561062123573687,0.8337662337662337,0.8566243194192378,"{'Mn': 0.8566243194192378, 'Cu': 0.8857142857142857, 'Zn': 0.9142857142857143, 'Class VIII': 0.8337662337662337}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6265920317869416,0.5785323499851588,0.5,0.6265920317869416,0.546875,0.5,0.6265920317869416,0.546875,"[[28, 0, 60, 9], [0, 11, 4, 0], [1, 0, 30, 1], [9, 0, 20, 35]]",0.7333333333333333,0.5785323499851588,0.28865979381443296,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.7333333333333333, 'Zn': 0.9375, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.9375,"[[28, 0, 60, 9], [0, 11, 4, 0], [1, 0, 30, 1], [9, 0, 20, 35]]",,0.5785323499851588,0.28865979381443296,0.28865979381443296,"{'Mn': 0.28865979381443296, 'Cu': 0.7333333333333333, 'Zn': 0.9375, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,0.0001,0.3832173361442983,0.8784719847429258,1.0,fixed,1.0,,0.8908163433662526,0.8833371820613954,0.8890770673751831,0.8908163433662526,0.8363636363636363,0.8890770673751831,0.8908163433662526,0.8363636363636363,"[[506, 0, 15, 30], [0, 63, 6, 1], [9, 1, 159, 6], [17, 0, 46, 322]]",0.9,0.8833371820613954,0.8363636363636363,0.9183303085299456,"{'Mn': 0.9183303085299456, 'Cu': 0.9, 'Zn': 0.9085714285714286, 'Class VIII': 0.8363636363636363}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.9085714285714286,"[[506, 0, 15, 30], [0, 63, 6, 1], [9, 1, 159, 6], [17, 0, 46, 322]]",,0.8833371820613954,0.8363636363636363,0.9183303085299456,"{'Mn': 0.9183303085299456, 'Cu': 0.9, 'Zn': 0.9085714285714286, 'Class VIII': 0.8363636363636363}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.723120704467354,0.7134671426402068,0.6971153616905212,0.723120704467354,0.5625,0.6971153616905212,0.723120704467354,0.5625,"[[70, 0, 23, 4], [0, 11, 4, 0], [3, 0, 28, 1], [18, 0, 10, 36]]",0.7333333333333333,0.7134671426402068,0.5625,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.875,"[[70, 0, 23, 4], [0, 11, 4, 0], [3, 0, 28, 1], [18, 0, 10, 36]]",,0.7134671426402068,0.5625,0.7216494845360825,"{'Mn': 0.7216494845360825, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,0.0001,0.34567431613765154,0.9449461914885503,1.0,fixed,1.0,,0.893628349871544,0.889018900701704,0.8899238109588623,0.893628349871544,0.9168831168831169,0.8899238109588623,0.893628349871544,0.9168831168831169,"[[482, 0, 9, 60], [0, 64, 3, 3], [7, 3, 152, 13], [12, 2, 18, 353]]",0.9142857142857143,0.889018900701704,0.8685714285714285,0.8747731397459165,"{'Mn': 0.8747731397459165, 'Cu': 0.9142857142857143, 'Zn': 0.8685714285714285, 'Class VIII': 0.9168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8685714285714285,"[[482, 0, 9, 60], [0, 64, 3, 3], [7, 3, 152, 13], [12, 2, 18, 353]]",,0.889018900701704,0.8685714285714285,0.8747731397459165,"{'Mn': 0.8747731397459165, 'Cu': 0.9142857142857143, 'Zn': 0.8685714285714285, 'Class VIII': 0.9168831168831169}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6660169673539519,0.6576424078864006,0.6490384340286255,0.6660169673539519,0.625,0.6490384340286255,0.6660169673539519,0.625,"[[63, 0, 17, 17], [0, 11, 4, 0], [4, 2, 21, 5], [15, 0, 9, 40]]",0.7333333333333333,0.6576424078864006,0.625,0.6494845360824743,"{'Mn': 0.6494845360824743, 'Cu': 0.7333333333333333, 'Zn': 0.65625, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.65625,"[[63, 0, 17, 17], [0, 11, 4, 0], [4, 2, 21, 5], [15, 0, 9, 40]]",,0.6576424078864006,0.625,0.6494845360824743,"{'Mn': 0.6494845360824743, 'Cu': 0.7333333333333333, 'Zn': 0.65625, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,0.0001,0.3091795126989333,1.118689321912825,1.0,fixed,1.0,,0.8732657270134584,0.8947639618489873,0.9043183922767639,0.8732657270134584,0.9090909090909091,0.9043183922767639,0.8732657270134584,0.9090909090909091,"[[528, 0, 2, 21], [0, 63, 4, 3], [22, 0, 127, 26], [27, 0, 8, 350]]",0.9,0.8947639618489873,0.7257142857142858,0.9582577132486388,"{'Mn': 0.9582577132486388, 'Cu': 0.9, 'Zn': 0.7257142857142858, 'Class VIII': 0.9090909090909091}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7257142857142858,"[[528, 0, 2, 21], [0, 63, 4, 3], [22, 0, 127, 26], [27, 0, 8, 350]]",,0.8947639618489873,0.7257142857142858,0.9582577132486388,"{'Mn': 0.9582577132486388, 'Cu': 0.9, 'Zn': 0.7257142857142858, 'Class VIII': 0.9090909090909091}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.662634235395189,0.6976907022807691,0.7355769276618958,0.662634235395189,0.59375,0.7355769276618958,0.662634235395189,0.59375,"[[92, 0, 0, 5], [0, 11, 4, 0], [13, 0, 12, 7], [21, 0, 5, 38]]",0.7333333333333333,0.6976907022807691,0.375,0.9484536082474226,"{'Mn': 0.9484536082474226, 'Cu': 0.7333333333333333, 'Zn': 0.375, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[92, 0, 0, 5], [0, 11, 4, 0], [13, 0, 12, 7], [21, 0, 5, 38]]",,0.6976907022807691,0.375,0.9484536082474226,"{'Mn': 0.9484536082474226, 'Cu': 0.7333333333333333, 'Zn': 0.375, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,0.0001,0.32191552961484304,1.0936753246933222,1.0,fixed,1.0,,0.9047633582388573,0.9036922522763484,0.9085520505905151,0.9047633582388573,0.8441558441558441,0.9085520505905151,0.9047633582388573,0.8441558441558441,"[[523, 0, 5, 23], [0, 63, 4, 3], [9, 0, 162, 4], [21, 0, 39, 325]]",0.9,0.9036922522763484,0.8441558441558441,0.9491833030852994,"{'Mn': 0.9491833030852994, 'Cu': 0.9, 'Zn': 0.9257142857142857, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.9257142857142857,"[[523, 0, 5, 23], [0, 63, 4, 3], [9, 0, 162, 4], [21, 0, 39, 325]]",,0.9036922522763484,0.8441558441558441,0.9491833030852994,"{'Mn': 0.9491833030852994, 'Cu': 0.9, 'Zn': 0.9257142857142857, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.7062124140893471,0.7156933036102799,0.7211538553237915,0.7062124140893471,0.5625,0.7211538553237915,0.7062124140893471,0.5625,"[[79, 0, 17, 1], [1, 10, 4, 0], [6, 0, 25, 1], [19, 0, 9, 36]]",0.6666666666666666,0.7156933036102799,0.5625,0.8144329896907216,"{'Mn': 0.8144329896907216, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[79, 0, 17, 1], [1, 10, 4, 0], [6, 0, 25, 1], [19, 0, 9, 36]]",,0.7156933036102799,0.5625,0.8144329896907216,"{'Mn': 0.8144329896907216, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
