epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,3e-05,1.363875089464961,1.329937077485598,1.0,fixed,1.0,,0.329465906144672,0.2927929327450858,0.5546147227287292,0.329465906144672,0.42857142857142855,0.5546147227287292,0.329465906144672,0.42857142857142855,"[[490, 0, 0, 61], [50, 0, 0, 20], [141, 0, 0, 34], [220, 0, 0, 165]]",0.0,0.2927929327450858,0.0,0.8892921960072595,"{'Mn': 0.8892921960072595, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.42857142857142855}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[490, 0, 0, 61], [50, 0, 0, 20], [141, 0, 0, 34], [220, 0, 0, 165]]",,0.2927929327450858,0.0,0.8892921960072595,"{'Mn': 0.8892921960072595, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.42857142857142855}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.3451594716494846,0.3071708290232008,0.5769230723381042,0.3451594716494846,0.421875,0.5769230723381042,0.3451594716494846,0.421875,"[[93, 0, 0, 4], [12, 0, 0, 3], [29, 0, 0, 3], [37, 0, 0, 27]]",0.0,0.3071708290232008,0.0,0.9587628865979382,"{'Mn': 0.9587628865979382, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0,"[[93, 0, 0, 4], [12, 0, 0, 3], [29, 0, 0, 3], [37, 0, 0, 27]]",,0.3071708290232008,0.0,0.9587628865979382,"{'Mn': 0.9587628865979382, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.421875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,3e-05,1.2682086913972288,1.2508337360162,1.0,fixed,1.0,,0.5419532373252881,0.5881061103002222,0.6502963304519653,0.5419532373252881,0.5792207792207792,0.6502963304519653,0.5419532373252881,0.5792207792207792,"[[466, 0, 9, 76], [8, 34, 10, 18], [99, 0, 45, 31], [150, 0, 12, 223]]",0.4857142857142857,0.5881061103002222,0.2571428571428571,0.8457350272232305,"{'Mn': 0.8457350272232305, 'Cu': 0.4857142857142857, 'Zn': 0.2571428571428571, 'Class VIII': 0.5792207792207792}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.2571428571428571,"[[466, 0, 9, 76], [8, 34, 10, 18], [99, 0, 45, 31], [150, 0, 12, 223]]",,0.5881061103002222,0.2571428571428571,0.8457350272232305,"{'Mn': 0.8457350272232305, 'Cu': 0.4857142857142857, 'Zn': 0.2571428571428571, 'Class VIII': 0.5792207792207792}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.46705594931271477,0.48808550449806704,0.4326923191547394,0.46705594931271477,0.515625,0.4326923191547394,0.46705594931271477,0.515625,"[[34, 0, 54, 9], [0, 8, 4, 3], [13, 0, 15, 4], [24, 0, 7, 33]]",0.5333333333333333,0.48808550449806704,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.5333333333333333, 'Zn': 0.46875, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[34, 0, 54, 9], [0, 8, 4, 3], [13, 0, 15, 4], [24, 0, 7, 33]]",,0.48808550449806704,0.35051546391752575,0.35051546391752575,"{'Mn': 0.35051546391752575, 'Cu': 0.5333333333333333, 'Zn': 0.46875, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,3e-05,1.1403094135426186,1.1761369132078612,1.0,fixed,1.0,,0.6463005868904236,0.64270832955631,0.6875529289245605,0.6463005868904236,0.5922077922077922,0.6875529289245605,0.6463005868904236,0.5922077922077922,"[[470, 7, 17, 57], [4, 57, 3, 6], [86, 10, 57, 22], [122, 9, 26, 228]]",0.8142857142857143,0.64270832955631,0.32571428571428573,0.852994555353902,"{'Mn': 0.852994555353902, 'Cu': 0.8142857142857143, 'Zn': 0.32571428571428573, 'Class VIII': 0.5922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.32571428571428573,"[[470, 7, 17, 57], [4, 57, 3, 6], [86, 10, 57, 22], [122, 9, 26, 228]]",,0.64270832955631,0.32571428571428573,0.852994555353902,"{'Mn': 0.852994555353902, 'Cu': 0.8142857142857143, 'Zn': 0.32571428571428573, 'Class VIII': 0.5922077922077922}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5471837414089347,0.5248850595090356,0.48076921701431274,0.5471837414089347,0.515625,0.48076921701431274,0.5471837414089347,0.515625,"[[37, 0, 57, 3], [0, 10, 4, 1], [8, 3, 20, 1], [16, 2, 13, 33]]",0.6666666666666666,0.5248850595090356,0.38144329896907214,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.6666666666666666, 'Zn': 0.625, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.625,"[[37, 0, 57, 3], [0, 10, 4, 1], [8, 3, 20, 1], [16, 2, 13, 33]]",,0.5248850595090356,0.38144329896907214,0.38144329896907214,"{'Mn': 0.38144329896907214, 'Cu': 0.6666666666666666, 'Zn': 0.625, 'Class VIII': 0.515625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,3e-05,0.9978665628948727,1.1015108296504388,1.0,fixed,1.0,,0.7067528932047988,0.7066293340256936,0.7205758094787598,0.7067528932047988,0.8233766233766234,0.7205758094787598,0.7067528932047988,0.8233766233766234,"[[394, 6, 26, 125], [1, 57, 6, 6], [45, 4, 83, 43], [32, 2, 34, 317]]",0.8142857142857143,0.7066293340256936,0.4742857142857143,0.7150635208711433,"{'Mn': 0.7150635208711433, 'Cu': 0.8142857142857143, 'Zn': 0.4742857142857143, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4742857142857143,"[[394, 6, 26, 125], [1, 57, 6, 6], [45, 4, 83, 43], [32, 2, 34, 317]]",,0.7066293340256936,0.4742857142857143,0.7150635208711433,"{'Mn': 0.7150635208711433, 'Cu': 0.8142857142857143, 'Zn': 0.4742857142857143, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5128436426116838,0.49577592761557177,0.45673078298568726,0.5128436426116838,0.65625,0.45673078298568726,0.5128436426116838,0.65625,"[[26, 0, 61, 10], [0, 8, 4, 3], [4, 2, 19, 7], [10, 0, 12, 42]]",0.5333333333333333,0.49577592761557177,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.5333333333333333, 'Zn': 0.59375, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.59375,"[[26, 0, 61, 10], [0, 8, 4, 3], [4, 2, 19, 7], [10, 0, 12, 42]]",,0.49577592761557177,0.26804123711340205,0.26804123711340205,"{'Mn': 0.26804123711340205, 'Cu': 0.5333333333333333, 'Zn': 0.59375, 'Class VIII': 0.65625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,3e-05,0.8927212768309826,1.0610705614089966,1.0,fixed,1.0,,0.7840658071511066,0.7636479710131526,0.7662997245788574,0.7840658071511066,0.7610389610389611,0.7662997245788574,0.7840658071511066,0.7610389610389611,"[[424, 6, 49, 72], [0, 62, 7, 1], [22, 3, 126, 24], [32, 2, 58, 293]]",0.8857142857142857,0.7636479710131526,0.72,0.7695099818511797,"{'Mn': 0.7695099818511797, 'Cu': 0.8857142857142857, 'Zn': 0.72, 'Class VIII': 0.7610389610389611}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.72,"[[424, 6, 49, 72], [0, 62, 7, 1], [22, 3, 126, 24], [32, 2, 58, 293]]",,0.7636479710131526,0.72,0.7695099818511797,"{'Mn': 0.7695099818511797, 'Cu': 0.8857142857142857, 'Zn': 0.72, 'Class VIII': 0.7610389610389611}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5618825171821306,0.5148808541730502,0.45192307233810425,0.5618825171821306,0.5625,0.45192307233810425,0.5618825171821306,0.5625,"[[23, 0, 68, 6], [0, 10, 4, 1], [2, 2, 25, 3], [11, 1, 16, 36]]",0.6666666666666666,0.5148808541730502,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[23, 0, 68, 6], [0, 10, 4, 1], [2, 2, 25, 3], [11, 1, 16, 36]]",,0.5148808541730502,0.23711340206185566,0.23711340206185566,"{'Mn': 0.23711340206185566, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,3e-05,0.7738436192676827,1.0304696158720896,1.0,fixed,1.0,,0.8106217738704127,0.7877679514568182,0.7874682545661926,0.8106217738704127,0.7818181818181819,0.7874682545661926,0.8106217738704127,0.7818181818181819,"[[427, 4, 54, 66], [0, 62, 7, 1], [21, 1, 140, 13], [21, 3, 60, 301]]",0.8857142857142857,0.7877679514568182,0.7749546279491834,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.8857142857142857, 'Zn': 0.8, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8,"[[427, 4, 54, 66], [0, 62, 7, 1], [21, 1, 140, 13], [21, 3, 60, 301]]",,0.7877679514568182,0.7749546279491834,0.7749546279491834,"{'Mn': 0.7749546279491834, 'Cu': 0.8857142857142857, 'Zn': 0.8, 'Class VIII': 0.7818181818181819}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5966709621993127,0.5466718466718467,0.48557692766189575,0.5966709621993127,0.59375,0.48557692766189575,0.5966709621993127,0.59375,"[[27, 0, 67, 3], [0, 11, 4, 0], [2, 2, 25, 3], [9, 2, 15, 38]]",0.7333333333333333,0.5466718466718467,0.27835051546391754,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.7333333333333333, 'Zn': 0.78125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[27, 0, 67, 3], [0, 11, 4, 0], [2, 2, 25, 3], [9, 2, 15, 38]]",,0.5466718466718467,0.27835051546391754,0.27835051546391754,"{'Mn': 0.27835051546391754, 'Cu': 0.7333333333333333, 'Zn': 0.78125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,3e-05,0.6914627042573851,1.0636037662625313,1.0,fixed,1.0,,0.8187609305395149,0.78751252104642,0.7790008187294006,0.8187609305395149,0.7948051948051948,0.7790008187294006,0.8187609305395149,0.7948051948051948,"[[400, 3, 68, 80], [0, 62, 7, 1], [9, 1, 152, 13], [8, 2, 69, 306]]",0.8857142857142857,0.78751252104642,0.7259528130671506,0.7259528130671506,"{'Mn': 0.7259528130671506, 'Cu': 0.8857142857142857, 'Zn': 0.8685714285714285, 'Class VIII': 0.7948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8685714285714285,"[[400, 3, 68, 80], [0, 62, 7, 1], [9, 1, 152, 13], [8, 2, 69, 306]]",,0.78751252104642,0.7259528130671506,0.7259528130671506,"{'Mn': 0.7259528130671506, 'Cu': 0.8857142857142857, 'Zn': 0.8685714285714285, 'Class VIII': 0.7948051948051948}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6007382946735396,0.531012958107241,0.4663461446762085,0.6007382946735396,0.578125,0.4663461446762085,0.6007382946735396,0.578125,"[[21, 0, 71, 5], [0, 11, 4, 0], [1, 2, 28, 1], [8, 2, 17, 37]]",0.7333333333333333,0.531012958107241,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.875,"[[21, 0, 71, 5], [0, 11, 4, 0], [1, 2, 28, 1], [8, 2, 17, 37]]",,0.531012958107241,0.21649484536082475,0.21649484536082475,"{'Mn': 0.21649484536082475, 'Cu': 0.7333333333333333, 'Zn': 0.875, 'Class VIII': 0.578125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,3e-05,0.6183698859971922,0.9642508952663496,1.0,fixed,1.0,,0.8204145944799303,0.8136083554682856,0.8060965538024902,0.8204145944799303,0.8051948051948052,0.8060965538024902,0.8204145944799303,0.8051948051948052,"[[442, 0, 42, 67], [1, 62, 6, 1], [17, 0, 138, 20], [23, 0, 52, 310]]",0.8857142857142857,0.8136083554682856,0.7885714285714286,0.8021778584392014,"{'Mn': 0.8021778584392014, 'Cu': 0.8857142857142857, 'Zn': 0.7885714285714286, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7885714285714286,"[[442, 0, 42, 67], [1, 62, 6, 1], [17, 0, 138, 20], [23, 0, 52, 310]]",,0.8136083554682856,0.7885714285714286,0.8021778584392014,"{'Mn': 0.8021778584392014, 'Cu': 0.8857142857142857, 'Zn': 0.7885714285714286, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5890651847079038,0.5668109759979627,0.4951923191547394,0.5890651847079038,0.609375,0.4951923191547394,0.5890651847079038,0.609375,"[[29, 0, 64, 4], [0, 10, 4, 1], [2, 0, 25, 5], [11, 0, 14, 39]]",0.6666666666666666,0.5668109759979627,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.78125,"[[29, 0, 64, 4], [0, 10, 4, 1], [2, 0, 25, 5], [11, 0, 14, 39]]",,0.5668109759979627,0.29896907216494845,0.29896907216494845,"{'Mn': 0.29896907216494845, 'Cu': 0.6666666666666666, 'Zn': 0.78125, 'Class VIII': 0.609375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,3e-05,0.5757465085669143,0.9237491459800646,1.0,fixed,1.0,,0.8291635043722159,0.8211199976319808,0.8187976479530334,0.8291635043722159,0.7792207792207793,0.8187976479530334,0.8291635043722159,0.7792207792207793,"[[463, 0, 35, 53], [1, 62, 6, 1], [22, 1, 142, 10], [31, 1, 53, 300]]",0.8857142857142857,0.8211199976319808,0.7792207792207793,0.8402903811252269,"{'Mn': 0.8402903811252269, 'Cu': 0.8857142857142857, 'Zn': 0.8114285714285714, 'Class VIII': 0.7792207792207793}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8114285714285714,"[[463, 0, 35, 53], [1, 62, 6, 1], [22, 1, 142, 10], [31, 1, 53, 300]]",,0.8211199976319808,0.7792207792207793,0.8402903811252269,"{'Mn': 0.8402903811252269, 'Cu': 0.8857142857142857, 'Zn': 0.8114285714285714, 'Class VIII': 0.7792207792207793}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5874489905498281,0.5525231088825291,0.48557692766189575,0.5874489905498281,0.546875,0.48557692766189575,0.5874489905498281,0.546875,"[[31, 0, 63, 3], [0, 11, 4, 0], [6, 1, 24, 1], [14, 2, 13, 35]]",0.7333333333333333,0.5525231088825291,0.31958762886597936,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.7333333333333333, 'Zn': 0.75, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.75,"[[31, 0, 63, 3], [0, 11, 4, 0], [6, 1, 24, 1], [14, 2, 13, 35]]",,0.5525231088825291,0.31958762886597936,0.31958762886597936,"{'Mn': 0.31958762886597936, 'Cu': 0.7333333333333333, 'Zn': 0.75, 'Class VIII': 0.546875}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,3e-05,0.5386403523687575,0.8696694798194445,1.0,fixed,1.0,,0.8385906380370991,0.8249775986360873,0.8196443915367126,0.8385906380370991,0.8051948051948052,0.8196443915367126,0.8385906380370991,0.8051948051948052,"[[449, 0, 36, 66], [1, 63, 5, 1], [17, 1, 146, 11], [23, 2, 50, 310]]",0.9,0.8249775986360873,0.8051948051948052,0.8148820326678766,"{'Mn': 0.8148820326678766, 'Cu': 0.9, 'Zn': 0.8342857142857143, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8342857142857143,"[[449, 0, 36, 66], [1, 63, 5, 1], [17, 1, 146, 11], [23, 2, 50, 310]]",,0.8249775986360873,0.8051948051948052,0.8148820326678766,"{'Mn': 0.8148820326678766, 'Cu': 0.9, 'Zn': 0.8342857142857143, 'Class VIII': 0.8051948051948052}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.6222025343642612,0.5955196869722033,0.5625,0.6222025343642612,0.59375,0.5625,0.6222025343642612,0.59375,"[[46, 0, 47, 4], [0, 11, 4, 0], [5, 2, 22, 3], [11, 2, 13, 38]]",0.7333333333333333,0.5955196869722033,0.4742268041237113,0.4742268041237113,"{'Mn': 0.4742268041237113, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.6875,"[[46, 0, 47, 4], [0, 11, 4, 0], [5, 2, 22, 3], [11, 2, 13, 38]]",,0.5955196869722033,0.4742268041237113,0.4742268041237113,"{'Mn': 0.4742268041237113, 'Cu': 0.7333333333333333, 'Zn': 0.6875, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
