id,block,family,ring,lr,seed,epochs,run_dir
S_GVP_ring0_lr3e-05_s42,S,Only-GVP,False,3e-05,42,1,/content/metal_ring_pilot_v1/runs/S_GVP_ring0_lr3e-05_s42
S_GVP_ring1_lr3e-05_s42,S,Only-GVP,True,3e-05,42,1,/content/metal_ring_pilot_v1/runs/S_GVP_ring1_lr3e-05_s42
S_LATE_ring0_lr3e-05_s42,S,GVP + late fusion,False,3e-05,42,1,/content/metal_ring_pilot_v1/runs/S_LATE_ring0_lr3e-05_s42
S_LATE_ring1_lr3e-05_s42,S,GVP + late fusion,True,3e-05,42,1,/content/metal_ring_pilot_v1/runs/S_LATE_ring1_lr3e-05_s42
GVP_GVP_ring0_lr3e-05_s42,GVP,Only-GVP,False,3e-05,42,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring0_lr3e-05_s42
GVP_GVP_ring1_lr3e-05_s42,GVP,Only-GVP,True,3e-05,42,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring1_lr3e-05_s42
GVP_GVP_ring0_lr3e-05_s43,GVP,Only-GVP,False,3e-05,43,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring0_lr3e-05_s43
GVP_GVP_ring1_lr3e-05_s43,GVP,Only-GVP,True,3e-05,43,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring1_lr3e-05_s43
GVP_GVP_ring0_lr0.0001_s42,GVP,Only-GVP,False,0.0001,42,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring0_lr0.0001_s42
GVP_GVP_ring1_lr0.0001_s42,GVP,Only-GVP,True,0.0001,42,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring1_lr0.0001_s42
GVP_GVP_ring0_lr0.0001_s43,GVP,Only-GVP,False,0.0001,43,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring0_lr0.0001_s43
GVP_GVP_ring1_lr0.0001_s43,GVP,Only-GVP,True,0.0001,43,50,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring1_lr0.0001_s43
LATE_LATE_ring0_lr3e-05_s42,LATE,GVP + late fusion,False,3e-05,42,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring0_lr3e-05_s42
LATE_LATE_ring1_lr3e-05_s42,LATE,GVP + late fusion,True,3e-05,42,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring1_lr3e-05_s42
LATE_LATE_ring0_lr3e-05_s43,LATE,GVP + late fusion,False,3e-05,43,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring0_lr3e-05_s43
LATE_LATE_ring1_lr3e-05_s43,LATE,GVP + late fusion,True,3e-05,43,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring1_lr3e-05_s43
LATE_LATE_ring0_lr0.0001_s42,LATE,GVP + late fusion,False,0.0001,42,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring0_lr0.0001_s42
LATE_LATE_ring1_lr0.0001_s42,LATE,GVP + late fusion,True,0.0001,42,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring1_lr0.0001_s42
LATE_LATE_ring0_lr0.0001_s43,LATE,GVP + late fusion,False,0.0001,43,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring0_lr0.0001_s43
LATE_LATE_ring1_lr0.0001_s43,LATE,GVP + late fusion,True,0.0001,43,50,/content/metal_ring_pilot_v1/runs/LATE_LATE_ring1_lr0.0001_s43
