epoch,lr,train_loss,val_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support,val_ec_acc,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc,val_metal_balanced_acc,val_metal_class_viii_recall,val_metal_collapsed4_acc,val_metal_collapsed4_balanced_acc,val_metal_collapsed4_class_viii_recall,val_metal_collapsed4_confusion_matrix,val_metal_collapsed4_cu_recall,val_metal_collapsed4_macro_f1,val_metal_collapsed4_min_recall,val_metal_collapsed4_mn_recall,val_metal_collapsed4_per_class_recall,val_metal_collapsed4_per_class_support,val_metal_collapsed4_zn_recall,val_metal_confusion_matrix,val_metal_fe_recall,val_metal_macro_f1,val_metal_min_recall,val_metal_mn_recall,val_metal_per_class_recall,val_metal_per_class_support
1,1e-05,1.3712233997680046,1.328131602360652,1.0,fixed,1.0,,0.2830320314893817,0.2497568438237422,0.45554614067077637,0.2830320314893817,0.5168831168831168,0.45554614067077637,0.2830320314893817,0.5168831168831168,"[[339, 0, 0, 212], [21, 0, 0, 49], [104, 0, 0, 71], [186, 0, 0, 199]]",0.0,0.2497568438237422,0.0,0.6152450090744102,"{'Mn': 0.6152450090744102, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[339, 0, 0, 212], [21, 0, 0, 49], [104, 0, 0, 71], [186, 0, 0, 199]]",,0.2497568438237422,0.0,0.6152450090744102,"{'Mn': 0.6152450090744102, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.34149484536082475,0.3151369276850663,0.5480769276618958,0.34149484536082475,0.4375,0.5480769276618958,0.34149484536082475,0.4375,"[[84, 0, 1, 12], [6, 0, 0, 9], [20, 0, 2, 10], [33, 0, 3, 28]]",0.0,0.3151369276850663,0.0,0.865979381443299,"{'Mn': 0.865979381443299, 'Cu': 0.0, 'Zn': 0.0625, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.0625,"[[84, 0, 1, 12], [6, 0, 0, 9], [20, 0, 2, 10], [33, 0, 3, 28]]",,0.3151369276850663,0.0,0.865979381443299,"{'Mn': 0.865979381443299, 'Cu': 0.0, 'Zn': 0.0625, 'Class VIII': 0.4375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
2,1e-05,1.3477658081699062,1.308419291789715,1.0,fixed,1.0,,0.34158861102599763,0.31238564353166126,0.5283657908439636,0.34158861102599763,0.6727272727272727,0.5283657908439636,0.34158861102599763,0.6727272727272727,"[[357, 0, 3, 191], [21, 0, 3, 46], [97, 0, 8, 70], [122, 0, 4, 259]]",0.0,0.31238564353166126,0.0,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 0.6727272727272727}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.045714285714285714,"[[357, 0, 3, 191], [21, 0, 3, 46], [97, 0, 8, 70], [122, 0, 4, 259]]",,0.31238564353166126,0.0,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 0.6727272727272727}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.48236146907216493,0.46194510718062887,0.625,0.48236146907216493,0.5625,0.625,0.48236146907216493,0.5625,"[[75, 0, 9, 13], [5, 0, 3, 7], [4, 0, 19, 9], [22, 0, 6, 36]]",0.0,0.46194510718062887,0.0,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.0, 'Zn': 0.59375, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.59375,"[[75, 0, 9, 13], [5, 0, 3, 7], [4, 0, 19, 9], [22, 0, 6, 36]]",,0.46194510718062887,0.0,0.7731958762886598,"{'Mn': 0.7731958762886598, 'Cu': 0.0, 'Zn': 0.59375, 'Class VIII': 0.5625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
3,1e-05,1.3297626062019452,1.2866839812352107,1.0,fixed,1.0,,0.36390812454333327,0.3391855905205438,0.558001697063446,0.36390812454333327,0.6935064935064935,0.558001697063446,0.36390812454333327,0.6935064935064935,"[[379, 0, 4, 168], [10, 0, 22, 38], [103, 0, 13, 59], [114, 0, 4, 267]]",0.0,0.3391855905205438,0.0,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.0, 'Zn': 0.07428571428571429, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.07428571428571429,"[[379, 0, 4, 168], [10, 0, 22, 38], [103, 0, 13, 59], [114, 0, 4, 267]]",,0.3391855905205438,0.0,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.0, 'Zn': 0.07428571428571429, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.46399806701030927,0.44432801094080243,0.625,0.46399806701030927,0.53125,0.625,0.46399806701030927,0.53125,"[[80, 0, 6, 11], [2, 0, 10, 3], [6, 0, 16, 10], [23, 0, 7, 34]]",0.0,0.44432801094080243,0.0,0.8247422680412371,"{'Mn': 0.8247422680412371, 'Cu': 0.0, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.5,"[[80, 0, 6, 11], [2, 0, 10, 3], [6, 0, 16, 10], [23, 0, 7, 34]]",,0.44432801094080243,0.0,0.8247422680412371,"{'Mn': 0.8247422680412371, 'Cu': 0.0, 'Zn': 0.5, 'Class VIII': 0.53125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
4,1e-05,1.304022743089779,1.2320616841316223,1.0,fixed,1.0,,0.3843455818228958,0.3646448810318909,0.5546147227287292,0.3843455818228958,0.8233766233766234,0.5546147227287292,0.3843455818228958,0.8233766233766234,"[[321, 0, 4, 226], [7, 4, 17, 42], [82, 1, 13, 79], [66, 1, 1, 317]]",0.05714285714285714,0.3646448810318909,0.05714285714285714,0.5825771324863884,"{'Mn': 0.5825771324863884, 'Cu': 0.05714285714285714, 'Zn': 0.07428571428571429, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.07428571428571429,"[[321, 0, 4, 226], [7, 4, 17, 42], [82, 1, 13, 79], [66, 1, 1, 317]]",,0.3646448810318909,0.05714285714285714,0.5825771324863884,"{'Mn': 0.5825771324863884, 'Cu': 0.05714285714285714, 'Zn': 0.07428571428571429, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.4790834407216495,0.4996126680337207,0.6153846383094788,0.4790834407216495,0.703125,0.6153846383094788,0.4790834407216495,0.703125,"[[71, 0, 4, 22], [1, 3, 5, 6], [6, 0, 9, 17], [15, 0, 4, 45]]",0.2,0.4996126680337207,0.2,0.7319587628865979,"{'Mn': 0.7319587628865979, 'Cu': 0.2, 'Zn': 0.28125, 'Class VIII': 0.703125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[71, 0, 4, 22], [1, 3, 5, 6], [6, 0, 9, 17], [15, 0, 4, 45]]",,0.4996126680337207,0.2,0.7319587628865979,"{'Mn': 0.7319587628865979, 'Cu': 0.2, 'Zn': 0.28125, 'Class VIII': 0.703125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
5,1e-05,1.2572724468804695,1.1877250121189997,1.0,fixed,1.0,,0.5494072171023169,0.5483533806318954,0.6011854410171509,0.5494072171023169,0.7506493506493507,0.6011854410171509,0.5494072171023169,0.7506493506493507,"[[325, 15, 42, 169], [2, 36, 9, 23], [52, 8, 60, 55], [46, 5, 45, 289]]",0.5142857142857142,0.5483533806318954,0.34285714285714286,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5142857142857142, 'Zn': 0.34285714285714286, 'Class VIII': 0.7506493506493507}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.34285714285714286,"[[325, 15, 42, 169], [2, 36, 9, 23], [52, 8, 60, 55], [46, 5, 45, 289]]",,0.5483533806318954,0.34285714285714286,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5142857142857142, 'Zn': 0.34285714285714286, 'Class VIII': 0.7506493506493507}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5264497422680412,0.5009719369197779,0.5096153616905212,0.5264497422680412,0.625,0.5096153616905212,0.5264497422680412,0.625,"[[43, 2, 46, 6], [0, 9, 3, 3], [3, 5, 14, 10], [12, 3, 9, 40]]",0.6,0.5009719369197779,0.4375,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.6, 'Zn': 0.4375, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.4375,"[[43, 2, 46, 6], [0, 9, 3, 3], [3, 5, 14, 10], [12, 3, 9, 40]]",,0.5009719369197779,0.4375,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.6, 'Zn': 0.4375, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
6,1e-05,1.1903929170724508,1.1152409590207613,1.0,fixed,1.0,,0.5467660923468546,0.5190416219718773,0.6181202530860901,0.5467660923468546,0.7324675324675325,0.6181202530860901,0.5467660923468546,0.7324675324675325,"[[378, 23, 10, 140], [5, 43, 1, 21], [86, 17, 27, 45], [75, 21, 7, 282]]",0.6142857142857143,0.5190416219718773,0.15428571428571428,0.6860254083484574,"{'Mn': 0.6860254083484574, 'Cu': 0.6142857142857143, 'Zn': 0.15428571428571428, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.15428571428571428,"[[378, 23, 10, 140], [5, 43, 1, 21], [86, 17, 27, 45], [75, 21, 7, 282]]",,0.5190416219718773,0.15428571428571428,0.6860254083484574,"{'Mn': 0.6860254083484574, 'Cu': 0.6142857142857143, 'Zn': 0.15428571428571428, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.609471649484536,0.5579725750767647,0.6394230723381042,0.609471649484536,0.59375,0.6394230723381042,0.609471649484536,0.59375,"[[74, 4, 16, 3], [1, 12, 0, 2], [5, 7, 9, 11], [16, 9, 1, 38]]",0.8,0.5579725750767647,0.28125,0.7628865979381443,"{'Mn': 0.7628865979381443, 'Cu': 0.8, 'Zn': 0.28125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.28125,"[[74, 4, 16, 3], [1, 12, 0, 2], [5, 7, 9, 11], [16, 9, 1, 38]]",,0.5579725750767647,0.28125,0.7628865979381443,"{'Mn': 0.7628865979381443, 'Cu': 0.8, 'Zn': 0.28125, 'Class VIII': 0.59375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
7,1e-05,1.141675837942072,1.0824671800319965,1.0,fixed,1.0,,0.5658357885308883,0.5570667805264764,0.6147332787513733,0.5658357885308883,0.8077922077922078,0.6147332787513733,0.5658357885308883,0.8077922077922078,"[[325, 16, 28, 182], [1, 41, 6, 22], [50, 10, 49, 66], [43, 8, 23, 311]]",0.5857142857142857,0.5570667805264764,0.28,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5857142857142857, 'Zn': 0.28, 'Class VIII': 0.8077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.28,"[[325, 16, 28, 182], [1, 41, 6, 22], [50, 10, 49, 66], [43, 8, 23, 311]]",,0.5570667805264764,0.28,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5857142857142857, 'Zn': 0.28, 'Class VIII': 0.8077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5793250644329897,0.5592642432773581,0.620192289352417,0.5793250644329897,0.734375,0.620192289352417,0.5793250644329897,0.734375,"[[62, 2, 22, 11], [0, 9, 3, 3], [3, 5, 11, 13], [10, 3, 4, 47]]",0.6,0.5592642432773581,0.34375,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.6, 'Zn': 0.34375, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.34375,"[[62, 2, 22, 11], [0, 9, 3, 3], [3, 5, 11, 13], [10, 3, 4, 47]]",,0.5592642432773581,0.34375,0.6391752577319587,"{'Mn': 0.6391752577319587, 'Cu': 0.6, 'Zn': 0.34375, 'Class VIII': 0.734375}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
8,1e-05,1.0966043170239475,1.0842722218770247,1.0,fixed,1.0,,0.5909617696278313,0.5661986902787484,0.5859441161155701,0.5909617696278313,0.8025974025974026,0.5859441161155701,0.5909617696278313,0.8025974025974026,"[[251, 16, 75, 209], [0, 41, 8, 21], [18, 6, 91, 60], [18, 8, 50, 309]]",0.5857142857142857,0.5661986902787484,0.455535390199637,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.5857142857142857, 'Zn': 0.52, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.52,"[[251, 16, 75, 209], [0, 41, 8, 21], [18, 6, 91, 60], [18, 8, 50, 309]]",,0.5661986902787484,0.455535390199637,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.5857142857142857, 'Zn': 0.52, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5407807130584192,0.505456122393726,0.504807710647583,0.5407807130584192,0.78125,0.504807710647583,0.5407807130584192,0.78125,"[[33, 1, 44, 19], [0, 10, 3, 2], [2, 4, 12, 14], [6, 2, 6, 50]]",0.6666666666666666,0.505456122393726,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.6666666666666666, 'Zn': 0.375, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[33, 1, 44, 19], [0, 10, 3, 2], [2, 4, 12, 14], [6, 2, 6, 50]]",,0.505456122393726,0.3402061855670103,0.3402061855670103,"{'Mn': 0.3402061855670103, 'Cu': 0.6666666666666666, 'Zn': 0.375, 'Class VIII': 0.78125}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
9,1e-05,1.0670528971665614,1.0667361915111542,1.0,fixed,1.0,,0.6273130317957905,0.5693140782236011,0.5977984666824341,0.6273130317957905,0.7350649350649351,0.5977984666824341,0.6273130317957905,0.7350649350649351,"[[266, 25, 112, 148], [0, 46, 5, 19], [12, 13, 111, 39], [16, 21, 65, 283]]",0.6571428571428571,0.5693140782236011,0.4827586206896552,0.4827586206896552,"{'Mn': 0.4827586206896552, 'Cu': 0.6571428571428571, 'Zn': 0.6342857142857142, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6342857142857142,"[[266, 25, 112, 148], [0, 46, 5, 19], [12, 13, 111, 39], [16, 21, 65, 283]]",,0.5693140782236011,0.4827586206896552,0.4827586206896552,"{'Mn': 0.4827586206896552, 'Cu': 0.6571428571428571, 'Zn': 0.6342857142857142, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5840904209621993,0.5030664008250432,0.4759615361690521,0.5840904209621993,0.625,0.4759615361690521,0.5840904209621993,0.625,"[[30, 2, 57, 8], [0, 14, 1, 0], [1, 6, 15, 10], [5, 6, 13, 40]]",0.9333333333333333,0.5030664008250432,0.30927835051546393,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.46875,"[[30, 2, 57, 8], [0, 14, 1, 0], [1, 6, 15, 10], [5, 6, 13, 40]]",,0.5030664008250432,0.30927835051546393,0.30927835051546393,"{'Mn': 0.30927835051546393, 'Cu': 0.9333333333333333, 'Zn': 0.46875, 'Class VIII': 0.625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
10,1e-05,1.038771344197763,1.0411144586709828,1.0,fixed,1.0,,0.6169537087232188,0.5513253077431651,0.6054191589355469,0.6169537087232188,0.7116883116883117,0.6054191589355469,0.6169537087232188,0.7116883116883117,"[[308, 37, 79, 127], [1, 51, 3, 15], [30, 28, 82, 35], [23, 40, 48, 274]]",0.7285714285714285,0.5513253077431651,0.4685714285714286,0.558983666061706,"{'Mn': 0.558983666061706, 'Cu': 0.7285714285714285, 'Zn': 0.4685714285714286, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4685714285714286,"[[308, 37, 79, 127], [1, 51, 3, 15], [30, 28, 82, 35], [23, 40, 48, 274]]",,0.5513253077431651,0.4685714285714286,0.558983666061706,"{'Mn': 0.558983666061706, 'Cu': 0.7285714285714285, 'Zn': 0.4685714285714286, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",,0.5980643256013746,0.5171038229366961,0.5288461446762085,0.5980643256013746,0.640625,0.5288461446762085,0.5980643256013746,0.640625,"[[43, 3, 43, 8], [0, 14, 1, 0], [2, 9, 12, 9], [9, 8, 6, 41]]",0.9333333333333333,0.5171038229366961,0.375,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}",0.375,"[[43, 3, 43, 8], [0, 14, 1, 0], [2, 9, 12, 9], [9, 8, 6, 41]]",,0.5171038229366961,0.375,0.44329896907216493,"{'Mn': 0.44329896907216493, 'Cu': 0.9333333333333333, 'Zn': 0.375, 'Class VIII': 0.640625}","{'Mn': 97, 'Cu': 15, 'Zn': 32, 'Class VIII': 64}"
