epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support
1,1e-05,1.3712233997680046,1.0,fixed,1.0,,0.2830320314893817,0.2497568438237422,0.45554614067077637,0.2830320314893817,0.5168831168831168,0.45554614067077637,0.2830320314893817,0.5168831168831168,"[[339, 0, 0, 212], [21, 0, 0, 49], [104, 0, 0, 71], [186, 0, 0, 199]]",0.0,0.2497568438237422,0.0,0.6152450090744102,"{'Mn': 0.6152450090744102, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.0,"[[339, 0, 0, 212], [21, 0, 0, 49], [104, 0, 0, 71], [186, 0, 0, 199]]",,0.2497568438237422,0.0,0.6152450090744102,"{'Mn': 0.6152450090744102, 'Cu': 0.0, 'Zn': 0.0, 'Class VIII': 0.5168831168831168}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
2,1e-05,1.3477658081699062,1.0,fixed,1.0,,0.34158861102599763,0.31238564353166126,0.5283657908439636,0.34158861102599763,0.6727272727272727,0.5283657908439636,0.34158861102599763,0.6727272727272727,"[[357, 0, 3, 191], [21, 0, 3, 46], [97, 0, 8, 70], [122, 0, 4, 259]]",0.0,0.31238564353166126,0.0,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 0.6727272727272727}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.045714285714285714,"[[357, 0, 3, 191], [21, 0, 3, 46], [97, 0, 8, 70], [122, 0, 4, 259]]",,0.31238564353166126,0.0,0.647912885662432,"{'Mn': 0.647912885662432, 'Cu': 0.0, 'Zn': 0.045714285714285714, 'Class VIII': 0.6727272727272727}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
3,1e-05,1.3297626062019452,1.0,fixed,1.0,,0.36390812454333327,0.3391855905205438,0.558001697063446,0.36390812454333327,0.6935064935064935,0.558001697063446,0.36390812454333327,0.6935064935064935,"[[379, 0, 4, 168], [10, 0, 22, 38], [103, 0, 13, 59], [114, 0, 4, 267]]",0.0,0.3391855905205438,0.0,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.0, 'Zn': 0.07428571428571429, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.07428571428571429,"[[379, 0, 4, 168], [10, 0, 22, 38], [103, 0, 13, 59], [114, 0, 4, 267]]",,0.3391855905205438,0.0,0.6878402903811253,"{'Mn': 0.6878402903811253, 'Cu': 0.0, 'Zn': 0.07428571428571429, 'Class VIII': 0.6935064935064935}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
4,1e-05,1.304022743089779,1.0,fixed,1.0,,0.3843455818228958,0.3646448810318909,0.5546147227287292,0.3843455818228958,0.8233766233766234,0.5546147227287292,0.3843455818228958,0.8233766233766234,"[[321, 0, 4, 226], [7, 4, 17, 42], [82, 1, 13, 79], [66, 1, 1, 317]]",0.05714285714285714,0.3646448810318909,0.05714285714285714,0.5825771324863884,"{'Mn': 0.5825771324863884, 'Cu': 0.05714285714285714, 'Zn': 0.07428571428571429, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.07428571428571429,"[[321, 0, 4, 226], [7, 4, 17, 42], [82, 1, 13, 79], [66, 1, 1, 317]]",,0.3646448810318909,0.05714285714285714,0.5825771324863884,"{'Mn': 0.5825771324863884, 'Cu': 0.05714285714285714, 'Zn': 0.07428571428571429, 'Class VIII': 0.8233766233766234}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
5,1e-05,1.2572724468804695,1.0,fixed,1.0,,0.5494072171023169,0.5483533806318954,0.6011854410171509,0.5494072171023169,0.7506493506493507,0.6011854410171509,0.5494072171023169,0.7506493506493507,"[[325, 15, 42, 169], [2, 36, 9, 23], [52, 8, 60, 55], [46, 5, 45, 289]]",0.5142857142857142,0.5483533806318954,0.34285714285714286,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5142857142857142, 'Zn': 0.34285714285714286, 'Class VIII': 0.7506493506493507}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.34285714285714286,"[[325, 15, 42, 169], [2, 36, 9, 23], [52, 8, 60, 55], [46, 5, 45, 289]]",,0.5483533806318954,0.34285714285714286,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5142857142857142, 'Zn': 0.34285714285714286, 'Class VIII': 0.7506493506493507}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
6,1e-05,1.1903929170724508,1.0,fixed,1.0,,0.5467660923468546,0.5190416219718773,0.6181202530860901,0.5467660923468546,0.7324675324675325,0.6181202530860901,0.5467660923468546,0.7324675324675325,"[[378, 23, 10, 140], [5, 43, 1, 21], [86, 17, 27, 45], [75, 21, 7, 282]]",0.6142857142857143,0.5190416219718773,0.15428571428571428,0.6860254083484574,"{'Mn': 0.6860254083484574, 'Cu': 0.6142857142857143, 'Zn': 0.15428571428571428, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.15428571428571428,"[[378, 23, 10, 140], [5, 43, 1, 21], [86, 17, 27, 45], [75, 21, 7, 282]]",,0.5190416219718773,0.15428571428571428,0.6860254083484574,"{'Mn': 0.6860254083484574, 'Cu': 0.6142857142857143, 'Zn': 0.15428571428571428, 'Class VIII': 0.7324675324675325}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
7,1e-05,1.141675837942072,1.0,fixed,1.0,,0.5658357885308883,0.5570667805264764,0.6147332787513733,0.5658357885308883,0.8077922077922078,0.6147332787513733,0.5658357885308883,0.8077922077922078,"[[325, 16, 28, 182], [1, 41, 6, 22], [50, 10, 49, 66], [43, 8, 23, 311]]",0.5857142857142857,0.5570667805264764,0.28,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5857142857142857, 'Zn': 0.28, 'Class VIII': 0.8077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.28,"[[325, 16, 28, 182], [1, 41, 6, 22], [50, 10, 49, 66], [43, 8, 23, 311]]",,0.5570667805264764,0.28,0.5898366606170599,"{'Mn': 0.5898366606170599, 'Cu': 0.5857142857142857, 'Zn': 0.28, 'Class VIII': 0.8077922077922078}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
8,1e-05,1.0966043170239475,1.0,fixed,1.0,,0.5909617696278313,0.5661986902787484,0.5859441161155701,0.5909617696278313,0.8025974025974026,0.5859441161155701,0.5909617696278313,0.8025974025974026,"[[251, 16, 75, 209], [0, 41, 8, 21], [18, 6, 91, 60], [18, 8, 50, 309]]",0.5857142857142857,0.5661986902787484,0.455535390199637,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.5857142857142857, 'Zn': 0.52, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.52,"[[251, 16, 75, 209], [0, 41, 8, 21], [18, 6, 91, 60], [18, 8, 50, 309]]",,0.5661986902787484,0.455535390199637,0.455535390199637,"{'Mn': 0.455535390199637, 'Cu': 0.5857142857142857, 'Zn': 0.52, 'Class VIII': 0.8025974025974026}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
9,1e-05,1.0670528971665614,1.0,fixed,1.0,,0.6273130317957905,0.5693140782236011,0.5977984666824341,0.6273130317957905,0.7350649350649351,0.5977984666824341,0.6273130317957905,0.7350649350649351,"[[266, 25, 112, 148], [0, 46, 5, 19], [12, 13, 111, 39], [16, 21, 65, 283]]",0.6571428571428571,0.5693140782236011,0.4827586206896552,0.4827586206896552,"{'Mn': 0.4827586206896552, 'Cu': 0.6571428571428571, 'Zn': 0.6342857142857142, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6342857142857142,"[[266, 25, 112, 148], [0, 46, 5, 19], [12, 13, 111, 39], [16, 21, 65, 283]]",,0.5693140782236011,0.4827586206896552,0.4827586206896552,"{'Mn': 0.4827586206896552, 'Cu': 0.6571428571428571, 'Zn': 0.6342857142857142, 'Class VIII': 0.7350649350649351}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
10,1e-05,1.038771344197763,1.0,fixed,1.0,,0.6169537087232188,0.5513253077431651,0.6054191589355469,0.6169537087232188,0.7116883116883117,0.6054191589355469,0.6169537087232188,0.7116883116883117,"[[308, 37, 79, 127], [1, 51, 3, 15], [30, 28, 82, 35], [23, 40, 48, 274]]",0.7285714285714285,0.5513253077431651,0.4685714285714286,0.558983666061706,"{'Mn': 0.558983666061706, 'Cu': 0.7285714285714285, 'Zn': 0.4685714285714286, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.4685714285714286,"[[308, 37, 79, 127], [1, 51, 3, 15], [30, 28, 82, 35], [23, 40, 48, 274]]",,0.5513253077431651,0.4685714285714286,0.558983666061706,"{'Mn': 0.558983666061706, 'Cu': 0.7285714285714285, 'Zn': 0.4685714285714286, 'Class VIII': 0.7116883116883117}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
